victim_id,injury_id
46500112,4
46500114,5
46500117,5
46500118,5
46500127,4
46500133,5
46500134,5
46500140,5
46500141,5
46500144,4
46500097,4
46500151,3
46500152,5
46500156,4
46500168,4
46500177,5
46500178,4
46500180,4
46500185,4
46500184,4
46500190,5
46500191,3
46500194,5
46500195,4
46500196,4
46500208,5
46500209,5
46500211,5
46500212,5
46500214,5
46500218,4
46500224,4
46500228,5
46500229,5
46501140,5
46501142,4
46501143,4
46501151,4
46501255,5
46501262,5
46500237,4
46501136,4
46501152,4
46501173,4
46501178,5
46501256,5
46501196,4
46501197,5
46501204,4
46501205,4
46501207,4
46501208,4
46501209,4
46501214,5
46501234,4
46501235,5
46501236,5
46501237,5
46501239,5
46501238,5
46501242,4
46501229,5
46501230,5
46501233,4
46501263,4
46501266,4
46501267,4
46501268,4
46501269,4
46501277,5
46501281,5
46501284,5
46501287,1
46503429,5
46502208,4
46502209,4
46502211,5
46502212,4
46502216,4
46502227,5
46502228,5
46502230,5
46502239,5
46502240,5
46502256,5
46502257,4
46502293,5
46502296,5
46502302,4
46502303,5
46502309,4
46502313,4
46502330,4
46502342,4
46502345,5
46502346,5
46502359,5
46503280,4
46503283,4
46503284,4
46503287,5
46503288,5
46503294,5
46503296,4
46503297,4
46503304,4
46503310,5
46503317,5
46503339,5
46503343,5
46503342,5
46503344,5
46503345,5
46503346,5
46503347,5
46503359,5
46503367,5
46503372,4
46503373,5
46503379,5
46503381,5
46503382,4
46503405,5
46503406,5
46503407,5
46504420,5
46503428,4
46503430,4
46503432,4
46503437,5
46503438,5
46503417,5
46504372,4
46504376,4
46504401,5
46504403,4
46504415,4
46504426,5
46504427,5
46504428,5
46504429,4
46504435,5
46504438,5
46504452,5
46504453,5
46504457,5
46504458,5
46504465,4
46504476,5
46504381,5
46504384,4
46504386,4
46504388,4
46504389,4
46504488,4
46504490,4
46504496,4
46504497,2
46504498,1
46504499,4
46504504,4
46504509,4
46504513,5
46504519,2
46504521,5
46504522,5
46504528,4
46504540,5
46505449,4
46505455,4
46505458,4
46505480,5
46505459,5
46505460,5
46505461,4
46505462,4
46505474,3
46505475,4
46505477,4
46505478,4
46505479,4
46505489,5
46505490,5
46505491,5
46505492,5
46505494,4
46505504,5
46505505,4
46505506,5
46505510,6
46505511,6
46505514,4
46505522,4
46505523,4
46505526,4
46505528,5
46505537,5
46506553,5
46505551,4
46505557,4
46505563,4
46505566,5
46505569,4
46505573,4
46505574,5
46505577,5
46505590,5
46505591,5
46505596,5
46505598,5
46506556,5
46505607,4
46506527,5
46505610,4
46505612,5
46505613,5
46505617,4
46505618,4
46506522,4
46506535,5
46506536,4
46506542,5
46506544,5
46506547,4
46506564,5
46506565,5
46506566,5
46506567,5
46506569,4
46506570,5
46506592,5
46506594,5
46506571,5
46506599,4
46506600,5
46506576,4
46506628,4
46506580,5
46506634,4
46506635,4
46506659,5
46506581,5
46506582,5
