weapon_id,offense_id,nibrs_weapon_id
12,46353956,9364867
12,46354194,9365018
12,46354195,9365019
19,46359037,9363704
4,46354594,9364466
12,46353624,9364576
11,46353959,9364868
9,46350852,9362400
12,46350853,9362401
12,46354200,9365020
12,46353619,9364575
9,46354597,9364467
12,46349732,9362393
12,46353965,9364869
12,46354204,9365021
12,46354205,9365022
12,46354379,9365156
12,46353969,9364870
10,46353970,9364871
12,46350858,9362402
12,46359051,9363705
12,46354602,9364468
12,46349743,9362394
12,46350860,9362446
12,46350861,9362447
12,46354605,9364469
12,46354384,9365157
12,46354385,9365158
12,46354390,9365159
12,46357585,9364304
12,46357586,9364305
12,46359057,9363706
12,46353978,9364872
12,46354398,9365160
12,46354625,9364472
3,46359655,9364242
12,46354607,9364470
12,46350863,9362448
18,46354210,9365023
12,46357588,9364306
12,46354215,9365024
12,46354216,9365025
12,46357600,9364307
12,46354405,9365161
10,46359064,9363707
10,46350868,9362449
12,46350869,9362450
12,46359066,9363708
12,46354408,9365162
12,46353993,9364873
12,46350871,9362452
11,46359072,9363709
18,46353995,9364874
12,46354622,9364471
12,46350870,9362451
12,46354628,9364473
12,46354001,9364875
10,46359657,9364243
12,46359657,10322310
12,46359658,9364244
12,46355378,9365084
12,46358342,9364054
12,46354002,9364876
12,46359661,9364245
20,46359890,9364372
12,46359084,9363751
20,46358345,9364055
12,46359086,9363752
12,46354237,9365065
12,46359665,9364246
12,46350882,9362453
12,46359091,9363753
12,46350887,9362454
12,46359097,9363754
12,46354243,9365066
12,46350893,9362455
12,46355396,9365085
12,46359679,9364247
12,46354253,9365067
12,46358353,9364056
12,46359859,9364370
12,46355005,9364826
12,46355402,9365086
12,46358359,9364057
12,46358363,9364058
12,46354775,9364594
20,46350911,9362456
12,46359873,9364371
12,46354778,9364595
12,46355412,9365122
12,46358367,9364059
9,46359693,9364248
18,46350918,9362457
11,46355020,9364827
12,46359704,9364271
12,46359705,9364272
12,46354785,9364596
12,46351667,9364789
9,46359708,9364273
12,46358375,9364060
20,46358376,9364061
12,46354788,9364659
12,46357831,9363625
12,46358379,9364062
20,46357841,9363627
12,46358381,9364112
12,46357834,9363626
12,46355427,9365123
12,46354798,9364660
12,46355028,9364828
12,46359715,9364274
12,46358387,9364113
6,46358394,9364116
12,46354810,9364661
12,46358399,9364117
20,46357843,9363628
12,46355041,9364830
12,46355440,9365124
3,46357846,9363629
3,46357848,9363630
12,46354817,9364662
20,46359724,9364276
12,46359905,9364373
20,46357849,9363631
12,46358407,9364118
20,46355447,9365125
20,46355037,9364829
12,46358388,9364114
12,46358390,9364115
12,46359717,9364275
12,46358413,9364119
10,46354826,9364663
21,46354828,9364664
12,46355451,9365126
12,46360477,9366000
12,46358415,9364120
12,46354831,9364665
20,46358416,9364121
11,46360480,9366001
12,46354833,9364666
12,46359914,9364404
12,46355051,9364831
12,46358419,9364122
12,46360485,9366002
18,46360487,9366003
12,46354836,9364667
12,46355060,9364835
12,46355055,9364832
12,46358424,9364123
12,46359924,9364405
10,46355058,9364833
12,46355059,9364834
12,46358428,9364124
11,46354839,9364668
12,46355460,9365127
12,46355461,9365128
12,46355462,9365129
12,46355463,9365130
11,46358603,9364263
12,46355065,9364836
12,46360490,9366004
12,46355466,9365131
12,46354846,9364669
3,46355467,9365132
12,46355469,9365133
12,46358455,9364173
12,46358443,9364125
12,46360726,9366314
12,46355074,9364882
9,46358446,9364126
12,46355076,9364883
10,46359935,9364406
12,46359936,9364407
12,46363484,9365556
20,46358612,9364264
12,46355081,9364884
12,46358451,9364171
12,46359950,9364410
12,46359951,9364411
12,46360500,9366005
20,46360502,9366006
12,46358453,9364172
12,46363486,9365557
12,46359942,9364408
12,46355082,9364885
12,46361490,9365848
3,46358617,9364265
12,46360505,9366007
12,46360508,9366008
12,46359948,9364409
12,46355087,9364886
12,46358620,9364266
12,46360513,9366009
3,46358457,9364174
12,46363495,9365558
12,46355090,9364887
6,46359955,9364413
12,46359956,9364414
12,46363496,9365559
12,46363500,9365561
3,46360516,9366011
12,46358458,9364175
18,46363504,9365562
12,46360515,9366010
12,46358633,9364267
12,46358639,9364268
12,46363497,9365560
12,46358459,9364176
12,46359963,9364415
12,46359952,9364412
12,46355092,9364888
12,46361506,9365849
12,46363506,9365563
12,46363513,9365677
12,46361508,9365920
12,46358464,9364177
2,46358643,9364269
5,46358643,10322311
9,46363509,9365564
5,46368637,9366094
19,46363512,9365565
12,46363786,9365955
12,46361517,9365921
12,46363756,9365949
12,46361521,9365922
12,46363517,9365678
9,46368640,9366095
12,46363762,9365950
3,46361526,9365923
3,46361527,9365924
9,46359229,9363858
11,46360546,9366100
12,46359231,9363859
