victim_id,offense_id
63129410,67361951
63129411,67361951
63129412,67355195
63129413,67361952
63129413,67361953
63129414,67354141
63129415,67355196
63129415,67355197
63129416,67343679
63129417,67343679
63129418,67355198
63129418,67355199
63129419,67355200
63129419,67355201
63129420,67343680
63129421,67355202
63129422,67343681
63129423,67359758
63129424,67354142
63129425,67354143
63129425,67354144
63129426,67354145
63129427,67354146
63129428,67343682
63129429,67355203
63129429,67355204
63129430,67355205
63129431,67354147
63129440,67337159
63129432,67361954
63129433,67357243
63129433,67357244
63129434,67355207
63129435,67355206
63129436,67354148
63129437,67354148
63129449,67357246
63129438,67337158
63129439,67361955
63129442,67357245
63129441,67357245
63129443,67361956
63129444,67355208
63129445,67359759
63129446,67359759
63129447,67354149
63129448,67337160
63129450,67359760
63129451,67355209
63129451,67355210
63129452,67337161
63129452,67337162
63129454,67359761
63130355,67359765
63129453,67357247
63129455,67355211
63129456,67337163
63129457,67337163
63129458,67343683
63129459,67343684
63129460,67337164
63129461,67337165
63129461,67337166
63129462,67337165
63129463,67354150
63129464,67359762
63129465,67359763
63129466,67337167
63129469,67357248
63129471,67355213
63129472,67355212
63129470,67355214
63129470,67355215
63129470,67355216
63130351,67337169
63130352,67359764
63130353,67343685
63130354,67343686
63130356,67337170
63130357,67357249
63130358,67361959
63130359,67355217
63130360,67343687
63130361,67354151
63130362,67357250
63130362,67357251
63130363,67355218
63130364,67343688
63130365,67359766
63130366,67359767
63130367,67359767
63130368,67359768
63130369,67357252
63130369,67357253
63130370,67354152
63130370,67354153
63130371,67355219
63130372,67361960
63129467,67337168
63129468,67361957
63129468,67361958
63130383,67359771
63130384,67359771
63130421,67355233
63130373,67354154
63130374,67343689
63130376,67337172
63130375,67337171
63130375,67337172
63130377,67354155
63130377,67354156
63130378,67359769
63130379,67337173
63130380,67355220
63130380,67355221
63130381,67359770
63130382,67354157
63130382,67354158
63130385,67357254
63130386,67355222
63130387,67355223
63130388,67355223
63130389,67359772
63130390,67343690
63130391,67337174
63130403,67337175
63130392,67359773
63130393,67355224
63130394,67355224
63130395,67355224
63130396,67355224
63130397,67359774
63130398,67359775
63130399,67361961
63130400,67359776
63130401,67343691
63130402,67343691
63130404,67355225
63130405,67343692
63130406,67355226
63130406,67355227
63130407,67337176
63130408,67337176
63130409,67359777
63130410,67359778
63130411,67361962
63130412,67355228
63130413,67355228
63130414,67355229
63130415,67343693
63130416,67355230
63130416,67355231
63130417,67359779
63130417,67359780
63130418,67361963
63130418,67361964
63130419,67355232
63130420,67343694
63130422,67337177
63130423,67337178
63130424,67354159
63130435,67343696
63131407,67359791
63131409,67359791
63131408,67359790
63130425,67357255
63130426,67357255
63130427,67354160
