offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
7360412,6887332,49,C,20,0,F,
7360175,6887116,5,C,20,,,
7360176,6887117,47,C,20,,,
7360177,6887118,49,C,20,0,F,
7360178,6887119,27,C,20,,,
7360179,6887120,49,C,20,0,F,
7360180,6887121,27,C,20,,,
7360181,6887122,45,C,20,,,
7360182,6887123,39,C,13,,,
7360183,6887124,45,C,20,,,
7360184,6887125,47,C,20,,,
7360185,6887126,49,C,20,0,F,
7360186,6887127,45,C,13,,,
7360187,6887128,14,C,20,,,
7360188,6887129,45,C,10,,,
7360189,6887130,47,C,20,,,
7360190,6887131,45,C,13,,,
7360191,6887132,14,C,20,,,
7360192,6887133,45,C,20,,,
7360193,6887134,21,C,13,,,
7360194,6887135,51,C,11,,,
7360195,6887136,28,C,18,,,
7360196,6887137,21,C,25,,,
7360197,6887138,47,C,20,,,
7360198,6887139,5,C,17,,,
7360199,6887140,23,C,7,,,
7360200,6887141,49,C,19,1,N,
7360201,6887142,49,C,25,0,N,
7360202,6887143,49,C,20,0,N,
7360203,6887144,11,C,12,,,
7360224,6887163,51,C,20,,,
7360225,6887164,14,C,18,,,
7360226,6887165,45,C,16,,,
7360227,6887166,5,C,18,,,
7360228,6887167,16,C,18,,,
7360229,6887168,27,C,20,,,
7360230,6887169,45,C,24,,,
7360231,6887170,5,C,18,,,
7360232,6887171,45,C,20,,,
7360233,6887172,27,C,20,,,
7360234,6887173,45,C,24,,,
7360235,6887174,45,C,19,,,
7360236,6887175,44,C,20,,,
7360237,6887176,49,C,20,0,N,
7360238,6887177,27,C,18,,,
7360239,6887178,5,C,18,,,
7360240,6887179,49,C,20,0,F,
7360241,6887180,49,C,20,0,F,
7360242,6887181,44,C,20,,,
7360243,6887182,51,C,22,,,
7360244,6887183,51,C,22,,,
7360245,6887184,27,C,20,,,
7360246,6887185,45,C,18,,,
7360247,6887186,45,C,18,,,
7360248,6887187,16,C,13,,,
7360249,6887187,35,C,13,,,
7360250,6887188,27,C,20,,,
7360251,6887189,45,C,22,,,
7360252,6887190,45,C,20,,,
7360253,6887191,45,C,7,,,
7360254,6887192,5,C,24,,,
7360255,6887193,16,C,22,,,
7360256,6887194,14,C,18,,,
7360257,6887195,45,C,18,,,
7360258,6887196,51,C,18,,,
7360259,6887197,51,C,18,,,
7360260,6887198,45,C,18,,,
7360261,6887198,5,C,18,,,
7360262,6887199,51,C,20,,,
7360263,6887200,45,C,18,,,
7360264,6887201,49,C,18,0,N,
7360265,6887202,45,C,18,,,
7360266,6887202,11,C,18,,,
7360267,6887203,5,C,18,,,
7360268,6887204,45,C,21,,,
7360269,6887205,45,C,25,,,
7360270,6887206,27,C,18,,,
7360271,6887207,45,C,20,,,
7360272,6887208,21,C,20,,,
7360273,6887209,44,C,13,,,
7360274,6887210,5,C,18,,,
7360275,6887211,51,C,20,,,
7360276,6887212,45,C,7,,,
7360277,6887213,23,C,25,,,
7360278,6887214,11,C,17,,,
7360279,6887215,49,C,25,0,N,
7360280,6887216,49,C,25,0,F,
7360281,6887216,5,C,25,,,
7360282,6887217,49,C,24,0,F,
7360283,6887217,5,C,24,,,
7360284,6887218,5,C,20,,,
7360285,6887219,49,C,19,24,F,
7360286,6887219,45,C,19,,,
7360287,6887220,45,C,20,,,
7360288,6887221,5,C,18,,,
7360289,6887222,27,C,20,,,
7360290,6887223,49,C,24,0,F,
7360291,6887224,49,C,24,0,F,
7360292,6887224,45,C,24,,,
7360296,6887228,11,C,24,,,
7360300,6887231,49,C,20,0,N,
7360301,6887231,45,C,20,,,
7360334,6887260,45,C,24,,,
7360822,6887707,5,C,18,,,
7360468,6887387,2,C,20,,,
7360361,6887283,11,C,22,,,
7360403,6887323,16,C,20,,,
7360413,6887333,45,C,20,,,
7360204,6887145,27,C,20,,,
