property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
9788744,8705641,7,,,
9788745,8705644,7,,,
9788746,8705645,7,0,,
9788747,8705647,7,,,
9788748,8705649,4,,,
9788749,8705650,6,,,
9788750,8705650,7,,,
9788751,8705651,7,,,
9788752,8705651,7,,,
9788753,8705652,7,,,
9788754,8705653,5,,1,
9788755,8705653,7,1,,
9788756,8705654,7,,,
9788757,8705655,7,,,
9788758,8705657,7,,,
9788759,8705658,7,,,
9788760,8705658,7,,,
9788761,8705659,4,,,
9788762,8705660,6,,,
9788763,8705661,7,,,
9788764,8705663,7,,,
9788765,8705664,4,,,
9788766,8705665,7,,,
9788767,8705666,6,,,
9788768,8705670,6,,,
9788769,8705671,7,,,
9788770,8705672,4,,,
9788771,8705674,7,1,,
9788772,8705676,7,,,
9788773,8705677,7,,,
9788774,8705678,7,,,
9788790,8705698,7,,,
9788831,8705742,7,,,
9788833,8705744,7,,,
9788743,8705640,7,,,
9788775,8705681,7,,,
9788776,8705682,4,,,
9788777,8705684,7,0,,
9788778,8705685,5,,,
9788779,8705685,7,,,
9788780,8705686,4,,,
9788781,8705687,4,,,
9788782,8705688,7,,,
9788783,8705689,7,,,
9788784,8705690,7,0,,
9788785,8705691,7,,,
9788786,8705692,6,,,
9788787,8705693,7,0,,
9788788,8705696,7,,,
9788789,8705697,7,,,
9788791,8705699,7,,,
9788792,8705700,8,,,
9788793,8705701,7,,,
9788794,8705702,4,,,
9788795,8705703,4,,,
9788796,8705704,4,,,
9788797,8705705,4,,,
9788798,8705706,4,,,
9788799,8705707,7,,,
9788800,8705708,4,,,
9788801,8705710,7,,,
9788802,8705711,7,,,
9788806,8705715,7,,,
9788809,8705718,3,,,
9788803,8705712,7,,,
9788804,8705713,7,,,
9788805,8705714,4,,,
9788807,8705716,7,,,
9788808,8705717,7,,,
9788810,8705719,7,,,
9788811,8705719,7,,,
9788812,8705720,7,,,
9788813,8705722,7,0,,
9788814,8705723,1,,,
9788815,8705724,7,0,,
9788816,8705725,7,,,
9788817,8705726,6,,,
9788818,8705727,6,,,
9788819,8705729,6,,,
9788820,8705730,7,,,
9788821,8705731,4,,,
9788822,8705732,4,,,
9788823,8705733,4,,,
9788824,8705736,4,,,
9788825,8705736,7,,,
9788826,8705737,6,,,
9788827,8705738,7,,,
9788828,8705739,6,,,
9788829,8705740,6,,,
9788830,8705741,4,,,
9788832,8705743,6,,,
9788834,8705747,6,,,
9788835,8705747,6,,,
9788836,8705748,6,,,
9788837,8705749,6,,,
9788838,8705750,7,,,
9788839,8705751,3,,,
9788840,8705752,4,,,
9788841,8705753,4,,,
9788842,8705754,6,,,
9788843,8705755,4,,,
9788844,8705757,1,,,
9788845,8705758,4,,,
9788846,8705759,4,,,
9788847,8705761,4,,,
9788848,8705762,6,,,
9788849,8705763,4,,,
9788850,8705764,4,,,
9788872,8705785,7,,,
9788899,8705812,7,,,
9788905,8705822,3,,,
9788851,8705765,7,,,
9788852,8705765,7,,,
9788853,8705766,7,,,
9788854,8705767,3,,,
9788855,8705768,4,,,
9788856,8705769,4,,,
9788857,8705772,7,,,
9788858,8705773,5,,,
9788859,8705773,7,,,
9788860,8705774,4,,,
9788861,8705774,7,,,
9788862,8705775,4,,,
9788863,8705776,7,,,
9788864,8705777,7,,,
9788865,8705778,4,,,
9788866,8705778,5,,1,
9788867,8705778,7,1,,
9788868,8705780,4,,,
9788869,8705781,7,,,
9788870,8705783,7,,,
9788871,8705784,4,,,
9788873,8705786,7,,,
9788874,8705787,4,,,
9788875,8705788,1,,,
9788876,8705789,7,,,
9788877,8705790,7,,,
9788878,8705791,7,,,
9788879,8705792,7,,,
9788880,8705793,4,,,
9788881,8705794,7,,,
9788882,8705795,1,,,
9788883,8705795,4,,,
9788884,8705796,7,,,
9788885,8705797,7,,,
9788886,8705799,7,1,,
9788887,8705801,4,,,
9788888,8705801,7,,,
9788889,8705802,7,,,
9788890,8705803,7,,,
9788891,8705804,7,,,
9788892,8705805,7,,,
9788893,8705806,7,,,
9788894,8705807,7,,,
9788895,8705808,7,,,
9788896,8705809,7,,,
9788900,8705813,7,,,
9788906,8705823,3,,,
9788897,8705810,7,1,,
9788898,8705811,7,,,
9788901,8705816,4,,,
9788902,8705817,7,,,
9788903,8705820,4,,,
9788904,8705821,7,,,
9788907,8705828,4,,,
9788908,8705831,5,,,
9788909,8705831,7,,,
9788910,8705832,4,,,
9788911,8705834,7,,,
9788912,8705835,7,,,
9788913,8705837,7,,,
9788914,8705838,7,,,
9788915,8705839,4,,,
9788916,8705839,7,,,
9788917,8705840,7,,,
9788918,8705841,4,,,
9788919,8705843,1,,,
9788920,8705844,4,,,
9788921,8705845,4,,,
9788922,8705846,5,,,
9788923,8705846,7,,,
9788924,8705849,7,,,
9788925,8705850,6,,,
9788926,8705850,6,,,
9788927,8705851,7,,,
9788928,8705852,5,,,
9788929,8705852,7,,,
9788930,8705853,7,,,
9788931,8705854,5,,1,
9788932,8705854,7,1,,
9788933,8705855,7,,,
9788935,8705857,7,,,
9788950,8705872,7,,,
9788984,8705917,3,,,
9788999,8705938,7,,,
9788739,8705636,7,,,
9789061,8706009,7,,,
9789152,8706092,7,,,
9788934,8705856,7,,,
9788936,8705858,7,,,
9788937,8705859,5,,,
9788938,8705859,7,,,
9788939,8705861,7,,,
9788940,8705862,5,,,
9788941,8705862,7,,,
9788942,8705863,7,,,
9788943,8705864,4,,,
9788944,8705865,5,,,
9788945,8705865,7,,,
9788946,8705866,5,,,
9788947,8705866,7,,,
9788948,8705867,7,,,
9788949,8705871,7,,,
9788951,8705874,6,,,
9788952,8705875,4,,,
9788953,8705876,7,,,
9788954,8705877,7,,,
9788955,8705878,4,,,
9788956,8705879,4,,,
9788957,8705880,7,,,
9788958,8705881,4,,,
9788959,8705882,5,,,
9788960,8705882,7,,,
9788961,8705883,7,,,
9788962,8705884,7,,,
9788963,8705885,7,,,
