property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
13067377,21,600,,13082075
13067378,3,100,,13082076
13063792,31,201,,13081885
13062559,63,447,,13081789
13062560,63,14542,,13081790
13067379,20,511,,13082077
13067380,26,384,,13082078
13067381,63,1300,,13082079
13062561,63,5,,13081791
13066243,19,45,2000-01-27 00:00:00,13083212
13066244,19,45,,13083213
13063793,26,300,,13081886
13063794,63,1675,,13081887
13062562,3,1200,2000-01-28 00:00:00,13081792
13062563,3,1200,,13081793
13062564,6,61,2000-01-28 00:00:00,13081794
13062565,63,38,2000-01-28 00:00:00,13081795
13062566,6,61,,13081796
13062567,63,38,,13081797
13062568,20,275,,13081798
13063795,63,2,,13081888
13063796,63,200,,13081889
13062569,19,61,2000-01-28 00:00:00,13081799
13062570,19,61,,13081800
13067382,26,306,,13082080
13063797,3,150,,13081890
13062571,63,25,,13081801
13066652,20,200,,13069995
13063798,3,4000,,13081891
13067383,19,18,2000-01-29 00:00:00,13082081
13067384,19,18,,13082082
13062572,19,26,2000-01-29 00:00:00,13081802
13062573,19,26,,13081803
13063799,63,200,,13081892
13063800,63,90,,13081893
13063801,3,100,,13081894
13063802,26,100,,13081895
13062574,6,52,2000-01-30 00:00:00,13081804
13062575,6,52,,13081805
13063803,20,350,,13081896
13067385,19,42,2000-01-30 00:00:00,13082083
13067386,10,0,,13082084
13067387,19,42,,13082085
13066653,17,570,,13069996
13062576,8,13,,13081806
13063804,20,20,,13081897
13063805,20,294,,13081898
13066654,63,50,,13069997
13066655,3,500,,13069998
13062577,29,75,,13081807
13062578,20,2,,13081808
13062579,21,51,,13081809
13062580,25,5,,13081810
13066656,3,1000,,13069999
13066657,26,500,,13070000
13066658,26,26,,13070001
13066659,63,60,,13070002
13063806,68,,,13081899
13067388,10,115,,13082086
13067389,17,20,,13082087
13067390,20,60,,13082088
13067391,63,50,,13082089
13067392,20,360,,13082090
13074148,21,160,,13056923
13074149,63,160,,13056924
13063813,63,750,,13081906
13062586,3,100,,13081816
13062596,37,8000,,13081826
13066675,21,2002,,13070018
13069522,21,200,,13060337
13062075,10,0,,13074495
13063329,63,100,,13074609
13062076,9,0,,13074496
13062077,20,300,,13074497
13062078,25,115,,13074498
13062079,63,360,,13074499
13066166,6,30,2000-01-01 00:00:00,13081997
13066167,10,14,2000-01-01 00:00:00,13081998
13066168,17,25,2000-01-01 00:00:00,13081999
13066169,19,85,2000-01-01 00:00:00,13082000
13066170,26,200,2000-01-01 00:00:00,13082001
13066171,10,0,,13082002
13066172,63,1,,13082003
13066173,6,30,,13082004
13066174,10,14,,13082005
13066175,17,25,,13082006
13066176,19,85,,13082007
13066177,26,200,,13082008
13062080,13,350,,13074500
13066923,16,4716,2000-01-06 00:00:00,13074806
13066924,16,5916,,13074807
13066925,63,3000,,13074808
13062081,26,800,,13074501
13062082,63,1000,,13074502
13062083,9,0,,13074503
13062084,20,33,,13074504
13062085,25,35,,13074505
