victim_id,offense_id
14904378,15762634
14901713,15752969
14901714,15752039
14901715,15756288
14901716,15756289
14901716,15756290
14901717,15756291
14901718,15752970
14901719,15750262
14901720,15750263
14901721,15752971
14901722,15750264
14901723,15756292
14901724,15752040
14901724,15752041
14901725,15750265
14901726,15752972
14901727,15752042
14901728,15752042
14901729,15752043
14901730,15750266
14901731,15750267
14901733,15752045
14901732,15752044
14901734,15750268
14901735,15750269
14901736,15752973
14901737,15756293
14901738,15752974
14901739,15756294
14901740,15752975
14901741,15752976
14901742,15752976
14901743,15756295
14901744,15750270
14901745,15750271
14901746,15756296
14901747,15752046
14901748,15752047
14901749,15756297
14901749,15756298
14901750,15752977
14901751,15750272
14901752,15750273
14901753,15756299
14901754,15752048
14901755,15756300
14901756,15756301
14901757,15756302
14901758,15750274
14901759,15750274
14901760,15756303
14901761,15750275
14901762,15752049
14901764,15752050
14901763,15752051
14901765,15752052
14901766,15752054
14901767,15752053
14901768,15750276
14901768,15750277
14901768,15752839
14901769,15752840
14901770,15752978
14901771,15752055
14901772,15752056
14901773,15752841
14901774,15752979
14901775,15752980
14901777,15752842
14901776,15752842
14901778,15752843
14901779,15752844
14901779,15752845
14901780,15752846
14901781,15756304
14901782,15752057
14901782,15752058
14901783,15752057
14901783,15752058
14901784,15752057
14901784,15752058
14901785,15752057
14901785,15752058
14901786,15752057
14901786,15752058
14901787,15752057
14901787,15752058
14901788,15752057
14901788,15752058
14901789,15752057
14901789,15752058
14901790,15752057
14901790,15752058
14901791,15752057
14901791,15752058
14901792,15752059
14901793,15752060
14901794,15752847
14901795,15756305
14901795,15756306
14901796,15756307
14901797,15752848
14901798,15756308
14901799,15752981
14901800,15752061
14901801,15752982
14901802,15752849
14901803,15752850
14901804,15756309
14901805,15756310
14901806,15756312
14901806,15756313
14901807,15756311
14901808,15752983
14901809,15756314
14901812,15752985
14902120,15753314
14901855,15752858
14901857,15756324
14901882,15752082
14903664,15761887
14901571,15750219
14901571,15750220
14901571,15750221
14901572,15752011
14901573,15752012
14901574,15756259
14901575,15750222
14901576,15756260
14901577,15750223
14901578,15752013
14901579,15752014
14901580,15756261
14901581,15752927
14901582,15756262
14901583,15756263
14901584,15752015
14901585,15750224
14901586,15750225
14901586,15750226
14901587,15752016
14901588,15750227
14901589,15750228
14901590,15752017
14901591,15752928
14901592,15750229
14901592,15750230
14901593,15750231
14901594,15752929
14901595,15752930
14901596,15752931
14901597,15750232
14901598,15752018
14901599,15752019
14901600,15752019
14901601,15752932
14901602,15756264
14901603,15752933
14901604,15750233
14901605,15750234
14901606,15750235
14901607,15752934
14901608,15756265
14901608,15756266
14901609,15750236
14901610,15752935
14901611,15752020
14901612,15756267
14901613,15752936
14901973,15756350
14901982,15752108
14904360,15762627
14904371,15766136
14901614,15752021
14901615,15752022
14901616,15752023
14901617,15750237
14901618,15750238
14901619,15752937
14901620,15750239
14901621,15752938
14901622,15752939
14901623,15752024
14901624,15752940
14901625,15752025
14901625,15752026
14901626,15752025
14901626,15752026
14901627,15752027
14901628,15750240
14901629,15752028
14901630,15750241
14901631,15756268
14901632,15756269
14901633,15750242
14901634,15752941
14901635,15756270
14901636,15750243
14901637,15752942
14901638,15752942
14901639,15756271
14901640,15750244
14901641,15752029
14901642,15752030
14901643,15752943
14901644,15752943
14901645,15752031
14901646,15752944
14901646,15752945
14901647,15752947
14901648,15752946
14901649,15756272
14901650,15750245
14901651,15752948
14901652,15752032
14901653,15752033
14901654,15750246
14901655,15756273
14901656,15752949
14901657,15752950
14901658,15750247
14901661,15752035
14901662,15752035
14901663,15752035
14901659,15752034
14901660,15752035
14901664,15752951
14901665,15752952
14901666,15756274
14901667,15750248
14901668,15756275
14901669,15750249
14901671,15752953
14901670,15752953
14901672,15752036
14901673,15752954
14901674,15752955
14901675,15756276
14901676,15756276
14901677,15752956
14901678,15750250
14901680,15750252
14901679,15750251
14901681,15752957
14901682,15750253
14901683,15752037
14901684,15752037
14901685,15752958
14901686,15756277
14901687,15756278
14901688,15756279
14901689,15752959
14901690,15756280
14901691,15750254
14901692,15752960
14901692,15752961
14901693,15756281
14901694,15750255
14901694,15750256
14901695,15750257
14901696,15756282
14901697,15756283
14901698,15752962
14901699,15750258
14901700,15752963
14901701,15756284
14901702,15750259
14901703,15756285
14901704,15750260
14901705,15752964
14901705,15752965
14901706,15756286
14901707,15752966
14901708,15752967
14901709,15752038
14901710,15752968
14901711,15750261
14901712,15756287
14902005,15752116
14902006,15753418
14902007,15757907
14902008,15753419
14902008,15753420
14902009,15753420
14902010,15753420
14902011,15753420
14902012,15753420
14902013,15753420
14902014,15752897
14902015,15752897
14902016,15752897
14902017,15757908
14902018,15753421
14902019,15757909
14902020,15753422
14902021,15753422
14902022,15753422
14902023,15753422
14902024,15753422
14902025,15752117
14902026,15753423
14902027,15752118
14902028,15752898
14902029,15752899
14902030,15752899
14902031,15752899
14902032,15752900
14902033,15752901
14902034,15752119
14902035,15757910
14902036,15757910
14902037,15757911
14902038,15752902
14902039,15753424
14902040,15757912
14902041,15753425
14902042,15753426
14902043,15757913
14902046,15757914
14902047,15757914
14902044,15757914
14902045,15757914
14902048,15752519
14902048,15752520
14902049,15757915
14902052,15753428
14902053,15752904
14902055,15753429
14902069,15753297
14904400,15764979
14904401,15764979
14902086,15753433
14901810,15752984
14901811,15752851
14901813,15756315
14901814,15756315
14901815,15756315
14901816,15756315
14901817,15756315
14901818,15756316
14901819,15752062
14901820,15752063
14902114,15753312
14901821,15752986
14901822,15752987
14901823,15756317
14901824,15752064
14901825,15752065
14901825,15752066
14901826,15752988
14901826,15752989
14901827,15752067
14901828,15752068
14901829,15752069
14901830,15752852
14901831,15752853
14901832,15752854
14901833,15752070
14901834,15752071
14901835,15752072
14901836,15756318
14901837,15756318
14902154,15754684
14902199,15753462
14901838,15752855
14901839,15752990
14901840,15752991
14901841,15752856
14901842,15752992
14901842,15752993
14901843,15752073
14901844,15752994
14901845,15756319
14901846,15752074
14901847,15756320
14901848,15752075
14901849,15752076
14901850,15752077
14901850,15752078
14901851,15756321
14901852,15756322
14901853,15752857
14901854,15752079
14901856,15756323
14901858,15756325
14901859,15756325
14901860,15752995
14901861,15756326
14901862,15752996
14901863,15752997
14901864,15756327
14901865,15752998
14901866,15752999
14901867,15752080
14901868,15752859
14901869,15756328
14901870,15753000
14901871,15752081
14901872,15752860
14901874,15753001
14901876,15753001
14901873,15753001
14901875,15753001
14901877,15753002
14901878,15756329
14901879,15753003
14901879,15753004
14901880,15752861
14901881,15756330
14901883,15752083
14901884,15752862
14901885,15752863
14901886,15756331
14901887,15752864
14901888,15752084
14901889,15756332
14901890,15756333
14901892,15753006
14901893,15753007
14901894,15752865
14901895,15753008
14901896,15752085
14901897,15752086
14901898,15752866
14901899,15753009
14901900,15752087
14901900,15752088
14901901,15752867
14901902,15752089
14901903,15753010
14901903,15753011
14901904,15752090
14901905,15752868
14901906,15756334
14901907,15753012
14901908,15752091
14901909,15756335
14901910,15756336
14901911,15753013
14901912,15753014
14901913,15753014
14901914,15753014
14901915,15752869
14901916,15753015
14901917,15753016
14901918,15752092
14901919,15752870
14901920,15753017
14901921,15752871
14901922,15756337
14901923,15752872
14901924,15752873
14901925,15753018
14901926,15752874
14901927,15752093
14901928,15756338
14901928,15756339
14901929,15756338
14901929,15756339
14901930,15756340
14901931,15752094
14901932,15756341
14901933,15752875
14901934,15756342
14901935,15752095
14901936,15753019
14901937,15756343
14901938,15753020
14901939,15752876
14901940,15752096
14901941,15752877
14901942,15752878
14901943,15753021
14901944,15753022
14901945,15752097
14901946,15752098
14901947,15752099
14901948,15752100
14901949,15753023
14901950,15752879
14901951,15752879
14901952,15752880
14901953,15752101
14901953,15752102
14901954,15756344
14901955,15752881
14901956,15753024
14901957,15752882
14901958,15752103
14901959,15752883
14901960,15752883
14901961,15752883
14901962,15756345
14901963,15752104
14901964,15752884
14901965,15752105
14901966,15752885
14901967,15756346
14901968,15756347
14901969,15756348
14901970,15753025
14901971,15753026
14901972,15756349
14901974,15753027
14901975,15752106
14901976,15753028
14901977,15752886
14901978,15752887
14901979,15752107
14901980,15756351
14901981,15757899
14901983,15752888
14901984,15753029
14901985,15753030
14901986,15752889
14901987,15757900
14901988,15752109
14901989,15757901
14901990,15752890
14901991,15752891
14901992,15752110
14901993,15757902
14901994,15757903
14901995,15752111
14901995,15752112
14901996,15753031
14901997,15752113
14901998,15757904
14901999,15752892
14901999,15752893
14902000,15752894
14902000,15752895
14902001,15752114
14902001,15752115
14902002,15757905
14902003,15757906
14902004,15752896
14902050,15753427
14902051,15752903
14902054,15757916
14902056,15753292
14902057,15753291
14902058,15753293
14902059,15757917
14902060,15752521
14902061,15753294
14902062,15752522
14902063,15757918
14902064,15752523
14902065,15753295
14902066,15753430
14902067,15757919
14902068,15753296
14902071,15754671
14902070,15752524
14902070,15752525
14902072,15754672
14902073,15753298
14902074,15754673
14902075,15757920
14902076,15753299
14902077,15753300
14902078,15754674
14902079,15753301
14902080,15753431
14902081,15753302
14902082,15754675
14902083,15753303
14902084,15753432
14902085,15753304
14902087,15757921
14902087,15757922
14902087,15757923
14902088,15753434
14902089,15753435
14902089,15753436
14902090,15757924
14902091,15753305
14902091,15753306
14902092,15753307
14902093,15754676
14902094,15753437
14902095,15758309
14902096,15758310
14902096,15758311
14902097,15758312
14902098,15753308
14902099,15758313
14902100,15758314
14902101,15758315
14902102,15753438
14902103,15753439
14902104,15753309
14902105,15753440
14902106,15753441
14902107,15754677
14902108,15753310
14902110,15758316
14902109,15758316
14902111,15758317
14902112,15754678
14902305,15755109
14902319,15755112
14902373,15755131
14902375,15756617
14902113,15753311
14902115,15753442
14902115,15753443
14902116,15753442
14902116,15753443
14902117,15753444
14902118,15753445
14902119,15753313
14902121,15753446
14902122,15758318
14902123,15753447
14902124,15753448
14902125,15758319
14902126,15753315
14902127,15758320
14902128,15758320
14902129,15754679
14902130,15758321
14902131,15758322
14902132,15754680
14902133,15758323
14902134,15758324
14902135,15753316
14902136,15758325
