criminal_act_id,offense_id
6,24053716
6,24053720
6,24053722
6,24053723
6,24051960
6,24052879
6,24052880
6,24064131
6,24064132
6,24064134
6,24064136
6,24053724
6,24052884
6,24052889
6,24064144
6,24064145
6,24054227
6,24054228
5,24051971
3,24053731
6,24053732
6,24053737
6,24064150
6,24064151
5,24054233
6,24054234
6,24064152
6,24053739
6,24053740
6,24052900
6,24052901
6,24051984
6,24051985
6,24053746
6,24064158
6,24064159
6,24051986
6,24053750
5,24064667
6,24053420
6,24053421
6,24053423
6,24053424
6,24053764
6,24064676
5,24054255
6,24053430
5,24054257
5,24053432
6,24054259
6,24053767
6,24053768
6,24058087
6,24053769
6,24053770
6,24064682
6,24053780
6,24064686
6,24053437
6,24053438
3,24058088
6,24053439
6,24058616
6,24052545
6,24053519
8,24054353
5,24054381
6,24058094
6,24058095
6,24058096
6,24052012
6,24052013
2,24064696
6,24064697
6,24064699
6,24058100
5,24053783
6,24053784
6,24058608
6,24058612
6,24058613
3,24052002
6,24052003
6,24058090
6,24052532
5,24052534
6,24053463
6,24054298
6,24053468
6,24064712
6,24058624
6,24052538
6,24052542
6,24064715
6,24058626
6,24054301
6,24054302
5,24053473
6,24052548
3,24053475
6,24052549
6,24064717
6,24064719
6,24053477
6,24054309
6,24054310
6,24052552
6,24058635
6,24054313
6,24054314
6,24064724
6,24069079
8,24058824
6,24054341
3,24058655
6,24058656
6,24052582
6,24053512
8,24053513
6,24064748
6,24064749
6,24058659
6,24052587
6,24068517
6,24058662
6,24058664
6,24058665
6,24068524
6,24068525
6,24054348
6,24054349
6,24068526
3,24058671
3,24054350
6,24054351
6,24054354
6,24052597
6,24052598
6,24054356
6,24068536
6,24068537
6,24054360
6,24054361
6,24054362
6,24069035
6,24069036
6,24069037
6,24054364
3,24053528
6,24058677
6,24058678
6,24053529
6,24058680
6,24058681
6,24053530
6,24069043
6,24069044
6,24052602
6,24058683
6,24058684
6,24058689
8,24054377
6,24053536
6,24069060
6,24058698
6,24069073
6,24058228
6,24052553
6,24058636
6,24052554
6,24052555
6,24052556
6,24058637
6,24058638
6,24053480
6,24052558
6,24054317
5,24058643
6,24054327
6,24064735
6,24064736
6,24054331
6,24054332
6,24053488
6,24052567
6,24053494
6,24058648
6,24058649
6,24058650
6,24052572
6,24053498
6,24064740
6,24064741
6,24052576
3,24052579
6,24053505
6,24069187
6,24069188
6,24069146
3,24069049
6,24069050
6,24058693
6,24058694
3,24054044
6,24069065
6,24069066
3,24054370
6,24054372
6,24069052
6,24058686
6,24058687
6,24054375
6,24054045
6,24054046
6,24054048
6,24054049
6,24069070
6,24058699
6,24058700
6,24058701
6,24058702
6,24069071
6,24054393
6,24058226
6,24054053
6,24058737
6,24054054
6,24054058
6,24054059
6,24069080
6,24069081
6,24056966
6,24056967
6,24069082
6,24069083
6,24058712
6,24058746
6,24058747
5,24058733
6,24069086
6,24069087
6,24058753
6,24058716
6,24054069
6,24058717
3,24058757
6,24058720
6,24059379
6,24065604
6,24058762
6,24059116
6,24059117
3,24058732
3,24059123
6,24059124
6,24058734
8,24056989
6,24059125
6,24059242
6,24059243
6,24059126
6,24059127
6,24054074
3,24054078
6,24054079
6,24069100
6,24059246
6,24058776
6,24056991
6,24056994
6,24059247
6,24059255
6,24059256
