arrestee_id,weapon_id,nibrs_arrestee_weapon_id
6319471,1,6326915
6319945,1,6325138
6322526,1,6322886
6322500,1,6322664
6322489,1,6322653
6322332,1,6322102
6322262,1,6321834
6322234,1,6321608
6322233,1,6321607
6322212,1,6321586
6321967,1,6320554
6322866,1,6320069
6322751,1,6319559
6322732,1,6319540
6323645,1,6319331
6322667,1,6319277
6321626,1,6319226
6321582,1,6319182
6322633,1,6319045
6320443,1,6322784
6320440,1,6322781
6323533,1,6322707
6323494,1,6322668
6320375,1,6322518
6320372,1,6322515
6323457,1,6322434
6322405,1,6322372
6321375,1,6322332
6321336,1,6322293
6320320,1,6322266
6320319,5,6322265
6320285,1,6322231
6323424,1,6322204
6321294,1,6322054
6321261,1,6322021
6321250,1,6322010
6323326,1,6321908
6321224,1,6321786
6323970,1,6321694
6321162,1,6321526
6323199,1,6321387
6322133,1,6321311
6322958,1,6320358
6322935,1,6320335
6320652,1,6319440
6323560,1,6319048
6320251,1,6321999
6324404,1,6334216
6324350,1,6334162
6324335,1,6333953
6324321,1,6333939
6324285,1,6333903
6323380,1,6322160
6320253,1,6322001
6324251,1,6321450
6324250,1,6321449
6320859,1,6320437
6321705,1,6319503
6321675,1,6319473
6322627,1,6319039
6320516,1,6318909
6320515,1,6318908
6320514,1,6318907
6320049,1,6324644
6320037,1,6324632
6320036,1,6324631
6320018,1,6324613
6319689,1,6323551
6322533,1,6322893
6322520,1,6322880
6322506,1,6322866
6322504,1,6322864
6321507,1,6322857
6321476,1,6322826
6321474,1,6322824
6320396,1,6322737
6322490,1,6322654
6322480,1,6322644
6322477,1,6322641
6322471,1,6322635
6322469,1,6322633
6322457,1,6322621
6322445,1,6322609
6322443,1,6322607
6321443,1,6322597
6321436,1,6322590
6321393,1,6322547
6321383,1,6322537
6320122,1,6325449
6320014,1,6324609
6320004,1,6324599
6320242,1,6321990
6320232,1,6321980
6320221,1,6321969
6320213,1,6321961
6319511,1,6326955
6319461,1,6326708
6319964,1,6325157
6320889,1,6320467
6321877,1,6320267
6320570,1,6319160
6320469,1,6318862
6320520,1,7136141
6323698,1,6319582
6324322,1,6333940
6322857,1,6320060
6324367,1,6334179
6324311,1,6333929
6319448,1,6326695
6319837,1,6324098
6320689,1,6319675
6321391,1,6322545
6323379,1,6322159
6322301,1,6321873
6322267,1,6321839
6322255,1,6321827
6320120,1,6325447
6320101,1,6325428
6319973,1,6325166
6319963,1,6325156
6319957,1,6325150
6320174,1,6324903
6320173,1,6324902
6319916,1,6324377
6319785,1,6323846
6319632,1,6323294
6320383,1,6322526
6320379,1,6322522
6320362,1,6322505
6320299,1,6322245
6320298,1,6322244
6320297,7,6322243
6320272,1,6322218
6320212,1,6321960
6321146,1,6321510
6324243,1,6321442
6321104,1,6321272
6321103,1,6321271
6323930,1,6320931
6323929,1,6320930
6320891,1,6320469
6324054,1,6320398
6320839,1,6320220
6320822,1,6320203
6320821,1,6320202
6320812,1,6320193
6321235,1,6321797
6322008,1,6320791
6322007,1,6320790
6322959,1,6320359
6321607,1,6319207
6321573,1,6318975
6323862,1,6320141
6323859,1,6320138
6323835,1,6320114
6323825,1,6320104
6320767,1,6319951
6323794,1,6319876
6323730,1,6319614
6323723,1,6319607
6320304,1,6322250
6320303,1,6322249
6320302,1,6322248
6321090,1,6321258
6321089,1,6321257
6323043,1,6320836
6320185,1,6324914
6320059,1,6324654
6320199,1,6321947
6324423,1,6334429
6320068,1,6325395
6319956,1,6325149
6319781,1,6323842
6319696,1,6323558
6319536,1,6322998
6320264,1,6322210
6323999,1,6321723
6323994,1,6321718
6323987,1,6321711
6323958,1,6321682
6323902,1,6320903
6320866,1,6320444
6323810,1,6319892
6323701,1,6319585
6323696,1,6319580
6320030,1,6324625
6321151,1,6321515
6324416,1,6334422
6322159,1,6321337
6322150,1,6321328
6322131,1,6321309
6322129,1,6321307
6322125,1,6321303
6322124,1,6321302
6322123,1,6321301
6322109,1,6321287
6324148,1,6321214
6324100,1,6321166
6323125,1,6321115
6323124,1,6321114
6323123,1,6321113
6323122,1,6321112
6323116,1,6321106
6322093,1,6321073
6322081,1,6321061
6322064,1,6321044
6322057,1,6321037
6322056,1,6321036
6322050,1,6321030
6322041,1,6321021
6321047,1,6321018
6323895,1,6320896
6323893,1,6320894
6323087,1,6320880
6323064,1,6320857
6323042,1,6320835
6323039,1,6320832
6323035,1,6320828
6322037,1,6320820
6322036,1,6320819
6322019,1,6320802
6322015,1,6320798
6321998,1,6320781
6321985,1,6320768
6321983,1,6320766
6321982,1,6320765
6320973,1,6320747
6320972,1,6320746
6324199,1,6320674
6322999,1,6320596
6322976,1,6320573
6321972,1,6320559
6321970,1,6320557
6321964,1,6320551
6321960,1,6320547
6321958,1,6320545
6321954,1,6320541
6321951,1,6320538
6321936,1,6320523
6321933,1,6320520
6321932,1,6320519
6321931,1,6320518
6321923,1,6320510
6321915,1,6320502
6321914,1,6320501
6321913,1,6320500
6324083,1,6320427
6322957,1,6320357
6322937,1,6320337
6322928,1,6320328
6322925,1,6320325
6322919,1,6320319
6322901,1,6320301
6321903,1,6320293
6321888,1,6320278
6321886,1,6320276
6321882,1,6320272
6321868,1,6320258
6321867,1,6320257
6321866,1,6320256
6321865,1,6320255
6321864,1,6320254
6321863,1,6320253
6321861,1,6320251
6321849,1,6320239
6321845,1,6320235
6323883,1,6320162
6323882,1,6320161
6323881,1,6320160
6323880,1,6320159
6322898,1,6320101
6322890,1,6320093
6322886,1,6320089
6321840,1,6320033
6321829,1,6320022
6321828,1,6320021
6321827,1,6320020
6321826,1,6320019
6321825,1,6320018
6321822,1,6320015
6321821,1,6320014
6321810,1,6320003
6321800,1,6319993
6321797,1,6319990
6321792,1,6319985
6321788,1,6319981
6321786,1,6319979
6321785,1,6319978
6321784,1,6319977
6322823,1,6319829
6322796,1,6319802
6322785,1,6319791
6322777,1,6319783
6322776,1,6319782
6321772,1,6319768
6321767,1,6319763
6321755,1,6319751
6321747,1,6319743
6321742,1,6319738
6321731,1,6319727
6321730,1,6319726
6320708,1,6319694
6320707,1,6319693
6323109,1,6321099
6322734,1,6319542
6322718,1,6319526
6321709,1,6319507
6321703,3,6319501
6321702,1,6319500
6321701,1,6319499
6321700,1,6319498
6321697,1,6319495
6321689,1,6319487
6321682,1,6319480
6321676,1,6319474
6321668,1,6319466
6321660,1,6319458
6321658,1,6319456
6321653,1,6319451
6323640,1,6319326
6322673,1,6319283
6322659,1,6319269
6322652,1,6319262
6322643,1,6319253
6322637,1,6319247
6321644,1,6319244
6321643,1,6319243
6321636,1,6319236
6321619,1,6319219
6321615,1,6319215
6321611,1,6319211
6321606,1,6319206
6321605,1,6319205
6321597,1,6319197
6321596,1,6319196
6321591,1,6319191
6321581,1,6319181
6321580,1,6319180
6323612,1,6319100
6322631,1,6319043
6322630,1,6319042
6322616,1,6319028
6322615,1,6319027
6322611,1,6319023
6322596,1,6319008
6321575,1,6318977
6321574,1,6318976
6321566,1,6318968
6321561,1,6318963
6321560,1,6318962
6321552,1,6318954
6321551,1,6318953
6321550,1,6318952
6321532,1,6318934
6321531,1,6318933
6321525,1,6318927
6321524,1,6318926
6321504,1,6322854
6321423,1,6322577
6323472,1,6322449
6322399,1,6322366
6322395,1,6322362
6322393,1,6322360
6321324,1,6322281
6320280,1,6322226
6320279,1,6322225
6320274,1,6322220
6320267,1,6322213
6323421,1,6322201
6322364,1,6322134
6322352,1,6322122
6322348,1,6322118
6322338,1,6322108
6322322,1,6322092
6322321,1,6322091
6321307,1,6322067
6321290,1,6322050
6321288,1,6322048
6321259,1,6322019
6320250,1,6321998
6320245,1,6321993
6323357,1,6321939
6323356,1,6321938
6323333,1,6321915
6323327,1,6321909
6322299,1,6321871
6322288,1,6321860
6322248,1,6321820
6321225,1,6321787
6321208,1,6321770
6321205,1,6321767
6321192,1,6321754
6321183,1,6321745
6323267,1,6321651
6323263,1,6321647
6322201,1,6321575
6322199,1,6321573
6322195,1,6321569
6323211,1,6321399
6322146,1,6321324
6322138,1,6321316
6322130,1,6321308
6322111,1,6321289
6323161,1,6321151
6323112,1,6321102
6322105,1,6321085
6322084,1,6321064
6322051,1,6321031
6323068,1,6320861
6322040,1,6320823
6322017,1,6320800
6322006,1,6320789
6321988,1,6320771
6321981,1,6320764
6321979,1,6320762
6321978,1,6320761
6321975,1,6320758
6320936,1,6320710
6323029,1,6320626
6323013,1,6320610
6321966,1,6320553
6321940,1,6320527
6321928,1,6320515
6320907,1,6320485
6322927,1,6320327
6321898,1,6320288
6321889,1,6320279
6321887,1,6320277
6321857,1,6320247
6321846,1,6320236
6321843,1,6320233
6322842,1,6320045
6321842,1,6320035
6321838,1,6320031
6321833,1,6320026
6321824,1,6320017
6321815,1,6320008
6322781,1,6319787
6321769,1,6319765
6321753,1,6319749
6321738,1,6319734
6321721,1,6319717
6322764,1,6319572
6322722,1,6319530
6322715,1,6319523
6321680,1,6319478
6322700,1,6319310
6322691,1,6319301
6322685,1,6319295
6322684,1,6319294
6322677,1,6319287
6322674,1,6319284
6322660,1,6319270
6322640,1,6319250
6322638,1,6319248
6321635,1,6319235
6321629,1,6319229
6321622,1,6319222
6321600,1,6319200
6320565,1,6319155
6322629,1,6319041
6322626,1,6319038
6322612,1,6319024
6322597,1,6319009
6321547,1,6318949
6321546,1,6318948
6321520,1,6318922
6321519,1,6318921
6321050,1,7136146
6319950,1,6325143
6319752,1,6323813
6319650,1,6323312
6319558,1,6323020
6322535,1,6322895
6322532,1,6322892
6322530,1,6322890
6322529,1,6322889
6322528,1,6322888
6322521,1,6322881
6322518,1,6322878
6322516,1,6322876
6321498,1,6322848
6321488,7,6322838
6321487,1,6322837
6321480,1,6322830
6321479,1,6322829
6321478,1,6322828
6322475,1,6322639
6322474,1,6322638
6322473,1,6322637
6322470,1,6322634
6322467,1,6322631
6322461,1,6322625
6322460,1,6322624
6322456,1,6322620
6322444,1,6322608
6322439,1,6322603
6321382,1,6322536
6322423,1,6322390
6322415,1,6322382
