victim_id,circumstances_id,justifiable_force_id
31336240,10,
31337181,1,
31337193,9,
31337203,9,
31337204,9,
31337205,9,
31338096,2,
31360201,10,
31361009,9,
31354814,2,
31354815,2,
31354822,1,
31361030,9,
31361040,9,
31361041,9,
31361042,9,
31361043,9,
31361044,9,
31361053,9,
31361063,1,
31361064,1,
31361827,9,
31354853,1,
31354882,10,
31361083,9,
31361092,9,
31361093,9,
31361853,1,
31361865,9,
31361866,9,
31361872,1,
31361882,6,
31355632,2,
31355633,2,
31355662,2,
31361918,9,
31361945,6,
31362731,9,
31362732,9,
31355684,10,
31362738,6,
31355734,10,
31356506,8,
31356550,1,
31362794,9,
31362833,1,
31351197,2,
31351226,6,
31355774,2,
31356567,2,
31356576,1,
31356608,1,
31356631,2,
31356639,1,
31357454,1,
31357508,1,
31358286,9,
31358293,9,
31357551,9,
31357552,9,
31358337,9,
31353831,1,
31353846,1,
31353872,1,
31359216,9,
31359273,9,
31359296,9,
31360060,9,
31359318,9,
31354761,3,
31354762,3,
31354768,1,
31360162,9,
31360163,9,
31360164,9,
31360955,9,
31360960,9,
31346973,1,
31339864,1,
31347802,1,
31340683,1,
31340728,10,
31341479,9,
31341480,9,
31341481,9,
31341482,9,
31341483,9,
31341484,9,
31341485,9,
31341486,9,
31341487,9,
31341488,9,
31341489,9,
31341490,9,
31341491,9,
31341492,9,
31341493,9,
31341494,9,
31341495,9,
31341496,9,
31341497,9,
31341498,9,
31341499,9,
31341500,9,
31341501,9,
31341502,9,
31341503,9,
31341504,9,
31341505,9,
31341506,9,
31341572,10,
31348710,1,
31348712,1,
31348713,1,
31341610,1,
31341621,9,
31342399,10,
31342413,1,
31342419,1,
31349583,9,
31349584,9,
31342509,1,
31342515,10,
31343343,9,
31343358,9,
31344280,1,
31344288,9,
31345069,1,
31345070,1,
31345084,1,
31345117,1,
31345150,3,
31338850,9,
31345166,9,
31345167,9,
31345168,9,
31345212,1,
31345959,2,
31345990,9,
31345217,1,
31338968,1,
