weapon_id,offense_id,nibrs_weapon_id
12,31742900,6454985
3,31743126,6455913
9,31737104,6458220
12,31745360,6455933
12,31739719,6455650
12,31743130,6455914
12,31745348,6455726
12,31745352,6455727
12,31733334,6456537
12,31733337,6456538
3,31745370,6455934
3,31745371,6455935
12,31733348,6456539
12,31733349,6456540
12,31734110,6459132
2,31745375,6455936
12,31743141,6455915
12,31739735,6455651
12,31739736,6455652
18,31734118,6459133
12,31737118,6458221
12,31734119,6459134
22,31742923,6455208
12,31737124,6458222
12,31738310,6458679
12,31742892,6454984
12,31745346,6455725
3,31734125,6459353
12,31734128,6459354
12,31748512,6455034
3,31748515,6455035
12,31743169,6455917
12,31743699,6454086
12,31743170,6455918
3,31748518,6455036
20,31737146,6458225
12,31745405,6455938
9,31737147,6458226
12,31748519,6455037
12,31743176,6455919
12,31745408,6455939
12,31748522,6455038
12,31748523,6455039
11,31734137,6459355
12,31748530,6455040
12,31738177,6458229
12,31734121,6459351
12,31739744,6455653
12,31739746,6455654
12,31734122,6459352
12,31737134,6458223
12,31745390,6455937
12,31737136,6458224
12,31743155,6455916
3,31742935,6455209
22,31743511,6453402
12,31743715,6454087
12,31743720,6454088
12,31737172,6458440
12,31743721,6454089
12,31743959,6454986
18,31734156,6459357
12,31748553,6455047
12,31743967,6454987
12,31737175,6458441
12,31748557,6455048
12,31743971,6454988
12,31734164,6459358
12,31743727,6454090
12,31743729,6454091
12,31745439,6456149
18,31745440,6456150
3,31738178,6458230
9,31748535,6455041
12,31748536,6455042
10,31748537,6455043
9,31737167,6458227
12,31737168,6458228
12,31748538,6455044
12,31734143,6459356
12,31745427,6455940
12,31748540,6455045
9,31745428,6456148
12,31748543,6455046
3,31743952,6454791
3,31743953,6454792
12,31743956,6454793
3,31734185,6459361
12,31744002,6454991
12,31743757,6454313
12,31734190,6459362
12,31748578,6455273
12,31744008,6454992
12,31743548,6453639
18,31734193,6459564
12,31748563,6455049
12,31743984,6454989
10,31734170,6459359
9,31734170,7099137
12,31743525,6453403
18,31734173,6459360
20,31734194,6459565
12,31743986,6454990
3,31737201,6458442
22,31743550,6453640
12,31752009,6455569
12,31743552,6453641
12,31746942,6453447
3,31748587,6455274
12,31746927,6453445
12,31746930,6453446
12,31748571,6455272
11,31745453,6456151
12,31743540,6453404
3,31743751,6454092
12,31745454,6456152
12,31746246,6454814
20,31752038,6455573
11,31752039,6455574
12,31749376,6454174
18,31744339,6456140
12,31745621,6452697
2,31751778,6454654
20,31746963,6453450
12,31745622,6452698
12,31748601,6455276
12,31748604,6455277
18,31748604,7099081
12,31748605,6455278
12,31744322,6456137
9,31744326,6456138
12,31751772,6454652
9,31744333,6456139
22,31746239,6454812
5,31746239,7099073
12,31746240,6454813
20,31748607,6455279
3,31745616,6452696
20,31752034,6455572
11,31748611,6455280
12,31751776,6454653
12,31744342,6456141
20,31749385,6454175
20,31749386,6454176
12,31752796,6454430
12,31745625,6452699
12,31744343,6456142
20,31749389,6454177
12,31744352,6456144
10,31751760,6454650
12,31751760,7099067
12,31743554,6453642
9,31752015,6455570
12,31746945,6453448
12,31748594,6455275
12,31746227,6454810
12,31752016,6455571
11,31751767,6454651
12,31746949,6453449
10,31746233,6454811
12,31746233,7099072
3,31749400,6454179
12,31746280,6455003
12,31749405,6454180
20,31744373,6456147
12,31749410,6454382
12,31747761,6452518
12,31749398,6454178
22,31757412,6447901
12,31746281,6455004
12,31752820,6454434
20,31745642,6452906
12,31747752,6452517
12,31744369,6456146
20,31746288,6455005
12,31752812,6454432
12,31752554,6453520
12,31752813,6454433
20,31746279,6455002
3,31744358,6456145
20,31749419,6454383
18,31752806,6454431
12,31752548,6453519
3,31746266,6454815
9,31744349,6456143
12,31745652,6452907
12,31752841,6454655
20,31747769,6452519
18,31752844,6454656
12,31745657,6452908
20,31749428,6454384
11,31752845,6454657
11,31747776,6452520
12,31745661,6452909
12,31752849,6454658
12,31752585,6453736
12,31754295,6455617
18,31754298,6455618
12,31752858,6454659
10,31754302,6455818
18,31752859,6454660
12,31749436,6454385
12,31749438,6454386
3,31747787,6452521
12,31754306,6455819
3,31752596,6453737
12,31745673,6452910
12,31749448,6454387
12,31745682,6452911
12,31747793,6452522
12,31744439,6452689
12,31752893,6454662
20,31745692,6452913
12,31756510,6453057
18,31752896,6454663
12,31755094,6454681
12,31755096,6454682
11,31745697,6452914
20,31745698,6452915
12,31752635,6453975
12,31756514,6453058
12,31745205,6455235
12,31745701,6452916
12,31755100,6454683
12,31756517,6453059
12,31756518,6453060
12,31745707,6452917
12,31744419,6452686
11,31752873,6454661
12,31747807,6452721
12,31756493,6453054
12,31755084,6454679
11,31747809,6452722
12,31744433,6452687
12,31744434,6452688
11,31745683,6452912
20,31747815,6452723
12,31756499,6453055
12,31756500,6453056
12,31755093,6454680
12,31753681,6453740
12,31750562,6454402
22,31753682,6453741
12,31752649,6453978
3,31752651,6453979
12,31755118,6454684
12,31755122,6454685
12,31750555,6454400
12,31752917,6454877
12,31746478,6455728
12,31752665,6453980
9,31756538,6448805
12,31756540,6448806
12,31750557,6454401
12,31747840,6452725
12,31752902,6454664
12,31750541,6454396
12,31756524,6453061
6,31752640,6453976
12,31752643,6453977
19,31747825,6452724
12,31752905,6454665
9,31750546,6454397
3,31750548,6454398
12,31750551,6454399
12,31747843,6452726
12,31746486,6455729
12,31753678,6453739
18,31750567,6454403
9,31753426,6452765
18,31746490,6455730
12,31756552,6448807
20,31747850,6452727
12,31750584,6454405
12,31755163,6454896
12,31755164,6454897
9,31750588,6454406
12,31747859,6452728
3,31753701,6453743
12,31750592,6454407
12,31746503,6455732
12,31750594,6454408
12,31750607,6454641
12,31755180,6454899
12,31750596,6454409
12,31761731,6447968
4,31755149,6454892
25,31761712,6447723
12,31755168,6454898
20,31753447,6452766
12,31753451,6452767
12,31757326,6447664
12,31757327,6447665
19,31746512,6455733
20,31746516,6455734
3,31746517,6455735
12,31753687,6453742
20,31755156,6454893
12,31755158,6454894
12,31756557,6448808
3,31755159,6454895
12,31746496,6455731
12,31756558,6448809
3,31756565,6448810
12,31750581,6454404
20,31756616,6445196
20,31756621,6445197
9,31757331,6447666
20,31761742,6447970
12,31755961,6454013
12,31750628,6454643
18,31761744,6447971
12,31764172,6445071
12,31755967,6454014
12,31761750,6447972
12,31756648,6445198
12,31750641,6454644
12,31757178,6447162
9,31746525,6455736
12,31757336,6447667
12,31750619,6454642
12,31755187,6454900
5,31755974,6454015
9,31755974,7099065
12,31757368,6447897
12,31757192,6447163
12,31764189,6445072
20,31757370,6447898
12,31764196,6445073
12,31757962,6445930
12,31757343,6447668
12,31757345,6447669
9,31761738,6447969
12,31757347,6447670
12,31757963,6445931
9,31755983,6454255
12,31755984,6454256
12,31764199,6445074
19,31751415,6453503
12,31757968,6445932
12,31757969,6445933
12,31756662,6445199
20,31757387,6447899
20,31764972,6447760
12,31764973,6447761
12,31751433,6453506
12,31757995,6445935
20,31764991,6447763
4,31756693,6445412
12,31751441,6453729
12,31757393,6447900
3,31756669,6445406
12,31756669,7098963
9,31756670,6445407
3,31756667,6445200
12,31756667,7098961
22,31756668,6445201
12,31756668,7098962
20,31756671,6445408
12,31755992,6454257
12,31755994,6454258
12,31756676,6445409
12,31764983,6447762
12,31757982,6445934
12,31762570,6447233
20,31756681,6445410
12,31751430,6453504
12,31756683,6445411
18,31751432,6453505
11,31764034,6448449
12,31764035,6448450
18,31764036,6448451
11,31757418,6447902
12,31765001,6447764
12,31751457,6453730
12,31758011,6446223
12,31765004,6447765
12,31764039,6448452
20,31765005,6447766
20,31765006,6447767
12,31757455,6448157
3,31758017,6446224
19,31751459,6453731
12,31762596,6447234
10,31757456,6448158
12,31757433,6447903
12,31764525,6446303
3,31758022,6446225
12,31757463,6448159
20,31765017,6448000
12,31762605,6447235
12,31762606,6447236
12,31757467,6448160
12,31762607,6447237
19,31762633,6447243
12,31762608,6447238
12,31765023,6448001
3,31751471,6453732
12,31764530,6446304
12,31762609,6447239
12,31765027,6448002
12,31751476,6453733
12,31757470,6448161
12,31751477,6453734
12,31764539,6446305
12,31764065,6448454
12,31764540,6446306
12,31757482,6448162
11,31758033,6446227
12,31764066,6448455
12,31762628,6447241
18,31765039,6448003
12,31765039,7098982
12,31764068,6448456
12,31762629,6447242
12,31757485,6448163
4,31757486,6448164
12,31764063,6448453
12,31762618,6447240
12,31758026,6446226
9,31765042,6448004
9,31765043,6448005
20,31765044,6448006
20,31757489,6448165
9,31764842,6447260
12,31757492,6448166
20,31764557,6446307
20,31761970,6448657
12,31764843,6447261
12,31759482,6447432
12,31765045,6448007
18,31758039,6446228
12,31757498,6448167
12,31764850,6447262
10,31762642,6447474
10,31764851,6447263
12,31757509,6448372
12,31764852,6447264
10,31764853,6447265
12,31758047,6446229
12,31758067,6446431
12,31760263,6446459
18,31765342,6445093
12,31762661,6447476
18,31758070,6446432
10,31762662,6447477
12,31765343,6445094
12,31765065,6448010
9,31765344,6445095
20,31764855,6447266
19,31758051,6446230
19,31762649,6447475
12,31765054,6448008
12,31764858,6447267
12,31765056,6448009
11,31758052,6446231
12,31760256,6446458
12,31757526,6448373
4,31757532,6448374
16,31757532,7098984
12,31760272,6446461
12,31757533,6448375
