victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
47404684,43878947,1,4,,,,5,48,F,1,2,N,,,,
47404685,43878948,1,4,,,,5,53,F,1,2,R,,,,
47404695,43878957,1,4,,,,5,26,M,1,2,R,,,,
47404702,43878962,1,4,,,,5,26,M,2,2,R,,,,
47404703,43878962,2,1,,,,,,,,,,,,,
47403616,43878023,1,4,,,,5,65,F,1,2,R,,,,
47403617,43878024,1,4,,,,5,29,F,1,2,R,,,,
47403618,43878024,2,4,,,,5,29,M,1,2,R,,,,
47404731,43878987,1,4,,,,5,16,F,1,2,R,,,,
47404737,43878993,1,4,,,,5,7,M,1,2,R,,,,
47404738,43878994,1,4,,,,5,4,M,1,2,R,,,,
47404725,43878982,1,8,,,,,,,,,,,,,
47404740,43878996,1,4,,,,5,29,M,1,2,R,,,,
47403619,43878025,1,4,,,,5,29,F,1,2,R,,,,
47403620,43878026,1,1,,,,,,,,,,,,,
47403701,43878090,1,1,,,,,,,,,,,,,
47404691,43878953,1,1,,,,,,,,,,,,,
47404713,43878971,1,8,,,,,,,,,,,,,
47404729,43878985,1,4,,,,5,65,M,1,2,R,,,,
47403621,43878027,1,4,,,,5,56,F,2,2,R,,,,
47403622,43878028,1,3,,,,,,,,,,,,,
47403623,43878029,1,1,,,,,,,,,,,,,
47404710,43878968,1,4,,,,5,38,M,1,2,R,,,,
47404714,43878972,1,4,,,,5,42,F,1,2,R,,,,
47404730,43878986,1,1,,,,,,,,,,,,,
47403624,43878030,1,4,,,,5,69,F,1,2,N,,,,
47403642,43878045,2,1,,,,,,,,,,,,,
47403641,43878045,1,4,,,,5,29,F,1,2,R,,,,
47404699,43878959,1,4,,,,5,55,M,1,2,R,,,,
47404732,43878988,1,4,,,,5,28,M,1,2,R,,,,
47404733,43878989,1,8,,,,,,,,,,,,,
47403625,43878031,1,9,,,,,,,,,,,,,
47403626,43878032,1,4,,,,5,21,F,1,2,R,,,,
47403627,43878033,1,5,3,7,,5,28,M,1,2,R,,,,
47404721,43878978,1,4,,,,5,22,M,1,2,R,,,,
47403628,43878034,1,1,,,,,,,,,,,,,
47403629,43878035,1,4,,,,5,48,F,1,2,R,,,,
47403630,43878035,2,4,,,,5,37,M,1,2,R,,,,
47403631,43878036,1,1,,,,,,,,,,,,,
47403632,43878037,1,4,,,,5,50,M,1,2,R,,,,
47403633,43878038,1,1,,,,,,,,,,,,,
47403634,43878039,1,4,,,,5,80,M,2,2,R,,,,
47403635,43878040,1,1,,,,,,,,,,,,,
47403636,43878041,1,1,,,,,,,,,,,,,
47403637,43878042,1,4,,,,5,69,F,1,2,R,,,,
47403638,43878042,2,4,,,,5,71,M,1,2,R,,,,
47403639,43878043,1,1,,,,,,,,,,,,,
47404726,43878983,1,4,,,,5,48,F,1,2,R,,,,
47404727,43878983,2,1,,,,,,,,,,,,,
47404736,43878992,1,4,,,,5,22,M,1,2,R,,,,
47403640,43878044,1,4,,,,5,39,F,1,2,R,,,,
47403643,43878046,1,1,,,,,,,,,,,,,
47403644,43878047,1,8,,,,,,,,,,,,,
47403645,43878048,1,1,,,,,,,,,,,,,
47403646,43878049,1,1,,,,,,,,,,,,,
47403647,43878050,1,4,,,,5,51,M,1,2,R,,,,
47404717,43878975,1,4,,,,5,35,F,1,2,R,,,,
47404718,43878975,2,4,,,,5,17,M,1,2,R,,,,
47403648,43878051,1,4,,,,5,22,M,1,2,R,,,,
47403649,43878051,2,4,,,,5,22,M,1,2,R,,,,
47403650,43878052,1,4,,,,5,25,M,1,2,R,,,,
47403651,43878053,1,7,,,,,,,,,,,,,
47403652,43878054,1,1,,,,,,,,,,,,,
47403653,43878055,1,4,,,,5,42,M,1,2,R,,,,
47403654,43878056,1,1,,,,,,,,,,,,,
47403655,43878057,1,1,,,,,,,,,,,,,
47403656,43878058,1,1,,,,,,,,,,,,,
47403657,43878059,1,1,,,,,,,,,,,,,
47403658,43878060,1,1,,,,,,,,,,,,,
47403659,43878060,2,1,,,,,,,,,,,,,
47403660,43878060,3,1,,,,,,,,,,,,,
47403661,43878060,4,1,,,,,,,,,,,,,
47403662,43878060,5,1,,,,,,,,,,,,,
47403663,43878060,6,1,,,,,,,,,,,,,
47403664,43878061,1,4,,,,5,27,M,2,2,R,,,,
47403680,43878074,1,1,,,,,,,,,,,,,
47404705,43878964,1,4,,,,5,50,F,1,2,R,,,,
47404706,43878965,1,1,,,,,,,,,,,,,
47404707,43878965,2,1,,,,,,,,,,,,,
47404709,43878967,1,4,,,,5,20,F,2,2,R,,,,
47404711,43878969,1,4,,,,5,36,M,1,2,R,,,,
47404719,43878976,1,1,,,,,,,,,,,,,
47404720,43878977,1,1,,,,,,,,,,,,,
47404728,43878984,1,4,,,,5,69,M,1,2,R,,,,
47404735,43878991,1,1,,,,,,,,,,,,,
47403665,43878062,1,4,,,,5,31,M,1,1,R,,,,
47403667,43878063,2,1,,,,,,,,,,,,,
47403666,43878063,1,8,,,,,,,,,,,,,
47403668,43878064,1,4,,,,5,35,M,1,2,R,,,,
47403669,43878064,2,4,,,,5,24,F,1,2,R,,,,
47403671,43878066,1,4,,,,5,37,M,1,2,R,,,,
47404645,43878105,1,4,,,,5,46,F,2,3,R,,,,
47404666,43878930,1,4,,,,5,40,M,0,3,N,,,,
47404667,43878930,2,4,,,,5,67,F,0,3,N,,,,
47404678,43878941,1,4,,,,5,4,F,1,2,R,,,,
47404693,43878955,1,1,,,,,,,,,,,,,
47404722,43878979,1,1,,,,,,,,,,,,,
47404724,43878981,1,4,,,,5,19,F,1,2,R,,,,
47404734,43878990,1,1,,,,,,,,,,,,,
47403670,43878065,1,4,,,,5,26,M,1,2,R,,,,
47403672,43878067,1,4,,,,4,,M,0,3,N,,,,
47403673,43878068,1,4,,,,5,45,M,1,2,R,,,,
47403675,43878069,2,4,,,,5,55,F,1,2,R,,,,
47403674,43878069,1,1,,,,,,,,,,,,,
47403676,43878070,1,1,,,,,,,,,,,,,
47403677,43878071,1,4,,,,5,35,M,1,2,R,,,,
47403678,43878072,1,4,,,,5,43,F,1,2,R,,,,
47403679,43878073,1,4,,,,5,23,F,1,2,R,,,,
47403681,43878075,1,4,,,,5,21,F,1,2,R,,,,
47403682,43878076,1,4,,,,5,35,F,1,2,R,,,,
47403683,43878077,1,4,,,,5,54,M,1,2,R,,,,
47403684,43878077,2,4,,,,5,21,M,1,2,R,,,,
47403687,43878080,1,4,,,,5,20,F,1,2,R,,,,
47403688,43878080,2,4,,,,5,20,F,1,2,R,,,,
47403689,43878080,3,4,,,,5,20,F,1,2,R,,,,
47403690,43878080,4,4,,,,5,22,M,2,2,R,,,,
47404676,43878939,1,4,,,,5,21,M,1,2,R,,,,
47404658,43878923,1,1,,,,,,,,,,,,,
47404659,43878924,1,4,,,,5,20,M,1,2,R,,,,
47404660,43878925,1,8,,,,,,,,,,,,,
47404661,43878925,2,1,,,,,,,,,,,,,
47404662,43878926,1,4,,,,5,46,F,1,2,N,,,,
47404663,43878927,1,8,,,,,,,,,,,,,
47404664,43878928,1,8,,,,,,,,,,,,,
47404665,43878929,1,4,,,,5,50,F,1,2,R,,,,
47404668,43878931,1,3,,,,,,,,,,,,,
47404669,43878932,1,1,,,,,,,,,,,,,
47404670,43878933,1,4,,,,5,77,F,1,2,R,,,,
47404671,43878934,1,4,,,,5,34,F,1,2,R,,,,
47404672,43878935,1,4,,,,5,20,F,1,2,R,,,,
47404673,43878936,1,4,,,,5,39,F,1,2,R,,,,
47404674,43878937,1,4,,,,5,63,M,1,2,R,,,,
47404675,43878938,1,4,,,,5,38,F,1,2,R,,,,
47404677,43878940,1,4,,,,5,10,F,1,2,R,,,,
47404679,43878942,1,4,,,,5,20,M,1,2,R,,,,
47404680,43878943,1,4,,,,5,22,F,1,2,R,,,,
47404681,43878944,1,4,,,,5,25,M,1,2,R,,,,
47404682,43878945,1,4,,,,5,24,F,1,2,R,,,,
47404683,43878946,1,4,,,,5,42,M,1,2,R,,,,
47404686,43878949,1,7,,,,,,,,,,,,,
47404687,43878950,1,4,,,,5,20,F,1,2,R,,,,
47404689,43878951,2,4,,,,5,54,M,2,2,R,,,,
47404688,43878951,1,4,,,,5,20,M,1,2,R,,,,
47404690,43878952,1,2,,,,,,,,,,,,,
47404692,43878954,1,4,,,,5,57,M,1,2,R,,,,
47404694,43878956,1,4,,,,5,21,M,1,2,R,,,,
47404696,43878958,1,4,,,,5,20,F,1,2,R,,,,
47404697,43878958,2,4,,,,5,29,M,1,2,R,,,,
47404698,43878958,3,4,,,,5,21,M,1,2,R,,,,
47404700,43878960,1,4,,,,5,22,F,1,2,R,,,,
47404701,43878961,1,8,,,,,,,,,,,,,
47404704,43878963,1,4,,,,5,64,F,2,2,R,,,,
47404708,43878966,1,1,,,,,,,,,,,,,
47404712,43878970,1,8,,,,,,,,,,,,,
47404715,43878973,1,4,,,,5,86,F,1,2,R,,,,
47404716,43878974,1,4,,,,5,64,M,1,2,R,,,,
47404723,43878980,1,4,,,,5,36,F,1,2,R,,,,
47404739,43878995,1,4,,,,5,30,M,1,2,R,,,,
47403685,43878078,1,4,,,,5,51,F,1,2,R,,,,
47403686,43878079,1,4,,,,5,44,M,1,2,R,,,,
47403691,43878081,1,8,,,,,,,,,,,,,
47403692,43878082,1,4,,,,5,23,F,1,2,R,,,,
47403693,43878083,1,4,,,,5,27,M,2,2,R,,,,
47403694,43878084,1,8,,,,,,,,,,,,,
47403695,43878085,1,8,,,,,,,,,,,,,
47403696,43878086,1,8,,,,,,,,,,,,,
47403697,43878087,1,4,,,,5,32,M,1,2,R,,,,
47403698,43878088,1,8,,,,,,,,,,,,,
47403699,43878089,1,1,,,,,,,,,,,,,
47403700,43878089,2,1,,,,,,,,,,,,,
47403702,43878091,1,4,,,,5,21,F,1,2,R,,,,
47403703,43878092,1,4,,,,5,45,F,1,2,R,,,,
47403704,43878092,2,4,,,,5,26,M,1,2,R,,,,
47403705,43878093,1,4,,,,5,60,M,1,2,R,,,,
47403706,43878094,1,4,,,,5,32,M,1,2,R,,,,
47403707,43878095,1,4,,,,5,22,F,5,2,R,,,,
47403708,43878096,1,4,,,,5,28,F,2,2,R,,,,
47403709,43878097,1,8,,,,,,,,,,,,,
47403711,43878098,2,4,,,,5,53,M,1,2,R,,,,
47403710,43878098,1,1,,,,,,,,,,,,,
47403712,43878099,1,8,,,,,,,,,,,,,
47403713,43878100,1,8,,,,,,,,,,,,,
47404637,43878101,2,4,,,,5,39,M,1,2,R,,,,
47404638,43878101,3,4,,,,5,55,M,1,2,R,,,,
47404639,43878101,4,4,,,,5,33,F,1,2,R,,,,
47404640,43878101,5,4,,,,5,44,M,1,2,R,,,,
47404641,43878101,6,4,,,,5,74,F,0,2,R,,,,
47403714,43878101,1,4,,,,5,55,F,1,2,R,,,,
47404642,43878102,1,1,,,,,,,,,,,,,
47404643,43878103,1,4,,,,5,52,M,2,2,R,,,,
47404644,43878104,1,4,,,,5,31,F,1,2,R,,,,
47404646,43878106,1,4,,,,5,55,F,1,2,R,,,,
47404647,43878107,1,4,,,,5,44,F,2,2,R,,,,
47404648,43878108,1,4,,,,5,37,F,1,2,R,,,,
47404649,43878109,1,8,,,,,,,,,,,,,
47404650,43878110,1,8,,,,,,,,,,,,,
47404651,43878111,1,4,,,,5,38,M,2,2,R,,,,
47404652,43878112,1,4,,,,5,37,F,1,2,R,,,,
47404653,43878113,1,4,,,,5,31,F,2,2,R,,,,
47404654,43878113,2,1,,,,,,,,,,,,,
47404655,43878114,1,4,,,,5,25,M,1,1,R,,,,
47404656,43878115,1,4,,,,5,37,F,1,2,R,,,,
47404657,43878116,1,4,,,,5,30,F,1,2,R,,,,
47405768,43879902,1,1,,,,,,,,,,,,,
47404750,43879006,1,4,,,,5,18,M,1,2,R,,,,
47404741,43878997,1,9,,,,,,,,,,,,,
47404742,43878998,1,1,,,,,,,,,,,,,
47404743,43878999,1,4,,,,5,48,F,1,2,R,,,,
47404808,43879057,1,4,,,,5,33,M,1,2,R,,,,
47404809,43879057,2,4,,,,5,16,M,1,2,R,,,,
47405742,43879075,1,4,,,,5,15,F,1,2,R,,,,
47405752,43879084,1,4,,,,5,7,F,1,2,R,,,,
47404744,43879000,1,4,,,,5,18,F,1,2,R,,,,
47404746,43879002,1,3,,,,,,,,,,,,,
47404747,43879003,1,4,,,,5,46,M,1,2,R,,,,
47404745,43879001,1,4,,,,5,77,M,1,2,R,,,,
47404748,43879004,1,1,,,,,,,,,,,,,
47404749,43879005,1,4,,,,5,66,M,1,2,R,,,,
47405766,43879900,1,1,,,,,,,,,,,,,
47404751,43879007,1,4,,,,5,51,F,1,2,R,,,,
47404752,43879008,1,4,,,,5,19,F,1,2,R,,,,
47404753,43879009,1,4,,,,5,49,M,1,2,R,,,,
47404754,43879010,1,6,,,,,,,,,,,,,
47404755,43879011,1,4,,,,5,32,F,1,2,R,,,,
47404756,43879012,1,4,,,,5,22,F,1,2,R,,,,
47404757,43879013,1,4,,,,5,18,F,1,2,R,,,,
47404758,43879013,2,4,,,,5,20,M,1,2,R,,,,
47404760,43879015,1,4,,,,5,63,M,1,2,R,,,,
47404769,43879022,1,4,,,,5,31,M,1,2,R,,,,
47405755,43879087,1,4,,,,5,31,M,1,2,R,,,,
47405756,43879892,1,4,,,,5,28,M,1,2,R,,,,
47404759,43879014,1,4,,,,5,62,M,1,2,R,,,,
47404761,43879016,1,1,,,,,,,,,,,,,
47404762,43879017,1,4,,,,5,22,M,1,2,R,,,,
47404763,43879017,2,4,,,,5,19,F,1,2,R,,,,
47404764,43879018,1,4,,,,5,66,F,1,2,R,,,,
47404765,43879018,2,4,,,,5,21,M,1,2,R,,,,
47404766,43879019,1,4,,,,5,19,M,1,2,R,,,,
47404767,43879020,1,4,,,,5,27,F,1,2,R,,,,
47404768,43879021,1,4,,,,5,49,M,1,2,R,,,,
47404770,43879023,1,4,,,,5,36,F,1,2,N,,,,
47404771,43879024,1,4,,,,5,45,F,1,2,R,,,,
47404772,43879024,2,4,,,,5,17,F,1,2,R,,,,
47404774,43879025,2,8,,,,,,,,,,,,,
47404773,43879025,1,4,,,,5,30,M,1,2,R,,,,
47404785,43879035,1,4,,,,5,33,M,1,2,N,,,,
47404775,43879026,1,4,,,,5,19,F,1,2,N,,,,
47404776,43879027,1,7,,,,,,,,,,,,,
47404777,43879028,1,4,,,,5,39,M,1,2,R,,,,
47404778,43879029,1,4,,,,5,31,F,1,2,R,,,,
47404779,43879030,1,4,,,,5,35,F,1,3,R,,,,
47404780,43879031,1,4,,,,5,25,M,1,2,R,,,,
47404781,43879032,1,4,,,,5,19,F,1,2,R,,,,
47404782,43879033,1,4,,,,5,40,F,1,2,R,,,,
47404783,43879033,2,4,,,,5,11,F,1,2,R,,,,
47404784,43879034,1,4,,,,5,78,M,1,2,R,,,,
47404787,43879037,1,4,,,,5,46,F,1,2,N,,,,
47405765,43879899,1,1,,,,,,,,,,,,,
47404786,43879036,1,4,,,,5,47,M,1,2,R,,,,
47404788,43879038,1,1,,,,,,,,,,,,,
47404789,43879039,1,4,,,,5,25,F,1,2,N,,,,
47404790,43879040,1,4,,,,5,29,F,1,2,R,,,,
47404791,43879041,1,4,,,,5,21,F,1,2,R,,,,
47404792,43879042,1,4,,,,5,32,M,1,2,R,,,,
47404793,43879043,1,4,,,,5,40,M,1,2,R,,,,
47404795,43879045,1,4,,,,5,52,F,1,2,R,,,,
47404812,43879060,1,4,,,,5,40,F,1,2,R,,,,
47405758,43879894,1,4,,,,5,4,F,1,2,R,,,,
47405764,43879898,1,4,,,,5,44,M,1,2,N,,,,
47404794,43879044,1,4,,,,5,33,M,1,2,R,,,,
47404796,43879046,1,4,,,,5,52,M,1,2,N,,,,
47404797,43879047,1,4,,,,5,52,F,1,2,N,,,,
47404798,43879048,1,4,,,,5,47,M,1,2,R,,,,
47404799,43879048,2,4,,,,5,7,M,1,2,R,,,,
47404800,43879049,1,4,,,,5,27,F,1,2,N,,,,
47404813,43879061,1,4,,,,5,20,F,1,2,R,,,,
47405751,43879083,1,4,,,,5,69,F,1,2,R,,,,
47405754,43879086,1,4,,,,5,67,M,1,2,R,,,,
47405757,43879893,1,1,,,,,,,,,,,,,
47405759,43879895,1,4,,,,5,61,F,1,2,R,,,,
47404801,43879050,1,4,,,,5,18,F,1,2,R,,,,
47404802,43879051,1,4,,,,5,34,M,1,2,R,,,,
47404803,43879052,1,4,,,,5,31,F,1,2,R,,,,
47404804,43879053,1,4,,,,5,20,F,1,2,R,,,,
47404805,43879054,1,4,,,,5,23,F,1,2,R,,,,
47404806,43879055,1,4,,,,5,35,F,1,2,R,,,,
47404807,43879056,1,4,,,,5,94,F,1,2,R,,,,
47404810,43879058,1,4,,,,5,4,M,1,2,R,,,,
47404811,43879059,1,4,,,,5,23,M,1,2,R,,,,
47404814,43879062,1,4,,,,5,30,F,1,2,R,,,,
47404815,43879062,2,4,,,,5,33,M,1,2,R,,,,
47405750,43879082,1,4,,,,5,66,M,1,2,R,,,,
47405760,43879896,1,4,,,,5,22,F,1,2,R,,,,
47405761,43879896,2,4,,,,5,20,F,1,2,R,,,,
47405762,43879896,3,4,,,,5,28,M,1,2,R,,,,
47405763,43879897,1,8,,,,,,,,,,,,,
47405767,43879901,1,4,,,,5,50,M,1,2,R,,,,
47404816,43879063,1,4,,,,5,50,F,1,2,R,,,,
47404817,43879064,1,4,,,,5,64,F,1,2,R,,,,
47404818,43879065,1,4,,,,5,57,M,1,2,R,,,,
47405732,43879066,1,4,,,,5,53,M,1,2,R,,,,
47405733,43879067,1,4,,,,5,51,M,1,2,R,,,,
47405734,43879068,1,4,,,,5,47,F,1,2,R,,,,
47405735,43879068,2,4,,,,5,19,M,1,2,R,,,,
47405736,43879069,1,4,,,,5,47,M,1,2,R,,,,
47405737,43879070,1,4,,,,5,58,M,1,2,R,,,,
47405738,43879071,1,1,,,,,,,,,,,,,
47405739,43879072,1,4,,,,5,47,M,1,2,R,,,,
47405740,43879073,1,4,,,,5,37,M,1,2,R,,,,
47405741,43879074,1,4,,,,5,55,M,1,2,R,,,,
47405743,43879076,1,4,,,,5,53,M,1,2,R,,,,
47405744,43879077,1,4,,,,5,17,F,1,2,R,,,,
47405746,43879078,2,4,,,,5,16,M,1,3,R,,,,
47405745,43879078,1,4,,,,5,31,F,1,2,R,,,,
47405747,43879079,1,4,,,,5,48,M,1,2,R,,,,
47405748,43879080,1,4,,,,5,69,F,1,2,R,,,,
47405749,43879081,1,4,,,,5,60,M,1,2,R,,,,
47405753,43879085,1,4,,,,5,37,F,1,2,R,,,,
47405769,43879903,1,4,,,,5,33,M,1,2,R,,,,
47405770,43879904,1,4,,,,5,23,F,1,2,R,,,,
47405820,43879947,1,1,,,,,,,,,,,,,
47405823,43879950,1,4,,,,5,64,F,1,1,R,,,,
47405771,43879905,1,4,,,,5,35,M,1,2,R,,,,
47405772,43879905,2,4,,,,5,29,M,1,2,R,,,,
47405773,43879906,1,4,,,,5,26,F,1,2,R,,,,
47405774,43879906,2,4,,,,5,50,F,1,2,R,,,,
47405775,43879907,1,4,,,,5,23,F,1,2,R,,,,
47405776,43879907,2,4,,,,5,21,F,1,2,R,,,,
47405777,43879908,1,4,,,,5,39,F,1,2,R,,,,
47405779,43879910,1,4,,,,5,21,M,1,2,R,,,,
47405778,43879909,1,4,,,,5,68,F,1,2,R,,,,
