offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
57566588,51191624,0,,,,,,,,
57566589,51191625,0,,,,,,,,
57566591,51191626,2,5,41,M,1,,,,
57566590,51191626,1,5,54,M,1,,,,
57566592,51191627,1,5,21,M,2,,,,
57566593,51191628,1,5,22,M,2,,,,
57566594,51192434,0,,,,,,,,
57566595,51192435,0,,,,,,,,
57566602,51192439,0,,,,,,,,
57566603,51192440,0,,,,,,,,
57566604,51192441,0,,,,,,,,
57566605,51192442,0,,,,,,,,
57566607,51192443,2,5,19,M,1,,,,
57566606,51192443,1,5,20,M,1,,,,
57566611,51192447,0,,,,,,,,
57566618,51192454,0,,,,,,,,
57566627,51192461,0,,,,,,,,
57566596,51192436,1,4,,M,1,,,,
57566598,51192436,3,4,,M,1,,,,
57566597,51192436,2,4,,M,1,,,,
57566599,51192437,1,5,20,M,1,,,,
57566600,51192437,2,5,22,M,2,,,,
57566601,51192438,1,5,38,M,1,,,,
57566608,51192444,1,5,18,M,1,,,,
57566609,51192445,1,5,20,M,1,,,,
57566610,51192446,1,5,18,M,1,,,,
57566612,51192448,0,,,,,,,,
57566613,51192449,1,5,16,M,2,,,,
57566614,51192450,0,,,,,,,,
57566615,51192451,1,5,19,F,1,,,,
57566616,51192452,0,,,,,,,,
57566617,51192453,0,,,,,,,,
57566619,51192455,0,,,,,,,,
57566620,51192456,0,,,,,,,,
57566622,51192458,1,4,,F,0,,,,
57566628,51192462,0,,,,,,,,
57566621,51192457,0,,,,,,,,
57566624,51192459,2,4,,M,0,,,,
57566623,51192459,1,4,,M,0,,,,
57566625,51192460,1,5,25,M,1,,,,
57566626,51192460,2,5,25,M,1,,,,
57566629,51192463,0,,,,,,,,
57566630,51192464,0,,,,,,,,
57566631,51192465,1,5,40,M,1,,,,
57566632,51192466,0,,,,,,,,
57566633,51192467,0,,,,,,,,
57566634,51192468,0,,,,,,,,
57566635,51192469,1,5,27,M,1,,,,
57566665,51192498,2,5,21,M,1,,,,
57566664,51192498,1,5,19,M,1,,,,
57566666,51192499,0,,,,,,,,
57566667,51192500,0,,,,,,,,
57566636,51192470,0,,,,,,,,
57566637,51192471,1,5,44,F,1,,,,
57566638,51192472,0,,,,,,,,
57566639,51192473,0,,,,,,,,
57566640,51192474,0,,,,,,,,
57566641,51192475,0,,,,,,,,
57566642,51192476,0,,,,,,,,
57566643,51192477,0,,,,,,,,
57566644,51192478,0,,,,,,,,
57566645,51192479,1,5,26,M,1,,,,
57566646,51192480,0,,,,,,,,
57566647,51192481,1,5,46,M,1,,,,
57566648,51192482,0,,,,,,,,
57566649,51192483,0,,,,,,,,
57566650,51192484,1,5,27,M,1,,,,
57566654,51192488,0,,,,,,,,
57566668,51192501,0,,,,,,,,
57566651,51192485,1,5,37,M,2,,,,
57566652,51192486,1,5,48,M,1,,,,
57566653,51192487,1,5,38,M,1,,,,
57566655,51192489,1,5,44,M,1,,,,
57566656,51192490,0,,,,,,,,
57566657,51192491,0,,,,,,,,
57566658,51192492,0,,,,,,,,
57566659,51192493,0,,,,,,,,
57566660,51192494,1,5,13,F,1,,,,
57566661,51192495,0,,,,,,,,
57566662,51192496,1,5,53,M,1,,,,
57566669,51192502,0,,,,,,,,
57566670,51192503,0,,,,,,,,
57566673,51192506,0,,,,,,,,
57566674,51192507,0,,,,,,,,
57566690,51192521,0,,,,,,,,
57566731,51192556,2,5,19,F,1,,,,
57566730,51192556,1,5,22,M,1,,,,
57566663,51192497,0,,,,,,,,
57566671,51192504,1,5,26,M,1,,,,
57566672,51192505,0,,,,,,,,
57566675,51192508,0,,,,,,,,
57566677,51192510,0,,,,,,,,
57566697,51192527,2,5,22,M,1,,,,
57566696,51192527,1,5,21,M,1,,,,
57566711,51192540,0,,,,,,,,
57566712,51192541,0,,,,,,,,
57566722,51192549,2,4,,M,0,,,,
57566721,51192549,1,5,20,F,1,,,,
57566783,51193407,0,,,,,,,,
57566786,51193410,0,,,,,,,,
57566676,51192509,0,,,,,,,,
57566678,51192511,0,,,,,,,,
57566679,51192512,1,5,34,M,1,,,,
57566680,51192513,1,5,30,M,1,,,,
57566682,51192514,2,5,7,M,2,,,,
57566681,51192514,1,5,12,M,2,,,,
57566683,51192514,3,5,13,M,1,,,,
57566684,51192515,0,,,,,,,,
57566685,51192516,0,,,,,,,,
57566686,51192517,1,5,22,F,1,,,,
57566687,51192518,0,,,,,,,,
57566688,51192519,1,5,31,M,1,,,,
57566689,51192520,0,,,,,,,,
57566691,51192522,0,,,,,,,,
57566694,51192525,1,5,18,M,1,,,,
57566695,51192526,1,5,18,M,1,,,,
57566713,51192542,0,,,,,,,,
57566715,51192543,2,5,25,M,1,,,,
57566714,51192543,1,5,32,M,1,,,,
57566716,51192544,1,5,50,M,2,,,,
57566740,51192565,1,5,30,F,1,,,,
57566785,51193409,0,,,,,,,,
57566692,51192523,0,,,,,,,,
57566693,51192524,1,5,16,M,1,,,,
57566698,51192528,1,5,36,M,1,,,,
57566699,51192529,1,5,19,M,2,,,,
57566700,51192530,0,,,,,,,,
57566701,51192531,1,5,34,F,0,,,,
57566702,51192532,0,,,,,,,,
57566704,51192533,2,4,,M,1,,,,
57566703,51192533,1,4,,M,1,,,,
57566705,51192534,1,5,44,F,2,,,,
57566706,51192535,1,5,36,M,1,,,,
57566707,51192536,1,5,30,F,1,,,,
57566709,51192538,0,,,,,,,,
57566756,51192579,1,5,20,F,1,,,,
57566763,51192585,1,5,32,M,1,,,,
57566708,51192537,1,5,34,M,1,,,,
57566710,51192539,1,5,44,F,2,,,,
57566717,51192545,1,5,31,M,1,,,,
57566718,51192546,1,5,30,M,1,,,,
57566719,51192547,0,,,,,,,,
57566720,51192548,0,,,,,,,,
57566723,51192550,0,,,,,,,,
57566724,51192551,0,,,,,,,,
57566725,51192552,1,5,32,M,1,,,,
57566726,51192553,0,,,,,,,,
57566727,51192554,1,5,39,M,1,,,,
57566728,51192554,2,5,20,F,0,,,,
57566729,51192555,0,,,,,,,,
57566745,51192570,1,5,29,M,1,,,,
57566746,51192570,2,5,18,M,2,,,,
57566732,51192557,0,,,,,,,,
57566733,51192558,0,,,,,,,,
57566734,51192559,0,,,,,,,,
57566735,51192560,1,5,13,M,1,,,,
57566736,51192561,1,5,13,M,1,,,,
57566737,51192562,1,5,20,M,1,,,,
57566738,51192563,0,,,,,,,,
57566739,51192564,1,5,41,M,1,,,,
57566747,51192571,0,,,,,,,,
57566748,51192572,1,5,27,M,1,,,,
57566749,51192572,2,5,32,F,1,,,,
