nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
5463263,6727,1,2011,I,,,N,F,,C,2011_01_KY0460200_NIBRS,
5485312,6727,2,2011,I,,,N,F,,C,2011_02_KY0460200_NIBRS,
5507361,6727,3,2011,I,,,N,F,,C,2011_03_KY0460200_NIBRS,
5529410,6727,4,2011,I,,,N,F,,C,2011_04_KY0460200_NIBRS,
5551459,6727,5,2011,I,,,N,F,,C,2011_05_KY0460200_NIBRS,
5573508,6727,6,2011,I,,,N,F,,C,2011_06_KY0460200_NIBRS,
5595557,6727,7,2011,I,,,N,F,,C,2011_07_KY0460200_NIBRS,
5617606,6727,8,2011,I,,,N,F,,C,2011_08_KY0460200_NIBRS,
5639655,6727,9,2011,I,,,N,F,,C,2011_09_KY0460200_NIBRS,
5661704,6727,10,2011,Z,,,N,F,,C,2011_10_KY0460200_NIBRS,
5683753,6727,11,2011,I,,,N,F,,C,2011_11_KY0460200_NIBRS,
5705802,6727,12,2011,I,,,N,F,,C,2011_12_KY0460200_NIBRS,
5463264,6728,1,2011,U,,,N,F,,C,2011_01_KY046SP00_NIBRS,
5485313,6728,2,2011,U,,,N,F,,C,2011_02_KY046SP00_NIBRS,
5507362,6728,3,2011,U,,,N,F,,C,2011_03_KY046SP00_NIBRS,
5529411,6728,4,2011,U,,,N,F,,C,2011_04_KY046SP00_NIBRS,
5551460,6728,5,2011,U,,,N,F,,C,2011_05_KY046SP00_NIBRS,
5573509,6728,6,2011,U,,,N,F,,C,2011_06_KY046SP00_NIBRS,
5595558,6728,7,2011,U,,,N,F,,C,2011_07_KY046SP00_NIBRS,
5617607,6728,8,2011,U,,,N,F,,C,2011_08_KY046SP00_NIBRS,
5639656,6728,9,2011,U,,,N,F,,C,2011_09_KY046SP00_NIBRS,
5661705,6728,10,2011,U,,,N,F,,C,2011_10_KY046SP00_NIBRS,
5683754,6728,11,2011,U,,,N,F,,C,2011_11_KY046SP00_NIBRS,
5705803,6728,12,2011,U,,,N,F,,C,2011_12_KY046SP00_NIBRS,
5463265,6729,1,2011,I,,,N,F,,C,2011_01_KY0470000_NIBRS,
5485314,6729,2,2011,I,,,N,F,,C,2011_02_KY0470000_NIBRS,
5507363,6729,3,2011,I,,,N,F,,C,2011_03_KY0470000_NIBRS,
5529412,6729,4,2011,I,,,N,F,,C,2011_04_KY0470000_NIBRS,
5551461,6729,5,2011,I,,,N,F,,C,2011_05_KY0470000_NIBRS,
5573510,6729,6,2011,I,,,N,F,,C,2011_06_KY0470000_NIBRS,
5595559,6729,7,2011,I,,,N,F,,C,2011_07_KY0470000_NIBRS,
5617608,6729,8,2011,I,,,N,F,,C,2011_08_KY0470000_NIBRS,
5639657,6729,9,2011,I,,,N,F,,C,2011_09_KY0470000_NIBRS,
5661706,6729,10,2011,I,,,N,F,,C,2011_10_KY0470000_NIBRS,
5683755,6729,11,2011,I,,,N,F,,C,2011_11_KY0470000_NIBRS,
