suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,67184489,1.7,1,4523654
8,67184497,2,9,4523655
16,67184499,3,9,4523656
5,67184501,2,1,4523657
4,67184505,0.25,1,4523658
15,67184507,44,9,4523659
5,67184510,3.4,1,4523660
1,67185785,2,1,4523664
4,67183421,1,9,4523716
5,67185787,1,1,4523720
5,67185788,1,1,4523721
16,67185789,27,9,4523722
5,67185791,0.01,1,4523723
4,67185794,1,11,4523724
5,67185818,3.4,1,4523725
8,67185819,9,9,4523726
5,67185826,4.75,4,4523727
5,67185827,0.05,1,4523728
5,67185836,0.5,1,4523729
5,67185838,1,1,4523730
17,67185843,0.1,1,4523731
5,67185846,0,,4523732
5,67173709,5,1,4523757
5,67184663,6,1,4523813
8,67184690,0.35,1,4523814
5,67184713,0.8,1,4523815
1,67188747,0.01,1,4523839
5,67184733,5,1,4523904
5,67184735,1.6,1,4523905
5,67184738,0.8,1,4523906
8,67184764,23,9,4523907
5,67184767,0.3,1,4523908
5,67184792,0.01,3,4523909
8,67184793,1,9,4523910
12,67262811,0.01,6,4528090
8,67262832,0,,4528091
12,67262834,1,7,4528092
17,67263978,5,9,4528093
5,67263991,1,1,4528094
12,67223154,25,5,4528161
5,67222009,1,1,4528214
5,67222024,6,1,4528215
5,67222046,12.83,1,4528216
17,67222054,2,9,4528217
5,67208627,1,3,4528239
5,67208659,0.05,1,4528240
5,67222076,4,1,4528295
5,67222080,0.39,1,4528296
8,67222130,1,9,4528297
5,67227710,1,3,4528313
7,67227755,2,9,4528314
17,67216059,9,9,4528349
4,67216065,1,9,4528350
5,67216067,1,3,4528351
5,67216082,2,1,4528352
16,67230411,1,9,4532560
5,67233971,1,11,4532565
12,67236417,0,,4532574
16,67236448,20.5,9,4532575
8,67236468,30,9,4532576
2,67236473,2,1,4532577
8,67236480,49,9,4532578
12,67236489,8,1,4532579
12,67236491,1,1,4532580
5,67380116,1,1,4532639
8,67380148,43,9,4532640
16,67369369,3,9,4532663
5,67369376,0.5,1,4532664
1,67369378,1.3,1,4532665
17,67369391,1,11,4532666
12,67369410,1,1,4532667
17,67370517,3,9,4532668
17,67370535,0,,4532669
8,67368379,2,9,4532732
5,67368381,11,1,4532733
5,67380984,0.6,1,4532767
7,67380987,4,9,4532768
8,67380994,100.75,9,4532769
8,67381012,4,9,4532770
5,67381019,0.1,3,4532771
8,67381027,2,9,4532772
5,67381055,1,11,4532773
5,67323122,1,1,4537073
5,67323130,2,1,4537074
12,67323131,0.1,1,4537075
5,67323156,1,1,4537076
5,67316831,1,1,4537154
16,67316835,4,1,4537155
5,67316850,58,1,4537156
5,67323166,0.01,1,4537191
5,67323178,110.4,1,4537192
1,67323182,3.6,1,4537193
8,67323183,4,9,4537194
5,67323189,1.1,1,4537195
5,67323197,2,1,4537196
5,67323207,0.3,1,4537197
5,67323208,1,1,4537198
8,67323212,18.5,9,4537199
8,67323217,2,9,4537200
1,67323219,1,11,4537201
16,67323229,24,9,4537202
5,67323231,0.2,1,4537203
16,67428419,9,1,4541463
16,67435752,1,11,4541505
5,67435804,23,1,4541506
6,67435806,5,9,4541507
