criminal_act_id,offense_id
9,24086110
9,24096631
9,24096634
9,24088852
6,24086114
9,24089985
9,24088853
9,24096638
9,24086115
9,24088854
9,24086116
3,24083973
6,24089986
9,24086121
9,24083975
9,24096644
9,24088858
9,24086123
9,24086125
9,24096651
6,24096652
9,24086128
9,24096655
9,24089992
9,24086130
9,24086131
9,24096657
9,24086132
9,24089994
9,24089997
9,24088867
9,24084483
9,24086642
9,24088868
9,24086644
9,24084485
9,24088869
9,24088870
9,24084487
9,24089998
9,24084489
9,24090001
9,24086647
9,24096663
9,24096664
9,24090002
9,24088875
9,24090004
9,24086651
9,24088877
9,24096668
9,24093123
9,24086652
9,24086653
6,24086654
9,24084496
9,24086657
9,24084499
9,24084500
9,24086659
9,24084502
9,24084503
9,24084504
9,24084506
9,24086661
9,24084507
9,24086663
9,24088887
9,24084508
3,24093127
6,24099780
9,24088892
9,24093128
9,24093129
9,24088893
9,24093130
6,24084512
9,24093133
6,24089407
9,24089408
9,24086665
9,24086666
9,24093134
6,24084518
6,24099788
9,24089410
6,24099790
6,24086669
9,24086670
9,24099792
9,24089411
9,24099794
9,24089412
9,24086673
9,24086675
9,24086678
9,24086679
9,24099796
6,24093137
6,24089418
9,24093138
9,24093139
9,24084527
6,24089420
9,24089421
9,24086688
9,24084529
6,24099799
2,24089423
9,24086685
9,24093143
9,24084531
9,24086686
9,24099800
9,24099801
9,24089426
9,24086691
9,24093146
9,24084536
9,24086692
6,24086694
9,24084538
9,24086698
9,24099807
9,24099809
9,24099811
9,24093149
9,24086701
9,24086702
9,24089427
9,24084540
9,24084541
9,24089428
9,24099813
9,24099814
9,24086706
9,24084543
6,24084545
3,24099816
9,24084547
9,24093156
9,24099818
6,24088354
9,24093157
9,24089437
9,24093159
9,24086709
9,24093160
9,24086710
6,24099820
9,24089438
9,24089440
9,24093256
9,24099819
9,24086712
9,24088358
6,24088361
9,24088363
3,24086714
9,24088364
6,24086716
9,24093175
6,24088365
6,24093177
3,24093267
9,24099824
9,24086718
9,24096625
9,24096626
9,24093756
9,24093321
9,24100380
9,24091060
6,24091061
9,24100385
9,24093757
9,24091062
6,24091064
9,24093323
9,24093324
9,24093759
9,24088932
9,24091066
9,24093761
9,24088933
9,24100389
9,24088934
9,24100390
9,24093766
9,24093767
9,24093836
9,24100395
6,24100396
9,24091068
9,24088938
9,24091070
9,24093769
9,24093838
6,24100401
9,24091072
6,24093840
9,24100406
9,24093778
9,24088944
6,24091077
9,24088945
9,24088946
9,24088948
9,24088950
6,24088951
9,24093846
9,24088952
9,24100411
6,24088953
9,24093849
9,24093850
9,24091081
9,24091082
9,24093783
9,24093269
6,24088367
6,24086719
9,24088369
9,24086720
9,24086722
9,24093180
9,24093274
6,24093275
9,24088371
9,24088372
9,24088373
9,24093185
9,24099831
9,24088377
6,24093189
9,24093190
9,24088378
9,24088379
9,24090524
9,24093280
9,24090525
9,24099834
9,24099835
9,24088380
9,24088381
9,24093283
9,24093194
6,24093285
9,24093195
9,24088383
9,24088384
9,24093196
6,24099842
9,24099843
6,24093287
6,24093710
3,24093710
