victim_id,circumstances_id,justifiable_force_id
22276031,10,
22276055,10,
22277568,10,
22278336,10,
22278338,10,
22278354,10,
22278364,10,
22279117,1,
22279130,1,
22279148,1,
22279911,10,
22279920,10,
22279923,1,
22280667,1,
22280675,1,
22280697,10,
22280714,1,
22281449,1,
22281481,10,
22281482,1,
22282219,1,
22274495,10,
22274510,10,
22275264,10,
22275302,10,
22276093,10,
22276094,10,
22276865,10,
22276878,10,
22277648,10,
22278382,10,
22278395,10,
22278397,10,
22278398,10,
22278417,10,
22278424,10,
22279169,1,
22279191,1,
22279198,1,
22279961,1,
22280723,1,
22280733,6,
22280751,1,
22280752,9,
22281513,1,
22281524,1,
22282306,1,
22273024,10,
22273029,10,
22273037,10,
22273048,10,
22273791,10,
22273809,10,
22273819,10,
22274548,10,
22274549,10,
22274560,10,
22274573,10,
22275319,10,
22275350,10,
22276160,10,
22276909,10,
22276911,10,
22276913,10,
22277665,10,
22277666,10,
22278428,10,
22279200,9,
22279205,1,
22279227,9,
22279229,9,
22279244,6,
22280778,1,
22280783,1,
22280793,10,
22281555,1,
22281580,1,
22282318,1,
22282320,9,
22282354,9,
22273082,10,
22273106,10,
22273827,10,
22273864,10,
22274594,10,
22274599,10,
22274609,10,
22274615,10,
22274616,10,
22274620,10,
22275361,10,
22275366,10,
22275401,10,
22276184,10,
22276215,10,
22277742,10,
22278513,10,
22278515,10,
22279251,10,
22280054,10,
22280062,1,
22280812,1,
22280831,1,
22280834,10,
22280835,10,
22280844,1,
22280852,1,
22281595,1,
22281620,6,
22273109,10,
22273152,10,
22273874,10,
22273888,10,
22273889,10,
22273893,10,
22274646,10,
22274653,10,
22275417,10,
22275425,10,
22276230,10,
22276234,10,
22276239,10,
22277004,10,
22277005,10,
22277765,10,
22277789,10,
22277801,10,
22278523,10,
22278547,10,
22278568,10,
22279340,1,
22280082,10,
22280083,9,
22280862,1,
22280863,10,
22280897,10,
22280901,1,
22281656,1,
22281660,10,
22281675,1,
22281676,1,
22281679,1,
22282440,1,
22273157,10,
22273164,10,
22273172,10,
22273929,10,
22273940,10,
22274698,10,
22274706,10,
22274726,10,
22275464,10,
22275478,10,
22275485,10,
22275492,10,
22276283,10,
22276290,10,
22277054,10,
22277056,10,
22277065,10,
22277066,10,
22277813,10,
22278583,10,
22278591,10,
22278605,10,
22279367,1,
22279370,9,
22280131,9,
22280172,1,
22280912,1,
22280914,10,
22280937,10,
22280944,10,
22280951,1,
22273217,10,
22273239,10,
22273988,10,
22274737,10,
22274743,10,
22274755,10,
22274764,10,
22274765,10,
22274769,10,
22275514,10,
22275515,10,
22275522,10,
22276318,10,
22276322,10,
22276339,10,
22277896,10,
22278623,10,
22278624,10,
22278630,10,
22278657,10,
22278660,10,
22279420,9,
22279426,1,
22280177,1,
22280198,1,
22280962,9,
22280977,2,
22280987,1,
22280997,10,
22280999,10,
22282516,1,
22271704,1,
22272479,1,
22272485,9,
22273254,10,
22274019,10,
22274791,10,
22274818,10,
22275576,10,
22275581,10,
22276375,10,
22276378,10,
22276379,10,
22276393,10,
22277149,10,
22277152,10,
22277156,10,
22277157,10,
22277167,10,
22277176,10,
22277902,10,
22279453,9,
22280228,1,
22280238,1,
22280259,8,
22280262,1,
22281011,10,
22281013,1,
22281014,1,
22281016,9,
22281017,9,
22281018,10,
22281021,1,
22281024,1,
22281032,1,
22281044,9,
22281791,1,
22281794,1,
22282563,1,
22273335,10,
22273337,10,
22273341,10,
22274097,10,
22274106,10,
22274835,10,
22274836,10,
22274837,10,
22274838,10,
22274839,10,
22274840,10,
22274848,10,
22274858,10,
22275607,10,
22275608,10,
22275642,10,
22276416,10,
22276426,10,
22277211,10,
22277212,10,
22277949,10,
22279539,1,
22280287,1,
22281084,1,
22281090,1,
22281836,1,
22281841,1,
22272571,1,
22273354,10,
22273375,10,
22273390,10,
22274118,10,
22274122,10,
22274124,10,
22274125,10,
22274138,10,
22274887,10,
22274888,10,
22274889,10,
22274907,10,
22275648,10,
22275649,10,
22275655,10,
22275689,10,
22276483,10,
22276501,10,
22277231,10,
22278001,10,
22278028,10,
22278787,10,
22278811,10,
22281113,1,
22281116,1,
22281117,9,
22281909,1,
22271827,1,
22273434,10,
22274946,10,
22274957,10,
22275734,10,
22276546,10,
22276551,10,
22277303,10,
22277325,10,
22278052,10,
22278835,10,
22278845,10,
22278846,10,
22279619,1,
