suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
14,33224552,1.5,9,1997788
5,33228167,1,3,1997798
1,33228212,1,1,1997799
5,33228215,1,3,1997800
5,33228234,1,3,1997849
1,33228267,1,1,1997850
5,33228284,1,3,1997851
5,33222258,3.9,1,1997886
5,33222259,6,4,1997887
8,33222260,500,9,1997888
5,33222267,487.69,1,1997889
1,33222268,1.3,1,1997890
5,33222281,425,1,1997891
1,33222315,0.01,1,1997892
5,33225935,0.07,1,1997898
1,33225946,1.9,1,1997899
1,33210203,1.5,1,1997904
5,33210218,8,1,1997905
5,33222369,30.5,1,1997931
5,33222372,5,1,1997932
16,33222374,3.5,9,1997933
5,33225956,78,4,1997940
5,33225958,0.75,4,1997941
1,33225975,1,1,1997942
1,33225988,1,1,1997943
5,33226021,1,4,1997944
5,33228383,1,3,1997946
5,33228406,1,3,1997947
1,33228410,1,1,1997948
1,33228412,1,1,1997949
1,33227278,1,1,1997991
1,33227290,1,1,1997992
1,33211567,0.2,1,1998000
2,33211571,24.3,1,1998001
1,33211578,1.5,1,1998002
5,33218843,7.5,1,1998011
1,33218844,2,1,1998012
5,33218851,1,3,1998013
5,33218861,1,3,1998014
5,33218868,1,3,1998015
5,33218875,1,3,1998016
1,33218886,2,1,1998017
1,33218887,1,1,1998018
17,33218889,1,9,1998019
5,33218901,1,3,1998020
5,33218905,1,3,1998021
5,33220080,4.6,1,1998022
5,33359102,6.8,1,2002188
1,33359111,0.4,1,2002189
1,33359115,0.4,1,2002190
1,33348511,0.16,1,2002232
16,33348512,1,9,2002233
1,33348521,8.88,1,2002234
13,33348522,4,9,2002235
5,33348523,0.2,1,2002236
5,33348539,1.38,1,2002237
8,33356770,190,9,2002282
5,33356780,2,1,2002283
5,33359122,15.4,1,2002289
5,33359140,4,1,2002290
5,33359155,45,1,2002291
16,33359162,4,9,2002292
1,33359167,1,1,2002293
5,33354423,0.53,1,2002356
5,33354429,1,11,2002357
1,33354442,1.49,1,2002358
16,33354452,19,9,2002435
5,33354457,7,1,2002436
17,33354458,0,,2002437
17,33354461,0,,2002438
5,33354484,1,11,2002439
17,33354486,1,9,2002440
5,33354487,1,9,2002441
5,33227351,1,3,1998038
5,33228582,1,3,1998040
16,33211603,5,9,1998044
8,33211608,900,9,1998045
12,33211622,29,9,1998046
1,33225023,34.8,1,1998070
5,33227408,1,3,1998074
1,33227409,1,1,1998075
1,33227410,1,1,1998076
15,33227444,200,9,1998077
16,33228608,200,9,1998078
1,33228612,1,1,1998079
5,33228622,1,3,1998080
5,33225064,1,3,1998128
5,33225109,1,3,1998129
5,33228680,1,3,1998137
1,33228693,1,1,1998138
1,33225139,1,1,1998187
2,33217914,0.8,1,1998223
5,33219173,0.2,1,1998224
5,33219181,351,1,1998225
1,33219192,0.4,1,1998226
5,33217929,2,1,1998290
2,33217936,5.5,1,1998291
2,33217950,1.9,1,1998292
1,33217965,0.6,1,1998293
5,33217971,110,1,1998294
5,33217977,0.4,1,1998295
8,33219238,14,9,1998296
8,33220477,9,9,1998300
5,33220488,27.6,1,1998301
1,33364139,1,1,2002475
5,33364175,43,1,2002476
5,33364184,17,1,2002477
12,33347543,0.1,1,2002498
5,33347567,14.7,1,2002499
16,33358158,1,11,2002540
5,33358159,1.43,1,2002541
12,33358192,1,9,2002542
5,33347576,5.1,1,2002566
5,33347583,0.9,1,2002567
1,33347607,24,1,2002568
2,33347611,1,1,2002569
5,33347615,7.8,1,2002570
5,33347617,27.5,1,2002571
16,33347619,15,1,2002572
16,33347621,16.4,1,2002573
5,33347622,1.7,1,2002574
5,33347628,1,1,2002575
12,33347629,0.1,1,2002576
5,33355809,5,3,2002589
5,33355818,0.66,1,2002590
5,33355822,2.5,1,2002591
5,33355823,0.39,1,2002592
5,33355827,1.58,1,2002593
7,33355830,30,9,2002594
5,33355833,7.38,1,2002595
17,33355835,1,1,2002596
7,33355853,20,9,2002597
17,33355868,10,9,2002598
5,33358234,3,1,2002600
5,33358253,3,1,2002601
1,33358270,1,1,2002602
5,33358272,1.5,1,2002603
5,33346452,5.4,1,2002645
2,33346456,0.1,1,2002646
16,33346457,2,1,2002647
5,33346468,287.9,1,2002648
8,33346472,10,1,2002649
5,33346476,26.6,1,2002650
5,33346482,7.6,1,2002651
12,33346494,0.3,1,2002652
5,33346496,3.6,1,2002653
2,33346512,0.6,1,2002654
5,33346513,1.4,1,2002655
5,33346514,11.4,1,2002656
12,33346516,0.1,1,2002657
5,33346519,7,1,2002658
5,33353480,6.5,1,2002699
5,33353482,4.5,1,2002700
5,33353488,0.8,1,2002701
5,33353510,0.1,1,2002702
2,33353518,1,1,2002703
12,33353527,12,1,2002704
7,33354702,36,9,2002707
1,33354705,4.64,1,2002708
13,33354732,7,9,2002709
5,33354734,0.81,1,2002710
2,33354750,3,9,2002711
17,33355880,8,9,2002712
5,33355888,1,11,2002713
8,33227703,1,9,1998318
5,33227720,1,3,1998319
8,33227723,1,9,1998320
5,33227751,1,3,1998321
1,33227753,1,1,1998322
5,33218010,16,4,1998354
1,33218011,2.8,1,1998355
2,33218037,0.9,1,1998356
8,33220528,1,1,1998362
8,33220538,32,9,1998363
5,33220540,1,3,1998364
5,33220571,1,3,1998365
5,33220573,1,3,1998366
2,33224181,0.07,1,1998376
5,33227772,1,3,1998385
5,33227783,1,3,1998386
5,33227790,1,3,1998387
8,33227792,9,9,1998388
1,33218087,0.01,1,1998411
