victim_id,offense_id
31404083,31775232
31404084,31775232
31404085,31786658
31404086,31786659
31404088,31780118
31404087,31780118
31404089,31786660
31404090,31781082
31404091,31781343
31404092,31781083
31404093,31781084
31404094,31770106
31404095,31781085
31404096,31774486
31404097,31780887
31404098,31770107
31404099,31780888
31404100,31780888
31404101,31786661
31404102,31781344
31404103,31774069
31404104,31781345
31404105,31770108
31404106,31770109
31404107,31781346
31404108,31774070
31404109,31780889
31404110,31774071
31404111,31780890
31404112,31770110
31404113,31781347
31404114,31781348
31404115,31786662
31404116,31780891
31404117,31786663
31404118,31786664
31404119,31786665
31404120,31774072
31404121,31770111
31404122,31780892
31404123,31774073
31404124,31774074
31404125,31780893
31404126,31774487
31404127,31774075
31404128,31786666
31404129,31770112
31404130,31786667
31404131,31770113
31404132,31781086
31404133,31786668
31404134,31770114
31404135,31774076
31404136,31780894
31404137,31774077
31404138,31786669
31404139,31781349
31404140,31781350
31404141,31774078
31404849,31774079
31404850,31770115
31404851,31781351
31404852,31780895
31404853,31780896
31404854,31781087
31404855,31774488
31404856,31774080
31404857,31780897
31404858,31781352
31404859,31774081
31404860,31781088
31404861,31781353
31404862,31786670
31404863,31781354
31404864,31780898
31404865,31786671
31404865,31786672
31404866,31770116
31404867,31781355
31404868,31781089
31404869,31774489
31404870,31781090
31404871,31786673
31404900,31781094
31404901,31781095
31404902,31774086
31404903,31774087
31404904,31781356
31404905,31781096
31404906,31781097
31405900,31782174
31405901,31780944
31405902,31780945
31405903,31780946
31405904,31770928
31405905,31770928
31405906,31770928
31405907,31780947
31405908,31780948
31405909,31780948
31405910,31780949
31405911,31775297
31405912,31781133
31406640,31781134
31406641,31786708
31406642,31775298
31406643,31782175
31406645,31774122
31406644,31774122
31406646,31780950
31406647,31780951
31406648,31770929
31406649,31775299
31406650,31775300
31406651,31780952
31406652,31780953
31406653,31786709
31406654,31775301
31406655,31786710
31406656,31780954
31406657,31774123
31406658,31781135
31406659,31770930
31406660,31774885
31406661,31774886
31406662,31770931
31406663,31774887
31406664,31780955
31406665,31786711
31406666,31780956
31406667,31786712
31406668,31780957
31406669,31770932
31406670,31786713
31406671,31774888
31406672,31782176
31406673,31786714
31406674,31780958
31406675,31786715
31406676,31781901
