year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2006,Louisiana,LA,7382,LA0570100,Abbeville,11056,5,"Cities from 10,000 thru 24,999",0,0,0,0,0,0,0
2006,Louisiana,LA,7361,LA0520600,Abita Springs,2096,7,"Cities under 2,500",0,0,0,0,0,0,0
2006,Louisiana,LA,7136,LA0010000,Acadia,29183,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2006,Louisiana,LA,7402,LA0610300,Addis,2303,7,"Cities under 2,500",1,12,0,0,0,1,0
2006,Louisiana,LA,7309,LA0400100,Alexandria,43311,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2006,Louisiana,LA,7142,LA0020000,Allen,14393,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,0,0,0,1,0
2006,Louisiana,LA,7367,LA0530400,Amite,3853,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2006,Louisiana,LA,7162,LA0070100,Arcadia,2705,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2006,Louisiana,LA,7338,LA0490300,Arnaudville,1322,7,"Cities under 2,500",0,0,0,0,1,1,0
2006,Louisiana,LA,7146,LA0030000,Ascension,76455,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2006,Louisiana,LA,7150,LA0040000,Assumption,21334,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,0,0,0,1,0
2006,Louisiana,LA,7152,LA0050000,Avoyelles,28131,8B,"Non-MSA counties from 25,000 thru 99,999",0,5,0,0,0,0,0
2006,Louisiana,LA,7203,LA0170100,Baker,12559,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2006,Louisiana,LA,7354,LA0510500,Baldwin,2467,7,"Cities under 2,500",0,0,0,0,0,0,0
2006,Louisiana,LA,7315,LA0401000,Ball,3492,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2006,Louisiana,LA,7217,LA0200100,Basile,2258,7,"Cities under 2,500",1,12,1,12,0,1,1
2006,Louisiana,LA,7223,LA0210400,Baskin,171,7,"Cities under 2,500",0,0,0,0,1,1,0
