arrestee_id,weapon_id,nibrs_arrestee_weapon_id
13498363,1,13499168
12718286,1,12727952
13518272,1,13466051
13518262,1,13466041
13518261,1,13466040
13518248,1,13465044
13518240,1,13465037
13518239,1,13465036
13518235,1,13465032
13518231,1,13465028
13518228,1,13465025
13518219,8,13465016
13518217,1,13465014
13518216,1,13465013
13518214,1,13465011
13518199,1,13464996
13518198,1,13464995
13518197,1,13464994
13518196,1,13464993
13518192,1,13464989
13518191,1,13464988
13518185,1,13464982
13517171,1,13464964
13518175,1,13463990
13518155,1,13463970
13518152,1,13463967
13518148,1,13463963
13517100,1,13463910
13519263,1,13459831
12717137,1,12726877
12717121,1,12726861
12714931,1,12724693
12714914,1,12724676
12714898,1,12724660
12714895,1,12724657
12714894,1,12724656
12714887,1,12724649
12714886,1,12724648
12714884,1,12724646
12714874,1,12724636
12714859,1,12724621
12714857,1,12724619
12714839,1,12724601
12714837,1,12724599
12714831,1,12724593
12719272,1,12728928
12719271,1,12728927
12718209,1,12728401
12717139,1,12726879
12714860,1,12724622
12714832,1,12724594
12719270,1,12728926
13522643,1,13584813
13520533,1,13584695
13520498,1,13583679
13520496,1,13583677
13520417,1,13582615
13520381,1,13582579
12718268,1,12728460
12718312,1,12727978
13523841,1,13570328
12718252,1,12728444
12718183,1,12727915
13519331,1,13455648
13520458,1,13583639
13523822,1,13569331
13514922,1,13462744
13513823,1,13462642
13514859,1,13461699
13513750,1,13461586
13511659,1,13461488
13511590,1,13460439
13511576,1,13460425
13511567,1,13460416
13508219,1,13453977
13536937,1,13541069
13519358,1,13455675
13503855,1,13452642
13521631,1,13584795
12719318,1,12728974
12717154,1,12726894
12717096,1,12726836
12717095,1,12726835
13523723,1,13584895
13523720,1,13584892
13523719,1,13584891
13523715,1,13584887
13523705,1,13584877
13522680,1,13584850
13522672,1,13584842
13521578,1,13584742
13520435,1,13582633
13511544,1,13459413
13511521,1,13459390
13511520,1,13459389
13511519,1,13459388
13510514,1,13459318
13509439,7,13458199
13509437,8,13458197
13510407,1,13457254
13510382,1,13457229
13509321,1,13456118
13508307,1,13456040
13508264,1,13455010
13507174,25,13454922
13518283,1,13466062
13501733,1,13501512
12717177,1,12726917
13499544,1,13500337
13499543,1,13500336
13517145,1,13464938
12718295,1,12727961
13534712,1,13574087
