weapon_id,offense_id,nibrs_weapon_id
10,56490399,11368313
12,56489360,11368509
12,56490405,11368314
12,56483368,11370967
13,56492490,11364514
12,56488835,11370444
12,56488836,11370445
3,56489365,11368510
10,56488838,11370446
12,56488839,11370447
12,56498091,11364589
12,56490412,11368315
12,56486573,11370412
12,56492497,11364515
12,56489367,11368511
20,56486574,11370413
12,56489370,11368701
12,56498097,11364590
10,56483373,11370968
12,56486575,11370414
20,56490418,11368316
12,56488841,11370448
12,56488844,11370449
3,56486583,11370415
20,56483375,11370969
20,56483378,11370970
12,56498102,11364591
2,56489375,11368702
3,56488851,11370450
12,56492505,11364516
12,56492506,11364517
12,56482243,11370955
12,56490370,11368304
2,56498044,11364395
3,56477931,11371553
12,56479961,11370933
3,56491672,11362360
3,56491674,11362361
3,56491676,11362362
12,56489342,11368505
3,56489343,11368506
12,56491689,11362567
12,56477941,11371554
12,56480741,11369913
12,56489345,11368507
12,56490376,11368305
12,56490378,11368306
12,56491695,11362568
12,56480749,11369914
10,56490382,11368307
12,56498060,11364396
3,56490386,11368308
10,56490387,11368309
12,56498068,11364397
20,56498070,11364398
12,56486561,11370163
12,56483354,11370965
12,56491701,11362569
3,56489358,11368508
12,56491705,11362572
12,56490394,11368311
20,56483361,11370966
12,56491666,11362359
12,56477929,11371552
12,56486539,11370161
20,56498039,11364394
20,56486545,11370162
12,56491686,11362363
20,56486565,11370410
12,56490391,11368310
11,56491703,11362570
12,56486566,11370411
12,56491704,11362571
10,56490398,11368312
12,56492508,11364518
12,56490428,11368512
12,56490429,11368513
12,56483387,11370971
20,56486592,11370416
12,56498854,11363624
12,56492514,11364519
12,56491205,11369819
12,56483390,11370972
3,56489385,11368703
12,56492537,11364719
12,56492538,11364720
12,56489408,11368712
12,56505213,11362519
12,56492539,11364721
9,56491244,11369826
12,56488883,11370674
12,56492542,11364722
12,56489413,11368713
2,56492543,11364723
20,56492545,11364724
12,56487390,11369272
20,56483423,11371168
12,56492547,11364725
3,56488891,11370675
3,56488892,11370676
20,56487392,11369273
12,56492548,11364726
12,56491246,11369827
10,56487394,11369274
2,56487397,11369275
20,56492550,11364727
10,56492551,11364728
12,56488896,11370677
10,56488897,11370678
3,56506001,11364681
12,56506002,11364682
12,56489687,11369572
12,56492554,11364729
20,56484204,11369952
20,56484205,11369953
12,56484208,11369954
12,56484209,11369955
12,56491257,11369828
12,56492558,11364730
12,56487405,11369276
12,56491262,11369829
12,56492562,11364731
12,56484215,11369956
3,56484217,11369957
9,56484220,11369958
10,56484222,11369959
20,56487409,11369528
12,56492567,11364732
12,56489676,11369570
10,56490198,11371044
12,56484226,11369960
12,56505993,11364479
12,56487414,11369529
12,56492573,11364733
12,56484229,11369961
20,56489682,11369571
12,56490208,11371045
11,56484238,11369962
12,56492516,11364520
12,56489389,11368704
12,56483412,11371165
2,56489404,11368710
12,56492527,11364523
11,56491229,11369823
12,56505201,11362516
12,56492529,11364524
12,56483414,11371166
12,56488874,11370457
12,56505203,11362517
12,56483415,11371167
3,56491237,11369824
2,56491239,11369825
20,56488878,11370673
12,56489407,11368711
12,56505210,11362518
12,56505217,11362520
12,56488858,11370451
12,56498857,11363625
20,56498858,11363626
12,56492518,11364521
20,56491213,11369820
12,56488863,11370452
3,56488865,11370453
12,56486594,11370417
12,56492519,11364522
3,56498863,11363627
12,56483399,11370973
5,56489392,11368705
20,56486596,11370418
12,56491220,11369821
9,56483402,11370974
3,56489396,11368706
12,56498865,11363628
12,56489397,11368707
12,56498872,11363629
12,56483407,11370975
12,56488868,11370454
12,56498873,11363630
12,56488869,11370455
12,56489399,11368708
3,56491226,11369822
3,56488871,11370456
3,56489401,11368709
20,56483410,11370976
3,56505198,11362515
10,56486605,11370419
12,56486606,11370420
3,56486609,11370421
12,56486610,11370422
9,56486611,11370423
12,56498772,11363324
12,56490264,11371253
10,56484281,11370130
12,56484284,11370131
12,56484286,11370132
12,56489738,11369801
12,56506047,11364688
12,56498782,11363442
12,56487480,11369770
12,56498786,11363443
12,56498443,11362649
20,56484294,11370133
3,56498792,11363444
12,56489711,11369578
12,56487453,11369539
12,56490232,11371245
12,56490233,11371246
12,56498412,11362438
3,56490237,11371247
12,56484274,11370126
12,56484275,11370127
10,56506041,11364686
10,56506042,11364687
20,56490252,11371250
20,56490254,11371251
12,56487482,11369771
3,56498793,11363445
12,56498794,11363446
10,56498797,11363447
12,56498798,11363448
12,56487484,11369772
20,56498799,11363449
12,56487486,11369773
12,56490279,11371473
3,56491393,11369109
12,56490281,11371474
6,56490283,11371475
12,56491394,11369110
3,56491396,11369111
9,56506055,11364689
12,56489752,11369802
6,56487491,11369774
20,56490289,11371476
12,56491400,11369112
3,56487459,11369540
12,56489716,11369579
20,56484263,11370125
9,56487460,11369541
12,56487461,11369542
12,56498418,11362439
10,56498420,11362440
12,56506037,11364685
12,56490247,11371248
12,56489722,11369797
11,56498755,11363322
11,56489725,11369798
12,56490249,11371249
12,56484277,11370128
20,56484278,11370129
12,56489733,11369799
10,56487473,11369543
12,56490260,11371252
10,56489734,11369800
12,56498768,11363323
10,56487474,11369544
20,56492584,11364734
12,56498391,11362431
3,56487418,11369530
12,56492586,11364735
9,56492587,11364736
12,56493383,11363944
12,56487450,11369538
9,56493384,11363945
10,56506029,11364684
12,56498393,11362432
12,56484241,11369963
12,56492590,11364737
10,56492595,11364738
12,56492597,11364739
20,56506016,11364683
12,56490220,11371241
11,56490221,11371242
12,56498401,11362433
12,56498403,11362434
3,56489701,11369573
3,56487436,11369531
3,56487437,11369532
12,56487438,11369533
12,56487439,11369534
3,56498404,11362435
12,56489702,11369574
3,56489703,11369575
20,56484254,11370124
12,56490223,11371243
20,56489704,11369576
12,56498405,11362436
12,56487444,11369535
3,56498408,11362437
12,56489709,11369577
12,56490230,11371244
12,56487446,11369536
12,56487448,11369537
12,56492606,11364933
20,56493382,11363943
12,56498451,11362650
12,56490292,11371477
12,56490293,11371478
3,56506062,11364690
12,56524141,11365313
12,56499236,11364612
12,56498830,11363456
12,56493664,11364740
12,56489782,11369814
20,56489784,11369815
12,56498832,11363457
12,56497441,11362807
12,56497442,11362808
12,56506082,11364886
12,56489786,11369816
20,56489787,11369817
3,56489788,11369998
3,56495946,11364783
12,56498834,11363458
12,56497443,11362809
20,56497444,11362810
12,56497445,11362811
11,56506084,11364887
20,56506085,11364888
11,56506086,11364889
10,56498837,11363459
12,56493668,11364741
3,56498838,11363460
12,56498839,11363461
12,56495949,11364784
12,56498843,11363462
12,56493669,11364742
20,56491433,11369314
9,56491434,11369315
12,56495951,11364785
9,56495952,11364786
12,56506092,11364890
12,56495953,11364787
12,56499242,11364613
12,56498845,11363463
12,56506094,11364891
3,56495956,11364788
12,56498847,11363464
12,56498849,11363623
10,56506095,11364892
12,56495962,11364789
3,56506097,11364893
12,56491439,11369316
12,56506101,11364894
12,56499244,11364614
12,56491445,11369318
12,56499612,11362672
3,56491401,11369113
3,56491402,11369114
12,56498807,11363450
20,56506064,11364691
20,56497420,11362799
12,56498455,11362651
12,56491406,11369116
20,56489761,11369803
12,56493647,11364536
12,56493650,11364537
12,56498457,11362652
12,56489762,11369804
20,56506068,11364692
12,56491407,11369117
10,56498459,11362653
12,56489763,11369805
10,56491408,11369306
20,56493651,11364538
12,56497421,11362800
12,56497422,11362801
12,56491405,11369115
9,56498461,11362654
12,56498462,11362655
20,56498811,11363451
3,56491410,11369307
12,56497426,11362802
12,56491413,11369308
12,56489767,11369806
9,56498467,11362656
12,56493653,11364539
12,56498468,11362657
12,56498469,11362658
20,56498814,11363452
3,56493654,11364540
12,56498815,11363453
10,56497429,11362803
3,56489770,11369807
3,56497432,11362804
12,56489771,11369808
3,56498470,11362659
12,56491418,11369309
12,56497433,11362805
12,56493655,11364541
3,56498473,11362660
12,56506074,11364883
12,56493657,11364542
12,56498474,11362661
12,56493658,11364543
12,56489774,11369809
12,56489775,11369810
12,56491419,11369310
12,56489776,11369811
12,56489777,11369812
12,56498820,11363454
12,56498475,11362662
12,56498822,11363455
12,56491424,11369311
12,56491425,11369312
12,56493660,11364544
12,56498476,11362663
20,56506076,11364884
9,56491427,11369313
4,56498478,11362664
20,56506079,11364885
12,56498479,11362665
12,56498480,11362666
20,56493663,11364545
12,56497436,11362806
3,56499235,11364611
10,56489781,11369813
12,56499245,11364615
12,56497449,11362812
12,56491440,11369317
12,56493677,11364743
20,56497452,11362813
12,56495964,11364790
12,56506872,11363891
20,56497455,11362814
12,56495966,11364791
12,56491450,11369321
12,56493688,11364745
12,56493689,11364746
12,56506877,11363893
12,56499253,11364619
12,56495974,11364793
12,56495976,11364794
12,56499257,11364620
12,56497464,11362987
3,56491453,11369322
12,56491456,11369323
12,56506881,11363894
12,56497468,11362988
20,56499621,11362836
12,56497470,11362989
12,56499259,11364621
12,56495982,11364795
12,56499622,11362837
12,56498235,11364999
12,56495983,11364796
10,56493690,11364747
12,56499624,11362838
