offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
57299866,54809825,45,C,22,,,
57301010,54809826,51,C,20,,,
57300334,54809827,45,C,20,,,
57300335,54809828,41,C,24,,,
57302414,54809829,5,C,22,,,
57302415,54809830,41,C,25,,,
57301011,54809831,23,C,8,,,
57300458,54809832,14,C,20,,,
57301012,54809833,14,C,20,,,
57304428,54809834,44,C,25,,,
57299867,54809835,41,C,8,,,
57300459,54809836,44,C,25,,,
57301013,54809837,16,C,13,,,
57300336,54809838,45,C,20,,,
57304429,54809839,21,C,6,,,
57304430,54809840,44,C,20,,,
57301014,54809841,45,C,6,,,
57300337,54809842,45,C,19,,,
57300460,54809843,27,C,20,,,
57300461,54809844,14,C,18,,,
57300462,54809845,5,C,18,,,
57302416,54809846,21,C,20,,,
57301015,54809847,45,C,25,,,
57301016,54809848,5,C,20,,,
57301017,54809849,49,C,20,0,N,
57302417,54809850,49,C,20,0,N,
57302418,54809851,45,C,22,,,
57301018,54809852,23,C,3,,,
57300338,54809853,27,C,3,,,
57299868,54809854,51,C,20,,,
57302419,54809855,11,C,23,,,
57300463,54809856,41,C,25,,,
57302420,54809857,16,C,25,,,
57302421,54809857,35,C,25,,,
57301019,54809858,5,C,20,,,
57300339,54809859,16,C,13,,,
57304431,54809860,40,C,7,,,
57299869,54809861,44,C,20,,,
57304432,54809862,40,C,20,,,
57299870,54809863,14,C,18,,,
57299871,54809864,45,C,25,,,
57301414,54809865,16,C,20,,,
57299872,54809866,14,C,20,,,
57301415,54809867,16,C,22,,,
57300464,54809868,49,C,20,0,N,
57301020,54809869,49,C,20,0,N,
57302422,54809870,11,C,20,,,
57299873,54809871,45,C,23,,,
57302423,54809872,51,C,13,,,
57300465,54809873,5,C,20,,,
57302424,54809874,45,C,20,,,
57302425,54809875,45,C,20,,,
57304433,54809876,23,C,8,,,
57304434,54809877,51,C,20,,,
57302426,54809878,16,C,20,,,
57302427,54809878,35,C,20,,,
57300340,54809879,5,C,20,,,
57301416,54809880,51,C,20,,,
57301417,54809881,5,C,25,,,
57299874,54809883,8,C,25,,,
57299875,54809884,45,C,20,,,
57300466,54809885,11,C,3,,,
57301418,54809886,39,C,20,,,
57301419,54809887,41,C,25,,,
57300467,54809888,45,C,20,,,
57300468,54809889,39,C,20,,,
57300341,54809890,44,C,20,,,
57301021,54809891,5,C,20,,,
57304435,54809892,36,C,20,,,
57301022,54809893,51,C,20,,,
57302428,54809894,49,C,20,0,F,
57300342,54809895,45,C,18,,,
57300343,54809895,5,C,18,,,
57299876,54809896,49,C,25,0,F,
57300344,54809897,27,C,20,,,
57299877,54809898,5,C,20,,,
57300345,54809899,5,C,20,,,
57300346,54809900,49,C,25,0,F,
57317065,54819519,44,C,25,,,
57304436,54809901,45,C,20,,,
57301420,54809902,51,C,20,,,
57302429,54809903,14,C,18,,,
57300469,54809904,51,C,25,,,
57300470,54809904,5,C,25,,,
57301421,54809905,16,C,7,,,
57304437,54809906,44,C,20,,,
57304438,54809907,51,C,18,,,
57301023,54809908,28,C,13,,,
57301024,54809909,51,C,20,,,
57304439,54809910,18,C,18,,,
57299878,54809911,5,C,25,,,
57299879,54809912,51,C,18,,,
57302430,54809913,27,C,3,,,
57302431,54809913,16,C,13,,,
57301422,54809914,51,C,13,,,
57304440,54809915,51,C,13,,,
57301025,54809916,46,C,18,,,
57300471,54809917,51,C,20,,,
57300347,54809918,51,C,20,,,
57299880,54809919,5,C,20,,,
57304441,54809920,44,C,20,,,
57304442,54809921,51,C,20,,,
57304443,54809921,5,C,20,,,
57301026,54809922,51,C,20,,,
57300472,54809923,21,C,20,,,
57300348,54809924,14,C,13,,,
57304444,54809925,45,C,20,,,
57301423,54809926,41,C,20,,,
57301027,54809927,45,C,25,,,
57302432,54809928,5,C,20,,,
57304445,54809929,5,C,20,,,
57302433,54809930,45,C,20,,,
57300473,54809931,45,C,25,,,
57301424,54809932,49,C,20,0,F,
57304446,54809933,49,C,20,0,N,
57304447,54809933,5,C,20,,,
57302434,54809934,49,C,20,0,F,
57301425,54809935,44,C,20,,,
57301426,54809936,27,C,25,,,
57299881,54809937,44,C,20,,,
57299882,54809938,5,C,18,,,
57304448,54809939,14,C,24,,,
57300349,54809940,5,C,24,,,
57309817,54813750,11,C,25,,,
57300474,54809941,11,C,2,,,
57301028,54809942,5,C,20,,,
57304449,54809943,5,C,20,,,
57301029,54809944,45,C,20,,,
57304450,54809945,45,C,20,,,
57302435,54809946,47,C,22,,,
57302436,54809947,49,C,20,0,N,
57301427,54809948,5,C,12,,,
57304451,54809949,27,C,13,,,
57299883,54809950,51,C,7,,,
57301428,54809951,51,C,20,,,
57300475,54809952,45,C,20,,,
57304452,54809953,27,C,18,,,
57304849,54809954,44,C,20,,,
57304850,54809955,51,C,20,,,
57299884,54809956,51,C,20,,,
57304851,54809957,45,C,20,,,
57306415,54809958,41,C,25,,,
57304453,54809959,44,C,20,,,
57304454,54809960,45,C,8,,,
57301429,54809961,23,C,8,,,
57306416,54809962,21,C,24,,,
57304455,54809963,49,C,20,0,F,
57304852,54809964,49,C,24,0,N,
57299885,54809965,11,C,7,,,
57304456,54809966,11,C,7,,,
57306417,54809967,23,C,12,,,
57304853,54809968,49,C,20,0,N,
57301430,54809969,49,C,25,0,N,
57302437,54809970,45,C,6,,,
57299886,54809971,47,C,22,,,
57304854,54809972,51,C,20,,,
57304855,54809972,21,C,20,,,
57301030,54809973,27,C,20,,,
57301031,54809974,49,C,20,0,N,
57304457,54809975,23,C,8,,,
57307729,54809976,23,C,12,,,
57301032,54809977,44,C,20,,,
57299887,54809978,45,C,22,,,
57301431,54809979,45,C,20,,,
57306418,54809980,51,C,24,,,
57301432,54809981,49,C,20,0,N,
57301433,54809982,45,C,20,,,
57299888,54809983,45,C,3,,,
57302391,54808864,16,C,25,,,
57300220,54808865,5,C,20,,,
57299844,54808866,5,C,20,,,
57300221,54808867,44,C,20,,,
57304405,54808868,51,C,20,,,
57300442,54808869,5,C,20,,,
57304406,54808870,51,C,20,,,
57302392,54808871,51,C,20,,,
57304407,54808872,5,C,18,,,
57301392,54808873,45,C,20,,,
57300222,54808874,27,C,20,,,
57300987,54808875,5,C,3,,,
57300443,54808876,44,C,15,,,
57302393,54808877,51,C,20,,,
57299845,54808878,5,C,13,,,
57302394,54808879,5,C,20,,,
57299846,54808880,14,C,20,,,
57301393,54808881,45,C,20,,,
57301394,54808882,14,C,20,,,
57300309,54808883,44,C,20,,,
57304408,54808884,45,C,20,,,
57299847,54808885,14,C,20,,,
57304409,54808886,5,C,20,,,
57299848,54808887,44,C,25,,,
57299849,54808888,44,C,20,,,
57302395,54808889,5,C,20,,,
57302396,54808890,51,C,20,,,
57300310,54808891,51,C,20,,,
57304410,54808892,14,C,18,,,
57300444,54808893,45,C,13,,,
57302397,54808894,49,C,20,0,F,
57300988,54808895,45,C,10,,,
57304411,54808896,44,C,20,,,
57299850,54808897,5,C,16,,,
57304412,54808898,27,C,20,,,
57302398,54808899,21,C,20,,,
57304413,54808900,44,C,20,,,
57304414,54808901,45,C,19,,,
57300311,54808902,27,C,13,,,
57300312,54808902,39,C,13,,,
57300989,54808903,51,C,13,,,
57300313,54808904,5,C,20,,,
57300445,54808905,5,C,16,,,
57304415,54808906,45,C,18,,,
57300446,54808907,49,C,20,0,F,
57301395,54808908,27,C,20,,,
57302401,54808924,49,C,4,0,F,
57301397,54808925,49,C,20,0,N,
57300993,54808926,51,C,20,,,
57304420,54808927,49,C,20,0,N,
57300448,54808928,45,C,20,,,
57302402,54808929,51,C,20,,,
57300994,54808930,44,C,20,,,
57299853,54808931,45,C,20,,,
57299854,54808932,51,C,20,,,
57299855,54808933,44,C,20,,,
57300995,54808934,45,C,11,,,
57300449,54808935,45,C,20,,,
57301398,54808936,49,C,20,0,F,
57299856,54808937,23,C,8,,,
57300317,54808938,51,C,20,,,
57301399,54808939,16,C,13,,,
57300996,54808940,49,A,20,0,F,
57300997,54808941,27,C,13,,,
57299857,54808942,16,C,22,,,
57300318,54808943,45,C,20,,,
57300319,54808944,14,C,20,,,
57300320,54808944,5,C,20,,,
57300321,54808945,49,C,20,0,F,
57300998,54808946,49,A,20,0,F,
57300999,54808947,45,C,20,,,
57302403,54808948,47,C,24,,,
57300322,54808949,44,C,20,,,
57300323,54808950,45,C,25,,,
57302404,54808951,14,C,20,,,
57302405,54808952,49,C,20,0,F,
57301000,54808953,49,C,20,0,N,
57301400,54808954,49,C,20,0,F,
57301401,54808955,23,C,12,,,
57301402,54808956,5,C,20,,,
57300324,54808957,5,C,21,,,
57299858,54808958,45,C,25,,,
57300450,54808959,44,C,20,,,
57300451,54808960,51,C,20,,,
57302406,54808961,44,C,20,,,
57304421,54808962,23,C,24,,,
57299859,54808963,23,C,12,,,
57304422,54808964,45,C,20,,,
57299860,54808965,28,C,20,,,
57301403,54808966,51,C,20,,,
57301001,54808967,51,C,15,,,
57300452,54808968,49,A,5,0,F,
57301002,54808969,5,C,20,,,
57299861,54808970,23,C,12,,,
57301404,54808971,5,C,20,,,
57301405,54808972,51,C,20,,,
57301003,54808973,16,C,13,,,
57301406,54808974,45,C,20,,,
57304423,54808975,5,C,20,,,
57300325,54808976,36,C,20,,,
57301407,54808977,51,C,20,,,
57302407,54808978,36,C,20,,,
57300326,54808979,45,C,20,,,
57301004,54808980,45,C,20,,,
57300453,54808981,51,C,20,,,
57302408,54808982,5,C,20,,,
57299862,54808983,49,C,19,1,F,
57304424,54808984,14,C,3,,,
57304416,54808909,5,C,20,,,
57300314,54808910,49,C,20,0,F,
57300315,54808910,5,C,20,,,
57304417,54808911,51,C,20,,,
57302399,54808912,23,C,8,,,
57301396,54808913,45,C,25,,,
57300990,54808914,5,C,20,,,
57304418,54808915,49,C,20,0,N,
57304419,54808916,49,C,4,0,F,
57299851,54808917,27,C,20,,,
57300316,54808918,45,C,2,,,
57302400,54808919,45,C,25,,,
57300447,54808920,49,C,24,0,F,
57300991,54808921,41,C,20,,,
57299852,54808922,14,C,20,,,
57300992,54808923,21,C,20,,,
57300327,54808985,51,C,20,,,
57300328,54808986,51,C,20,,,
57302409,54808987,45,C,20,,,
57300454,54808988,21,C,20,,,
57299863,54808989,5,C,20,,,
57302410,54808990,5,C,20,,,
57300329,54808991,45,C,20,,,
57300455,54808992,49,C,20,0,N,
57301408,54808993,51,C,20,,,
57304425,54808994,41,C,7,,,
57302411,54808995,49,C,20,0,F,
57301409,54808996,5,C,20,,,
57301410,54808997,51,C,20,,,
57301005,54808998,27,C,20,,,
57301006,54808998,51,C,20,,,
57301007,54808999,49,C,20,0,F,
57301008,54809000,45,C,20,,,
57302412,54809001,5,C,3,,,
57300456,54809002,44,C,20,,,
57302413,54809003,49,C,25,0,N,
57304426,54809004,14,C,20,,,
57299864,54809005,14,C,20,,,
57300330,54809006,49,A,20,0,F,
57300331,54809006,5,C,20,,,
57300332,54809006,39,C,20,,,
57299865,54809007,49,C,20,0,F,
57301009,54809008,14,C,20,,,
57301411,54809009,14,C,20,,,
57300333,54809010,49,C,19,1,F,
57300457,54809011,45,C,20,,,
57304427,54809012,14,C,20,,,
57301412,54809013,49,C,20,0,N,
57301413,54809014,5,C,20,,,
57301078,54811824,49,C,20,0,F,
57301469,54811862,45,C,24,,,
57304495,54811874,11,C,12,,,
57306468,54811875,14,C,25,,,
57307766,54811889,45,C,25,,,
57299889,54810792,51,C,25,,,
57299890,54810792,5,C,25,,,
57301434,54810793,51,C,20,,,
57306419,54810794,5,C,20,,,
57299891,54810795,51,C,20,,,
57306420,54810796,51,C,22,,,
57299892,54810797,45,C,23,,,
57301435,54810798,45,C,20,,,
57301033,54810799,51,C,20,,,
57307730,54810800,35,C,20,,,
57304458,54810801,16,C,13,,,
57304459,54810801,35,C,13,,,
57307731,54810802,27,C,20,,,
57299893,54810803,16,C,13,,,
57299894,54810803,35,C,13,,,
57307732,54810804,51,C,20,,,
57306421,54810805,45,C,20,,,
57301034,54810806,51,C,20,,,
57307733,54810807,45,C,25,,,
57304856,54810808,27,C,20,,,
57301035,54810809,49,C,20,0,N,
57307734,54810810,49,C,20,0,N,
57306422,54810811,14,C,20,,,
57304857,54810812,5,C,20,,,
57307735,54810813,45,C,20,,,
57301436,54810814,45,C,16,,,
57306423,54810815,45,C,24,,,
57306913,54810816,45,C,24,,,
57306914,54810817,51,C,16,,,
57304858,54810818,44,C,20,,,
57301036,54810819,51,C,20,,,
57304460,54810820,51,C,20,,,
57304461,54810821,51,C,20,,,
57306915,54810822,51,C,20,,,
57307736,54810823,21,C,25,,,
57307737,54810823,5,C,25,,,
57301037,54810824,5,C,20,,,
57304462,54810825,51,C,20,,,
57307738,54810826,45,C,10,,,
57306916,54810827,21,C,20,,,
57307739,54810828,45,C,23,,,
57301437,54810829,51,C,20,,,
57301438,54810829,5,C,20,,,
57306424,54810830,27,C,13,,,
57304463,54810831,45,C,6,,,
57301439,54810832,51,C,20,,,
57301038,54810833,27,C,20,,,
57301039,54810833,51,C,20,,,
57306425,54810834,44,C,20,,,
57306426,54810835,5,C,20,,,
57307740,54810836,44,C,20,,,
57301440,54810837,45,C,21,,,
57306917,54810838,49,C,20,0,N,
57301040,54810839,49,C,20,0,N,
57306427,54810840,51,C,20,,,
57301041,54810841,51,C,20,,,
57306918,54810842,21,C,20,,,
57301042,54810843,51,C,20,,,
57304464,54810844,27,C,20,,,
57301441,54810845,45,C,20,,,
57304465,54810846,49,C,5,0,F,
57304466,54810847,14,C,20,,,
57301043,54810848,41,C,8,,,
57307741,54810849,49,C,22,0,F,
57301442,54810850,44,C,20,,,
57301443,54810851,51,C,22,,,
57307742,54810852,11,C,24,,,
57306428,54810853,16,C,13,,,
57306429,54810854,45,C,20,,,
57306430,54810855,45,C,20,,,
57306431,54810855,11,C,25,,,
57304467,54810856,21,C,25,,,
57306919,54810857,14,A,20,,,
57304468,54810858,14,C,18,,,
57304469,54810859,11,C,22,,,
57301444,54810860,45,C,5,,,
57301445,54810861,49,C,20,0,F,
57301446,54810862,51,C,23,,,
57306432,54810863,5,C,15,,,
57306920,54810864,44,C,25,,,
57306921,54810865,51,C,20,,,
57304470,54810866,23,C,24,,,
57304859,54810867,14,C,20,,,
57304860,54810867,11,C,2,,,
57306433,54810868,44,C,20,,,
57301044,54810869,27,C,20,,,
57304861,54810870,16,C,25,,,
57304862,54810871,27,C,20,,,
57304863,54810871,51,C,20,,,
57304471,54810872,14,C,18,,,
57304864,54810873,45,C,2,,,
57301045,54810874,45,C,20,,,
57304865,54810875,45,C,20,,,
57301447,54810876,51,C,13,,,
57301448,54810877,49,C,20,0,N,
57301046,54810878,23,C,24,,,
57304866,54810879,45,C,20,,,
57301047,54810880,27,C,20,,,
57301048,54810881,45,C,20,,,
57306434,54810882,5,C,20,,,
57301049,54810883,49,C,20,0,F,
57306435,54810884,51,C,25,,,
57304867,54810885,51,C,7,,,
57306436,54810886,27,C,20,,,
57306437,54810887,16,C,13,,,
57301050,54810888,14,C,12,,,
57304472,54810889,40,C,24,,,
57306922,54810890,39,C,20,,,
57306923,54810891,51,C,20,,,
57306924,54810891,21,C,20,,,
57306438,54810892,45,C,20,,,
57306439,54810893,51,C,20,,,
57301449,54810894,45,C,20,,,
57304868,54810895,23,C,24,,,
57301051,54810896,49,C,25,0,F,
57306440,54810897,49,C,6,0,F,
57301052,54810898,44,C,20,,,
57304869,54810899,44,C,20,,,
57306925,54810900,45,C,20,,,
57304870,54810901,5,C,5,,,
57304473,54810902,41,C,20,,,
57301450,54810903,27,C,20,,,
57301451,54810903,5,C,20,,,
57301053,54810904,45,C,20,,,
57306441,54810905,51,C,20,,,
57304474,54810906,51,C,20,,,
57304871,54810907,5,C,20,,,
57301452,54810908,51,C,20,,,
57306926,54810909,27,C,13,,,
57304872,54810910,51,C,13,,,
57301453,54810911,44,C,13,,,
57301054,54810912,21,C,3,,,
57301055,54810913,14,C,25,,,
57301056,54810913,45,C,25,,,
57306927,54810914,21,C,20,,,
57301057,54810915,14,C,20,,,
57306442,54810916,39,C,10,,,
57304873,54810917,49,C,20,0,N,
57306928,54810918,51,C,20,,,
