victim_id,injury_id
62599660,5
62599675,5
62599677,5
62599678,5
62599683,5
62599685,5
62599687,4
62599688,5
62598536,5
62598537,5
62598539,5
62598540,4
62598543,5
62598548,4
62598554,5
62598555,5
62598557,5
62598558,5
62598577,4
62598581,5
62598583,4
62598587,5
62598591,5
62598604,5
62598603,5
62598605,4
62598606,5
62639787,5
62606096,5
62598623,4
62598624,4
62598630,5
62598638,5
62598639,4
62598640,5
62598642,5
62598643,5
62598644,5
62598641,5
62598648,5
62598649,5
62598650,5
62597527,5
62597532,5
62597533,5
62597534,5
62597542,5
62597548,5
62598651,4
62598653,5
62598658,6
62598659,4
62598661,5
62598662,5
62598663,5
62598666,5
62598667,5
62598674,5
62599696,5
62599698,5
62599710,5
62599711,4
62599720,5
62599722,4
62599723,4
62599727,5
62599731,4
62599736,4
62599738,4
62599740,5
62599746,5
62599755,5
62600642,5
62600643,5
62600644,5
62600645,5
62600648,5
62600649,5
62600654,5
62598682,5
62598689,5
62598693,5
62598696,4
62598697,4
62598699,4
62598700,4
62599595,4
62599606,4
62599610,5
62599609,5
62599611,2
62597557,5
62597560,4
62597561,4
62597563,5
62597583,4
62597595,5
62597596,5
62597598,5
62597599,5
62597609,5
62597608,4
62597617,5
62597622,5
62597623,4
62597624,5
62599620,5
62599624,4
62599627,5
62599629,5
62599630,5
62599631,4
62599634,5
62599638,4
62599639,4
62599640,6
62599641,5
62599643,5
62599644,5
62599645,4
62597627,5
62597641,4
62597644,5
62601844,4
62601852,4
62601857,5
62601860,5
62601861,5
62601864,4
62601866,4
62601870,4
62601874,5
62601875,4
62602776,5
62602778,5
62602782,5
62602785,5
62602790,5
62602791,5
62602795,5
62602813,4
62602814,4
62602816,4
62600763,5
62600765,5
62600766,5
62600770,5
62600771,5
62600772,4
62600775,1
62600776,4
62600777,5
62600788,5
62600796,5
62600794,5
62600809,4
62600810,4
62601708,5
62601709,5
62601711,5
62602825,4
62602831,5
62602832,5
62602840,4
62602841,6
62602847,4
62602849,4
62602857,5
62602868,5
62601726,5
62600658,5
62600659,5
62600663,5
62601735,5
62601742,5
62601743,4
62601745,4
62601746,4
62601765,5
62601766,5
62601769,5
62601773,4
62601780,4
62601784,4
62601785,5
62601789,5
62601793,5
62601796,5
62601795,5
62600668,4
62600669,5
62600675,5
62600679,5
62600689,5
62600688,5
62600695,5
62600696,4
62600698,4
62600699,4
62600706,5
62600707,5
62600708,4
62600711,5
62600716,5
62600724,5
62600727,5
62600728,5
62600729,5
62600730,5
62600739,4
62600744,5
62601810,5
62601811,4
62601816,5
62601831,5
62601832,5
62601837,5
62601838,5
62601839,5
62601840,4
62600759,5
62605042,5
62605051,5
62605054,4
62605058,5
62605059,5
62605966,5
62605970,5
62605972,5
62605986,5
62603977,4
62603978,4
62603979,4
62603980,4
62603981,4
62603982,5
62603983,5
62602903,4
62602912,4
62602911,5
62602925,5
62602926,5
62602927,5
62602928,4
62602930,5
62602933,5
62603839,4
62605988,5
62605994,4
62605995,4
62606003,5
62606010,4
62606022,5
62606025,4
62606030,5
62606031,5
62606032,4
62606033,4
62606034,4
62603984,5
62603994,4
62603995,4
62604000,4
62604001,4
62604895,5
62604902,4
62604908,5
62604909,5
62604914,4
62604933,3
62604935,5
62604936,5
62606046,5
62606047,4
62606052,5
62606057,4
62606058,5
62606061,5
62606066,5
62606067,5
62606070,4
62606071,4
62606081,1
62606084,4
62606085,4
62604938,5
62604939,5
62604949,5
62604948,5
62604951,5
62604952,5
62604957,5
62603848,5
62603851,5
62603855,5
62603856,5
62603872,5
62603884,5
62603892,5
62603898,5
62603899,4
62603900,4
62603902,5
62603904,5
62603905,4
62603906,5
62603907,4
62603919,4
62603921,5
62603922,4
62603937,5
62608118,5
62606126,5
62607018,6
62607023,5
62607025,4
62606097,4
62606098,5
62604963,4
62604964,5
62604965,5
62604968,5
62604971,5
62604970,5
62604972,4
62604973,4
62604979,5
62604982,5
62604983,5
62604987,5
62604989,5
62604990,4
62604992,5
62604999,4
62605003,4
62605004,4
62605009,5
62605024,5
62605025,5
62605027,5
62605033,5
62605034,5
62605036,5
62603940,5
62603941,5
62603949,5
62602873,4
62602875,4
62602874,4
62602879,4
62602880,4
62602884,5
62602890,5
62602899,5
62603959,5
62603960,4
62603961,5
62603966,5
62603965,5
62607169,4
62609239,5
62609240,5
62609241,5
62609242,5
62609243,4
62609251,5
62609250,5
62609252,5
62609253,5
62609254,5
62609255,5
62609259,5
62609262,5
62609264,4
62609265,4
62609269,5
62609270,5
62609271,5
62609272,4
62609273,4
62608238,5
62608241,5
62608248,5
62608249,5
62609158,4
62609161,5
62609162,5
62609164,5
62609279,5
62609284,5
62609285,4
62609286,4
62609287,4
62609289,5
62609298,4
62609301,5
62609305,4
62609317,5
62610227,5
62610228,5
62610229,4
62610244,4
62610246,4
62610248,4
62610251,4
62608092,5
62608093,4
62608097,4
62608100,5
62608111,5
62608115,5
62608116,5
62608123,4
62608127,5
62608128,5
62608129,5
62610260,4
62610261,5
62610268,5
62610271,5
62610274,5
62610291,5
62610290,5
62610294,5
62607029,4
62607030,4
62610298,5
62610300,5
62610308,4
62610309,4
62610310,8
62610311,5
62610312,5
62607041,4
62607048,5
62607049,5
62607053,5
62607054,5
62607067,5
62607072,5
62607073,5
62607074,4
62607076,4
62607077,1
62607082,4
62607084,5
62607086,5
62607093,5
62607097,5
62607101,5
62607102,4
62607103,4
62608144,5
62608146,3
62608147,5
62608149,4
62608150,4
62608155,5
62608159,5
62608169,5
62608178,5
62608180,5
62608182,5
62608184,4
62608191,5
62608190,5
62608197,5
62608208,5
62608216,5
62608222,5
62608224,5
62610352,5
62610376,5
62609171,5
62609172,5
62609173,5
62609174,4
62609175,5
62609176,5
62607113,5
62607116,5
62607117,5
62607123,5
62607127,5
62607136,4
62607141,5
62607143,5
62607144,5
62607145,5
62607149,6
62607150,5
62607162,5
62607163,5
62607168,5
62607170,5
62607172,5
62607177,5
62607178,5
62607180,4
62608084,5
62607183,5
62607184,5
62607185,5
62607186,5
62608080,5
62608081,5
62608082,5
62608083,5
62608085,5
62608086,5
62608087,4
62609177,4
62609180,4
62609183,4
62609187,5
62609188,5
62609192,5
62609194,5
62609210,5
62609217,5
62609218,5
62609220,4
62609224,4
62609225,4
62609226,4
62609227,8
62613523,1
62613524,5
62613525,3
62613531,5
62611366,4
62611367,5
62611369,6
62613532,4
62613536,5
62613537,5
62613538,5
62613552,2
62613553,5
62613560,5
62613567,5
62613569,4
62613570,5
62613572,5
62613579,5
62613580,5
62613586,5
62613587,4
62613601,4
62613602,4
62613606,4
62613608,4
62613609,4
62614512,4
62614513,5
62614514,5
62614515,5
62614516,4
62614517,5
62614518,4
62612443,5
62612449,4
62612460,5
62612462,5
62612466,4
62612467,4
62612469,5
62612473,5
62612474,4
62612486,5
62611381,5
62611384,5
62611393,5
62611401,5
62611402,5
62611404,4
62611405,4
62611406,5
62611408,4
62611416,5
62611423,5
62611424,4
62611425,5
62611429,5
62611433,5
62611438,5
62611452,4
62611453,5
62611454,5
62611456,5
62611457,4
62611458,4
62611459,4
62614527,5
62612493,5
62612494,5
62612500,5
62612505,5
62612512,5
62614538,5
62614539,4
62614542,5
62612516,5
62612517,5
62612518,5
62612520,5
62612521,5
62612522,5
62612525,5
62612526,5
62612528,5
62612539,5
62612541,5
62612542,5
62612543,5
62613442,5
62613444,3
62613447,5
62613448,5
62613449,4
62613452,4
62613453,5
62613455,5
62613461,5
62613465,5
62613474,5
62613475,5
62613484,5
62613483,5
62613485,5
62611463,4
62611467,5
62611468,5
62612375,5
62612376,6
62612381,5
62612382,5
62612392,4
62612393,4
62612394,4
62612396,4
62612398,5
62612399,5
62612401,5
62612402,5
62610316,4
62610319,4
62610320,1
62610321,4
62610322,4
62610328,5
62610331,5
62610333,5
62610338,5
62610343,5
62610345,5
62610346,5
62610347,5
62610348,4
62610350,4
62610351,5
62610354,5
62610356,5
62610357,5
62610358,5
62610359,5
62610360,5
62610367,5
62610370,5
62610371,4
62610372,5
62612409,4
62612411,4
62612415,5
62612424,5
62612435,5
62612438,5
62610378,4
62610381,5
62610385,5
62611306,5
62611307,5
62611315,5
62611317,5
62611318,5
62613490,5
62613491,5
62613492,5
62613494,5
62613495,5
62613496,4
62613502,5
62613503,8
62613507,5
62613508,5
62613509,5
62613510,5
62613511,5
62613514,1
62613520,4
62613522,4
62611328,4
62611329,5
62611334,5
62611336,5
62611340,5
62611342,4
62611348,4
62611349,5
62611350,4
62611351,3
62611352,5
62611353,5
62611362,5
62616773,5
62616774,5
62616775,4
62616789,5
62616790,5
62616801,5
62616802,5
62616812,5
62616815,5
62615697,5
62615703,5
62615705,4
62615707,5
62615708,5
62615714,5
62615720,4
62615721,5
62615736,4
62615740,5
62615745,5
62615750,5
62615751,5
62614608,4
62614614,5
62614616,4
62614619,4
62614631,5
62614632,4
62614639,4
62614641,5
62614643,4
62614645,4
62614646,4
62614647,4
62614648,1
62616649,4
62616665,5
62616666,5
62616677,4
62616679,5
62614659,4
62614661,5
62617716,4
62617717,5
62617720,4
62617721,5
62617722,4
62617723,4
62617724,4
62617725,4
62617728,5
62617735,5
62617737,5
62617745,5
62617747,5
62617750,4
62617751,5
62617758,5
62617768,4
62617769,1
62617773,4
62617774,5
62617776,5
62617777,4
62617779,5
62617783,4
62617795,4
62617796,5
62617803,5
62616686,5
62616687,5
62616697,5
62616703,5
62616704,5
62616707,5
62616711,4
62616713,4
62614672,4
62614673,5
62615581,5
62615585,4
62615586,5
62615587,5
62615588,5
62615595,5
62615605,5
62615610,5
62615612,5
62615623,5
62615624,5
62616721,5
62616725,4
62616729,5
62616730,5
62616732,5
62616733,4
62616734,5
62616743,4
62616749,5
62616748,5
62616750,5
62616754,5
62615630,5
62615642,5
62615644,5
62615646,4
62615649,4
62615650,5
62615654,5
62615653,5
62615655,5
62617806,5
62617820,4
62617822,4
62617826,5
62617828,5
62615673,5
62615674,4
62615678,5
62615684,5
62615683,4
62615685,5
62615686,5
62615687,5
62615689,5
62615690,4
62614549,4
62614552,5
62614558,5
62614562,5
62614568,5
62614569,5
62614570,5
62614571,5
62614573,5
62614583,5
62614587,5
62614593,5
62614596,5
62614597,5
62614600,5
62614603,5
62617830,5
62617832,7
62617837,4
62617838,5
62620015,5
62617842,4
62617845,5
62617846,5
62617848,4
62617849,4
62617850,5
62616764,5
62619877,5
62619878,5
62619886,4
62619887,4
62619910,5
62619911,5
62619927,5
62619928,5
62619933,5
62619936,5
62619939,4
62619950,5
62619955,5
62619963,5
62617856,5
62617863,4
62617868,4
62617872,4
62617873,4
62618782,5
62618786,5
62618787,5
62618795,5
62618796,5
62618799,5
62618801,4
62618803,6
62618804,5
62618806,5
62618805,5
62618810,4
62618812,5
62618817,6
62618822,5
62618826,5
62618830,4
62619967,4
62621080,5
62621087,5
62621088,5
62618833,4
62621089,5
62621098,5
62621997,5
62622001,4
62622002,4
62622007,5
62622013,5
62622014,4
62622015,5
62622023,5
62622027,4
62622028,5
62622033,2
62621018,4
62621019,4
62621021,4
62621022,4
62621023,4
62621025,5
62621027,5
62621029,4
62621030,5
62621033,5
62621035,5
62621037,5
62621041,5
62619975,5
62619976,5
62619977,4
62619979,5
62619980,4
62619981,5
62619983,5
62619986,5
62619988,4
62619991,5
62619997,4
62619998,4
62618834,5
62618835,5
62618841,4
62618842,4
62618843,4
62618846,5
62618855,5
62618856,5
62618875,5
62618879,4
62618889,4
62618891,5
62618903,5
62621047,5
62621054,5
62621064,5
62621065,5
62621077,5
62622034,4
62622035,4
62622045,4
62622061,5
62622062,5
62620003,4
62620005,4
62620006,5
62620010,5
62620009,5
62618912,5
62618915,5
62618916,5
62618939,5
62618942,5
62618945,5
62618946,5
62618947,5
62619860,4
62619865,5
62619866,4
62619873,4
62620011,5
62620020,5
62620927,5
62620928,4
62620929,5
62620935,5
62620944,5
62620947,5
62620948,5
62620949,5
62620950,4
62620965,4
62620972,5
62620973,4
62620982,5
62620992,5
62620993,4
62620995,5
62620994,5
62623138,5
62624056,5
62624057,4
62624059,5
62624065,5
62624066,4
62624069,4
62624071,4
62624072,5
62624075,5
62624076,5
62624083,5
62624087,5
62624090,5
62624091,5
62624096,5
62624109,4
62625007,5
62625010,5
62625011,5
