property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
71832667,63837391,4,,,
71832668,63837391,4,,,
71843249,63837392,4,,,
71843250,63837392,7,,,
71832669,63837393,4,,,
71832670,63837393,4,,,
71832671,63837393,7,,,
71826466,63837394,7,,,
71826467,63837394,7,,,
71826468,63837394,7,,,
71826469,63837394,7,,,
71826470,63837394,7,,,
71826471,63837394,7,,,
71826472,63837395,4,,,
71829481,63837396,7,,,
71837638,63837399,7,,,
71843251,63837400,7,,,
71843252,63837402,4,,,
71843253,63837402,4,,,
71843254,63837402,7,,,
71826902,63837403,6,,,
71826903,63837403,6,,,
71826904,63837405,7,,,
71843255,63837406,4,,,
71843256,63837406,7,,,
71843257,63837406,7,,,
71843258,63837406,7,,,
71832672,63837407,4,,,
71843259,63837408,4,,,
71826905,63837409,4,,,
71832673,63837411,7,,,
71826473,63837413,4,,,
71832674,63837414,4,,,
71834080,63837416,4,,,
71826474,63837417,7,,,
71843260,63837418,4,,,
71826475,63837419,3,,,
71837639,63837420,7,,,
71837640,63837420,7,,,
71834081,63837421,7,,,
71837641,63837424,4,,,
71837642,63837425,7,1,,
71832675,63837427,7,,,
71826906,63837428,1,,,
71826907,63837428,4,,,
71837643,63837429,7,,,
71837644,63837429,7,,,
71837645,63837429,7,,,
71826908,63837430,7,,,
71822665,63837432,4,,,
71826909,63837433,7,0,,
71826910,63837434,7,1,,
71843261,63837435,7,,,
71834082,63837436,7,,,
71829482,63837437,5,,,
71826911,63837438,7,,,
71829483,63837440,7,,,
71837646,63837441,4,,,
71826476,63837442,4,,,
71837647,63837443,7,,,
71826477,63837444,7,,,
71822666,63837445,4,,,
71822667,63837445,7,,,
71822668,63837445,7,,,
71834083,63837446,7,,,
71822669,63837449,4,,,
71822670,63837450,7,,,
71822671,63837452,7,,,
71829484,63837454,7,,,
71829485,63837454,7,0,,
71829486,63837454,7,,,
71843262,63837455,7,,,
71837648,63837456,7,,,
71822672,63837458,5,,0,
71822673,63837458,7,0,,
71826912,63837462,1,,,
71826478,63837463,1,,,
71837649,63837464,7,,,
71822674,63837470,7,,,
71834084,63837471,7,,,
71826479,63837472,1,,,
71837650,63837473,6,,,
71837651,63837473,6,,,
71829487,63837474,7,,,
71826480,63837475,7,,,
71843263,63837476,7,,,
71826481,63837477,7,,,
71826482,63837479,1,,,
71843264,63837480,1,,,
71832676,63837481,7,1,,
71843265,63837482,4,,,
71829488,63837483,4,,,
71826483,63837484,7,,,
71832677,63837486,7,1,,
71826913,63837487,7,,,
71837652,63837489,4,,,
71826484,63837491,7,,,
71829489,63837495,7,,,
71843266,63837496,7,1,,
71826485,63837500,7,,,
71834085,63837502,7,,,
71822675,63837505,4,,,
71826486,63837507,7,,,
71834086,63837508,4,,,
71826914,63837509,5,,,
71826487,63837510,6,,,
71832678,63837511,7,,,
71832679,63837511,7,,,
71829490,63837512,7,,,
71832680,63837513,3,,,
71826488,63837514,7,,,
71829491,63837515,7,,,
71837653,63837516,4,,,
71826915,63837520,7,,,
71834087,63837521,4,,,
71829492,63837522,7,,,
71843267,63837523,7,,,
71837654,63837524,7,,,
71829493,63837525,7,,,
71832681,63837526,4,,,
71832682,63837526,7,,,
71826916,63837527,1,,,
71826489,63837528,7,,,
71843268,63837529,7,,,
71826490,63837531,7,,,
71839080,63837532,7,,,
71832683,63837533,7,,,
71832684,63837533,7,,,
71843269,63837536,7,,,
71829494,63837537,4,,,
71829495,63837537,7,,,
71826491,63837538,7,,,
71834088,63837539,7,,,
71826917,63837543,7,2,,
71835044,63837545,6,,,
71834089,63837545,4,,,
71837655,63837546,1,,,
71838618,63837546,4,,,
71839081,63837547,7,,,
71832685,63837548,7,,,
71857670,63854205,7,,,
71839085,63838473,7,,,
71826928,63838474,7,,,
71826511,63838557,7,,,
71838632,63838559,7,,,
71838633,63838560,7,,,
71838634,63838560,7,,,
71832694,63838562,7,,,
71832695,63838562,7,,,
71844245,63838564,5,,,
71844246,63838564,5,,,
71835058,63838565,3,,,
71838635,63838566,7,,,
71829505,63838567,4,,,
71826932,63838568,4,,,
71826933,63838568,7,0,,
71829506,63838571,7,1,,
71838636,63838573,1,,,
71835059,63838574,6,,,
71835060,63838575,5,,,
71835061,63838575,7,,,
71838637,63838577,4,,,
71826934,63838578,7,,,
71838638,63838579,4,,,
71826935,63838581,7,,,
71826512,63838582,5,,1,
71826513,63838582,7,1,,
71829507,63838583,5,,0,
71839091,63838584,7,,,
71839092,63838585,7,1,,
71826936,63838586,3,,,
71838639,63838588,7,,,
71835062,63838589,7,,,
71844247,63838591,4,,,
71826514,63838593,7,,,
71826937,63838594,1,,,
71826938,63838594,4,,,
71835063,63838595,7,,,
71844248,63838596,5,,1,
71844249,63838596,7,1,,
71826939,63838597,7,,,
71826515,63838598,7,,,
71826492,63838440,7,,,
71832686,63838441,4,,,
71835045,63838442,7,,,
71835046,63838442,7,,,
71826918,63838443,7,,,
71826919,63838444,1,,,
71826920,63838444,3,,,
71826921,63838445,7,,,
71826922,63838446,7,,,
71835049,63838475,7,,,
71835050,63838475,7,0,,
71835051,63838475,7,,,
71844235,63838478,7,,,
71844236,63838479,4,,,
71835052,63838481,6,,,
71832688,63838482,4,,,
71838622,63838483,7,,,
71844237,63838484,7,,,
71844238,63838484,7,,,
71826929,63838485,6,,,
71844239,63838486,7,0,,
71826495,63838487,5,,,
71826496,63838487,7,,,
71826497,63838489,7,,,
71835053,63838490,7,,,
71826498,63838494,7,,,
71829498,63838495,7,,,
71829499,63838495,7,,,
71844240,63838497,7,,,
71826499,63838498,7,,,
71844241,63838499,7,,,
71838623,63838501,4,,,
71844242,63838502,7,,,
71826500,63838503,7,,,
71835054,63838505,7,,,
71838624,63838506,4,,,
71832689,63838508,4,,,
71839086,63838509,6,,,
71829500,63838511,4,,,
71835055,63838512,7,,,
71826501,63838513,5,,1,
71826502,63838513,7,1,,
71832690,63838514,7,,,
71826503,63838518,7,,,
71835056,63838520,4,,,
71838625,63838521,4,,,
71839087,63838524,4,,,
71835057,63838532,4,,,
71838626,63838533,4,,,
71844243,63838535,7,1,,
71826504,63838537,4,,,
71838627,63838538,3,,,
71838628,63838539,7,,,
71838629,63838539,7,,,
71829501,63838540,4,,,
71829502,63838540,7,,,
71844244,63838541,7,,,
71826930,63838542,4,,,
71826505,63838543,7,,,
71826506,63838543,7,,,
71829503,63838545,7,,,
71832691,63838546,7,,,
71826507,63838547,3,,,
71826508,63838549,4,,,
71826509,63838549,4,,,
71826510,63838549,7,,,
71838630,63838550,4,,,
71838631,63838550,7,,,
71829504,63838551,7,,,
71829511,63839547,7,,,
71844251,63839548,7,,,
71826944,63839552,7,,,
71829512,63839555,1,,,
71826945,63839556,6,,,
71832699,63839557,4,,,
71844252,63839558,7,,,
71844253,63839558,7,,,
71826525,63839559,7,,,
71826526,63839559,7,,,
71829513,63839561,1,,,
71826527,63839562,1,,,
71826528,63839562,4,,,
71839104,63839563,7,,,
71826529,63839564,7,,,
71829514,63839565,4,,,
71835067,63839566,7,,,
71835068,63839566,7,,,
71838645,63839567,7,,,
71839105,63839568,7,,,
71839106,63839569,7,,,
71835069,63839570,7,,,
71826946,63839572,7,,,
71835070,63839573,7,0,,
71838646,63839574,6,,,
71826530,63839578,4,,,
71839107,63839579,4,,,
71826947,63839581,7,,,
71826948,63839581,7,,,
71839108,63839582,7,,,
71839109,63839582,7,,,
71839110,63839584,4,,,
71826493,63838448,7,1,,
71843270,63838450,1,,,
71838619,63838451,7,,,
71838620,63838452,1,,,
71826923,63838453,7,,,
71843271,63838454,7,,,
71843272,63838455,7,,,
71839082,63838457,3,,,
71826924,63838458,4,,,
71843273,63838459,7,,,
71826925,63838460,3,,,
71838621,63838461,7,,,
71835047,63838463,7,1,,
71826926,63838465,7,,,
71829496,63838466,6,,,
71829497,63838466,6,,,
71832687,63838468,7,,,
71826927,63838469,1,,,
71835048,63838470,4,,,
71826494,63838471,7,,,
71839083,63838472,7,,,
71839084,63838472,7,,,
71832701,63839631,7,,,
71826953,63839632,5,,,
71843359,63839632,7,,,
71835076,63839633,4,,,
71835077,63839633,7,,,
71826540,63839634,6,,,
71826541,63839634,7,,,
71832702,63839635,1,,,
71835078,63839636,4,,,
71844260,63839637,7,,,
71838650,63839638,7,,,
71843360,63839640,7,0,,
71829516,63839641,5,,,
71829517,63839641,7,,,
71839117,63839642,7,,,
71835079,63839643,4,,,
71832692,63838552,5,,,
71832693,63838552,7,,,
71826931,63838553,7,,,
71839088,63838554,7,,,
71839089,63838554,7,,,
71839090,63838555,7,,,
71826898,63836481,7,,,
71822661,63836483,4,,,
71829480,63836485,6,,,
71826899,63836486,7,,,
71837636,63836487,6,,,
71826459,63836488,7,,,
71834078,63836489,3,,,
71822662,63836490,1,,,
71822663,63836490,7,,,
71822664,63836490,7,0,,
71834079,63836491,7,2,,
71837637,63836492,7,,,
71826900,63836493,4,,,
71826901,63836493,4,,,
71826460,63836494,7,,,
71826461,63836494,7,,,
71826462,63836494,7,,,
