victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
76374330,70188344,1,4,,,,5,51,F,1,2,R,,,,
76374332,70188346,1,8,,,,,,,,,,,,,
76374350,70188364,1,9,,,,,,,,,,,,,
76334653,70155058,1,4,,,,5,33,M,2,2,R,,,,
76334654,70155058,2,4,,,,5,15,M,2,2,R,,,,
76334655,70155059,1,4,,,,5,34,F,1,,R,,,,
76334656,70155060,1,4,,,,5,44,F,1,2,R,,,,
76334657,70155061,1,4,,,,4,,M,2,2,R,,,,
76334658,70155062,1,4,,,,5,19,M,1,,R,,,,
76334659,70155062,2,4,,,,5,41,F,1,2,R,,,,
76334660,70155063,1,4,,,,5,62,M,1,2,N,,,,
76334661,70155064,1,4,,,,5,48,F,1,2,R,,,,
76334662,70155065,1,4,,,,4,,M,1,2,R,,,,
76334663,70155066,1,8,,,,,,,,,,,,,
76334664,70155067,1,1,,,,,,,,,,,,,
76334665,70155068,1,4,,,,5,19,F,2,,R,,,,
76334666,70155069,1,4,,,,5,48,F,1,,R,,,,
76334667,70155070,1,4,,,,5,37,F,1,2,N,,,,
76334668,70155070,2,4,,,,5,43,F,1,2,R,,,,
76334669,70155071,1,4,,,,5,61,M,1,2,R,,,,
76334670,70155072,1,4,,,,5,53,F,1,2,R,,,,
76334671,70155073,1,8,,,,,,,,,,,,,
76334672,70155074,1,4,,,,5,46,F,2,2,R,,,,
76334673,70155075,1,1,,,,,,,,,,,,,
76334674,70155076,1,4,,,,5,56,M,1,2,R,,,,
76334675,70155077,1,3,,,,,,,,,,,,,
76334676,70155078,1,4,,,,5,38,M,2,2,R,,,,
76334677,70155079,1,4,,,,5,54,M,1,2,R,,,,
76334678,70155080,1,1,,,,,,,,,,,,,
76334679,70155081,1,4,,,,5,17,M,1,2,R,,,,
76334680,70155082,1,4,,,,5,38,F,2,2,R,,,,
76334681,70155083,1,4,,,,5,11,F,1,2,R,,,,
76334682,70155084,1,4,,,,5,40,M,2,2,R,,,,
76334683,70155085,1,4,,,,5,13,M,1,2,R,,,,
76334684,70155085,2,4,,,,5,15,M,1,2,R,,,,
76334685,70155086,1,4,,,,5,23,M,1,2,N,,,,
76334686,70155087,1,1,,,,,,,,,,,,,
76334687,70155088,1,4,,,,5,29,M,1,2,R,,,,
76334688,70155089,1,4,,,,5,27,M,1,2,R,,,,
76334689,70155090,1,4,,,,5,55,M,1,2,R,,,,
76334690,70155091,1,8,,,,,,,,,,,,,
76334691,70155092,1,4,,,,5,25,F,1,2,R,,,,
76334692,70155093,1,4,,,,5,51,F,2,2,R,,,,
76334693,70155094,1,4,,,,5,18,M,1,,R,,,,
76334695,70155094,3,4,,,,4,,M,1,2,R,,,,
76334694,70155094,2,4,,,,5,47,F,1,2,R,,,,
76334696,70155095,1,4,,,,5,20,M,1,2,R,,,,
76334697,70155096,1,4,,,,5,50,F,1,2,R,,,,
76334698,70155097,1,4,,,,5,26,F,1,2,R,,,,
76334699,70155098,1,1,,,,,,,,,,,,,
76334700,70155099,1,4,,,,5,14,F,1,,R,,,,
76337783,70157072,1,1,,,,,,,,,,,,,
76335725,70156024,1,4,,,,5,17,F,1,2,R,,,,
76335726,70156025,1,4,,,,5,61,F,1,2,R,,,,
76335727,70156026,1,4,,,,5,28,M,2,2,R,,,,
76335728,70156027,1,4,,,,5,54,M,1,2,R,,,,
76335729,70156028,1,4,,,,5,20,M,2,2,R,,,,
76335730,70156029,2,4,,,,5,42,M,1,2,R,,,,
76335731,70156030,1,4,,,,5,48,F,2,2,R,,,,
76338986,70158955,1,1,,,,,,,,,,,,,
76334702,70155100,2,4,,,,5,21,M,2,,R,,,,
76334701,70155100,1,4,,,,5,20,M,2,2,R,,,,
76334703,70155100,3,4,,,,5,21,M,2,2,R,,,,
76334704,70155100,4,4,,,,5,18,M,2,2,R,,,,
76334705,70155101,1,4,,,,5,39,M,1,2,R,,,,
76334706,70155101,2,4,,,,5,34,F,1,2,R,,,,
76334707,70155102,1,4,,,,5,22,M,1,2,N,,,,
76334708,70155102,2,4,,,,5,29,M,1,2,R,,,,
76334709,70155103,1,8,,,,,,,,,,,,,
76334710,70155104,2,4,,,,4,,M,1,2,U,,,,
76334711,70155105,1,1,,,,,,,,,,,,,
76334712,70155106,1,1,,,,,,,,,,,,,
76334713,70155107,1,4,,,,5,31,F,1,2,R,,,,
76334714,70155108,1,1,,,,,,,,,,,,,
76334715,70155109,1,4,,,,5,31,F,1,2,R,,,,
76334716,70155110,1,1,,,,,,,,,,,,,
76334717,70155111,1,1,,,,,,,,,,,,,
76334718,70155112,1,4,,,,5,41,F,1,,R,,,,
76334719,70155113,1,4,,,,5,52,F,1,2,R,,,,
76334720,70155114,1,4,,,,5,36,M,1,2,R,,,,
76334721,70155115,1,4,,,,5,18,F,2,2,R,,,,
76334722,70155116,1,4,,,,5,65,F,2,,R,,,,
76334723,70155117,1,4,,,,5,28,F,2,2,R,,,,
76334724,70155118,1,4,,,,5,16,F,1,2,R,,,,
