property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
88729354,63,1,,88731695
88714159,3,6000,,88721026
88743372,19,15,2014-01-25 00:00:00,88730078
88743373,19,15,,88730079
88743374,20,3000,,88730080
88725099,63,200,,88739918
88729355,63,101,2014-01-25 00:00:00,88731696
88729356,63,101,,88731697
88739877,68,,,88723928
88725100,17,1,,88739919
88725101,20,50,,88739920
88725102,63,2,,88739921
88729357,63,100,,88731698
88729358,13,1,,88731699
88729359,17,2,,88731700
88729360,63,2255,,88731701
88729361,13,300,,88731702
88732396,63,74,,88741552
88725103,13,200,,88739922
88714160,63,500,,88721027
88714161,68,,,88721028
88739878,63,1,,88723929
88743375,16,1,,88730081
88743376,36,150,,88730082
88743377,63,200,,88730083
88725104,63,1077,,88739923
88743378,63,80,,88730084
88729541,20,425,,88734172
88743379,21,1,,88730085
88743380,63,1,,88730086
88743381,63,1,,88730087
88743382,63,1,,88730088
88725105,63,700,,88739924
88729542,63,1930,,88734173
88743383,63,2,,88730089
88714162,19,31,2014-01-27 00:00:00,88721029
88714163,19,31,,88721030
88732397,63,2,,88741553
88725106,63,550,,88739925
88729362,3,1,,88731703
88732398,63,200,,88741554
88743384,11,1,,88730090
88729363,10,0,,88731704
88725107,63,1,,88741055
88729364,63,210,,88731705
88729365,63,30,,88731706
88714164,17,2925,,88721031
88729543,13,599,,88734174
88729544,63,100,,88734175
88725108,20,1,,88741056
88739880,11,2,,88725067
88739879,10,0,,88723930
88739881,10,0,,88725068
88739882,20,1,,88725069
88714165,63,1150,,88721032
88739883,10,0,,88725070
88739884,11,2,,88725071
88739885,20,140,,88725072
88725109,3,15000,,88741057
88729545,63,1,,88734176
88725110,63,3,,88741058
88714166,63,1,,88721033
88729366,63,1,,88731707
88732399,63,1,,88741555
88729546,10,0,,88734177
88729547,11,1,,88734178
88725111,63,18,,88741059
88729548,63,100,,88734179
88729549,63,40,,88734180
88729367,68,,,88731708
88739886,68,,,88725073
88714167,63,2500,,88721034
88739887,63,500,,88725074
88729568,63,800,,88735335
88764977,13,200,,88824288
88731020,20,114,,88739040
88714142,16,1,,88721009
88729527,63,1,,88734158
88714168,3,16000,,88721035
88733253,63,1000,,88735603
88739888,63,2,,88725075
88729550,20,450,,88734181
88724234,63,1,,88726545
88729330,63,70,2014-01-18 00:00:00,88730525
88729331,63,70,,88731672
88729332,68,,,88731673
88729333,13,300,,88731674
88729528,38,1,,88734159
88729529,63,1,,88734160
88729334,20,600,,88731675
88729335,63,1,,88731676
88731021,8,1,,88739041
