"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,96000760,17,600,,100690080
2017,96000760,20,1,,100690086
2017,96000914,20,220,,100690267
2017,96001009,63,1,,100690377
2017,96001062,16,600,,100690454
2017,96001062,36,300,,100690455
2017,96001059,36,300,20-JUN-17,100690452
2017,96001059,16,600,21-JUN-17,100690449
2017,96001121,63,30,,100690525
2017,103690498,63,1,,110696001
2017,103690498,10,,,110696000
2017,103690875,37,300,,110696489
2017,103690953,10,,,110696585
2017,103690953,11,5,,110696586
2017,103690978,10,,,110696618
2017,103691120,10,,,110696794
2017,103691120,11,12,,110696796
2017,103691293,63,120,,110697002
2017,103691295,10,,,110697003
2017,94230820,20,100,,98397078
2017,94230824,10,,,98397075
2017,94230824,11,1,,98397079
2017,94230834,10,,,98397097
2017,94230830,10,,,98397092
2017,94230831,63,600,,98397094
2017,94230830,11,1,,98397093
2017,94230833,3,1500,09-JAN-17,98397096
2017,94230835,3,1500,,98397098
2017,94230840,63,71,,98397105
2017,94230844,34,400,,98397110
2017,94230846,6,6,,98397114
2017,94230847,3,1,,98397116
2017,94230845,3,300,,98397112
2017,94230848,10,,,98397111
2017,94230851,38,100,,98397120
2017,94230854,63,100,,98397123
2017,94230856,9,0,,98397125
2017,94230856,20,47,,98397126
2017,94230861,63,500,,98397130
2017,94230861,13,650,,98397129
2017,94230864,19,60,,98397137
2017,94230869,63,100,,98397154
2017,94230873,10,,,98397158
2017,94230873,11,1,,98397161
2017,94230883,3,1,,98397177
2017,94230886,63,1,,98397178
2017,94230895,63,84,,98397200
2017,94230895,6,1,,98397195
2017,94230902,20,60,,98397211
2017,94230924,17,1500,,98397244
2017,94230927,25,250,,98397236
2017,94230927,63,400,,98397241
2017,94230922,63,1,,98397234
2017,94230934,10,,,98397238
2017,94230938,63,50,,98397254
2017,94230941,63,1440,,98397255
2017,94230941,16,100,,98397223
2017,94230949,63,200,,98397266
2017,94230948,63,25,,98397265
2017,94230952,63,1,,98397269
2017,94230956,13,200,,98397272
2017,94230956,63,950,,98397277
2017,94230956,36,2975,,98397273
2017,94230957,25,210,,98397278
2017,94230957,63,35,,98397279
2017,94230959,11,1,,98397281
2017,94230959,10,,,98397280
2017,94230977,3,500,,98397302
2017,94230972,38,1,,98397294
2017,94230975,63,2,,98397300
2017,94230975,3,1,,98397295
2017,94230975,38,500,,98397297
2017,94230981,20,119,,98397309
2017,94230985,63,0,,98397312
2017,94230983,31,1,,98397315
2017,94231007,3,26000,,98397345
2017,94231010,10,,,98397346
2017,94231016,63,2,,98397361
2017,94231019,3,900,,98397362
2017,94231015,11,1,,98397358
2017,94231020,38,2,,98397364
2017,94231015,10,,,98397357
2017,94231012,63,101,14-JAN-17,98397355
2017,94231012,25,35,14-JAN-17,98397348
2017,94231012,38,1,14-JAN-17,98397354
2017,94231020,63,501,,98397365
2017,94231020,25,35,,98397363
2017,94231024,38,1,,98397370
2017,94231026,63,1,,98397372
2017,94231033,16,350,,98397379
2017,94231035,8,55,,98397381
2017,94231035,20,780,,98397384
2017,94231035,13,300,,98397383
2017,94231054,37,1,,98397417
2017,94231051,63,50,,98397409
2017,94231061,20,453,,98397427
2017,94231066,63,1,17-JAN-17,98397433
2017,94231068,63,30,,98397434
2017,94231075,16,500,,98397446
2017,94231079,20,10760,,98397454
2017,94231117,63,579,,98397507
2017,94231114,63,578,19-JAN-17,98397503
2017,94231115,6,301,,98397505
2017,94231116,63,1,,98397504
2017,94231124,63,169,,98397514
2017,94231125,13,350,,98397515
2017,94231091,63,1,,98397472
2017,94231096,63,1,,98397482
2017,94231100,10,,,98397486
2017,94231106,20,469,,98397494
2017,94231110,7,1968,,98397499
2017,94231113,63,1150,,98397502
2017,94231126,63,50,,98397516
2017,94231128,13,2680,,98397519
2017,94231132,10,,,98397522
2017,94231132,11,1,,98397524
2017,94231127,36,1535,20-JAN-17,98397517
2017,94231129,36,1535,,98397520
2017,94231135,63,875,,98397527
2017,94231156,25,65,,98397554
2017,94231158,19,34,,98397551
2017,94231153,10,,,98397547
2017,94231173,26,242,,98397577
2017,94231169,30,200,,98397569
2017,94231160,26,350,,98397557
2017,94231157,63,151,,98397555
2017,94231176,16,400,,98397579
2017,94231179,63,1,,98397585
2017,94231181,63,1,,98397595
2017,94231183,10,,,98397593
2017,94231183,11,1,,98397596
2017,94231184,10,,,98397601
2017,94231185,3,1,,98397605
2017,94231226,63,101,,98397666
2017,94231223,63,200,,98397662
2017,94231235,35,200,,98397686
2017,94231196,63,50,,98397629
2017,104701110,63,250,,111960028
2017,104704023,63,2,,111960101
2017,96685967,25,10,,101579453
2017,96685964,25,10,14-FEB-17,101579451
2017,96686026,63,75,15-FEB-17,101579520
2017,96686028,63,284,,101579522
2017,96686057,17,157,,101579575
2017,96686035,17,54,,101579537
2017,96686057,6,27,,101579571
2017,96686045,6,27,16-FEB-17,101579552
2017,96686045,17,157,16-FEB-17,101579555
2017,96686157,20,1,,101579696
2017,96686317,19,167,,101579904
2017,96686315,19,167,22-FEB-17,101579900
2017,96686334,20,265,,101579926
2017,96686391,63,1500,,101579995
2017,96686398,6,36,,101579994
2017,96686387,6,36,23-FEB-17,101579983
2017,96686398,17,118,,101579996
2017,96686387,17,118,23-FEB-17,101579991
2017,96686447,13,210,,101580051
2017,96686509,30,500,,101580129
2017,96686568,63,100,,101580199
2017,96686567,3,2000,,101580195
2017,96686574,20,5000,,101580206
2017,96686574,26,3800,,101580210
2017,96686574,13,2,,101580202
2017,96686574,25,7700,,101580208
2017,96686574,17,2,,101580204
2017,96686574,63,101,,101580211
2017,96686574,7,3100,,101580200
2017,96686567,30,250,,101580198
2017,96686587,63,179,,101580229
2017,96686612,10,,,101580257
2017,96686616,19,82,04-JUL-17,101580266
2017,96686619,19,82,,101580268
2017,96686639,63,600,,101580288
2017,96686635,20,120,,101580285
2017,96686646,10,,,101580293
2017,96686715,63,300,,101580369
2017,96686722,20,20,,101580374
2017,96686722,25,20,,101580378
2017,96686722,63,2,,101580380
2017,96686739,3,15000,,101580400
2017,96686746,29,250,,101580405
2017,96686756,3,20000,,101580414
2017,94230953,63,30,,98397271
2017,94231211,3,20000,,98397647
2017,94231220,63,500,,98397659
2017,94231222,63,3,,98397661
2017,94231229,63,1,,98397677
2017,94231227,17,22650,24-JAN-17,98397669
2017,94231229,17,78150,,98397674
2017,94231234,7,1,,98397687
2017,94231231,63,1,,98397681
2017,94231236,63,20000,,98397684
2017,94231237,7,400,,98397689
2017,94231237,63,1,,98397690
2017,94231241,8,8,,98397699
2017,94231243,13,500,,98397695
2017,94231243,2,70,,98397694
2017,94231243,26,1390,,98397701
2017,94231248,63,150,,98397710
2017,94231248,17,500,,98397705
2017,94231248,26,40,,98397709
2017,94231259,7,400,,98397724
2017,94231258,25,50,,98397723
2017,94231257,21,617,,98397722
2017,94231256,63,712,,98397721
2017,94231263,63,2000,,98397730
2017,94231267,3,4800,,98397733
2017,94231269,17,15,,98397736
2017,94231271,63,1,,98397738
2017,94231270,63,400,,98397737
2017,94231275,3,300,,98397743
2017,94231273,10,,,98397740
2017,94231277,13,400,,98397742
2017,94231276,8,72,,98397744
2017,94231312,36,838,,98397797
2017,94231311,15,8000,,98397796
2017,94231310,15,8000,29-JAN-17,98397795
2017,94231314,16,2500,,98397800
2017,94231286,63,100,,98397759
2017,94231287,63,0,,98397761
2017,94231280,6,28,,98397748
2017,94231280,63,3,,98397750
2017,94231279,10,,,98397746
2017,94231295,20,326,,98397769
2017,94231301,35,20000,,98397784
2017,94231305,21,1400,,98397790
