"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,99364006,10,
2017,99364050,10,
2017,99369633,9,
2017,99371732,10,
2017,96550589,1,
2017,99367940,1,
2017,96330682,1,
2017,96330720,1,
2017,99374763,1,
2017,99375602,10,
2017,99377905,1,
2017,98233889,1,
2017,98834688,9,
2017,103716476,9,
2017,99362705,10,
2017,99367310,9,
2017,99373944,1,
2017,98509455,9,
2017,98825660,10,
2017,106673585,1,
2017,106674523,1,
2017,99382306,1,
2017,98245669,1,
2017,104549388,9,
2017,98236466,1,
2017,98509448,6,
2017,98230391,1,
2017,96552013,1,
2017,99383720,10,
2017,105840829,1,
2017,103705710,1,
2017,103706598,9,
2017,103715680,1,
2017,106205131,10,
2017,103707620,10,
2017,103709704,1,
2017,103713259,1,
2017,106205545,1,
2017,98507653,1,
2017,98506407,1,
2017,98521981,10,
2017,98522091,10,
2017,98527867,10,
2017,98528885,1,
2017,98530849,10,
2017,98831013,1,
2017,105261487,1,
2017,105262480,1,
2017,98534042,1,
2017,98828918,1,
2017,98228921,1,
2017,98528685,9,
2017,98533722,1,
2017,107070519,10,
2017,107063307,1,
2017,107063839,1,
2017,106674753,1,
2017,99366504,10,
2017,98505866,10,
2017,99371880,1,
2017,99372608,9,
2017,98512349,9,
2017,96332880,1,
2017,107468054,1,
2017,99375488,1,
2017,99376756,9,
2017,99374216,1,
2017,98837002,1,
2017,98819576,9,
2017,108080447,1,
2017,106665858,1,
2017,106674460,9,
2017,97071561,9,
2017,97077560,1,
2017,96546781,10,
2017,99855936,1,
2017,104547348,9,
2017,104548359,1,
2017,106656641,9,
2017,107063311,1,
2017,106204509,1,
2017,104547534,1,
2017,107468135,1,
2017,104548715,1,
2017,106205286,1,
2017,107468222,1,
2017,108027520,1,
2017,98820698,9,
2017,105261639,1,
2017,98521197,9,
2017,98234645,9,
2017,98230357,1,
2017,98519489,10,
2017,98512507,1,
2017,98836211,9,
2017,107064966,1,
2017,107063728,1,
2017,107066789,1,
2017,107063754,1,
2017,109367342,10,
2017,99369954,10,
2017,99371274,1,
2017,99371321,1,
2017,99371896,1,
2017,99366265,9,
2017,98507211,1,
2017,99364641,10,
2017,99368202,1,
2017,99372790,10,
2017,99374228,1,
2017,97071473,10,
2017,96552300,9,
2017,96547970,1,
2017,96552288,1,
2017,98241059,1,
2017,98248476,9,
2017,108173758,10,
2017,99376300,1,
2017,98234322,1,
2017,99371590,10,
2017,98529748,9,
2017,98830100,9,
2017,108082559,9,
2017,99855360,10,
2017,105840295,1,
2017,98240111,9,
2017,106205219,1,
2017,96552665,1,
2017,105261420,10,
2017,99386509,9,
2017,103710143,9,
2017,105840266,1,
2017,106672950,1,
2017,104547572,9,
2017,104549731,6,
2017,103712522,1,
2017,106205016,9,
2017,103712959,9,
2017,106204471,1,
2017,98529300,9,
2017,98242329,1,
2017,98520907,9,
2017,98520907,1,
2017,98242524,1,
2017,98532935,9,
2017,98521664,9,
2017,98836171,10,
2017,98835905,9,
2017,107066475,6,
2017,108295892,10,
2017,108295899,10,
2017,106673333,1,
2017,99855318,1,
2017,98829276,8,
2017,99360978,9,
2017,99364570,10,
2017,99365396,1,
2017,99369940,1,
2017,98517987,10,
2017,99854893,1,
2017,99367914,1,
2017,96362197,9,
2017,98248292,9,
2017,108173816,1,
2017,108026850,10,
2017,99374743,1,
2017,99375632,6,
2017,99377831,1,
2017,98834235,1,
2017,98834235,8,
2017,99367425,9,
2017,98508939,9,
2017,98831471,10,
2017,106672073,1,
2017,106672073,9,
2017,106658611,9,
2017,99387979,8,
2017,99380131,10,
2017,99381460,1,
2017,99380015,1,
2017,98246486,6,
2017,98506827,9,
2017,98512848,1,
2017,99854892,9,
2017,96547067,1,
2017,96551387,1,
2017,106205751,1,
2017,99386774,1,
2017,99381015,1,
2017,96551835,1,
2017,106204109,1,
2017,108086455,1,
2017,103709018,9,
2017,103709018,1,
2017,105837562,10,
2017,104547953,1,
2017,103716717,9,
2017,103707858,10,
2017,104550927,1,
2017,103710738,9,
2017,103710721,1,
2017,105259689,9,
2017,98827735,1,
2017,98830038,10,
2017,98518391,1,
2017,98234817,1,
2017,98243183,1,
2017,98513854,1,
2017,98507105,10,
2017,98514259,1,
2017,108173842,1,
2017,106659903,10,
2017,108173521,10,
2017,99854990,9,
2017,99363023,9,
2017,99369467,10,
2017,99370554,10,
