"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,103692058,1,11,9097434
2018,16,103692293,1,9,9097469
2018,12,103696518,1,11,9098181
2018,4,103663876,2,9,9094320
2018,2,103664286,1,3,9094345
2018,4,103672828,1,11,9095294
2018,5,103699749,1,11,9098575
2018,12,103699961,1,11,9098605
2018,5,103700937,1,11,9098709
2018,6,103662048,2,3,9093725
2018,5,103663218,1,3,9094271
2018,16,103664515,5,9,9094369
2018,2,103699814,1,11,9098579
2018,5,103961763,11,1,9139928
2018,5,103961809,1,1,9139935
2018,5,103961817,56,1,9139940
2018,5,103961823,27,1,9139944
2018,5,103961864,1,9,9139954
2018,5,103961967,1,3,9139957
2018,5,103962047,29,1,9139964
2018,16,103962102,6,9,9139967
2018,5,103962106,1,9,9139968
2018,5,103962207,1,3,9139977
2018,5,101895679,6,1,8786383
2018,2,101895929,0,1,8786420
2018,5,101895981,1,1,8786432
2018,5,101896276,1,9,8786546
2018,5,101898239,1,11,8786813
2018,5,101898741,1,11,8786884
2018,16,101898880,1,11,8786909
2018,12,102888906,3,1,8956424
2018,5,103758192,0,1,9107882
2018,17,103758414,1,1,9107913
2018,5,103758700,14,1,9107951
2018,5,103758865,1,11,9107973
2018,5,103758889,1,11,9107975
2018,2,103758963,1,11,9107983
2018,5,103759054,1,4,9107998
2018,5,103759569,1,1,9108096
2018,5,103759802,4,1,9108138
2018,1,103760008,1,11,9108155
2018,15,103760353,11,9,9108176
2018,12,103761309,1,3,9108302
2018,5,103761983,1,11,9108365
2018,5,103762058,1,11,9108385
2018,5,103762208,1,9,9108411
2018,5,103762226,1,11,9108417
2018,5,103762418,1,11,9108462
2018,5,103762723,3,9,9108508
2018,5,103762733,1,11,9108510
2018,5,103758453,1,1,9107921
2018,5,103758575,1,11,9107940
2018,5,103758802,1,1,9107964
2018,9,103758901,2,1,9107978
2018,12,103759278,1,11,9108023
2018,5,103759391,6,1,9108049
2018,2,103759520,1,1,9108081
2018,5,103761051,3,3,9108267
2018,5,103761629,1,3,9108333
2018,2,103761763,1,3,9108343
2018,5,103762286,1,9,9108434
2018,2,103762716,1,11,9108507
2018,5,103763214,25,1,9108583
2018,5,103763234,2,1,9108590
2018,4,103764116,0,1,9108700
2018,5,103764139,3,1,9108703
2018,4,103764541,1,1,9108739
2018,5,103855646,7,1,9121186
2018,5,103856220,2,1,9121301
2018,5,103856368,1,11,9121338
2018,5,103856371,1,11,9121340
2018,5,103856395,4,8,9121344
2018,5,103856408,1,11,9121345
2018,5,103856557,1,1,9121363
2018,5,103856594,1,11,9121366
2018,8,103856711,4,9,9121386
2018,5,103856745,1,1,9121393
2018,2,103856856,1,1,9121420
2018,8,103856864,2,9,9121426
2018,8,103856899,2,9,9121442
2018,12,103856916,6,1,9121447
2018,5,103856936,2,1,9121451
2018,2,103856945,0,1,9121452
2018,5,103857011,76,1,9121474
2018,12,103857092,1,1,9121500
2018,5,103857128,272,1,9121505
2018,5,103857207,1,1,9121531
2018,17,103758443,1,9,9107918
2018,12,103758706,1,11,9107952
2018,16,103759036,2,9,9107993
2018,12,103759051,2,1,9107996
2018,5,103759488,1,1,9108063
2018,5,103759620,1,3,9108120
2018,8,103762011,2,9,9108376
2018,12,103762102,1,1,9108389
2018,5,103762132,1,11,9108397
2018,5,103762379,1,11,9108455
2018,8,103762585,1,11,9108485
2018,5,103762876,1,11,9108534
2018,5,103763211,8,1,9108579
2018,5,103763300,3,1,9108600
2018,5,103763362,1,1,9108614
2018,5,103763553,2,1,9108632
2018,1,103764639,1,1,9108750
2018,16,103649792,4,9,9088481
2018,15,103722287,2,7,9102049
2018,12,103724161,1,1,9102231
2018,5,103759275,6,1,9108022
2018,1,103759509,0,1,9108072
2018,5,103759603,6,1,9108108
2018,5,103759658,7,1,9108126
2018,5,103760400,1,1,9108178
2018,5,103760594,6,1,9108194
2018,5,103760852,2,1,9108229
2018,5,103760916,0,1,9108243
2018,5,103761229,1,3,9108294
2018,16,103761358,1,1,9108305
2018,5,103761501,1,3,9108324
2018,4,103761782,5,1,9108344
2018,5,103761995,1,11,9108371
2018,5,103762093,1,3,9108387
2018,12,103762245,1,9,9108424
2018,16,103762259,15,9,9108429
2018,5,103762489,1,11,9108479
2018,12,103762613,1,9,9108486
2018,5,103762659,2,9,9108491
2018,5,103762699,1,11,9108500
2018,5,103762701,1,11,9108501
2018,5,103762795,1,11,9108525
2018,5,103762927,1,11,9108546
2018,5,103763069,0,1,9108565
2018,5,103763215,2,1,9108582
2018,5,103763283,67,1,9108595
2018,5,103763301,1,7,9108601
2018,5,103763344,189,1,9108613
2018,5,103763581,20,1,9108635
2018,12,103763767,1,1,9108666
2018,5,103764177,5,1,9108704
2018,12,103764272,1,1,9108712
2018,5,103764473,22,1,9108731
2018,2,103764707,0,1,9108755
2018,5,102194857,5,1,8834000
2018,5,103700641,3,1,9098681
2018,12,103665475,1,3,9094446
2018,4,103670400,1,11,9094903
2018,16,103680384,9,9,9096362
2018,12,103691117,0,1,9097245
2018,16,103691856,2,9,9097386
2018,12,103692162,1,1,9097444
2018,5,102194892,1,1,8834009
2018,5,102195512,1,11,8834111
2018,12,102196004,1,11,8834236
2018,5,102196605,1,11,8834341
2018,8,103718070,1,11,9100821
2018,5,103725266,1,1,9102358
2018,5,103758211,7,1,9107885
2018,17,103758307,1,9,9107897
2018,17,103758381,2,1,9107907
2018,5,103758599,1,11,9107942
2018,5,103758631,1,11,9107945
2018,5,103758832,28,1,9107970
2018,2,103759323,2,1,9108034
2018,12,103759406,1,1,9108051
2018,5,103759548,1,1,9108091
2018,5,103759568,1,11,9108095
2018,5,103759581,2,1,9108098
2018,5,103759607,1,1,9108110
2018,5,103759618,1,1,9108118
2018,5,103759622,0,1,9108121
2018,5,103759964,4,1,9108150
2018,5,103760332,2,9,9108174
2018,5,103760559,1,1,9108189
2018,5,103760628,3,1,9108204
2018,5,103760986,9,1,9108258
2018,5,103761070,17,1,9108273
2018,5,103761074,1,1,9108274
2018,12,103761323,1,9,9108304
2018,16,103761462,1,9,9108319
2018,4,103761814,1,3,9108347
2018,8,103761882,1,3,9108352
2018,5,103761962,1,1,9108358
2018,5,103762025,1,1,9108379
2018,5,103762089,1,11,9108386
2018,5,103762120,1,1,9108393
2018,1,103762174,15,9,9108409
2018,8,103762227,1,9,9108418
2018,5,103762422,3,9,9108464
2018,5,103762347,1,9,9108445
2018,5,103762676,1,11,9108494
2018,5,103762708,12,9,9108504
2018,5,103762734,1,11,9108511
2018,1,103762924,1,11,9108545
2018,5,103762978,1,9,9108551
2018,5,103763369,2,1,9108616
2018,5,103763398,3,1,9108620
2018,5,103763548,2,1,9108631
2018,17,103764255,8,1,9108710
2018,5,103764496,71,1,9108736
2018,5,102195543,1,11,8834120
2018,5,102195793,1,9,8834177
2018,8,102196128,3,9,8834267
2018,5,102196176,1,11,8834276
2018,2,102196770,1,11,8834370
2018,12,103856243,4,1,9121309
2018,5,103856242,2,1,9121308
2018,8,103856366,1,9,9121337
2018,5,103856369,1,11,9121339
2018,5,103856508,6,1,9121354
2018,5,103856544,17,1,9121358
2018,5,103856607,10,1,9121368
2018,5,103856620,1,1,9121372
2018,2,103856645,1,11,9121380
2018,12,103856722,12,1,9121388
2018,5,103856748,1,1,9121395
2018,12,103856746,1,1,9121394
2018,12,103856780,4,1,9121402
2018,5,103856820,0,1,9121411
2018,8,103856876,10,9,9121430
2018,5,103856886,213,1,9121435
