agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
8267,40938700,4199930,07-9-AR,,,2007-01-01 00:00:00,,0,6,,0,C,2007_01_ME0160400_07-9-AR_INC_NIBRS,,,
8267,40938701,4199930,07-9-OF,,,2007-01-03 00:00:00,,8,6,,0,C,2007_01_ME0160400_07-9-OF_INC_NIBRS,,,
8267,40938707,4199930,07-91-OF,,,2007-01-14 00:00:00,,9,6,,0,C,2007_01_ME0160400_07-91-OF_INC_NIBRS,,,
8267,40938710,4199930,07-92-OF,,,2007-01-14 00:00:00,,16,6,,0,C,2007_01_ME0160400_07-92-OF_INC_NIBRS,,,
8267,40938749,4199930,07-99-OF,,,2007-01-15 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-99-OF_INC_NIBRS,,,
8267,40932019,4199930,07-11-OF,,,2007-01-03 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-11-OF_INC_NIBRS,,,
8267,40932023,4199930,07-111-OF,,,2007-01-17 00:00:00,R,12,6,,0,C,2007_01_ME0160400_07-111-OF_INC_NIBRS,,,
8267,40932034,4199930,07-113-OF,,,2007-01-17 00:00:00,,8,6,,0,C,2007_01_ME0160400_07-113-OF_INC_NIBRS,,,
8267,40932044,4199930,07-114-OF,,,2007-01-17 00:00:00,,15,6,,0,C,2007_01_ME0160400_07-114-OF_INC_NIBRS,,,
8267,40937742,4199930,07-65-OF,,,2007-01-10 00:00:00,,13,6,,0,C,2007_01_ME0160400_07-65-OF_INC_NIBRS,,,
8267,40937748,4199930,07-66-OF,,,2007-01-10 00:00:00,R,16,6,,0,C,2007_01_ME0160400_07-66-OF_INC_NIBRS,,,
8267,40937773,4199930,07-70-AR,,,2007-01-14 00:00:00,,18,6,,0,C,2007_01_ME0160400_07-70-AR_INC_NIBRS,,,
8267,40937782,4199930,07-71-OF,,,2007-01-11 00:00:00,,13,6,,0,C,2007_01_ME0160400_07-71-OF_INC_NIBRS,,,
8267,40937790,4199930,07-72-OF,,,2007-01-11 00:00:00,,16,6,,0,C,2007_01_ME0160400_07-72-OF_INC_NIBRS,,,
8267,40937820,4199930,07-76-OF,,,2007-01-12 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-76-OF_INC_NIBRS,,,
8267,40937828,4199930,07-77-OF,,,2007-01-12 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-77-OF_INC_NIBRS,,,
8267,40935863,4199930,07-24-OF,,,2007-01-05 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-24-OF_INC_NIBRS,,,
8267,40932065,4199930,07-118-OF,,,2007-01-18 00:00:00,,8,6,,0,C,2007_01_ME0160400_07-118-OF_INC_NIBRS,,,
8267,40932076,4199930,07-120-OF,,,2007-01-18 00:00:00,R,,6,,0,C,2007_01_ME0160400_07-120-OF_INC_NIBRS,,,
8267,40937804,4199930,07-74-OF,,,2007-01-12 00:00:00,,0,6,,0,C,2007_01_ME0160400_07-74-OF_INC_NIBRS,,,
8267,40937835,4199930,07-78-AR,,,2007-01-17 00:00:00,,9,6,,0,C,2007_01_ME0160400_07-78-AR_INC_NIBRS,,,
8267,40937843,4199930,07-79-OF,,,2007-01-12 00:00:00,R,,4,2007-01-12 00:00:00,0,C,2007_01_ME0160400_07-79-OF_INC_NIBRS,,,
8267,40937848,4199930,07-8-OF,,,2007-01-03 00:00:00,R,5,6,,0,C,2007_01_ME0160400_07-8-OF_INC_NIBRS,,,
8267,40937849,4199930,07-80-OF,,,2007-01-12 00:00:00,,8,6,,0,C,2007_01_ME0160400_07-80-OF_INC_NIBRS,,,
8267,40937861,4199930,07-83-OF,,,2007-01-12 00:00:00,,23,6,,0,C,2007_01_ME0160400_07-83-OF_INC_NIBRS,,,
8267,40935912,4199930,07-27-OF,,,2007-01-05 00:00:00,,8,6,,0,C,2007_01_ME0160400_07-27-OF_INC_NIBRS,,,
