criminal_act_id,offense_id
3,49990259
6,49982200
6,49982201
6,49990270
6,49990271
6,49997529
6,49985173
6,49985174
6,49990996
6,49982191
1,49982210
6,49990981
6,49972014
6,49972040
6,49972041
6,49990313
6,49982853
6,49982854
6,49984374
6,49985185
1,49973997
6,49991035
6,49989434
6,49973991
6,49983328
6,49990211
6,49984352
6,49974773
6,49971974
6,49973960
6,49973961
6,49971995
6,49971997
6,49974802
6,49983833
6,49984180
6,49990260
6,49983809
6,49971985
6,49971986
6,49982190
6,49974795
2,49997514
6,49997521
6,49985164
6,49982194
6,49982195
6,49983830
6,49990253
6,49990254
6,49990255
6,49990256
6,49974803
6,49984380
6,49984381
6,49990264
6,49997500
6,49982204
3,49984385
6,49997505
6,49997506
6,49982208
8,49985176
6,49983856
6,49983857
9,49998301
6,49984389
6,49974811
6,49990276
6,49972004
8,49972004
6,49997509
6,49974813
6,49985152
5,49998314
2,49990986
6,49974819
6,49997523
6,49972020
6,49997525
6,49983842
3,49983843
6,49997516
6,49974816
6,49972009
6,49990281
6,49985159
6,49985160
9,49972012
6,49990985
6,49998313
2,49972045
6,49990320
6,49985201
3,49972016
6,49990990
6,49974823
6,49974824
6,49998296
6,49998297
6,49998298
6,49990288
6,49990289
7,49985179
6,49990293
6,49990294
6,49991001
6,49998300
6,49974834
6,49974835
3,49985012
8,49971154
6,49972032
6,49972033
6,49991007
6,49985191
6,49974842
8,49974842
6,49972037
3,49984289
2,49983339
8,49983872
8,49983873
6,49990316
6,49990317
6,49990318
6,49991019
6,49991020
6,49974850
6,49983876
6,49980053
6,49983881
6,49985198
6,49983883
6,49982856
6,49989418
6,49991029
6,49983803
6,49982150
8,49974008
8,49971208
6,49990323
6,49982858
6,49991036
6,49990541
6,49991038
6,49980065
6,49980066
7,49982860
6,49980067
6,49973954
6,49984991
6,49971145
6,49981331
6,49973249
1,49984357
6,49983804
6,49983323
6,49984276
6,49984277
7,49982164
6,49991040
8,49983317
6,49973956
6,49974017
6,49981337
6,49981338
6,49984995
5,49984996
6,49981339
9,49973962
6,49983321
6,49981340
6,49981341
7,49982178
1,49983812
7,49974789
6,49985006
6,49974022
6,49983330
9,49974023
6,49971156
6,49973970
6,49973971
6,49983333
6,49989383
6,49971162
6,49971163
6,49989387
6,49983334
6,49982981
6,49989388
6,49983349
6,49983350
6,49983757
6,49983758
2,49983816
6,49971987
2,49974794
