arrestee_id,weapon_id,nibrs_arrestee_weapon_id
14277341,8,14283387
14277340,1,14283386
14277328,8,14283374
14276247,1,14283089
14296205,1,14312616
14288442,1,14302377
14287369,1,14302293
14294005,1,14299691
14293973,7,14299660
14290783,1,14299454
14290750,1,14299223
14290749,1,14299222
14291744,1,14299028
14288571,1,14302898
14287466,1,14302783
14288510,1,14302641
14288449,1,14302580
14287451,1,14302571
14287424,7,14302544
14287395,1,14302515
14286275,1,14302454
14278486,1,14296331
14280742,7,14292605
14281739,1,14292412
14284119,7,14289506
14284032,1,14289221
14282905,1,14288893
14281849,7,14288834
14311821,1,14329064
14304123,1,14319054
14301896,8,14306360
14279574,1,14292235
14277360,1,14283406
14293007,1,15809445
14309661,1,14316124
14284066,1,14289255
14285144,1,14289535
14285143,1,14289534
14288462,1,14302593
14294107,1,14300188
14291772,1,14299252
14290713,1,14299186
14290658,1,14298936
14299558,1,14305163
14301926,1,14306585
14301897,1,14306361
14301858,1,14306322
14300823,1,14306288
14300815,1,14306280
14300806,1,14306271
14300803,1,14306268
14301850,1,14306116
14301824,1,14306090
14301810,1,14306076
14301799,1,14306065
14300778,1,14306046
14300769,1,14306037
14300758,1,14306026
14300732,1,14306000
14300721,1,14305989
14300720,1,14305988
14300688,1,14305757
14300684,1,14305753
14300675,1,14305744
14300671,1,14305740
14299710,1,14305714
14299697,1,14305701
14299660,1,14305664
14299659,1,14305663
14299639,1,14305443
14299609,1,14305413
14299605,1,14305409
14299602,1,14305406
14298581,1,14305387
14298566,1,14305372
14298558,1,14305364
14298553,1,14305359
14298538,1,14305344
14298535,1,14305341
14298486,1,14305092
14297483,1,14309621
14297479,1,14309617
14297478,1,14309616
14297465,1,14309603
14297441,1,14309382
14297437,1,14309378
14297415,1,14309356
14298419,1,14309099
14298418,1,14309098
14296332,1,14309002
14296330,1,14309000
14297389,1,14308867
14297388,1,14308866
14296296,1,14308768
14296284,1,14308756
14296282,1,14308754
14296265,1,14308737
14295246,1,14308714
14295232,1,14308700
14295226,1,14308694
14295204,1,14308672
14297327,1,14308805
14301830,1,14306096
14304171,1,14319102
14306317,1,14319453
14305276,1,14319408
14309671,1,14316134
14291841,1,14299519
14291840,1,14299518
14290776,1,14299447
14309721,1,14316382
14308539,1,14315795
14302904,1,14318502
14304147,7,14319078
14308583,1,14316035
14289683,8,14303481
14289605,1,14303206
14288494,1,14302625
14287390,1,14302510
14287371,1,14302295
14287370,1,14302294
14278474,1,14296319
14284122,3,14289509
14284061,1,14289250
14281802,1,14288592
14277426,1,14283669
14298424,1,14309104
14280749,1,14292612
14291741,1,14299025
14310826,22,14316694
14302991,1,14318985
14302990,1,14318984
14304029,1,14318566
14304027,1,14318564
14304006,1,14318543
14309613,1,14316076
14295156,3,14312826
14297444,1,14309385
14297434,1,14309375
14297433,1,14309374
14297392,1,14309333
14301900,7,14306364
14301899,7,14306363
14298503,1,14305109
14287333,1,14302257
14287332,1,14302256
14285185,1,14289576
14285166,1,14289557
14285158,1,14289549
14285157,1,14289548
14285156,1,14289547
14285123,7,14289316
14285103,1,14289296
14285102,1,14289295
14285083,1,14289276
14284023,1,14289212
14282870,1,14288663
14275226,1,14283258
14307437,1,14315688
14280740,1,14292603
14297443,1,14309384
14297442,1,14309383
14300799,3,14306264
14300798,3,14306263
14300797,3,14306262
14297438,1,14309379
14297349,1,14308827
14297341,1,14308819
14295258,1,14308726
14295257,1,14308725
14300762,1,14306030
14300713,1,14305782
14299642,1,14305446
14299610,1,14305414
14299552,1,14305157
14289661,1,14303459
14278498,1,14296343
14280618,1,14296213
14279516,1,14296106
14280720,1,14292583
14284085,1,14289472
14284084,1,14289471
14284024,1,14289213
14282880,1,14288868
14274052,1,14282686
14282873,3,14288666
14276276,1,14283315
14273972,1,14282411
14299572,1,14305177
14299571,1,14305176
14299553,1,14305158
14299543,1,14305148
14298504,1,14305110
14298490,1,14305096
14289573,1,14303174
14288546,1,14302873
14286369,1,14302744
14286339,1,14302714
14286338,1,14302713
14286337,1,14302712
14286329,1,14302507
14286318,1,14302497
14286306,1,14302485
14286304,1,14302483
14286303,1,14302482
14286302,1,14302481
14286301,1,14302480
14286300,1,14302479
14286299,1,14302478
14286298,1,14302477
14286284,1,14302463
14286267,1,14302446
14286219,1,14302203
14286207,1,14302191
14286200,1,14302184
14287308,1,14302036
14294120,1,14300201
14294058,1,14299942
14292962,1,14299843
14293987,1,14299674
14293974,1,14299661
14292904,1,14299588
14291828,1,14299506
14291827,1,14299505
14292856,1,14299343
14291806,1,14299286
14291779,1,14299259
14291769,1,14299249
14291743,1,14299027
14291738,1,14299022
14278436,1,14296085
14278411,1,14296060
14278397,1,14296046
14278392,1,14296041
14278391,1,14296040
14280774,1,14292832
14280745,1,14292608
14279683,7,14292540
14279674,1,14292531
14280658,1,14292325
14279623,1,14292284
14279609,1,14292270
14279606,1,14292267
14279602,1,14292263
14279583,1,14292244
14278562,1,14292216
14306413,1,14319746
14306407,1,14319740
14306401,1,14319734
14306390,1,14319723
14306343,1,14319479
14306332,1,14319468
14306331,1,14319467
14303053,1,14319244
14305201,1,14319136
14305195,1,14319130
14303016,1,14319010
14303015,1,14319009
14303000,1,14318994
14302999,1,14318993
14305117,1,14318855
14302919,1,14318715
14310715,1,14316189
14309633,1,14316096
14307525,1,14315971
14307505,1,14315951
14307504,1,14315950
14307495,1,14315941
14307494,1,14315744
14307475,1,14315726
14307460,1,14315711
14307452,1,14315703
14307432,1,14315683
14307428,1,14315679
14308478,1,14315539
14308477,1,14315538
14308474,1,14315535
14308457,1,14315518
14307427,1,14315482
14307426,1,14315481
14307416,1,14315472
14307411,1,14315467
14307409,1,14315465
14307398,1,14315454
14307393,1,14315449
14307391,1,14315447
14307385,1,14315441
14307381,1,14315437
14307373,1,14315429
14307357,1,14315218
14307352,1,14315213
14307348,1,14315209
14307344,1,14315205
14307343,1,14315204
14295137,1,14312807
14298420,1,14309100
14296353,1,14309023
14297339,1,14308817
14297333,1,14308811
14295254,1,14308722
14301956,1,14306615
14301950,1,14306609
14301933,1,14306592
14301895,1,14306359
14301894,1,14306358
14301887,1,14306351
14301854,1,14306318
14301839,1,14306105
14300780,1,14306048
14300759,1,14306027
14299721,1,14305924
14299649,1,14305453
14299644,1,14305448
14299601,1,14305405
14298575,1,14305381
14299546,1,14305151
14289662,1,14303460
14289656,1,14303454
14288542,1,14302869
14286366,1,14302741
14286307,1,14302486
14294093,1,14300174
14294085,1,14300166
14294077,1,14300158
14294036,1,14299920
14292842,1,14299329
14290654,1,14298932
14290653,1,14298931
14290652,1,14298930
14279650,1,14292507
14281731,1,14292404
14279603,1,14292264
14285254,1,14289843
14285126,1,14289319
14285119,1,14289312
14284064,1,14289253
14282988,1,14289173
14283982,1,14288974
14282899,1,14288887
14297301,1,14312717
14296234,1,14312645
14292985,1,14299866
14292947,1,14299828
14284026,1,14289215
14276185,1,14282830
14307392,1,14315448
14299596,1,14305400
14287309,1,14302037
14285151,1,14289542
14311925,1,14325185
14294105,1,14300186
14294104,1,14300185
14306414,1,14319747
14302906,1,14318504
14312901,1,14328892
14307466,1,14315717
14307365,1,14315421
14298509,1,14305115
14285136,1,14289527
14281857,1,14288842
14285206,1,14289795
14285205,1,14289794
14285204,1,14289793
14285203,1,14289792
14285202,1,14289791
14297319,1,14312735
14295075,1,14312547
14300827,1,14306292
14289659,7,14303457
14287328,1,14302252
14287324,1,14302248
14285165,1,14289556
14281884,1,14289066
14287351,1,14302275
14287349,1,14302273
14287347,1,14302271
14287342,1,14302266
14287340,1,14302264
14286260,1,14302244
14286259,1,14302243
14286257,1,14302241
14286256,1,14302240
14286255,1,14302239
14287317,1,14302045
14291799,1,14299279
14299613,1,14305417
14289599,1,14303200
14289598,1,14303199
14293991,1,14299678
14305274,1,14319406
14285216,1,14289805
14285213,1,14289802
14285195,1,14289586
14285170,1,14289561
14285159,1,14289550
14284116,1,14289503
14284112,1,14289499
14284097,1,14289484
14284094,1,14289481
14283022,1,14289405
14284068,1,14289257
14284058,1,14289247
14284037,1,14289226
14284031,1,14289220
14284028,1,14289217
