victim_id,offender_id,relationship_id,nibrs_victim_offender_id
56795071,59021290,18,18516922
56795071,59021289,3,18325828
56791815,59017678,1,18325792
56788671,59015714,6,17104921
56788673,59015716,21,17104920
56789613,59015752,16,17104913
56789634,59015772,17,17104911
56794003,59019598,16,18255858
56797175,59023118,12,18325799
56794066,59021191,1,17102471
56794067,59021191,16,17102470
56794079,59021203,16,17102468
56796126,59021436,1,18255821
56796127,59021436,17,18255820
56789735,59015874,22,18271589
56789736,59015875,3,17660944
56796160,59023003,1,17102444
56795014,59021245,3,17102393
56795020,59021252,17,18325836
56791930,59019326,1,17130821
56791799,59017661,1,18325794
56791823,59017685,16,18325790
56791824,59017686,1,18325789
56789748,59015890,21,18393484
56792989,59019480,3,17102411
56792994,59019485,24,17102409
56793003,59019493,16,17102408
56793004,59019493,16,17102407
56793010,59019500,3,17102404
56793992,59019587,14,18255862
56793993,59019587,14,18255861
56793966,59019560,15,18255868
56793967,59019561,3,18399474
56793971,59019565,3,18255867
56793975,59019569,3,18255866
56793975,59019570,25,18680279
56793976,59019569,25,18255865
56793976,59019570,3,18680278
56793982,59019576,15,17635109
56791876,59017736,16,18325783
56791891,59017750,5,18255898
56792911,59019416,3,17399008
56793988,59019582,3,18255863
56793978,59019572,3,18255864
56793994,59019588,16,18255860
56793996,59019590,1,18255859
56794009,59019603,16,18255857
56794014,59019608,24,18255856
56794015,59019608,24,18255855
56794016,59019609,3,18255854
56794030,59019619,3,18255853
56794036,59021159,3,17102478
56794045,59021169,3,17102477
56794047,59021171,19,17102476
56794047,59021172,25,18460747
56794048,59021171,25,17102475
56794048,59021172,19,18460746
56794049,59021173,16,17102474
56794050,59021174,21,17399007
56794073,59021198,21,17102469
56794082,59021206,1,17399006
56794105,59021231,16,17102396
56795006,59021236,1,17102395
56795019,59021250,1,17102391
56795019,59021251,1,18699594
56795024,59021256,3,18325835
56795030,59021262,5,18325833
56795054,59021274,5,18325831
56795070,59021288,3,18325829
56795094,59021315,24,18325824
56795120,59021335,16,18255847
56795125,59021339,3,18255844
56795133,59021347,9,18255842
56795134,59021348,1,18255841
56795136,59021350,15,18255840
56795143,59021355,21,18255839
56795143,59021356,16,18680277
56795144,59021355,16,18255838
56795144,59021356,16,18680276
56795145,59021355,16,18255837
56795145,59021356,16,18680275
56795149,59021359,19,18255834
56795157,59021365,1,18399473
56795157,59021366,24,18680274
56795158,59021367,17,18255832
56795183,59021392,1,18255829
56796082,59021395,14,18255828
56796088,59021400,1,18255827
56796088,59021401,18,18680273
56794059,59021183,21,17102473
56794062,59021186,22,17102472
56794089,59021216,17,17102397
56795010,59021240,9,17102394
56795011,59021241,24,18375289
56795015,59021246,3,17102392
56795062,59021280,5,18325830
56795078,59021298,17,18325827
56796164,59023007,3,17102443
56796165,59023007,16,17102442
56796173,59023015,1,18325821
56796180,59023022,16,18325818
56795080,59021300,17,18325826
56795081,59021300,16,18325825
56795091,59021312,3,17527467
56795092,59021313,16,18375288
56795104,59021325,3,18325823
56795105,59021326,24,18325822
56795108,59021328,3,17398999
56795123,59021338,24,18255846
56795124,59021338,16,18255845
56795126,59021340,21,18255843
56796207,59023049,17,18325815
56796209,59023051,3,18325814
56796211,59023053,1,18325813
56796212,59023053,1,18325812
56796224,59023064,3,18325809
56796103,59021415,3,18255825
56796115,59021425,19,17635108
56796119,59021429,17,18255822
56796120,59021430,16,17145752
56796157,59021466,16,18241313
56796159,59021468,24,18241311
56796162,59023005,3,17399002
56795029,59021261,1,18325834
56795033,59021265,3,18325832
56789612,59015751,14,17104914
56789636,59015774,3,17104910
56795147,59021357,17,18255836
56795148,59021358,18,18255835
56795151,59021361,17,18255833
56796241,59023078,24,18325806
56796241,59023079,24,18699593
56796245,59023084,9,18325805
56796257,59023095,17,18325802
56797160,59023105,20,18325801
56797167,59023111,9,18325800
56795165,59021376,15,18255831
56795169,59021379,21,18255830
56796089,59021402,21,17145754
56796099,59021412,17,18255826
56796106,59021418,1,17145753
56796110,59021420,21,18255824
56796111,59021421,14,18255823
56789776,59015919,26,17145824
56789778,59015921,1,18271582
56789653,59015792,1,17104908
56789653,59015793,25,18460754
56789654,59015792,25,17104907
56789654,59015793,1,18460753
56789656,59015795,21,17510866
56796130,59021439,21,18255819
56796134,59021443,16,18241317
56796143,59021452,24,18241316
56796146,59021455,3,18241315
56796147,59021456,3,18241314
56789667,59015804,1,17104906
56789730,59015868,5,18271591
56796158,59021467,3,18241312
56796169,59023011,3,17399001
56796176,59023018,3,18325820
56796178,59023020,14,18325819
56796191,59023036,24,18325817
56796198,59023040,16,18325816
56796216,59023057,17,18325811
56796223,59023063,5,18325810
56796237,59023075,3,18325808
56796238,59023075,20,18325807
56790754,59017535,1,17102439
56790781,59017562,14,17102436
56790782,59017563,19,17102435
56790785,59017565,21,17102434
56790787,59017567,15,17102433
56790788,59017567,17,17102432
56790793,59017573,1,17102431
56790799,59017580,3,17102430
56790800,59017581,9,17102429
56790805,59017585,23,17102428
56790806,59017586,24,17102427
56790810,59017590,23,17102426
56790817,59017597,1,17102425
56790841,59017614,16,17102424
56790855,59017628,19,18325798
56791792,59017655,1,18325795
56791800,59017662,9,18325793
56791819,59017682,9,18325791
56788685,59015729,3,17104919
56788686,59015730,3,17104918
56788690,59015736,1,17104917
56788697,59015743,3,17104916
56788702,59015748,17,17104915
56791828,59017690,3,18325788
56796254,59023093,3,17398998
56796255,59023094,3,18325804
56796256,59023094,16,18325803
56796260,59023098,3,17398997
56791832,59017694,19,18325787
56791848,59017710,17,18325786
56791863,59017723,1,18325785
56790864,59017636,3,18325797
56791778,59017642,16,18325796
56791936,59019331,1,17130820
56791936,59019332,1,18465937
56791936,59019333,1,18739270
56791935,59019331,25,17130819
56791935,59019332,1,18465936
56791935,59019333,1,18739269
56791944,59019341,16,17130818
56791947,59019344,16,17130817
56791951,59019347,16,17130816
56789627,59015765,16,17104912
56789639,59015777,3,17104909
56791873,59017733,1,18325784
56791881,59017741,24,18255900
56791889,59017748,14,18255899
56791894,59017753,5,18255897
56791910,59017772,3,18255896
56791917,59017782,1,17635110
56791918,59017783,1,18255895
56791921,59019318,1,17130823
56791922,59019319,15,17130822
56789677,59015815,1,17104905
56789682,59015819,3,17104904
56789684,59015821,3,17104903
56792853,59019357,1,17130815
56792856,59019361,1,17130814
56792856,59019362,18,18465935
56792864,59019371,16,18375294
56792865,59019372,16,17130813
56792865,59019373,16,18465934
56792867,59019375,3,17130812
56792868,59019375,1,17130811
56792877,59019384,18,17130810
56792879,59019386,16,17130809
56792880,59019386,16,17130808
56792885,59019389,3,17130807
56792888,59019392,1,17399010
56792889,59019393,1,17130806
56792889,59019394,1,18551285
56792890,59019395,1,17130805
56789751,59015893,3,18271587
56789753,59015895,1,18271586
56789754,59015896,24,17145825
56789765,59015910,21,18271585
56789766,59015910,15,18271584
56789768,59015912,1,18271583
56793027,59019518,3,17102401
56789688,59015825,1,18271596
56789690,59015827,3,18271595
56789695,59015833,16,18271594
56789695,59015834,18,18683183
56789708,59015847,19,18271593
56789719,59015857,3,18271592
56789733,59015871,1,18271590
56789733,59015872,18,18683182
56789744,59015886,16,18271588
56792900,59019405,1,17130804
56792901,59019406,3,17130803
56792905,59019410,16,17399009
56792916,59019419,16,17635090
56792920,59019423,14,17102423
56792920,59019424,14,18460744
56792926,59019431,1,17102422
56792928,59019432,26,17102421
56792929,59019433,16,17527468
56792948,59019444,24,17635086
56792953,59019448,1,17102420
56792954,59019449,21,18375291
56792954,59019450,13,18715939
56792959,59019454,24,17102419
56792963,59019457,9,17102418
56792964,59019457,9,17102417
56792966,59019459,1,17102416
56790725,59017508,16,17130824
56792970,59019463,24,18375290
56792972,59019464,1,17102414
56792972,59019465,1,18460742
56792971,59019464,1,17102415
56792971,59019465,1,18460743
56792974,59019467,3,17102413
56792976,59019469,16,17102412
56792992,59019482,24,17102410
56792992,59019483,1,18460741
56792997,59019488,18,17635085
56793005,59019494,1,17102406
56793005,59019495,1,18460740
56793005,59019496,18,18736803
56793005,59019497,18,18802495
56793006,59019494,1,17102405
56793006,59019495,1,18460739
56793006,59019496,18,18736802
56793006,59019497,18,18802494
56793012,59019502,1,17102403
56793018,59019508,1,17399000
56793018,59019509,1,18460738
56793018,59019510,1,18736801
56793020,59019512,1,17102402
56793927,59019521,24,17102400
56793930,59019524,16,17102399
56793938,59019532,9,17102398
56793939,59019533,3,18255879
56793940,59019534,10,18255878
56793945,59019539,24,18255877
56793947,59019541,16,18255876
56793948,59019542,14,18255875
56793952,59019546,3,18255874
56793955,59019550,16,18255873
56793956,59019551,24,18255872
56793956,59019552,24,18680283
56793958,59019551,24,18255870
56793958,59019552,24,18680281
56793957,59019551,24,18255871
56793957,59019552,24,18680282
56793960,59019554,26,18255869
56793960,59019555,1,18680280
56790740,59017521,24,17102441
56790751,59017532,19,17102440
56790761,59017542,3,17102438
56790769,59017550,3,18375293
56790770,59017550,24,18375292
56790773,59017554,21,17102437
56786473,59012204,1,17159374
56786491,59012225,24,17130941
56785395,59012018,3,18369482
56785439,59012063,1,17187787
