victim_id,offense_id
56795071,60019339
56791815,60017372
56790690,60010255
56790690,60010256
56790691,60009815
56788670,60009789
56788671,60001216
56788672,60012639
56788672,60012640
56788673,60012641
56788692,60006703
56793934,60018881
56793935,60017415
56789613,60006705
56789618,60000628
56789634,60012650
56796163,60017477
56796174,60022270
56796179,60018941
56789641,60009796
56789649,60000630
56796189,60022273
56795103,60013552
56793991,60002074
56795111,60019341
56795160,60013562
56793997,60013512
56794003,60002076
56794004,60010338
56796202,60011148
56796213,60028090
56796233,60018622
56796239,60010793
56796240,60018948
56796250,60028095
56796250,60028096
56790739,60009822
56790756,60009825
56790762,60018488
56790772,60016603
56797158,60022286
56797175,60022291
56797175,60022292
56795174,60019344
56796086,60013568
56796096,60010773
56794019,60013514
56794019,60013515
56794032,60010342
56794031,60010343
56794054,60018581
56794058,60018897
56794066,60013519
56794067,60013519
56794079,60018900
56791840,60017374
56791870,60012713
56796121,60019349
56796126,60019351
56796127,60019351
56796139,60018936
56796151,60013577
56796151,60022267
56796150,60013576
56794086,60013523
56794086,60013524
56794087,60002087
56794101,60018903
56794102,60013525
56794102,60013526
56795002,60013529
56789660,60000633
56789661,60001975
56790795,60016609
56790829,60018492
56790830,60018493
56790856,60010276
56789670,60012662
56789692,60012664
56789700,60006939
56789726,60001981
56789735,60010248
56789736,60010249
56791784,60010278
56796160,60011142
56795008,60019334
56795014,60013531
56795020,60011113
56795048,60017443
56795055,60013539
56795056,60013540
56792924,60018117
56791930,60019280
56791931,60018104
56791954,60012723
56791954,60012724
56792855,60013476
56792857,60002038
56792878,60010301
56792886,60018110
56792897,60017402
56791790,60009839
56791799,60018079
56791809,60002018
56791814,60010283
56791823,60002019
56791824,60010285
56789748,60018473
56789758,60006955
56789782,60006959
56789787,60018046
56790713,60018482
56792983,60002058
56792989,60019304
56792994,60010315
56793003,60010318
56793004,60010318
56793010,60019308
56793016,60019310
56793931,60018879
56793932,60002065
56793943,60018566
56793950,60018567
56793950,60018568
56793951,60013507
56793962,60013509
56793987,60002073
56793989,60018572
56793992,60010333
56793993,60010334
56793964,60017422
56793965,60017422
56793966,60019316
56793967,60018885
56793968,60002070
56793969,60018570
56793971,60018571
56793973,60010329
56793974,60019318
56793975,60002071
56793976,60002071
56793977,60017424
56793979,60002072
56793980,60010330
56793981,60018886
56793982,60010331
56793985,60019320
56793986,60013511
56793995,60019321
56794001,60002075
56794002,60019324
56790777,60009827
56794010,60002077
56791841,60019266
56791843,60009843
56791845,60019267
56791846,60017377
56791847,60017377
56791857,60009846
56791862,60010289
56791871,60002024
56791876,60009850
56791878,60002025
56791886,60018097
56791887,60010608
56791888,60010608
56791890,60002026
56791891,60010609
56791891,60010610
56791909,60017384
56790794,60016608
56790797,60016610
56790802,60018066
56790812,60002008
56790812,60002009
56790819,60016612
56790819,60016613
56790838,60018072
56790845,60018074
56791783,60012701
56792911,60017404
56792919,60013479
56792925,60010305
56792946,60010306
56792955,60013490
56792968,60010309
56793988,60017426
56793990,60010332
56793970,60019317
56793972,60017423
56793978,60017425
56793983,60013510
56793984,60019319
56793994,60010335
56793996,60018887
56793998,60019322
56793999,60019323
56794000,60010336
56794000,60010337
56794006,60018574
56794005,60018573
56794007,60010339
56794008,60018575
56794009,60013513
56794011,60018576
56794012,60018577
56794013,60010340
56794014,60002078
56794015,60002078
56794016,60019325
56794017,60002079
56794018,60018578
56794020,60017427
56794022,60017427
56794026,60017427
56794028,60017427
56794021,60017427
56794023,60017427
56794024,60017427
56794025,60017427
56794027,60017427
56794029,60010341
56794030,60018888
56794033,60013516
56794034,60002080
56794035,60018889
56794035,60018890
56794036,60018891
56794037,60018579
56794038,60002081
56794039,60017428
56794040,60002082
56794041,60002083
56794043,60010344
56794042,60010344
56794044,60019326
56794045,60010345
56794046,60010346
56794046,60010347
56794047,60010348
56794048,60010348
56794049,60019327
56794050,60018892
56794051,60018893
56794051,60018894
56794051,60018895
56794052,60018580
56794053,60018896
56794055,60010349
56794057,60017429
56794063,60018898
56794065,60019328
56794070,60019329
56794071,60019330
56794072,60017430
56794073,60018583
56794075,60019331
56794076,60013521
56794077,60013521
56794078,60017433
56794080,60002086
56794081,60019332
56794082,60013522
56794084,60017435
56794085,60018584
56794088,60002088
56794091,60002089
56794092,60019333
56794095,60018901
56794096,60018901
56794098,60018902
56794099,60018587
56794105,60018588
56795006,60018589
56795009,60011107
56795012,60017440
56795013,60018590
56795017,60011110
56795018,60018591
56795019,60011111
56795019,60011112
56795021,60017441
56795021,60017442
56795022,60013532
56795024,60011114
56795025,60018904
56795026,60018905
56795028,60013534
56795030,60018906
56795034,60013538
56795035,60019337
56795035,60019338
56795036,60019337
56795036,60019338
56795037,60019337
56795037,60019338
56795038,60019337
56795038,60019338
56795039,60019337
56795040,60019337
56795040,60019338
56795041,60019337
56795041,60019338
56795042,60019337
56795042,60019338
56795043,60019337
56795043,60019338
56795044,60019337
56795044,60019338
56795045,60019337
56795045,60019338
56795046,60019337
56795046,60019338
56795047,60019337
56795047,60019338
56795050,60017444
56795051,60017445
56795053,60011118
56795054,60018908
56795057,60017446
56795058,60017447
56795064,60010756
56795066,60017449
56795068,60018909
56795070,60018910
56795072,60013543
56795073,60011119
56795074,60011120
56795076,60011121
56795077,60018592
56795077,60018593
56795099,60017453
56795085,60013548
56795086,60018912
56795088,60010758
56795090,60010759
56795093,60018597
56795094,60017451
56795098,60018599
56795102,60017455
56795106,60011124
56795107,60011124
56795110,60011125
56795113,60018914
56795114,60018914
56795115,60018914
56795116,60018914
56795117,60018914
56795118,60018914
56795119,60017457
56795120,60010762
56795125,60018601
56795127,60010763
56795128,60018602
56795130,60011128
56795133,60017458
56795134,60017459
56795136,60018603
56795137,60018604
56795138,60018605
56795140,60013558
56795141,60013558
56795142,60011131
56795143,60013559
56795144,60013559
56795145,60013559
56795146,60013560
56795149,60013561
56795150,60010765
56795153,60018606
56795156,60017461
56795157,60018607
56795158,60019342
56795159,60018608
56795162,60013564
56795164,60010769
56795166,60013565
56795168,60011132
56795167,60011132
56795172,60018609
56795173,60019343
56795180,60018610
56795181,60018925
56795182,60017464
56795183,60013567
56796079,60017465
56796080,60017465
56796081,60017465
56796082,60019345
56796084,60018611
56796083,60018611
56796085,60010771
56796088,60010772
56796090,60018927
56796091,60011134
56796092,60017466
56796093,60018928
56794056,60002084
56794059,60002085
56794060,60013517
56794061,60018582
56794062,60013518
56794064,60010350
56794068,60013520
56794069,60018899
56794074,60017431
56794074,60017432
56794083,60017434
56794089,60018585
56794090,60010351
56794093,60017436
56794093,60017437
56794094,60002090
56794097,60018586
56794100,60002091
56794103,60013527
56794104,60013528
56795003,60017438
56795003,60017439
56795004,60010352
56795004,60010353
56795005,60013530
56795007,60010752
56795010,60010753
56795011,60011108
56795015,60019335
56795016,60011109
56795062,60010754
56795063,60010755
56795065,60010757
56795067,60013541
56795069,60013542
56795075,60013544
56795078,60018911
56796164,60011143
56796165,60011143
56796166,60010784
56796168,60018619
56796171,60010786
56796172,60018620
56796173,60022269
56796175,60022271
56796180,60011144
56796181,60017479
56796182,60019360
56796183,60022272
56796184,60017480
56796185,60019361
56796186,60019362
56796187,60017481
56796190,60017483
56796192,60010788
56796193,60018942
56796194,60018942
56796195,60018942
56796196,60018942
56796197,60018943
56796199,60011146
56796200,60022274
56795079,60018594
56795080,60011122
56795081,60011122
56795082,60013545
56795082,60013546
56795083,60018595
56795083,60018596
56795084,60013547
56795087,60019340
56795089,60013549
56795091,60017450
56795092,60013550
56795095,60017452
56795096,60013551
56795097,60018598
56795100,60010760
56795100,60010761
56795101,60017454
56795104,60018600
56795105,60011123
56795108,60018913
56795109,60013553
56795112,60017456
56795121,60011126
56795122,60013554
56795123,60013555
56795124,60013555
56795126,60013556
56795129,60011127
56796203,60011149
56796204,60011149
56796206,60028086
56796207,60028087
56796209,60028089
56796210,60022275
56796211,60018944
56796212,60018944
56796214,60010790
56796215,60022276
56796217,60022277
56796218,60028091
56796221,60017484
56796220,60017484
56796222,60018946
56796224,60017486
56796224,60017487
56796226,60028092
56796227,60011150
56796228,60018947
56796229,60010792
56796230,60010792
56796231,60022278
56796232,60022278
56797156,60018623
56791858,60009847
56796098,60017468
56796100,60013570
56796101,60018612
56796102,60018612
56796103,60013571
56796104,60018613
56796107,60019346
56796108,60019346
56796109,60019346
56796112,60018931
56796114,60017469
56796115,60019347
56796117,60018933
56796118,60019348
56796119,60010779
56796120,60010780
56796122,60018614
56796123,60011135
56796124,60017470
56796125,60019350
56796128,60011136
56796131,60010781
56796133,60017472
56796133,60017473
56796136,60018934
56796138,60018935
56796142,60018937
56796144,60013574
56796145,60018617
56796148,60018618
56796154,60010783
56796157,60022268
56796159,60011141
56796162,60018940
56795023,60013533
56795027,60011115
56795029,60013535
56795031,60019336
56795032,60013536
56795033,60013537
56795049,60018907
56795052,60011116
56795052,60011117
56795059,60017448
56795060,60017448
56795061,60017448
56788676,60000619
56788677,60018455
56788680,60012644
56788681,60012645
56788688,60006916
56788689,60009790
56788693,60000623
56788698,60009792
56788700,60006918
56788701,60012646
56789609,60000626
56789610,60000626
56788703,60000626
56788704,60000626
56789612,60018458
56789614,60000627
56789617,60018459
56789622,60012648
56789623,60006920
56789624,60006920
56789625,60001220
56789626,60001221
56789628,60006921
56789630,60006708
56789631,60006709
56789633,60006922
56789636,60012653
56789637,60006923
56789638,60012654
56789638,60012655
56789640,60012656
56795131,60011129
56795132,60013557
56795135,60011130
56795139,60018915
56795139,60018916
56795147,60017460
56795148,60010764
56795152,60010767
56795152,60010768
56795151,60010766
56795155,60018918
56795154,60018917
56795161,60013563
56796234,60017489
56796235,60011151
56796241,60018949
56796242,60018950
56796243,60022280
56796244,60017490
56796245,60011153
56796247,60028093
56796247,60028094
56796248,60017491
56796251,60022281
56796253,60010794
56796257,60010796
56796259,60017492
56797154,60028097
56797157,60022285
56797160,60028098
56797161,60018952
56797162,60018953
56797163,60018952
56797164,60022287
56797166,60018624
56797167,60028099
56797170,60022289
56797171,60028102
56797172,60018625
56797173,60022290
56797174,60022290
56797179,60017494
56797180,60011158
56797181,60010798
56797182,60010798
56797182,60010799
56797183,60010798
56797184,60010798
56797185,60017495
56797186,60017495
56795163,60018919
56795165,60017462
56795169,60010770
56795170,60018920
56795171,60018921
56795177,60018923
56795177,60018924
56795175,60018922
56795176,60018922
56795178,60017463
56795179,60013566
56796087,60018926
56796089,60011133
56796094,60017467
56796095,60013569
56796097,60010774
56796099,60010775
56796105,60010776
56796106,60018929
56796110,60018930
56796111,60010777
56796113,60010778
56791826,60009841
56789749,60006952
56789750,60012674
56789752,60018474
56789755,60012675
56789757,60010250
56789761,60009809
56789763,60006956
56789764,60018476
56789767,60001991
56789769,60010252
56789770,60010252
56789771,60006957
56789772,60012676
56789773,60009810
56789774,60010253
56789776,60018478
56789777,60006958
56789778,60009811
56789779,60018479
56789781,60012677
56789784,60012679
56789785,60010254
56789789,60001992
56790688,60001993
56790693,60006962
56790694,60006962
56790695,60012680
56790696,60009816
56790697,60006963
56790698,60001994
56790699,60001994
56790700,60006964
56790701,60018480
56790703,60009817
56790704,60018047
56790705,60010258
56790709,60006966
56790710,60018049
56790710,60018050
56790712,60018481
56790714,60018051
56790715,60018483
56790716,60001995
56790717,60001995
56790718,60018052
56790718,60018053
56790719,60010260
56790720,60009818
56790722,60001996
56790726,60001997
56796167,60019358
56789642,60012657
56789643,60006710
56789644,60006711
56789645,60006925
56789646,60001223
56789646,60001224
56789648,60000629
56789650,60007470
56789652,60007471
56789653,60000631
56789654,60000631
56789655,60006926
56789656,60000632
56789658,60001974
56796116,60018932
56796129,60018615
56796129,60018616
56796130,60019352
56796132,60017471
56796134,60017474
56796135,60011137
56796137,60013572
56796140,60011138
56796141,60019353
56796141,60019354
56796143,60013573
56796146,60013575
56796147,60019355
56796149,60011139
56796152,60019356
56796152,60019357
56796153,60010782
56789659,60009797
56789662,60012660
56789666,60001976
56789663,60001977
56789664,60001976
56789665,60001976
56789667,60012661
56789668,60009798
56790858,60016616
56789671,60006927
56789676,60009800
56789676,60009801
56789678,60018464
56789679,60018464
56789683,60009802
56789685,60018465
56789686,60001979
56789687,60012663
56789689,60009804
56789693,60006935
56789694,60006936
56789696,60018466
56789697,60018467
56789699,60007474
56789701,60007475
56789702,60006940
56789703,60006940
56789704,60018468
56789705,60018469
56789706,60018469
56789707,60009805
56789710,60018470
56789712,60000635
56789713,60000635
56789714,60000636
56789716,60000637
56789720,60018471
56789722,60010247
56789723,60006944
56789724,60012666
56789727,60007478
56789728,60001982
56789729,60001982
56789730,60012667
56789732,60012669
56789734,60012670
56789738,60006946
56789739,60001985
56789740,60012671
56789741,60006947
56789742,60012672
56789743,60006948
56789743,60006949
56796155,60018938
56796155,60018939
56796156,60017475
56796158,60011140
56796161,60017476
56790727,60012681
56790729,60018054
56790731,60010261
56790732,60018055
56790733,60006967
56790734,60009821
56796169,60017478
56796170,60010785
56796176,60018621
56796177,60010787
56796178,60019359
56796188,60017482
56796191,60011145
56796198,60010789
56796201,60011147
56796205,60019363
56796208,60028088
56796216,60010791
56796219,60018945
56796223,60017485
56796225,60017488
56796236,60011152
56796237,60022279
56796238,60022279
56796246,60011154
56790735,60007722
56790738,60007722
56790736,60007722
56790737,60007722
56790741,60010263
56790742,60012683
56790743,60012684
56790744,60018486
56790746,60012685
56790748,60012686
56790747,60012686
56790750,60001999
56790753,60018487
56790754,60009823
56790757,60007725
56790759,60012687
56790760,60007727
56790763,60018489
56790764,60012688
56790766,60018058
56790767,60009826
56790768,60016602
56790771,60018059
56790774,60018060
56790775,60016604
56790776,60018061
56790778,60002002
56790779,60018062
56790780,60016605
56790781,60002003
56790782,60010266
56790783,60016606
56790784,60016606
56790785,60009828
56790786,60009829
56790787,60002004
56790788,60002004
56790789,60016607
56790790,60002005
56790791,60002005
56790792,60018063
56790793,60010267
56790796,60009830
56790798,60018064
56790799,60012690
56790800,60002006
56790801,60018065
56790803,60018490
56790804,60018490
56790805,60010268
56790806,60002007
56790807,60009831
56790808,60012691
56790809,60010269
56790810,60009832
56790811,60016611
56790813,60009833
56790814,60009834
56790815,60009835
56790816,60018067
56790817,60018068
56790818,60018069
56790821,60012692
56790822,60012692
56790823,60012692
56790824,60012692
56790820,60012692
56790825,60012693
56790826,60012693
56790827,60012693
56790828,60018491
56790831,60012694
56790832,60010270
56790833,60018494
56790834,60010271
56790835,60010271
56790836,60018070
56790836,60018071
56790837,60018495
56790839,60012695
56790840,60016614
56790841,60018073
56790842,60010272
56790844,60009836
56790843,60009836
56790846,60016615
56790847,60012696
56790848,60010273
56790849,60018496
56790850,60010274
56790851,60010274
56790852,60010275
56790853,60018075
56790854,60018497
56790855,60002010
56790857,60002011
56790859,60018076
56791789,60018078
56791791,60012703
56791792,60012704
56791793,60010280
56791794,60010281
56791795,60018499
56791796,60018499
56791796,60018500
56791797,60016618
56791798,60016619
56791800,60012705
56791801,60018080
56791802,60002017
56791803,60002017
56791804,60017371
56791805,60018501
56791806,60018081
56791807,60018082
56791807,60018083
56791808,60012706
56791810,60018084
56791811,60010282
56791812,60019258
56791813,60019259
56791816,60018085
56791817,60018086
56791818,60009840
56791819,60019260
56791820,60012707
56791820,60012708
56791821,60012707
56791822,60010284
56791825,60010286
56788674,60012642
56788675,60018454
56788678,60012643
56788679,60018456
56788682,60000620
56788683,60001217
56788684,60006914
56788684,60006915
56788685,60000621
56788686,60018457
56788687,60006702
56788690,60001218
56788691,60000622
56788694,60006704
56788695,60000624
56788695,60000625
56788696,60009791
56788697,60006917
56788699,60009793
56788702,60001219
56789611,60006919
56789615,60009794
56789616,60006706
56791827,60019261
56791828,60002020
56791829,60012709
56791830,60010287
56791831,60018087
56791831,60018088
56796249,60011155
56796252,60022282
56796254,60010795
56796255,60018951
56796256,60018951
56796258,60022283
56796258,60022284
56796260,60011156
56797155,60017493
56797159,60010797
56797165,60022288
56797168,60028100
56797168,60028101
56797169,60011157
56797176,60028103
56797178,60022294
56797177,60022293
56791832,60012710
56791833,60009842
56791835,60019263
56791834,60019262
56791834,60019264
56791836,60019263
56791837,60017373
56791838,60019265
56791839,60010288
56791842,60017375
56791844,60017376
56791848,60002021
56791849,60018089
56791851,60012711
56791850,60012711
56791852,60019268
56791853,60012712
56791854,60018090
56791855,60009844
56791856,60009845
56791859,60018092
56791860,60018091
56791861,60009848
56791863,60019269
56791864,60017378
56791865,60010290
56791866,60018093
56791867,60002022
56790860,60009837
56790861,60012697
56790862,60012697
56790863,60012698
56790864,60012699
56790865,60010277
56790866,60002012
56790867,60002013
56790868,60018498
56790869,60018498
56790870,60016617
56791778,60009838
56791779,60002014
56791780,60012700
56791781,60012700
56791782,60002015
56791785,60018077
56791786,60012702
56791787,60002016
56791788,60010279
56791929,60019279
56791932,60018105
56791933,60002037
56791934,60010614
56791934,60010615
56791936,60012721
56791935,60012721
56791937,60010616
56791938,60017389
56791939,60019281
56791940,60017390
56791941,60012722
56791942,60017391
56791943,60010617
56791944,60010618
56791945,60010293
56791946,60010619
56791947,60010620
56791948,60019282
56791950,60018106
56791949,60018106
56791951,60018107
56791952,60019283
56791953,60010621
56791955,60017392
56791956,60010622
56791956,60010623
56793021,60018565
56789619,60009795
56789620,60006707
56789621,60012647
56789627,60001222
56789629,60018460
56789632,60012649
56789635,60012651
56789635,60012652
56789639,60006924
56789647,60001225
56789651,60012658
56789657,60012659
56791868,60002023
56791869,60019270
56791872,60017379
56791873,60019271
56791874,60009849
56791875,60018094
56791877,60018095
56791879,60012714
56791880,60010606
56791881,60019272
56791882,60017380
56791883,60010607
56791884,60018096
56791885,60010291
56791889,60012715
56791892,60017381
56791893,60018098
56791893,60018099
56791894,60019273
56791895,60012716
56791897,60002027
56791897,60002028
56791896,60002027
56791896,60002028
56791898,60017382
56791899,60002029
56791900,60017383
56791901,60018100
56791902,60018101
56791903,60010611
56791906,60010292
56791904,60010292
56791905,60010292
56791907,60002030
56791908,60019274
56791910,60017385
56791910,60017386
56791910,60017387
56791911,60017388
56791912,60002031
56791913,60002032
56791914,60019275
56791915,60012717
56791916,60010612
56791917,60012718
56791918,60012719
56791919,60010613
56791920,60010613
56791921,60002033
56791922,60012720
