offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
74997617,63057944,1,5,18,M,1,,,,
74997629,63057955,0,,,,,,,,
74995769,63055803,1,5,20,M,1,,,,
74995770,63055804,0,,,,,,,,
75003046,63064138,0,,,,,,,,
74997783,63058994,1,5,24,F,1,,,,
74999448,63060035,0,,,,,,,,
74999495,63060082,1,5,48,M,1,,,,
75001236,63062081,0,,,,,,,,
75001249,63062093,0,,,,,,,,
75001274,63062113,1,5,41,F,1,,,,
74997728,63058944,1,5,39,M,1,,,,
74997729,63058945,1,5,52,M,1,,,,
74997748,63058963,1,5,18,M,2,,,,
75003056,63064147,0,,,,,,,,
75003057,63064148,1,5,65,F,1,,,,
75003068,63064158,1,5,22,M,1,,,,
75002953,63063158,1,5,41,M,1,,,,
75002957,63063162,1,5,15,M,1,,,,
75001285,63062121,2,5,41,M,1,,,,
75001284,63062121,1,5,26,M,1,,,,
75001304,63062138,1,5,65,F,1,,,,
75001305,63062139,1,5,35,F,1,,,,
75001316,63062150,0,,,,,,,,
74995868,63055891,1,5,16,F,1,,,,
74995876,63055899,0,,,,,,,,
74995881,63055904,1,5,60,M,1,,,,
74995891,63055912,0,,,,,,,,
74995898,63055919,1,5,32,M,2,,,,
74995904,63055925,0,,,,,,,,
74995910,63055930,1,5,26,M,1,,,,
74995918,63055938,1,5,30,M,1,,,,
74995921,63055940,1,5,34,M,1,,,,
75003087,63064176,1,5,21,M,1,,,,
75003095,63064184,1,5,17,M,1,,,,
75003111,63064199,0,,,,,,,,
75002980,63063183,1,5,20,M,1,,,,
75002981,63063184,0,,,,,,,,
75002988,63063191,1,5,13,M,1,,,,
75002996,63063198,1,5,57,M,1,,,,
75003010,63063212,1,4,,M,1,,,,
75003017,63063218,1,5,16,F,1,,,,
74997572,63057902,1,5,26,M,1,,,,
74997573,63057903,0,,,,,,,,
74997577,63057907,1,5,19,F,1,,,,
74995777,63055811,0,,,,,,,,
74995790,63055823,1,5,28,M,1,,,,
74995811,63055844,0,,,,,,,,
74995822,63055851,0,,,,,,,,
74995830,63055858,1,5,15,M,1,,,,
75003036,63064129,0,,,,,,,,
74994181,63054812,1,5,22,M,1,,,,
74994182,63054813,0,,,,,,,,
74995725,63054845,1,5,11,M,1,,,,
75001352,63063083,1,5,46,M,1,,,,
75001328,63062162,1,5,15,M,1,,,,
75001330,63062164,1,5,17,M,1,,,,
74995931,63056868,1,5,58,M,1,,,,
74995943,63056879,1,5,41,M,1,,,,
74995954,63056890,0,,,,,,,,
74995962,63056896,1,5,27,F,1,,,,
74997646,63057966,2,5,19,F,1,,,,
74997645,63057966,1,5,23,M,1,,,,
75001120,63061087,1,5,16,M,1,,,,
75001364,63063091,1,5,18,M,1,,,,
75001381,63063106,1,5,21,M,1,,,,
75001382,63063107,1,5,24,F,1,,,,
75001393,63063116,1,5,23,M,1,,,,
75002939,63063146,1,5,20,M,1,,,,
75001209,63062056,1,5,42,M,1,,,,
75001216,63062063,1,5,29,F,1,,,,
75001226,63062073,1,5,20,F,1,,,,
75001227,63062074,1,5,56,F,1,,,,
75001229,63062075,2,5,31,F,1,,,,
75001228,63062075,1,5,44,M,1,,,,
74997654,63057974,1,5,17,M,1,,,,
74997659,63057979,0,,,,,,,,
74997665,63057983,1,5,30,M,1,,,,
74997666,63057983,2,5,33,M,1,,,,
74997672,63057987,2,5,42,F,1,,,,
74997671,63057987,1,5,50,M,1,,,,
74997679,63057994,1,5,56,M,1,,,,
74997680,63057995,1,5,22,F,1,,,,
74997685,63058000,0,,,,,,,,
74997690,63058005,0,,,,,,,,
74997703,63058018,0,,,,,,,,
75001131,63061098,0,,,,,,,,
75001140,63061107,1,5,17,M,1,,,,
75001141,63061108,0,,,,,,,,
75001161,63061124,1,5,19,M,1,,,,
75001162,63061125,1,5,30,M,1,,,,
75001180,63061141,1,5,16,F,1,,,,
74995744,63054863,1,5,31,F,1,,,,
74995751,63054870,0,,,,,,,,
74995758,63054877,1,5,63,M,1,,,,
74995972,63056906,0,,,,,,,,
74995976,63056910,1,5,20,M,1,,,,
74995977,63056911,0,,,,,,,,
