victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
72290452,63057944,1,4,,,,5,24,M,1,2,R,,,,
72290464,63057955,1,4,,,,5,40,F,1,2,N,,,,
72288322,63055803,1,4,,,,5,69,M,1,2,N,,,,
72288323,63055804,1,4,,,,5,37,M,1,2,R,,,,
72296767,63064138,1,3,,,,,,,,,,,,,
72291507,63058994,1,8,,,,,,,,,,,,,
72292569,63060035,1,4,,,,5,71,M,1,2,R,,,,
72293487,63060082,1,4,,,,5,26,F,1,2,R,,,,
72294636,63062081,1,1,,,,,,,,,,,,,
72294637,63062081,2,4,,,,5,36,F,1,2,N,,,,
72294650,63062093,1,4,,,,5,58,F,1,2,R,,,,
72294672,63062113,1,4,,,,5,45,F,1,2,R,,,,
72294673,63062113,2,4,,,,5,15,F,1,2,R,,,,
72291450,63058944,1,4,,,,5,39,F,1,2,R,,,,
72291451,63058945,1,8,,,,,,,,,,,,,
72291472,63058963,1,4,,,,5,16,M,1,2,N,,,,
72296777,63064147,1,4,,,,5,43,M,1,2,N,,,,
72296778,63064148,1,4,,,,5,15,F,1,2,R,,,,
72296789,63064158,1,4,,,,5,19,M,1,2,R,,,,
72295753,63063158,1,8,,,,,,,,,,,,,
72295757,63063162,1,8,,,,,,,,,,,,,
72294681,63062121,1,4,,,,5,41,M,1,2,R,,,,
72294682,63062121,2,4,,,,5,26,M,1,2,R,,,,
72294701,63062138,1,4,,,,5,47,F,1,2,R,,,,
72294702,63062139,1,4,,,,5,60,M,1,2,R,,,,
72294715,63062150,1,4,,,,5,36,M,1,2,R,,,,
72289306,63055891,1,4,,,,5,15,F,1,2,R,,,,
72289320,63055899,1,1,,,,,,,,,,,,,
72289325,63055904,1,4,,,,5,54,M,1,2,R,,,,
72289333,63055912,1,4,,,,5,18,F,1,2,R,,,,
72289334,63055912,2,4,,,,5,44,M,1,2,N,,,,
72289342,63055919,1,4,,,,5,35,F,1,2,R,,,,
72289348,63055925,1,1,,,,,,,,,,,,,
72289353,63055930,1,4,,,,5,22,M,1,2,R,,,,
72289363,63055938,1,4,,,,5,60,F,1,2,R,,,,
72289364,63055938,2,4,,,,5,30,M,1,2,R,,,,
72289366,63055940,1,4,,,,5,26,F,1,2,R,,,,
72296809,63064176,1,1,,,,,,,,,,,,,
72296810,63064176,2,1,,,,,,,,,,,,,
72296818,63064184,1,4,,,,5,30,M,1,2,N,,,,
72296834,63064199,1,1,,,,,,,,,,,,,
72295789,63063183,1,8,,,,,,,,,,,,,
72295790,63063184,1,4,,,,5,35,M,1,2,R,,,,
72295791,63063184,2,4,,,,5,33,F,1,2,R,,,,
72295798,63063191,1,4,,,,5,15,F,1,2,R,,,,
72296711,63063198,1,4,,,,5,27,M,1,2,N,,,,
72296727,63063212,1,4,,,,5,49,M,1,2,N,,,,
72296735,63063218,1,4,,,,5,48,F,1,2,N,,,,
72290387,63057902,1,8,,,,,,,,,,,,,
72290388,63057903,1,4,,,,5,15,M,1,2,N,,,,
72290394,63057907,1,4,,,,5,18,F,1,2,R,,,,
72288335,63055811,1,4,,,,5,51,F,1,2,R,,,,
72288347,63055823,1,1,,,,,,,,,,,,,
72288348,63055823,2,4,,,,5,38,F,1,2,R,,,,
72288373,63055844,1,4,,,,5,54,F,1,2,R,,,,
72288374,63055844,2,4,,,,5,65,M,1,2,R,,,,
72288381,63055851,1,4,,,,5,61,M,1,2,R,,,,
72289272,63055858,1,8,,,,,,,,,,,,,
72296758,63064129,1,4,,,,5,22,F,1,2,N,,,,
72287306,63054812,1,1,,,,,,,,,,,,,
72287307,63054813,1,4,,,,5,48,M,1,2,R,,,,
72288278,63054845,1,4,,,,5,12,F,1,2,N,,,,
72295662,63063083,1,4,,,,5,72,F,1,3,R,,,,
72295632,63062162,1,8,,,,,,,,,,,,,
72295635,63062164,1,6,,,,,,,,,,,,,
72289374,63056868,1,4,,,,5,28,M,1,2,N,,,,
72289385,63056879,1,1,,,,,,,,,,,,,
72289397,63056890,1,4,,,,5,52,F,1,2,R,,,,
72289398,63056890,2,4,,,,5,52,M,1,2,R,,,,
72289404,63056896,1,1,,,,,,,,,,,,,
72290476,63057966,1,8,,,,,,,,,,,,,
72293610,63061087,1,8,,,,,,,,,,,,,
72295672,63063091,1,8,,,,,,,,,,,,,
72295691,63063106,1,8,,,,,,,,,,,,,
72295692,63063107,1,4,,,,5,22,F,1,2,R,,,,
72295704,63063116,1,4,,,,5,28,F,1,2,R,,,,
72295740,63063146,1,8,,,,,,,,,,,,,
72294595,63062056,1,8,,,,,,,,,,,,,
72294603,63062063,1,4,,,,5,32,F,1,3,N,,,,
72294627,63062073,1,8,,,,,,,,,,,,,
72294628,63062074,1,1,,,,,,,,,,,,,
72294629,63062075,1,4,,,,5,31,F,1,2,N,,,,
72294630,63062075,2,4,,,,5,44,M,1,2,R,,,,
72291368,63057974,1,4,,,,5,9,M,1,2,N,,,,
72291373,63057979,1,4,,,,5,27,M,2,3,N,,,,
72291377,63057983,1,4,,,,5,55,M,1,2,R,,,,
72291383,63057987,1,4,,,,5,50,M,1,2,N,,,,
72291384,63057987,2,4,,,,5,42,F,1,2,N,,,,
72291391,63057994,1,4,,,,5,34,M,1,2,R,,,,
72291392,63057995,1,4,,,,5,28,F,1,2,R,,,,
72291401,63058000,1,4,,,,5,28,F,1,2,R,,,,
72291407,63058005,1,4,,,,5,17,M,1,2,N,,,,
72291408,63058005,2,4,,,,5,16,M,1,2,R,,,,
72291409,63058005,3,4,,,,5,17,M,1,2,N,,,,
72291422,63058018,1,4,,,,5,21,M,1,3,N,,,,
72293622,63061098,1,4,,,,5,72,F,1,2,N,,,,
72293633,63061107,1,6,,,,,,,,,,,,,
72293634,63061108,1,4,,,,5,36,M,1,2,N,,,,
72293635,63061108,2,4,,,,5,36,M,1,2,R,,,,
72294549,63061124,1,8,,,,,,,,,,,,,
72294550,63061125,1,4,,,,5,10,F,1,2,R,,,,
72294568,63061141,1,4,,,,5,15,M,1,2,R,,,,
72288298,63054863,1,4,,,,5,33,F,1,2,R,,,,
72288305,63054870,1,4,,,,5,39,F,1,2,R,,,,
72288312,63054877,1,4,,,,5,41,M,1,2,N,,,,
72289414,63056906,1,4,,,,5,72,M,1,2,R,,,,
72289418,63056910,1,8,,,,,,,,,,,,,
72289419,63056911,1,4,,,,5,51,M,1,2,R,,,,
72289427,63056917,1,4,,,,5,44,M,1,2,N,,,,
72289444,63056932,1,6,,,,,,,,,,,,,
72290308,63056938,1,4,,,,5,58,F,1,2,R,,,,
72290333,63056956,1,1,,,,,,,,,,,,,
72293547,63061028,1,1,,,,,,,,,,,,,
72293548,63061029,1,1,,,,,,,,,,,,,
72293573,63061053,1,4,,,,5,78,M,1,2,N,,,,
72293580,63061060,1,3,,,,,,,,,,,,,
72290346,63056968,1,4,,,,5,49,F,1,3,R,,,,
72290355,63056977,1,4,,,,5,61,M,1,2,N,,,,
72290366,63056986,1,4,,,,5,41,M,1,2,N,,,,
72290374,63056993,1,4,,,,5,33,F,1,2,R,,,,
72293518,63061001,1,4,,,,5,48,F,1,2,N,,,,
72293519,63061001,2,4,,,,5,32,M,1,2,R,,,,
72291477,63058966,1,8,,,,,,,,,,,,,
72291478,63058967,1,4,,,,5,62,F,1,2,R,,,,
72291485,63058974,1,8,,,,,,,,,,,,,
72291486,63058975,1,4,,,,5,12,F,1,2,R,,,,
72291496,63058984,1,4,,,,5,65,F,1,2,R,,,,
72291503,63058990,1,4,,,,5,58,F,1,2,R,,,,
72291512,63058999,1,4,,,,5,44,M,1,2,N,,,,
72291515,63059002,1,4,,,,5,24,M,1,3,N,,,,
72292571,63060037,1,4,,,,5,25,M,1,2,N,,,,
72292577,63060043,1,4,,,,5,41,F,1,2,R,,,,
72292587,63060053,1,4,,,,5,71,M,1,2,R,,,,
72292597,63060063,1,4,,,,5,52,F,1,2,R,,,,
72293475,63060072,1,4,,,,5,26,M,1,2,R,,,,
72293483,63060078,1,4,,,,5,35,M,1,2,N,,,,
72293496,63060090,1,4,,,,5,20,F,2,2,R,,,,
72291452,63058946,1,4,,,,5,43,M,1,2,R,,,,
72292429,63059022,1,4,,,,5,61,M,1,2,R,,,,
72292431,63059024,1,4,,,,5,46,M,2,1,R,,,,
72292499,63059977,1,3,,,,,,,,,,,,,
72292504,63059981,1,4,,,,5,27,F,1,2,R,,,,
72292511,63059988,1,4,,,,5,55,M,1,2,N,,,,
72292537,63060008,1,4,,,,5,44,F,1,2,R,,,,
72292550,63060017,1,4,,,,5,47,M,1,2,R,,,,
72289305,63055890,1,8,,,,,,,,,,,,,
72289365,63055939,1,1,,,,,,,,,,,,,
72296817,63064183,1,6,,,,,,,,,,,,,
72296824,63064190,1,4,,,,5,16,F,1,2,N,,,,
72296715,63063202,1,4,,,,5,25,F,1,2,N,,,,
72290393,63057906,1,8,,,,,,,,,,,,,
72290411,63057923,1,4,,,,5,32,M,1,2,R,,,,
72288340,63055816,1,8,,,,,,,,,,,,,
72288355,63055830,1,4,,,,5,20,F,1,2,N,,,,
72288372,63055843,1,4,,,,5,50,F,1,2,R,,,,
72293510,63060104,1,4,,,,5,28,F,1,2,N,,,,
72293512,63060106,1,4,,,,5,30,F,1,3,R,,,,
72288277,63054844,1,4,,,,5,39,F,1,2,R,,,,
72289293,63055879,1,4,,,,5,68,F,1,2,R,,,,
72289389,63056882,1,8,,,,,,,,,,,,,
72289396,63056889,1,8,,,,,,,,,,,,,
72293613,63061090,1,4,,,,5,16,F,1,2,R,,,,
72293617,63061094,1,4,,,,5,41,M,1,2,N,,,,
72293620,63061097,1,4,,,,5,41,F,1,2,R,,,,
72293621,63061097,2,4,,,,5,16,F,1,2,R,,,,
72291400,63057999,1,4,,,,5,26,F,1,2,R,,,,
72291405,63058004,1,4,,,,5,31,F,1,2,N,,,,
72291406,63058004,2,8,,,,,,,,,,,,,
72291416,63058012,1,1,,,,,,,,,,,,,
72291431,63058027,1,4,,,,5,17,M,1,2,R,,,,
72293623,63061099,1,4,,,,5,54,F,1,2,R,,,,
72293624,63061099,2,4,,,,5,62,M,1,2,R,,,,
72293625,63061100,1,4,,,,5,19,M,1,2,R,,,,
72293628,63061103,1,4,,,,5,63,M,1,2,N,,,,
72293629,63061104,1,4,,,,5,16,F,1,2,R,,,,
72293631,63061106,1,4,,,,5,34,M,1,2,R,,,,
72293632,63061106,2,4,,,,5,30,F,1,2,R,,,,
72293636,63061109,1,4,,,,5,45,M,1,2,R,,,,
72293638,63061111,1,4,,,,5,15,M,1,2,N,,,,
72293639,63061111,2,4,,,,5,16,M,1,2,R,,,,
72288297,63054862,1,8,,,,,,,,,,,,,
72289413,63056905,1,1,,,,,,,,,,,,,
72289420,63056912,1,8,,,,,,,,,,,,,
72289426,63056916,1,8,,,,,,,,,,,,,
72289431,63056921,1,8,,,,,,,,,,,,,
72289435,63056925,1,4,,,,5,25,F,1,2,R,,,,
72289436,63056925,2,4,,,,5,24,F,1,2,N,,,,
72289443,63056931,1,8,,,,,,,,,,,,,
72290307,63056937,1,3,,,,,,,,,,,,,
72290320,63056946,1,4,,,,5,22,M,1,2,N,,,,
72290321,63056946,2,4,,,,5,21,M,1,2,N,,,,
72290340,63056962,1,4,,,,5,40,M,1,2,R,,,,
72293532,63061014,1,8,,,,,,,,,,,,,
72293533,63061015,1,3,,,,,,,,,,,,,
72293536,63061018,1,4,,,,5,84,F,1,3,R,,,,
72293538,63061020,1,4,,,,5,20,M,1,2,N,,,,
72293539,63061021,1,4,,,,5,41,F,1,2,R,,,,
72293540,63061021,2,4,,,,5,40,M,1,2,R,,,,
72293542,63061023,1,1,,,,,,,,,,,,,
72293543,63061024,1,4,,,,5,14,F,1,2,R,,,,
72293546,63061027,1,4,,,,5,15,M,1,2,R,,,,
72293549,63061030,1,4,,,,5,71,M,1,2,R,,,,
72293550,63061030,2,4,,,,5,71,F,1,2,R,,,,
72293552,63061032,1,1,,,,,,,,,,,,,
72293555,63061035,1,4,,,,5,21,F,1,2,N,,,,
72293556,63061036,1,4,,,,5,41,M,1,2,R,,,,
72293558,63061038,1,1,,,,,,,,,,,,,
72293560,63061040,1,4,,,,5,18,F,1,2,R,,,,
72293563,63061043,1,3,,,,,,,,,,,,,
72293564,63061044,1,3,,,,,,,,,,,,,
72293565,63061045,1,4,,,,5,36,F,1,2,R,,,,
72293567,63061047,1,8,,,,,,,,,,,,,
72293569,63061049,1,4,,,,5,33,F,1,2,N,,,,
72293570,63061050,1,4,,,,5,47,F,1,2,R,,,,
72293572,63061052,1,4,,,,5,78,F,1,2,R,,,,
72293576,63061056,1,4,,,,5,69,F,1,2,R,,,,
72293577,63061057,1,4,,,,5,50,F,1,2,R,,,,
72293578,63061058,1,4,,,,5,13,F,1,2,R,,,,
72293579,63061059,1,4,,,,5,17,F,1,2,N,,,,
72293582,63061062,1,4,,,,5,36,F,1,2,R,,,,
72293584,63061064,1,4,,,,5,40,M,1,2,R,,,,
72293586,63061066,1,8,,,,,,,,,,,,,
72293590,63061069,1,4,,,,5,49,M,1,2,R,,,,
72293592,63061071,1,4,,,,5,41,F,1,2,R,,,,
72293593,63061071,2,4,,,,5,20,F,1,2,N,,,,
72293594,63061072,1,4,,,,5,27,M,1,2,R,,,,
72293595,63061073,1,1,,,,,,,,,,,,,
72293597,63061075,1,4,,,,5,18,F,1,2,N,,,,
72293599,63061077,1,4,,,,5,46,F,1,2,R,,,,
72293600,63061078,1,4,,,,5,10,M,1,2,R,,,,
72293601,63061079,1,4,,,,5,32,F,1,2,R,,,,
72293603,63061081,1,4,,,,5,14,F,1,2,R,,,,
72293604,63061082,1,4,,,,5,27,M,1,2,R,,,,
72293605,63061082,2,4,,,,5,24,M,1,2,R,,,,
72293609,63061086,1,4,,,,5,33,F,1,2,R,,,,
72292450,63059042,1,4,,,,5,51,F,1,2,N,,,,
72292469,63059058,1,4,,,,5,50,M,1,2,R,,,,
72292470,63059058,2,4,,,,5,21,M,1,2,R,,,,
72292480,63059068,1,4,,,,5,47,M,2,2,R,,,,
72292490,63059077,1,4,,,,5,17,M,1,2,R,,,,
72292563,63060029,1,4,,,,5,18,M,1,2,R,,,,
72292570,63060036,1,1,,,,,,,,,,,,,
72292586,63060052,1,8,,,,,,,,,,,,,
72293482,63060077,1,4,,,,5,17,F,1,2,R,,,,
72293500,63060094,1,8,,,,,,,,,,,,,
72294632,63062077,1,4,,,,5,58,M,1,3,N,,,,
72294635,63062080,1,4,,,,5,38,M,1,2,R,,,,
72294638,63062082,1,4,,,,5,4,F,1,2,R,,,,
72294642,63062086,1,4,,,,5,50,M,1,2,N,,,,
72294644,63062088,1,4,,,,5,16,M,1,2,R,,,,
72294645,63062088,2,4,,,,5,20,M,1,2,R,,,,
72294647,63062090,1,4,,,,5,25,F,1,2,R,,,,
72294648,63062091,1,4,,,,5,34,F,1,2,R,,,,
72294649,63062092,1,4,,,,5,43,F,1,2,R,,,,
72294653,63062096,1,4,,,,5,59,M,1,2,N,,,,
72294654,63062097,1,4,,,,5,14,F,1,2,R,,,,
72294655,63062097,2,4,,,,5,54,M,1,2,R,,,,
