year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2013,Maine,ME,8082,ME0010000,Androscoggin,27942,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2013,Maine,ME,8092,ME0020000,Aroostook,28220,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2013,Maine,ME,8100,ME0020800,Ashland,1277,7,"Cities under 2,500",1,12,0,0,0,1,0
2013,Maine,ME,8083,ME0010100,Auburn,22948,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2013,Maine,ME,8151,ME0060100,Augusta,18893,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2013,Maine,ME,8255,ME0150900,Baileyville,1487,7,"Cities under 2,500",1,12,0,0,0,1,0
2013,Maine,ME,8194,ME0100100,Bangor,32744,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2013,Maine,ME,8138,ME0050100,Bar Harbor,5275,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2013,Maine,ME,8224,ME0120100,Bath,8384,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Maine,ME,8241,ME0140100,Belfast,6654,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Maine,ME,8269,ME0160600,Berwick,7529,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Maine,ME,8187,ME0090600,Bethel,2606,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2013,Maine,ME,8264,ME0160100,Biddeford,21324,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2013,Maine,ME,8174,ME0080100,Boothbay Harbor,2135,7,"Cities under 2,500",1,12,0,0,0,1,0
2013,Maine,ME,8195,ME0100200,Brewer,9376,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Maine,ME,8116,ME0030900,Bridgton,5308,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2013,Maine,ME,8218,ME0110400,Brownville,1225,7,"Cities under 2,500",1,12,0,0,0,1,0
