suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,89826943,5.1,1,6339541
5,89826949,0.065,3,6339542
8,89826959,1,9,6339543
5,89825935,0.06,3,6339601
8,89833081,1,9,6339610
8,89834251,1,9,6339611
1,89834272,3.175,3,6339612
5,89825944,11.2,1,6339653
5,89825959,1,9,6339654
5,89825962,12.6,1,6339655
5,89825989,1,1,6339656
8,89825991,32,9,6339657
16,89833098,28,9,6339676
5,89833103,0.125,1,6339677
5,89833104,0.325,3,6339678
4,89833114,1.8,1,6339679
5,89833125,1.2,1,6339680
5,89833131,0.5,1,6339681
16,89833134,2,9,6339682
5,89833137,5.9,1,6339683
16,89833149,1,9,6339684
5,89833154,1.5,1,6339685
16,89833156,8,9,6339686
4,89833159,0.01,1,6339687
5,89833170,18,1,6339744
5,89821234,0.795,3,6339751
5,89821241,3.1,1,6339752
5,89821255,16.8,1,6339753
5,89821257,1.3,1,6339754
5,89821266,0.7,1,6339755
5,89821322,0.5,1,6339796
5,89821343,0.9,1,6339797
4,89821345,4.5,1,6339798
5,89903632,1.003,1,6343995
8,89903640,1,9,6343996
16,89910687,2,9,6344037
8,89910695,1,9,6344038
5,89910696,27.8,1,6344039
5,89910711,19.1,1,6344040
5,89910724,1.8,1,6344041
5,89906000,3.8,1,6344104
5,89906002,1.9,1,6344105
15,89907117,4,1,6344108
5,89907128,1,1,6344109
5,89907139,0.8,1,6344110
4,89907176,1,9,6344111
5,89914490,0.1,1,6344150
5,89914503,1,1,6344151
5,89914512,13,10,6344152
1,89907178,5.9,1,6344203
5,89907251,18,1,6344208
2,89914569,0.6,1,6344237
4,89902623,1.5,1,6344271
5,89902624,0,,6344272
5,89902641,2.9,1,6344273
5,89902643,1,1,6344274
3,89902644,1,11,6344275
2,89857359,16.7,1,6348548
16,89839397,13,9,6348550
5,89839401,6.3,1,6348551
5,89839402,0.175,3,6348552
5,89839403,5.3,1,6348553
1,89839409,1.2,1,6348554
5,89839418,3.5,1,6348555
5,89839424,9.005,1,6348556
5,89839427,8.2,1,6348557
5,89839429,2.1,1,6348558
