offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
95661448,87432998,49,C,20,,N,
87043332,81916212,44,C,20,,,
87043334,81916215,36,C,20,,,
87045531,81916216,23,C,8,,,
87048880,81916219,41,C,20,,,
87046981,81916221,5,C,22,,,
87045534,81916223,44,C,20,,,
87048070,81915072,51,C,20,,,
87048071,81915075,16,C,13,,,
87046178,81915077,51,C,22,,,
87046179,81915077,5,C,22,,,
87048072,81915079,16,C,13,,,
87048073,81915079,35,C,13,,,
87048074,81915084,51,C,20,,,
87048075,81915086,16,C,22,,,
87053575,81915091,35,C,20,,,
87043062,81915093,27,C,20,,,
87045491,81915094,27,C,20,,,
87043338,81916224,51,C,20,,,
87048881,81916227,44,C,13,,,
87043099,81916229,41,C,25,,,
87046983,81916231,44,C,14,,,
87048882,81916232,45,C,20,,,
87043341,81916233,5,C,20,,,
87046984,81916236,44,C,22,,,
87043342,81916238,5,C,13,,,
87048884,81916239,14,C,20,,,
87053601,81916241,14,C,20,,,
87048886,81916244,14,C,20,,,
87046985,81916245,14,C,20,,,
87046986,81916245,45,C,20,,,
87053603,81916246,41,A,20,,,
87048887,81916248,16,C,22,,,
87048888,81916250,5,C,20,,,
87045538,81916252,51,C,22,,,
87043063,81915101,23,C,11,,,
87043293,81915102,16,C,13,,,
87046181,81915105,16,C,13,,,
87053576,81915107,45,C,24,,,
87053578,81915110,16,C,13,,,
87053579,81915113,16,C,13,,,
87043067,81915115,51,C,22,,,
87048566,81915120,16,C,24,,,
87043295,81915126,16,C,13,,,
87043070,81915129,5,C,22,,,
87043296,81915130,51,C,22,,,
87046184,81915131,16,C,20,,,
87046185,81915131,35,C,20,,,
87046186,81915134,16,C,18,,,
95659844,87432247,47,C,20,,,
95178346,87005694,23,C,18,,,
95178345,87005694,5,C,18,,,
95178351,87005698,5,C,22,,,
95178350,87005698,51,C,22,,,
95659850,87432253,47,C,20,,,
87048889,81917140,51,C,25,,,
87046988,81917142,2,C,20,,,
87048602,81917143,47,C,20,,,
