property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
92707280,6,79,,88717574
92710115,63,1,,88723612
92702210,3,8000,,88713771
92703395,10,0,,88712700
92702157,30,50,,88712613
92703396,10,0,,88712701
92703397,11,70,,88712702
92703398,10,0,,88713809
92706479,11,5,,88704781
92700754,20,1035,,88710194
92710116,21,1,,88723613
92698227,3,3500,,88708931
92698228,3,500,,88708932
92710117,8,100,,88723614
92710118,20,90,,88723615
92706501,63,300,,88705893
92710121,8,30,,88723618
92710122,20,37,,88723619
92710123,27,300,,88723620
92702212,4,50,,88713773
92702213,20,37,,88713774
92702214,36,20,,88713775
92710124,10,0,,88723621
92710125,63,15,,88723622
92699897,19,125,2015-05-20 00:00:00,88714833
92699898,19,125,,88714834
92691491,10,0,,88716641
92702162,10,0,,88712618
92706480,63,900,,88704782
92706481,10,0,,88704783
92706482,10,0,,88704784
92701001,10,0,,88713708
92691493,10,0,,88716643
92699905,35,50,,88715935
92702164,10,0,,88712620
92702165,63,20,,88712621
92702166,10,0,,88712622
100455701,17,800,,97598103
100455701,20,200,,97598732
100455701,7,1000,,97598730
100062117,63,40,,97087247
100062116,8,900,,97087244
100062116,3,875,,97087245
100062119,35,50,,97087253
100455706,10,50,,97598736
92702216,63,1,,88713777
92714454,20,109,,88734355
92706506,19,120,,88705897
92702217,16,750,,88713778
92702218,26,200,,88713779
92702219,63,100,,88713780
92710126,63,1,,88723623
92707286,6,90,,88717580
92698231,63,100,,88708935
92714455,8,8,,88734356
92698232,3,50,,88708936
92700763,29,75,,88710203
92698233,20,10,,88708937
92714456,7,250,,88734357
92702229,20,1,,88713790
92702230,63,190,,88713791
92706509,3,15,,88705900
92714458,25,20,2015-05-20 00:00:00,88734359
92714459,20,20,,88734360
92714460,25,20,,88734361
92714461,63,5,,88734362
92700771,20,3,,88710211
92700772,63,50,,88710212
92698236,63,15,,88708940
92714463,1,1000,,88734364
92714464,21,25,,88734365
92700778,20,5,,88710218
92714466,63,40,,88734367
92702233,35,40,,88713794
92714467,30,100,,88734368
92710128,8,300,,88723624
92710129,9,0,,88723625
92710130,20,1510,,88723626
92710131,25,900,,88723627
92702234,36,3860,,88713795
92710132,63,700,,88723628
92714469,20,1747,,88734370
92714472,3,5000,,88734373
92714473,20,11,,88734374
92702236,63,3000,,88713797
92714474,22,0,,88735475
92700779,22,0,,88710219
92707292,20,250,,88717586
92710969,22,0,,88736459
92710970,63,5,,88736460
92702240,20,1300,,88713799
92707293,17,288,,88717587
92700781,10,5,,88710221
92700782,20,4,,88710222
92702241,16,5,,88713800
92714477,20,200,,88735478
92714478,63,615,,88735479
92700785,6,229,2015-05-25 00:00:00,88710225
92700786,6,229,,88710226
92714443,9,0,,88734344
92714444,20,270,,88734345
92714445,63,1,,88734346
92710114,20,20,,88723611
92714446,20,551,,88734347
92703392,10,0,,88712697
92703393,11,1,,88712698
92699893,11,33,,88714829
92699894,63,6,,88714830
92706477,11,1,,88704779
92706416,11,20,,88703640
92700997,11,15,,88713704
92704241,3,15000,,88708078
92702158,2,1,2015-05-20 00:00:00,88712614
92702159,8,1,2015-05-20 00:00:00,88712615
92702160,2,31,,88712616
92702161,8,2,,88712617
100455599,10,1,,97598604
100455599,16,1,,97598602
100455599,20,40,,97598054
100455599,21,250,,97598600
92692336,9,0,,88710875
92692337,20,50,,88710876
92692338,25,10,,88710877
92692339,63,1,,88710878
92703317,35,100,,88711536
92690193,63,22,2015-01-28 00:00:00,88715378
92690194,63,22,,88715379
92706356,30,100,,88703584
92691422,63,50,,88715474
92703327,10,0,,88712634
92706422,2,19,2015-01-15 00:00:00,88703645
92706423,2,34,,88703646
92702211,63,24,,88713772
92704242,3,570,,88708079
92706483,3,100,,88704785
92691494,10,0,,88716644
92701008,63,50,,88713715
92706433,6,200,,88704737
92706434,17,3500,,88704738
92706435,26,100,,88704739
92701009,20,880,,88713716
92694859,10,0,,88713305
92694860,11,20,,88713306
92694865,20,1632,,88713311
92701221,7,20,,88717230
92701222,19,5400,,88717231
92701223,20,25,,88717232
92701224,63,150,,88717233
92699854,6,59,,88714791
92703306,7,700,,88711525
92701229,2,1,,88717237
92701230,11,1,,88717238
92706333,63,1,,88702467
92706334,20,150,,88702468
