"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,106019106,20,850,,113648868
2018,106025511,31,50,,113644710
2018,106019115,13,3600,,113644711
2018,106029884,3,1000,,113648896
2018,106029884,1,1000,,113648895
2018,106034161,20,200,,113648902
2018,106034171,52,0,,113644749
2018,106029942,10,,,113653118
2018,106029942,11,10,,113644809
2018,106034236,2,20,,113648993
2018,106034250,63,10,,113653152
2018,106029976,3,300,,113653165
2018,106029979,63,100,,113649022
2018,106025620,3,10,,113653173
2018,106029995,63,1,,113653188
2018,106034297,63,100,,113644886
2018,106030016,63,40,,113644897
2018,106030053,20,30,,113653277
2018,106030053,9,0,,113644930
2018,106030053,51,0,,113653279
2018,106030053,25,10,,113653278
2018,106034367,63,100,,113653283
2018,106025671,63,7,,113653295
2018,106034383,10,,,113653307
2018,106034386,6,196,,113649120
2018,106034388,19,500,,113644945
2018,106025675,19,451,16-MAY-18,113644943
2018,106034388,6,9,,113644944
2018,106025675,6,9,16-MAY-18,113644942
2018,106034391,7,100,,113644946
2018,106034398,63,200,,113653322
2018,106034399,25,10,,113653324
2018,106034399,6,150,,113653323
2018,106034400,63,250,,113653326
2018,106034400,3,100,,113653325
2018,106034402,63,550,,113653329
2018,106034401,9,0,,113653327
2018,106034402,52,0,,113653328
2018,106030112,29,100,,113649186
2018,106030112,16,100,,113649185
2018,106034470,26,599,,113653413
2018,106034489,63,1,,113653428
2018,106034487,63,1,22-APR-18,113649226
2018,106034492,3,500,,113649233
2018,106034508,3,40000,,113645034
2018,106025747,34,1,,113645038
2018,106034521,63,50,,113649274
2018,106030190,15,30,,113653484
2018,106030195,15,375,,113645054
2018,106034531,15,375,22-AUG-18,113653486
2018,106030202,13,700,,113653495
2018,106034535,49,50,11-JUL-18,113653494
2018,106034535,13,700,11-JUL-18,113653493
2018,106030202,49,50,,113649290
2018,106034536,7,50,,113645062
2018,106034545,61,350,,113653507
2018,106034588,10,20,,113653551
2018,106030254,52,0,,113649351
2018,106025799,3,8000,,113649354
2018,106025815,28,2700,,113653586
2018,106034624,7,379,,113653595
2018,106034624,6,100,,113653594
2018,106034624,25,500,,113653596
2018,106025824,63,200,,113649411
2018,106030305,63,50,,113653615
2018,106030308,36,350,,113649422
2018,106030313,63,1,,113653635
2018,106034661,20,89,,113653649
2018,106034729,8,100,,113653722
2018,106025884,21,1,,113649514
2018,106025883,21,140,,113645200
2018,106767255,6,99,01-AUG-18,114591160
2018,106767256,6,99,,114594055
2018,106767260,6,49,17-AUG-18,114594058
2018,106767261,6,49,,114594059
2018,106774605,38,90,07-JUN-18,114597081
2018,106771629,38,90,,114594063
2018,106774609,2,8,,114591168
2018,106774609,19,19,,114591170
2018,106771637,2,18,,114594069
2018,106767270,10,,,114597087
2018,106767272,20,700,,114594073
2018,106767274,63,40,,114594076
2018,106771649,29,100,,114594084
2018,106774627,7,1300,10-JUL-18,114594083
2018,106774628,7,1300,,114591201
2018,106771653,60,1238,,114597098
2018,106774643,6,150,,114597105
2018,106774648,38,200,,114597107
2018,106767303,8,29,,114594115
2018,106771673,10,,,114591230
2018,106774663,19,1300,,114594117
2018,106771679,2,16,,114591236
2018,106771683,61,25,,114594126
2018,106771683,54,300,,114594125
2018,106767315,55,5000,,114597128
2018,106767314,63,500,,114594133
2018,106777195,20,303,,114607656
2018,106777207,19,2,,114604741
2018,106780218,19,2,11-NOV-18,114600204
2018,106777229,8,25,,114600229
2018,106784656,15,300,,114604766
2018,106784656,3,200,,114600227
2018,106780233,3,878,,114607686
2018,106784662,36,501,,114607688
2018,106784662,63,876,,114607689
2018,106780243,25,34,25-SEP-18,114607704
2018,106780246,6,138,,114607705
2018,106780243,6,138,25-SEP-18,114607702
2018,106780246,25,34,,114607707
2018,106784678,36,2050,,114600257
2018,106030070,19,14,21-MAY-18,113649129
2018,106030071,19,32,,113649130
2018,106025678,19,12,,113649142
2018,106030084,3,500,,113649149
2018,106034421,10,,,113649156
2018,106030097,19,73,26-JUL-18,113653351
2018,106034432,19,73,,113653355
2018,106034446,11,1,,113653376
2018,106034449,63,78,,113644984
2018,106034459,4,50,,113649208
2018,106030127,6,56,,113649214
2018,106025735,20,100000,,113645015
2018,106025755,21,125,11-AUG-18,113649278
2018,106030186,21,125,,113649279
2018,106034557,63,1,,113645075
2018,106034562,2,15,,113653525
2018,106034575,33,1,,113649327
2018,106034576,11,1,,113653544
2018,106030256,61,89,,113653566
2018,106034603,7,10,,113653569
2018,106034603,20,6,,113645101
2018,106034627,20,36,,113653599
2018,106034626,20,36,15-AUG-18,113653598
2018,106025833,20,2031,,113653621
2018,106025833,25,25,,113645144
2018,106030312,63,200,,113649426
2018,106025841,37,500,,113649432
2018,106025841,38,500,,113645156
2018,106034755,20,1775,,113645214
2018,112078457,29,550,,121563790
2018,112089605,10,50,,121559779
2018,112089605,9,0,,121563791
2018,112089605,17,795,,121559780
2018,112089605,58,50,,121559781
2018,112089640,3,400,,121559823
2018,112089742,20,136,,121559935
2018,112078567,2,26,31-DEC-18,121555148
2018,112089758,2,27,,121555150
2018,112085370,63,136,03-JUN-18,121563907
2018,112089765,63,136,,121559973
2018,112089966,22,0,,121560214
2018,106029931,6,59,04-JUN-18,113644789
2018,106034204,6,59,,113648958
2018,106029943,6,100,,113648971
2018,106029943,61,600,,113648974
2018,106029943,7,70,,113648972
