"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,118819020,122137267,17,36371388
2018,118819022,122137267,17,36371390
2018,118822666,122140774,24,36363567
2018,118819458,122137523,21,36369151
2018,109277958,112592113,3,33059479
2018,109280319,112592298,3,33053250
2018,109278166,112587591,24,33053256
2018,109280362,112587616,5,33053270
2018,109278415,112592547,24,33055112
2018,109278444,112584429,18,33059602
2018,109278460,112592599,21,33055126
2018,109274524,112592698,24,33053378
2018,109280687,112592698,24,33053380
2018,109278575,112592712,24,33059647
2018,109274591,112592795,9,33055185
2018,109278644,112592795,9,33063405
2018,109274591,112592797,9,33055187
2018,109278644,112592797,9,33063406
2018,109280837,112584652,3,33063429
2018,109284654,112592866,3,33055203
2018,109278757,112584678,25,33063444
2018,109280874,112592898,5,33055215
2018,109278757,112592897,1,33055216
2018,109280874,112592897,25,33059711
2018,109280874,112584678,1,33055214
2018,109278757,112592898,24,33059715
2018,109284754,112588119,1,33063469
2018,109281022,112593033,1,33063482
2018,109280374,112587621,5,33059541
2018,109274414,112592551,3,33053325
2018,109278489,112584462,1,33053352
2018,109280646,112592650,17,33053359
2018,109280646,112592651,17,33053360
2018,109278519,112584493,3,33059632
2018,109280671,112592683,9,33055144
2018,109280689,112587902,18,33053381
2018,109278579,112584533,1,33055152
2018,109278626,112592776,1,33059666
2018,109280790,112584608,16,33059675
2018,109280833,112592853,9,33059689
2018,109280833,112592854,3,33063428
2018,109280956,112588109,3,33055229
2018,109281067,112584865,10,33063499
2018,109274041,112587406,16,33055024
2018,109277972,112592130,19,33053221
2018,109280201,112584001,24,33055048
2018,109277997,112584001,24,33055049
2018,109278076,112584063,3,33059509
2018,109274214,112584100,21,33059519
2018,109280561,112592538,16,33055108
2018,109278430,112584410,3,33059594
2018,109280635,112584458,1,33053351
2018,109274552,112587934,3,33055175
2018,109274564,112592762,16,33059661
2018,109280761,112587965,16,33055183
2018,109280796,112587987,1,33063414
2018,109280965,112584755,21,33063466
2018,109280981,112588138,14,33059744
2018,109281079,112584872,21,33055263
2018,109284854,112584872,5,33055262
2018,109284853,112584872,20,33055261
2018,109274047,112592001,21,33055026
2018,109280166,112587482,24,33053217
2018,109277976,112583984,15,33059484
2018,109278089,112592249,3,33059510
2018,109274248,112587580,24,33055068
2018,109274252,112587583,16,33055071
2018,109274287,112592357,9,33055078
2018,109278218,112584190,3,33053277
2018,109280468,112584259,3,33055086
2018,109280569,112592543,1,33053323
2018,109278435,112592568,16,33055116
2018,109280584,112592569,18,33059597
2018,109280584,112592568,16,33053330
2018,109278435,112592569,18,33059596
2018,109280618,112592605,21,33053343
2018,109274473,112587850,3,33055133
2018,109274478,112592632,16,33055136
2018,109280639,112592638,16,33055137
2018,109280639,112592635,16,33053356
2018,109280639,112592640,17,33059624
2018,109280639,112592639,16,33053357
2018,109280639,112584466,3,33053358
2018,109280675,112592688,17,33059638
2018,109278742,112592884,16,33059702
2018,109278741,112592884,3,33055210
2018,109278835,112584763,24,33059739
2018,109280999,112584794,8,33063479
2018,109284835,112593071,1,33055257
2018,109274068,112592031,16,33059450
2018,109274129,112583977,5,33053220
2018,109278025,112587507,21,33059495
2018,109280289,112587544,16,33055061
2018,109280326,112584134,1,33053251
2018,109278188,112584164,10,33053265
2018,109280398,112592375,5,33053282
2018,109280397,112592375,21,33059545
2018,109274342,112584271,18,33055088
2018,109274342,112584270,3,33053299
2018,109278646,112584595,19,33059668
2018,109280778,112584595,22,33063408
2018,109274594,112584595,17,33063407
2018,109284650,112588027,24,33055202
2018,109284649,112588027,3,33055201
2018,109284666,112588040,3,33063437
2018,109274039,112583839,19,33055023
2018,109274042,112591999,1,33055025
2018,109277909,112583916,3,33055037
2018,109280190,112583981,12,33053222
2018,109278059,112592218,1,33059506
2018,109274198,112587541,3,33055058
2018,109280278,112584080,3,33053243
2018,109274215,112584101,26,33053248
2018,109280373,112587620,24,33059540
2018,109280461,112584249,3,33053297
2018,109278367,112592507,16,33059579
2018,109274467,112592611,3,33059610
2018,109280657,112592667,3,33053367
2018,109278528,112592667,16,33059635
2018,109278553,112584513,1,33053372
2018,109274523,112584517,18,33053374
2018,109280756,112587956,1,33063399
2018,109278660,112584611,3,33055193
2018,109280792,112584611,16,33063413
2018,109274611,112584615,3,33055196
2018,109284773,112584774,24,33063477
2018,109284797,112584805,24,33055247
2018,109281054,112588207,3,33055256
2018,109278942,112593073,1,33059772
2018,109281066,112584867,3,33063498
2018,109277832,112591989,14,33055021
2018,109274057,112583852,1,33053177
2018,109280059,112583857,1,33053178
2018,109280107,112583909,3,33055036
2018,109274099,112592060,21,33053191
2018,109280165,112592109,24,33053216
2018,109278051,112587522,21,33059503
2018,109274260,112584148,1,33053258
2018,109278169,112584148,1,33053257
2018,109274283,112587615,24,33055076
2018,109280384,112592365,1,33053276
2018,109280483,112587695,5,33059563
2018,109280482,112587695,3,33053300
2018,109280534,112584337,18,33053314
2018,109280534,112587759,18,33059581
2018,109280534,112587760,18,33053313
2018,109280562,112584385,3,33059588
2018,109278472,112592620,19,33055132
2018,109278781,112588070,21,33059721
2018,109280925,112588084,17,33063457
2018,109284713,112588084,25,33055223
2018,109284713,112584722,5,33055225
2018,109280925,112584722,25,33063458
2018,109281029,112593039,9,33055251
2018,109274100,112587460,16,33053192
2018,109280131,112583931,1,33053200
2018,109277998,112587495,1,33059493
2018,109277999,112587495,24,33059494
2018,109280272,112592253,1,33059512
2018,109278299,112584255,3,33059560
2018,109280507,112592488,21,33055095
2018,109274429,112584412,4,33059595
2018,109274430,112584412,1,33055114
2018,109278433,112584412,1,33053327
2018,109274439,112592577,1,33055120
2018,109280611,112584436,24,33053337
2018,109274470,112587847,1,33055131
2018,109278643,112592798,9,33055186
2018,109280794,112592813,26,33055194
2018,109280818,112584633,3,33063421
2018,109280819,112584633,22,33055197
2018,109274636,112584639,3,33063424
2018,109284644,112588019,1,33055200
2018,109280877,112592902,16,33063445
2018,109280876,112592902,16,33059713
2018,109280957,112592967,20,33055231
2018,109274058,112583853,16,33055027
2018,109277952,112583964,3,33059477
2018,109280364,112587617,17,33059538
2018,109280440,112592431,16,33053295
2018,109280497,112587709,1,33059570
2018,109280495,112587709,1,33053302
2018,109280542,112584356,1,33053315
2018,109280656,112587872,3,33053366
2018,109274551,112587933,1,33055174
2018,109280754,112587957,14,33063398
2018,109274573,112587959,24,33059664
2018,109278684,112584629,3,33059679
2018,109280889,112584687,3,33063451
2018,109280961,112588113,1,33063464
2018,109280961,112592972,5,33059733
2018,109280961,112592973,5,33063465
2018,109278837,112588120,21,33063471
2018,109278872,112588155,1,33059747
2018,109280037,112587395,16,33053174
2018,109277888,112583894,9,33053187
2018,109277894,112592043,1,33059453
2018,109278030,112592187,3,33059499
2018,109278030,112592188,18,33053230
2018,109274234,112584120,24,33059525
2018,109278138,112584124,24,33059527
2018,109274277,112584168,3,33053266
2018,109280380,112584184,24,33053275
2018,109280386,112587629,3,33053279
2018,109280391,112584191,3,33053281
2018,109280502,112592481,20,33053304
2018,109278365,112587752,3,33059578
2018,109278373,112584340,3,33059582
2018,109280557,112584379,14,33055105
2018,109280567,112584389,3,33053322
2018,109278466,112587845,19,33053345
2018,109278491,112592634,1,33053353
2018,109278527,112587873,3,33059634
2018,109278629,112592778,3,33059667
2018,109278655,112592811,3,33059674
2018,109280791,112584610,14,33063412
2018,109280813,112584627,3,33059678
2018,109280816,112584627,9,33063420
2018,109280840,112588016,3,33059694
2018,109280853,112592875,24,33055206
2018,109280860,112592879,24,33063439
2018,109284670,112592879,21,33055209
2018,109278743,112584675,15,33063442
2018,109278799,112588087,3,33055224
2018,109278825,112584751,1,33055232
