year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2000,Massachusetts,MA,7741,MA0120100,Abington,14605,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7630,MA0090100,Acton,20331,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7462,MA0030100,Acushnet,10161,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7434,MA0020100,Adams,8809,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7567,MA0070100,Agawam,28144,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7498,MA0050100,Amesbury,16450,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7599,MA0080100,Amherst,34874,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7499,MA0050200,Andover,31247,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7490,MA0040300,Aquinnah,344,7,"Cities under 2,500",0,0,0,0,0,0,0
2000,Massachusetts,MA,7631,MA0090200,Arlington,42389,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7800,MA0140100,Ashburnham,5546,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7632,MA0090300,Ashby,2845,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7540,MA0060100,Ashfield,1800,7,"Cities under 2,500",0,0,0,0,0,0,0
2000,Massachusetts,MA,7633,MA0090400,Ashland,14674,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7801,MA0140200,Athol,11299,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7463,MA0030200,Attleboro,42068,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7802,MA0140300,Auburn,15901,5,"Cities from 10,000 thru 24,999",0,8,0,9,0,0,0
2000,Massachusetts,MA,7707,MA0110100,Avon,4443,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7634,MA0090500,Ayer,7287,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7414,MA0010000,Barnstable,0,8D,"Non-MSA counties under 10,000",0,0,0,0,0,0,0
2000,Massachusetts,MA,7415,MA0010100,Barnstable,47821,4,"Cities from 25,000 thru 49,999",1,12,0,3,0,1,0
2000,Massachusetts,MA,7431,MA001MD00,Barnstable Metropolitan District Commission,0,8D,"Non-MSA counties under 10,000",0,0,0,0,0,0,0
2000,Massachusetts,MA,7803,MA0140400,Barre,5113,6,"Cities from 2,500 thru 9,999",1,12,0,7,0,1,0
2000,Massachusetts,MA,7781,MA0130900,Bay Transportation Authority: Suffolk County,0,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2000,Massachusetts,MA,7435,MA0020300,Becket,1755,7,"Cities under 2,500",1,12,0,0,0,1,0
2000,Massachusetts,MA,7635,MA0090600,Bedford,12595,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7600,MA0080200,Belchertown,12968,5,"Cities from 10,000 thru 24,999",1,12,0,5,0,1,0
2000,Massachusetts,MA,7708,MA0110200,Bellingham,15314,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7636,MA0090700,Belmont,24194,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7694,MA009CL00,Bentley College,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2000,Massachusetts,MA,7464,MA0030300,Berkley,5749,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7433,MA0020000,Berkshire,0,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2000,Massachusetts,MA,7458,MA002MD00,Berkshire Metropolitan District Commission,0,9D,"MSA counties under 10,000",0,0,0,0,0,0,0
2000,Massachusetts,MA,7804,MA0140500,Berlin,2380,7,"Cities under 2,500",1,12,1,12,0,1,1
2000,Massachusetts,MA,7541,MA0060200,Bernardston,2155,7,"Cities under 2,500",1,12,0,0,0,1,0
2000,Massachusetts,MA,7500,MA0050300,Beverly,39862,4,"Cities from 25,000 thru 49,999",0,7,0,7,0,0,0
2000,Massachusetts,MA,7637,MA0090800,Billerica,38981,4,"Cities from 25,000 thru 49,999",0,7,0,7,0,0,0
2000,Massachusetts,MA,7805,MA0140600,Blackstone,8804,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7568,MA0070200,Blandford,1214,7,"Cities under 2,500",0,0,0,0,0,0,0
2000,Massachusetts,MA,7806,MA0140700,Bolton,4148,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7775,MA0130100,Boston,589141,1B,"Cities from 500,000 thru 999,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7693,MA009BC00,Boston College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2000,Massachusetts,MA,7795,MA013BU00,Boston University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2000,Massachusetts,MA,7416,MA0010200,Bourne,18721,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7638,MA0090900,Boxborough,4868,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2000,Massachusetts,MA,7501,MA0050400,Boxford,7921,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7807,MA0140800,Boylston,4008,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7709,MA0110300,Braintree,33828,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7700,MA009WU00,Brandeis University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2000,Massachusetts,MA,7417,MA0010300,Brewster,10094,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7742,MA0120200,Bridgewater,25185,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2000,Massachusetts,MA,7569,MA0070300,Brimfield,3339,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
