property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
12473291,63,10,,12493491
12473292,63,10,,12494622
12472589,10,0,,12501829
12475729,10,0,,12494817
12475730,3,500,2000-08-31 00:00:00,12494818
12475731,3,3000,,12494819
12475732,3,1000,,12494820
12475583,38,300,,12492421
12475584,63,6000,,12492422
12472591,3,1000,2000-08-15 00:00:00,12501831
12472592,3,1000,,12501832
12472594,9,0,,12501834
12472595,20,15,,12501835
12472596,63,1000,,12501836
12475585,3,150,,12492423
12475586,20,140,,12492424
12475587,25,60,,12492425
12472597,38,50,,12501837
12472598,38,150,,12501838
12472599,24,3595,2000-08-27 00:00:00,12501839
12472600,24,3595,,12501840
12473297,10,0,,12494627
12472601,36,200,,12501841
12472602,63,2000,2000-09-11 00:00:00,12501842
12472603,63,2000,,12501843
12473298,20,95,,12494628
12475707,63,2000,,12494795
12472562,35,100,,12501802
12472563,15,200,,12501803
12472566,24,8000,,12501806
12472577,36,225,,12501817
12475582,10,0,,12492420
12472590,29,25,,12501830
12473293,10,65,2000-09-29 00:00:00,12494623
12473294,10,65,,12494624
12472593,10,0,,12501833
12472564,11,50,,12501804
12472565,26,100,,12501805
12475568,3,200,,12492406
12475569,63,1,,12492407
12475570,20,100,,12492408
12475571,20,30,,12492409
12475572,25,50,,12492410
12473280,25,50,,12493480
12472568,3,200,,12501808
12472569,26,400,,12501809
12473281,16,2175,,12493481
12473282,26,160,,12493482
12475708,3,3350,,12494796
12475709,20,75,,12494797
12475710,27,1380,,12494798
12475711,38,150,,12494799
12475712,63,1220,,12494800
12472570,19,712,2000-09-25 00:00:00,12501810
12472571,19,712,,12501811
12475575,29,1,,12492413
12475713,20,100,,12494801
12475714,26,100,,12494802
12475715,27,750,,12494803
12472573,36,1000,,12501813
12475578,9,0,,12492416
12473295,10,0,,12494625
12475733,10,0,,12494821
12475588,10,0,,12492426
12473296,63,50,2000-10-09 00:00:00,12494626
12475705,4,1120,2000-10-17 00:00:00,12494793
12475706,4,1120,,12494794
12475565,4,1120,2000-10-17 00:00:00,12492403
12475566,4,1120,,12492404
12473278,68,,,12493478
12472572,3,2000,,12501812
12475718,38,200,,12494806
12475719,9,0,,12494807
12475720,20,30,,12494808
12475576,31,1,,12492414
12472578,3,8000,,12501818
12472579,4,751,,12501819
12472580,20,8334,,12501820
12475721,68,,,12494809
12475722,63,60,,12494810
12475723,7,1600,,12494811
12475724,20,700,,12494812
12475725,27,60,,12494813
12475726,63,50,,12494814
12475727,19,50,,12494815
12473285,37,251,,12493485
12472582,63,1,,12501822
12475728,33,25,,12494816
12473286,21,1600,,12493486
12473287,20,800,,12493487
12473279,33,50,,12493479
12475567,63,27,,12492405
12473284,28,2100,2000-11-07 00:00:00,12493484
12475577,38,30,,12492415
12472581,3,1000,,12501821
12475579,35,50,,12492417
12472583,63,180,2000-12-07 00:00:00,12501823
12472584,63,180,,12501824
12472585,36,9440,,12501825
12472586,26,100,,12501826
12475580,3,200,,12492418
12475581,63,759,,12492419
12472587,3,1000,,12501827
12473288,29,200,,12493488
12473289,63,20,,12493489
12473290,63,500,,12493490
12472588,63,2000,,12501828
12472604,63,3700,,12501844
12475573,2,10,,12492411
12475574,10,0,,12492412
12472567,10,0,,12501807
12473283,19,180,2000-12-08 00:00:00,12493483
12475716,3,251,,12494804
12472574,9,0,,12501814
12472575,25,25,,12501815
12472576,68,,,12501816
12475717,30,250,,12494805
12473304,3,250,,12494634
12475738,38,500,,12494826
12475739,38,1615,,12494827
12475692,31,250,,12494780
12475693,20,1945,,12494781
12475608,26,500,,12493568
12473109,27,100,,12491056
12475671,6,400,2000-01-06 00:00:00,12493631
12475612,63,1500,2000-01-24 00:00:00,12493572
12474993,20,80,,12501989
12474994,21,75,,12501990
12472643,68,,,12503019
12475413,31,300,,12489996
12477916,10,0,,12490162
12475487,10,0,,12491196
12473127,68,,,12491074
12473132,15,1000,2000-02-25 00:00:00,12491079
12473133,15,1000,,12491080
12476106,9,0,,12500835
12475657,8,4,,12493617
12475465,3,1,,12491174
12475468,63,250,,12491177
12475469,10,0,,12491178
12473110,3,250,,12491057
12475470,3,5000,,12491179
12473112,3,1,,12491059
12475472,10,0,,12491181
12475473,6,200,,12491182
12475474,7,125,,12491183
12475475,27,2300,,12491184
12477901,10,0,,12490147
12475668,10,0,,12493628
12477911,3,1000,,12490157
12472649,3,1500,,12503025
12477454,9,0,,12503319
12477455,17,700,,12503320
12477456,26,200,,12503321
12477457,63,60,,12503322
12475436,20,20,,12490019
12477460,26,1200,,12503325
12477461,27,120,,12503326
12477467,63,1400,,12503332
12475643,3,16000,,12493603
12475644,26,251,,12493604
12477880,3,16000,,12490126
12475458,3,2000,,12491167
12475459,26,150,,12491168
12475460,63,100,,12491169
12477895,3,20000,,12490141
12475589,10,0,,12492427
12475590,32,300,,12492428
12472605,38,1,2000-03-09 00:00:00,12501845
12473303,63,1,,12494633
12473306,20,205,,12494636
12472606,30,95,,12501846
12473120,21,210,,12491067
12477917,10,0,,12490163
12475682,26,250,,12494770
12475683,27,750,,12494771
12473128,20,660,,12491075
12475688,29,400,,12494776
12477931,9,0,,12490177
12477935,3,1,,12490181
12475490,27,500,,12491199
12473135,3,5000,,12491082
12473136,30,1,,12491083
12475495,8,1,,12491204
12472611,68,,,12502987
12472612,10,0,,12502988
12477420,10,0,,12503285
12473115,63,185,,12491062
12475479,9,0,,12491188
12475669,38,250,,12493629
12475670,26,150,,12493630
12475480,38,1,2000-03-09 00:00:00,12491189
12477912,27,450,,12490158
12475483,3,1,,12491192
12475734,68,,,12494822
12473299,37,14500,,12494629
12473300,4,400,,12494630
12473301,3,1,,12494631
12473302,3,8000,,12494632
12475735,3,1,,12494823
12475591,3,250,,12492429
12475592,26,600,,12492430
12475593,27,500,,12492431
12475594,24,1,,12492432
12475595,37,1,,12492433
12475596,33,1,,12492434
12475597,3,250,,12492435
12473305,63,1000,,12494635
12477936,68,,,12490182
12475491,38,250,,12491200
12475492,33,100000,,12491201
12473134,63,35,,12491081
12477937,3,1,,12490183
12475694,3,1,,12494782
12475493,3,250,,12491202
12475494,39,100,,12491203
12477938,63,10,,12491313
12475496,19,40,,12491205
12475497,20,270,,12491206
12477939,3,250,,12491314
12477940,36,150,,12491315
12473311,9,0,2000-05-30 00:00:00,12494641
12473312,9,0,,12494642
12473313,20,350,,12494643
12473314,21,1031,,12494644
12475602,10,0,,12492440
12473323,10,0,,12494653
12472633,10,0,,12503009
12477426,10,0,,12503291
12474979,30,250,,12501975
12477428,17,2500,,12503293
12474990,63,1,,12501986
12474992,8,90,,12501988
12477438,8,90,,12503303
12477439,30,250,,12503304
12477440,63,250,,12503305
12473307,17,15000,,12494637
12475736,3,10000,,12494824
12475737,24,10000,,12494825
12473308,33,1,,12494638
12473309,37,24000,,12494639
12475598,3,9000,,12492436
12473310,10,0,,12494640
12472607,10,0,,12502983
12475740,63,1,,12494828
12472608,4,350,,12502984
12475741,63,1,,12494829
12472609,3,1,,12502985
12472610,3,1,,12502986
12475742,63,1,,12494830
12473315,63,500,,12494645
12472613,4,1,,12502989
12472614,63,40,,12502990
12475743,24,10000,,12494831
12472615,63,1,,12502991
12475744,63,6,,12494832
12475745,26,315,,12494833
12475746,39,500,,12494834
12473316,20,150,,12494646
12477419,20,10,,12503284
12475599,63,3000,,12492437
12473317,63,2000,,12494647
12473319,36,1157,,12494649
12475603,21,80,,12492441
12473324,10,0,,12494654
12474982,20,2843,,12501978
12472642,10,0,,12503018
12475411,10,0,,12489994
12477448,2,1,,12503313
12477449,10,0,,12503314
12475625,10,0,,12493585
12475429,6,20,,12490012
12475430,17,250,,12490013
12475431,20,3,,12490014
12475432,63,100,,12490015
12475626,6,20,,12493586
12475627,17,250,,12493587
12475628,20,3,,12493588
12475629,63,100,,12493589
12475630,3,2000,,12493590
12475631,38,250,,12493591
12472651,63,1,,12503027
12475632,27,600,,12493592
12477462,8,1,2000-05-29 00:00:00,12503327
12477463,19,2,2000-05-29 00:00:00,12503328
12477464,8,1,,12503329
12477465,19,2,,12503330
12475439,8,2,,12490022
12472662,10,0,,12503038
12472663,8,1,,12503039
12472665,29,100,,12503041
12473318,29,100,,12494648
12475600,35,1,,12492438
12475601,35,1,,12492439
12472616,22,0,,12502992
12472617,17,1000,,12502993
12472618,20,300,,12502994
12473320,27,900,,12494650
12472619,9,0,,12502995
12472620,20,220,,12502996
12473321,3,50,2000-06-14 00:00:00,12494651
12477421,20,40,,12503286
12472621,3,10000,,12502997
12472622,3,2400,,12502998
12472623,38,1000,,12502999
12473322,30,100,,12494652
12477422,4,300,,12503287
12472624,25,20,,12503000
12475604,4,1200,,12492442
12477423,9,0,,12503288
12472625,36,200,,12503001
12477424,63,5000,,12503289
12477425,20,5000,,12503290
12477429,20,726,,12503294
12477430,16,726,,12503295
12477896,30,1,,12490142
12475444,20,95,,12490027
12475445,10,0,,12490028
12472672,3,1,,12503048
12472673,10,0,,12503049
12472674,3,32000,,12503050
12477474,10,0,,12503339
12472675,10,0,,12503051
12475647,29,250,,12493607
12475455,3,1,,12491164
12475456,68,,,12491165
12475457,30,1,,12491166
12475655,68,,,12493615
12475656,30,1,,12493616
12477893,68,,,12490139
12477894,30,1,,12490140
12475461,31,10,,12491170
12475462,17,1,,12491171
12475463,36,12,,12491172
12476107,4,1100,,12500836
12472626,31,300,,12503002
12472627,15,650,2000-07-02 00:00:00,12503003
12472628,37,3000,2000-07-02 00:00:00,12503004
12472629,63,150,2000-07-02 00:00:00,12503005
12472630,15,650,,12503006
12472631,37,3000,,12503007
12472632,63,150,,12503008
12475605,3,250,,12493565
12477427,63,450,,12503292
12475606,68,,,12493566
12472634,63,1,,12503010
12474980,63,1,,12501976
12472635,63,1,,12503011
12472636,63,150,,12503012
12475607,20,10,,12493567
12472637,63,1000,,12503013
12472638,3,1000,,12503014
12472639,20,100,,12503015
12474981,4,90,,12501977
12475609,26,1,,12493569
12475610,63,420,,12493570
12475464,3,500,,12491173
12475466,3,250,,12491175
12475658,10,0,,12493618
12475659,63,1,,12493619
12475467,10,0,,12491176
12477897,10,0,,12490143
12477898,22,0,,12490144
12477899,36,1,,12490145
12475660,31,726,,12493620
12475661,17,1000,,12493621
12475662,21,726,,12493622
12477900,10,0,,12490146
12473111,10,0,,12491058
12475471,10,0,,12491180
12475663,10,0,,12493623
12475611,3,1,,12493571
12474983,16,265,,12501979
12474984,28,5000,,12501980
12474985,63,35,,12501981
12474986,6,200,,12501982
12474987,16,2084,,12501983
12474988,38,150,,12501984
12474989,63,180,,12501985
12472654,9,0,,12503030
12472680,20,90,,12503056
12472681,21,136,,12503057
12473113,10,0,,12491060
12475476,10,0,,12491185
12475477,3,1,,12491186
12473114,3,1,,12491061
12475664,10,0,,12493624
12477902,63,1,,12490148
12477903,10,0,,12490149
12477904,20,20,,12490150
12477905,63,1,,12490151
12475665,63,1,,12493625
12477906,21,500,,12490152
12477907,63,500,,12490153
12477908,63,1,,12490154
12475478,13,1,,12491187
12475666,10,0,,12493626
12472640,8,39,,12503016
12477431,17,695,,12503296
12477432,20,30,,12503297
12477433,25,15,,12503298
12472641,38,300,,12503017
12477434,63,50,,12503299
12477435,9,0,,12503300
12477436,25,50,,12503301
12477437,63,50,,12503302
12475613,20,120,,12493573
12474991,3,10000,,12501987
12475614,17,50,,12493574
12475615,19,50,,12493575
12475616,20,400,,12493576
12475617,9,0,,12493577
12475618,21,540,,12493578
12475619,9,0,,12493579
12475620,21,100,,12493580
12475621,25,20,,12493581
12475622,63,50,,12493582
12475623,9,0,,12493583
12475624,20,1,,12493584
12477441,3,500,,12503306
12474995,21,1,,12501991
12477442,26,350,,12503307
12477443,63,350,,12503308
12474996,38,100,,12501992
12474997,36,200,,12501993
12477444,68,,,12503309
12477445,20,319,,12503310
12474998,3,1,,12501994
12474999,31,500,,12501995
12475000,38,250,,12501996
12475001,63,750,,12501997
12475002,3,2000,,12503133
12477446,3,10000,,12503311
12477447,63,1,,12503312
12475412,31,250,,12489995
