suspect_using_id,offense_id
4,11904935
4,11904936
4,11904937
4,11904938
4,11904939
4,11904940
4,11904941
1,11905784
4,11904271
4,11905785
3,11904272
3,11905786
4,11905787
4,11904942
4,11905788
4,11908098
1,11904275
1,11904276
1,11905789
4,11905790
4,11904277
4,11904280
4,11908099
4,11908100
4,11908101
4,11904281
4,11904282
4,11904283
4,11904946
4,11904284
4,11904285
4,11904947
4,11905764
4,11907700
1,11904914
3,11904914
4,11907701
4,11903856
4,11903857
4,11903859
4,11904920
4,11903875
4,11908095
3,11908096
4,11904273
4,11904274
4,11908097
4,11904943
4,11904278
4,11904279
4,11905765
3,11903858
4,11907703
4,11907705
4,11907706
4,11907707
4,11904921
4,11903864
4,11903865
4,11904922
4,11905766
4,11905767
4,11903866
4,11907709
4,11905768
4,11903871
4,11908090
4,11904944
3,11905791
3,11908102
4,11904945
4,11904286
4,11905763
4,11907699
1,11903855
4,11904915
4,11904916
4,11904917
4,11903868
4,11903869
4,11905774
4,11905775
4,11908088
4,11903876
4,11903877
1,11904926
4,11903878
4,11903879
4,11905776
4,11905777
4,11905778
4,11903880
4,11904263
4,11905780
4,11905781
4,11904928
4,11904264
4,11905782
4,11904929
4,11904930
1,11904918
4,11904919
4,11907702
3,11903860
4,11907704
4,11903861
1,11903862
4,11904927
4,11905779
1,11904261
4,11908089
4,11904262
4,11908091
4,11904265
3,11904931
4,11908092
4,11904266
4,11904267
4,11904268
4,11908093
4,11908094
4,11904269
4,11904932
4,11904933
4,11904934
4,11905783
4,11904270
4,11904287
4,11907708
1,11903863
3,11903863
4,11904923
4,11904924
4,11904925
4,11903867
4,11905769
4,11905770
4,11903870
4,11908085
4,11908086
4,11908087
1,11903872
4,11903873
4,11903874
4,11905771
1,11905772
4,11905773
4,11904953
4,11904954
4,11905795
4,11905796
4,11908614
4,11908616
4,11908618
2,11906190
4,11906194
4,11906201
4,11904323
4,11906204
4,11908127
4,11906892
4,11906893
4,11907957
4,11908201
4,11908131
4,11904988
4,11906839
4,11906840
4,11904997
4,11905014
4,11905021
4,11908153
1,11908168
4,11907548
1,11908778
4,11906916
1,11907964
3,11907964
4,11906919
4,11908787
4,11906924
4,11908620
4,11908175
4,11907550
4,11906895
4,11907553
3,11907554
4,11906896
4,11907555
4,11906898
4,11907559
4,11907560
4,11907561
3,11908762
4,11908769
3,11908196
4,11907575
4,11908773
4,11906849
4,11906226
4,11906227
4,11905016
4,11906230
4,11906231
4,11906234
4,11908154
4,11908155
4,11906244
4,11907544
4,11907545
4,11906258
1,11908103
3,11908103
4,11908104
4,11904288
1,11904952
4,11904289
4,11908108
4,11904956
4,11904290
4,11906912
3,11908779
4,11907965
4,11908212
4,11906920
4,11908609
4,11908788
4,11908792
4,11907970
4,11908617
4,11908793
4,11906926
4,11906927
1,11907976
1,11908621
4,11906928
4,11904295
4,11904296
4,11908112
1,11906189
3,11906189
4,11908115
1,11904967
4,11904306
4,11904307
4,11904322
4,11906901
4,11906902
4,11908189
4,11906904
4,11907571
4,11906907
4,11908197
4,11908198
4,11908199
4,11907573
4,11908774
4,11908775
4,11907958
4,11905792
4,11904948
4,11904949
4,11904950
4,11904951
4,11905793
4,11908105
4,11908106
4,11908107
4,11908109
4,11904955
4,11908794
4,11907971
4,11907972
4,11907973
1,11906925
3,11906925
4,11908795
4,11908619
4,11908796
4,11907974
4,11907975
4,11908797
4,11907977
4,11908798
4,11908799
4,11904961
1,11904970
4,11904973
4,11906193
3,11908118
3,11904974
1,11904313
3,11904318
3,11906199
1,11904976
1,11904977
4,11906202
4,11906203
4,11904979
4,11904985
4,11904987
4,11906210
4,11906211
4,11906212
4,11904957
4,11905794
4,11904958
4,11904959
4,11908110
3,11904960
4,11904291
4,11905797
4,11904292
4,11905798
4,11904293
4,11904294
4,11908111
4,11906182
4,11904962
4,11904297
4,11904298
4,11906183
4,11904299
4,11906184
4,11906185
4,11906186
4,11906187
4,11904963
4,11906188
4,11908113
4,11904964
4,11908114
4,11904968
4,11908119
3,11904975
4,11904982
4,11904332
4,11904333
3,11904994
3,11904995
4,11906219
1,11906221
4,11906843
4,11908141
4,11908142
4,11906848
4,11905010
4,11908143
4,11908144
1,11906851
4,11906852
4,11908145
1,11908151
4,11908152
4,11906232
4,11905023
4,11906864
4,11906865
4,11906867
4,11904300
4,11904301
4,11904965
4,11904966
4,11908116
4,11908117
4,11904302
4,11904303
4,11904969
4,11904304
4,11904305
4,11904971
4,11906191
4,11904308
4,11904309
4,11904972
4,11906192
4,11904310
4,11904311
4,11904312
4,11908120
4,11906195
4,11906196
4,11904314
4,11906197
4,11906198
4,11906205
4,11906259
4,11908757
4,11906890
4,11906891
4,11905012
4,11905421
3,11905422
1,11906240
1,11906875
1,11906876
3,11906876
4,11906242
4,11906877
1,11906243
4,11908159
4,11908160
1,11908164
4,11908167
4,11908169
4,11907540
4,11907541
4,11907542
4,11907543
4,11908171
4,11908172
4,11908173
4,11906255
4,11906256
4,11906257
4,11907546
4,11907547
4,11906889
1,11908174
4,11908622
4,11908121
4,11904315
4,11904316
1,11904317
4,11908122
1,11908123
4,11906200
4,11908124
4,11908125
4,11904319
4,11904978
4,11904320
4,11904321
4,11908126
4,11904324
4,11904325
4,11904326
4,11904327
4,11904980
4,11908128
4,11908129
4,11904981
4,11907549
4,11908176
4,11906894
4,11908177
4,11907551
1,11908178
1,11908179
1,11908180
4,11907552
3,11908758
4,11908181
4,11908182
4,11908759
4,11908183
3,11908184
3,11908185
3,11908760
4,11906897
4,11907556
1,11908186
3,11908186
4,11908130
4,11904983
4,11904984
4,11906855
4,11906882
1,11908187
1,11907557
3,11908761
4,11907558
4,11906899
4,11907562
4,11907563
4,11907564
4,11907565
4,11907566
4,11906900
4,11908188
1,11907567
1,11907568
4,11906903
4,11908190
4,11908763
3,11908764
4,11908191
4,11908765
4,11908766
4,11907569
4,11908767
4,11907570
1,11908768
1,11908192
3,11908192
4,11906905
1,11906906
4,11907572
4,11908132
4,11904328
4,11906206
4,11904329
4,11906207
4,11906208
4,11906209
4,11904330
4,11908133
4,11904986
4,11908134
4,11908135
4,11908136
4,11908137
4,11908138
4,11908139
4,11908140
4,11906213
4,11904989
4,11906214
4,11904990
4,11904991
4,11904331
4,11906215
4,11906216
4,11904992
4,11904993
4,11906217
4,11906218
4,11904996
4,11906841
4,11906220
4,11906885
4,11906929
4,11908623
4,11908193
4,11908194
1,11906908
4,11908195
3,11906909
4,11906910
3,11907574
1,11908770
4,11908200
4,11906842
4,11904998
4,11904999
4,11905000
4,11905001
4,11906844
4,11905002
4,11905003
4,11905004
4,11905005
4,11905006
4,11905007
4,11905008
4,11905009
4,11906222
4,11906845
4,11906846
4,11906847
4,11906223
4,11906224
4,11906850
4,11906225
4,11905011
4,11906853
4,11906854
4,11908147
4,11907959
1,11908776
4,11908777
4,11906913
1,11906914
4,11908202
4,11908203
4,11908204
4,11908780
4,11908781
4,11908782
4,11906915
4,11907960
4,11907961
3,11907576
1,11908771
1,11906911
1,11908772
4,11907577
4,11907956
4,11906856
4,11906857
4,11908146
4,11906228
4,11906229
4,11905013
4,11906858
4,11908148
4,11908149
4,11908150
4,11906859
4,11905015
1,11905017
4,11905018
4,11905019
4,11905020
4,11906860
4,11906861
4,11906862
1,11905022
4,11906233
4,11906863
4,11905423
4,11906878
4,11905427
1,11907962
4,11908205
4,11908206
4,11908207
4,11908208
4,11908209
4,11908210
4,11907963
1,11907966
3,11907966
3,11906917
3,11908783
3,11907967
4,11908211
4,11908784
4,11908785
4,11906918
4,11908213
4,11908605
4,11908606
4,11908607
1,11908608
4,11907968
3,11908610
3,11908611
3,11908612
