victim_id,injury_id
11800499,5
11800504,5
11800505,4
11800506,4
11800507,5
11800508,5
11800522,5
11800523,5
11800525,4
11800395,4
11800396,6
11800399,5
11800413,4
11800512,5
11800515,4
11800516,5
11800526,2
11800526,4
11800405,5
11800540,5
11800397,4
11800398,4
11800400,5
11800438,2
11800438,3
11800463,4
11800467,4
11800474,4
11800403,4
11800412,5
11800414,4
11800416,1
11800417,1
11800469,5
11800486,5
11800487,5
11800428,5
11800429,4
11800436,5
11800440,5
11800443,5
11800444,4
11800446,4
11800447,5
11800448,5
11800449,4
11800451,5
11800452,5
11800454,5
11800455,5
11800450,5
11800556,4
11801060,5
11800635,5
11800658,4
11800666,5
11800669,5
11800892,5
11800980,5
11800717,5
11800777,5
11800822,5
11800864,4
11800886,4
11801007,5
11801037,5
11800905,5
11800955,4
11800973,4
11800553,5
11800558,5
11801052,4
11801071,4
11801072,4
11800602,5
11800609,4
11800613,4
11800623,4
11800625,4
11800942,5
11800947,4
11801066,4
11801073,5
11800621,5
11800633,4
11800638,4
11800654,6
11800665,4
11800698,5
11800572,5
11800586,4
11800597,3
11800607,5
11800708,4
11800725,4
11800731,4
11800756,5
11800783,4
11800788,4
11800611,5
11800634,5
11800642,4
11800888,4
11800890,5
11800891,6
11800818,6
11800833,4
11800837,5
11800857,5
11800861,4
11800868,5
11800875,4
11800877,4
11800879,4
11800884,5
11800885,5
11800644,5
11800651,5
11800655,5
11800656,5
11800674,4
11800895,4
11800896,4
11800897,4
11800901,4
11800903,4
11800907,4
11800908,5
11800920,5
11800921,4
11800923,5
11800924,5
11800929,4
11800931,5
11800936,4
11800938,4
11800939,5
11800940,4
11800949,5
11800950,5
11800953,4
11800957,5
11800958,2
11800958,6
11800959,4
11800681,4
11800687,6
11800706,5
11800723,5
11800726,5
11800727,5
11801079,5
11800963,5
11800965,4
11800971,3
11800971,4
11800972,5
11800737,4
11800986,4
11800987,5
11800991,4
11800978,5
11800979,4
11800781,4
11800793,5
11801006,5
11801008,5
11801011,5
11801012,5
11801013,5
11801017,4
11801024,4
11801031,4
11801030,4
11801033,5
11800819,4
11800827,4
11800831,4
11801039,5
11801044,4
11800849,2
11800849,3
11800862,5
11800874,4
11801199,4
11801215,5
11801246,5
11801252,5
11801090,5
11801242,3
11801242,4
11801244,4
11801267,6
11801264,2
11801264,3
11801088,5
11801092,5
11801093,4
11801191,4
11801172,5
11801146,5
11801235,4
11801178,4
11801193,4
11801247,5
11801214,4
11801224,4
11801249,4
11801250,5
11801256,5
11801227,4
11801230,3
11801230,4
11801269,5
11810249,5
11810252,4
11810263,4
11810265,4
11810266,4
11810267,4
11810273,4
11810286,4
11810287,4
11810290,4
11810291,4
11810330,6
11810331,4
11810335,4
11810341,4
11810343,5
11810346,4
11810347,4
11810348,4
11810353,5
11810354,5
11810355,5
11810372,5
11810302,4
11810308,4
11810311,4
11810316,3
11810319,4
11810320,4
11810327,4
11810380,4
11810388,5
11810399,4
11810402,3
11810403,3
11810407,4
11810408,4
11810413,3
11810419,4
11810423,4
11810425,4
11810428,4
11810432,5
11810438,5
11810442,4
11810450,5
11810452,4
11810453,5
11810480,5
11810486,5
11810563,5
11810513,4
11810525,5
11810536,4
11810539,4
11810541,4
11810543,5
11810544,4
11810552,4
11810567,5
11810570,5
11810571,5
11810646,5
11810650,4
11810658,4
11810659,5
11810673,5
11810578,5
11810579,5
11810584,5
11810587,4
11810588,5
11810591,4
11810595,3
11810599,5
11810601,5
11810603,5
11810609,5
11810615,5
11810616,5
11810626,5
11810627,5
11810628,4
11810634,4
11810642,5
11810681,4
11810691,5
11810693,4
11810694,5
11810698,4
11810699,4
11810705,4
11810710,5
11810711,5
11810713,5
11810714,5
11810715,4
11810718,5
11810721,4
11810722,4
11810725,4
11810728,4
11810731,5
11810739,4
11810748,4
11810752,5
11810754,4
11810755,5
11810756,5
11810757,5
11810758,5
11810759,5
11810760,5
11810764,7
11810766,4
11810768,5
11810806,4
11810918,3
11810920,3
11810922,4
11810828,4
11810843,5
11810858,4
11810859,4
11810861,5
11810864,4
11810881,4
11810901,4
11810902,4
11810903,4
11810781,3
11810791,4
11810793,4
11810931,5
11810938,5
11810941,4
11810958,5
11810960,4
11810962,5
11810964,4
11810967,4
11810969,4
11810985,5
11810990,4
11810992,4
11810997,4
11811004,4
11811006,5
11811015,5
11811016,4
11811017,5
11811020,5
11811023,5
11811030,5
11811036,4
11811039,5
11811040,5
11811041,4
11811042,3
11811053,5
11811055,5
11811067,4
11811079,4
11811082,4
11811093,5
11811099,5
11811100,5
11811107,5
11811109,4
11811110,4
11811122,4
11811170,5
11811184,3
11811185,4
11811187,4
11811188,4
11811195,5
11811198,5
11811209,5
11811211,3
11811215,5
11811219,5
11811225,4
11811227,4
11811251,5
11811253,4
11811258,4
11811259,4
11811266,5
11811141,5
11811149,4
11811157,4
11811159,5
11811161,5
11811162,4
11811279,5
11811289,5
11811297,3
11811312,2
11811317,4
11811319,5
11811320,5
11811325,3
11811333,4
11811354,4
11811356,5
11811371,4
11811372,5
11811373,4
11811374,4
11811380,3
11811392,4
11811393,4
11811399,3
11811405,2
11811407,4
11811408,4
11811412,4
11811496,4
11811500,4
11811504,4
11811505,3
11811507,4
11811523,4
11811535,3
11811537,4
11811446,4
11811463,4
11811467,5
11811469,3
11811472,4
11801386,5
11801440,4
11801594,4
11801599,4
11801643,4
11801683,4
11801413,4
11801439,4
11801835,4
11801376,5
11801598,5
11801630,5
11801390,5
11801391,5
11801710,5
11801403,5
11801426,4
11801427,3
11801427,4
11801433,5
11801642,5
11801655,4
11801446,4
11801454,4
11801460,4
11801462,4
11801463,5
11801496,4
11801506,5
11801515,4
11801516,4
11801552,5
11801554,5
11801566,4
11801578,5
11801377,4
11801521,4
11801527,5
11801529,4
11801528,5
11801385,4
11801387,5
11801389,4
11801392,4
11801406,4
11801408,4
11801410,5
11801588,5
11801593,5
11801597,4
11801788,4
11801421,5
11801431,5
11801634,4
11801645,5
11801660,4
11801664,4
11801665,4
11801672,5
11801674,4
11801702,5
11801714,5
11801726,4
11801732,4
11801733,4
11801734,4
11801436,5
11801438,4
11801744,5
11801761,4
11801762,5
11801773,5
11801782,5
11801448,4
11801449,4
11801450,4
11801451,5
11801452,5
11801455,5
11801791,4
11801797,5
11801466,5
11801468,4
11801471,4
11801476,4
11801807,4
11801813,5
11801818,5
11801820,5
11801826,5
11801834,5
11801306,5
11801323,4
11801866,5
11801867,5
11801880,5
11801487,4
11801494,4
11801498,5
11801497,2
11801345,4
11801348,4
11801349,5
11801354,5
11801360,4
11801893,5
11801503,4
11802123,4
11802138,5
11802148,5
11802149,4
11802169,5
11802280,4
11801902,5
11801910,4
11801911,4
11801968,4
11801969,4
11802340,5
11802352,5
11802351,5
11802003,4
11802004,5
11802043,4
11802088,5
11802287,4
11802288,4
11802295,4
11802296,4
11802350,4
11802353,5
11802356,4
11802358,5
11802359,5
11802366,5
11802374,4
11801904,4
11801913,5
11801916,5
11801917,5
11801918,5
11801928,6
11801929,6
11801930,4
11802376,4
11802382,5
11801932,3
11801932,4
11801933,4
11801952,4
11801955,4
11801957,3
11801957,4
11801957,8
11801961,5
11801962,5
11801970,4
11801985,5
