victim_id,offense_id
22380872,24368789
22380873,24368790
22380890,24368795
22380891,24368796
22380900,24369858
22380908,24384789
22380934,24368336
22380947,24368338
22380947,24368339
22380960,24384797
22380961,24384797
22380969,24373597
22381248,24374157
22381271,24369932
22381272,24369362
22381295,24374165
22381296,24374165
22381297,24374166
22381297,24374167
22381302,24374166
22381302,24374167
22381298,24374166
22381298,24374167
22381299,24374166
22381299,24374167
22381300,24374166
22381300,24374167
22381301,24374166
22381301,24374167
22381303,24374166
22381303,24374167
22381304,24374166
22381304,24374167
22381305,24374166
22381305,24374167
22380755,24384759
22380768,24373566
22380768,24373567
22380767,24373566
22380767,24373567
22380793,24368313
22380794,24373571
22381110,24385321
22380982,24369873
22380983,24384802
22380984,24369322
22380985,24373598
22380999,24369324
22380999,24369325
22381017,24373603
22381032,24369329
22381032,24369330
22381044,24369882
22381045,24368363
22381077,24368366
22381077,24368367
22381117,24368378
22381129,24369342
22381142,24369901
22381154,24374136
22381173,24374144
22381174,24374144
22381186,24385331
22381318,24374171
22381330,24368413
22381338,24368416
22381353,24370450
22381365,24370453
22381479,24369397
22381600,24385407
22380800,24384770
22380830,24369846
22380831,24369846
22380832,24369846
22380842,24384782
22380862,24368785
22380663,24369307
22381089,24385319
22381090,24368370
22381090,24368371
22380692,24369821
22380693,24369822
22380694,24384743
22380694,24384744
22380718,24368306
22380718,24368307
22380726,24384754
22380727,24384754
22380727,24384755
22381220,24368391
22381232,24368394
22381388,24369379
22381389,24369380
22380574,24367765
22380575,24368731
22380576,24366684
22380615,24380898
22380636,24384733
22380637,24384733
22380771,24373568
22381521,24379237
22381522,24379237
22381491,24368954
22381506,24369403
22381507,24369403
22381508,24369403
22381549,24369410
22381586,24370495
22381601,24385408
22381613,24379248
22381660,24373752
22381664,24385414
22380650,24373551
22380669,24368291
22380695,24368300
22380699,24368750
22380721,24369827
22380724,24373560
22380730,24368310
22380738,24384757
22380750,24368758
22381412,24369387
22380577,24368732
22380578,24380889
22380579,24366685
22380580,24366685
22380583,24368734
22380584,24373532
22380589,24367766
22380591,24373536
22380597,24380891
22380598,24368736
22380602,24373538
22380603,24367768
22380606,24380894
22380607,24368738
22380610,24369299
22380611,24367769
22380614,24373541
22380614,24373542
22380620,24367770
22380621,24367770
22380622,24368740
22380623,24368740
22380626,24367771
22380627,24373544
22380628,24373545
22380630,24368742
22380635,24367775
22380635,24367776
22380634,24367775
22380634,24367776
22380868,24369853
22380885,24373582
22380893,24368798
22380898,24368800
22380756,24368759
22380758,24384760
22380757,24384760
22380759,24373565
22380760,24369838
22380761,24369839
22380762,24384761
22380763,24369840
22380764,24369841
22380765,24369841
22380766,24369841
22380769,24368760
22380770,24368761
22380770,24368762
22380772,24368763
22380773,24384762
22380774,24368764
22380775,24368765
22380776,24373569
22380777,24384763
22380778,24384764
22380779,24368766
22380780,24368766
22380781,24369842
22380784,24368768
22380789,24384766
22380789,24384767
22380790,24384768
22380798,24368314
22380799,24368772
22380803,24368317
22380802,24368316
22380810,24373573
22380809,24373573
22380813,24384776
22380817,24368319
22380824,24384778
22380823,24384777
22380827,24373575
22380828,24368778
22380829,24369845
22380834,24384780
22380837,24368780
22380840,24384781
22380841,24369849
22380843,24368781
22380845,24368323
22380846,24368323
22380848,24368783
22380851,24384783
22380653,24373552
22380655,24384739
22380664,24368745
22380664,24368746
22380665,24367781
22380670,24368747
22380677,24373556
22380678,24368748
22380679,24368748
22380683,24384742
22380684,24369311
22380689,24368298
22380696,24369823
22380705,24368751
22380705,24368752
22380713,24368753
22380719,24368755
22380720,24368308
22380722,24384753
22380723,24368309
22380725,24369828
22380728,24373561
22380729,24384756
22380731,24368756
22380731,24368757
22380732,24368756
22380733,24368756
22380734,24368756
22380735,24368756
22380736,24368756
22380737,24368756
22380739,24369829
22380740,24369830
22380740,24369831
22380741,24369830
22380741,24369831
22380743,24373562
22380742,24373562
22380744,24384758
22380745,24373563
22380746,24373563
22380747,24373564
22380749,24369832
22380749,24369834
22380748,24369832
22380748,24369833
22380748,24369834
22380752,24369835
22380751,24369835
22380753,24369836
22380754,24369837
22380863,24373577
22380864,24373578
22380865,24368786
22380866,24369852
22380867,24373579
22380869,24368787
22380870,24368788
22380871,24369854
22380874,24369855
22380875,24369856
22380902,24368801
22380905,24368330
22380905,24368331
22380929,24373585
22380932,24373586
22380935,24368337
22380936,24369862
22380938,24369863
22380943,24369316
22380951,24373592
22380965,24368341
22380966,24369868
22380967,24369320
22380782,24368767
22380783,24368311
22380785,24373570
22380786,24384765
22380787,24368769
22380788,24368770
22380791,24384769
22380792,24368312
22380972,24369870
22380974,24369321
22380980,24368343
22380988,24368345
22380987,24368344
22380994,24368347
22380997,24384805
22381002,24368350
22381005,24373602
22381009,24368352
22381015,24368355
22381019,24369328
22381020,24369327
22381028,24385311
22381029,24369881
22381030,24369881
22381033,24369331
22381034,24368360
22381052,24369884
22380795,24368771
22380796,24368771
22380797,24373572
22380801,24368315
22380804,24384771
22380805,24368773
22380806,24384772
22380807,24384773
22380808,24368318
22380811,24384774
22380812,24384775
22380814,24368774
22380815,24369843
22380816,24368775
22380818,24373574
22380819,24368776
22380820,24368776
22380821,24368320
22380822,24369844
22380825,24384779
22380826,24368777
22380833,24369847
22380835,24369848
22380836,24368779
22380838,24368322
22380839,24368321
22380844,24373576
22380847,24368782
22380849,24368324
22380850,24369850
22380852,24369851
22380853,24368784
22380855,24368325
22380856,24368325
22380857,24368325
22380858,24368325
22380859,24368325
22380860,24368325
22380861,24368325
22380854,24368325
22380876,24373580
22380877,24373581
22380879,24368791
22380878,24368791
