nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
3595319,7599,1,2005,I,,,N,F,,C,2005_01_MA0080100_NIBRS,
3616195,7599,2,2005,I,,,N,F,,C,2005_02_MA0080100_NIBRS,
3637071,7599,3,2005,I,,,N,F,,C,2005_03_MA0080100_NIBRS,
3657947,7599,4,2005,I,,,N,F,,C,2005_04_MA0080100_NIBRS,
3678823,7599,5,2005,I,,,N,F,,C,2005_05_MA0080100_NIBRS,
3699699,7599,6,2005,I,,,N,F,,C,2005_06_MA0080100_NIBRS,
3720575,7599,7,2005,I,,,N,F,,C,2005_07_MA0080100_NIBRS,
3741451,7599,8,2005,I,,,N,F,,C,2005_08_MA0080100_NIBRS,
3762327,7599,9,2005,I,,,N,F,,C,2005_09_MA0080100_NIBRS,
3783203,7599,10,2005,I,,,N,F,,C,2005_10_MA0080100_NIBRS,
3804079,7599,11,2005,I,,,N,F,,C,2005_11_MA0080100_NIBRS,
3824955,7599,12,2005,I,,,N,F,,C,2005_12_MA0080100_NIBRS,
3595320,7600,1,2005,I,,,N,F,,C,2005_01_MA0080200_NIBRS,
3616196,7600,2,2005,I,,,N,F,,C,2005_02_MA0080200_NIBRS,
3637072,7600,3,2005,I,,,N,F,,C,2005_03_MA0080200_NIBRS,
3657948,7600,4,2005,I,,,N,F,,C,2005_04_MA0080200_NIBRS,
3678824,7600,5,2005,I,,,N,F,,C,2005_05_MA0080200_NIBRS,
3699700,7600,6,2005,I,,,N,F,,C,2005_06_MA0080200_NIBRS,
3720576,7600,7,2005,I,,,N,F,,C,2005_07_MA0080200_NIBRS,
3741452,7600,8,2005,I,,,N,F,,C,2005_08_MA0080200_NIBRS,
3762328,7600,9,2005,I,,,N,F,,C,2005_09_MA0080200_NIBRS,
3783204,7600,10,2005,I,,,N,F,,C,2005_10_MA0080200_NIBRS,
3804080,7600,11,2005,I,,,N,F,,C,2005_11_MA0080200_NIBRS,
3824956,7600,12,2005,I,,,N,F,,C,2005_12_MA0080200_NIBRS,
3595321,7602,1,2005,U,,,N,F,,C,2005_01_MA0080400_NIBRS,
3616197,7602,2,2005,U,,,N,F,,C,2005_02_MA0080400_NIBRS,
3637073,7602,3,2005,U,,,N,F,,C,2005_03_MA0080400_NIBRS,
3657949,7602,4,2005,U,,,N,F,,C,2005_04_MA0080400_NIBRS,
3678825,7602,5,2005,U,,,N,F,,C,2005_05_MA0080400_NIBRS,
3699701,7602,6,2005,U,,,N,F,,C,2005_06_MA0080400_NIBRS,
3720577,7602,7,2005,U,,,N,F,,C,2005_07_MA0080400_NIBRS,
3741453,7602,8,2005,U,,,N,F,,C,2005_08_MA0080400_NIBRS,
3762329,7602,9,2005,U,,,N,F,,C,2005_09_MA0080400_NIBRS,
3783205,7602,10,2005,U,,,N,F,,C,2005_10_MA0080400_NIBRS,
3804081,7602,11,2005,U,,,N,F,,C,2005_11_MA0080400_NIBRS,
