victim_id,offender_id,relationship_id,nibrs_victim_offender_id
31767994,33138539,24,9685179
31767994,33138540,18,10091395
31768766,33138589,24,9685176
31768767,33138590,1,9019556
31768776,33138599,18,9307653
31768805,33138627,1,9685169
31767102,33137189,3,9016487
31767128,33137214,1,9039047
31770660,33140225,3,9689541
31770660,33140226,18,10115371
31768866,33138685,3,9680831
31768806,33138628,3,9307652
31767044,33137139,24,9695258
31767044,33137140,18,10091032
31767044,33137141,18,10235990
31767048,33137144,18,9016490
31767055,33137151,1,9695257
31769771,33140049,17,9697981
31770531,33140109,18,9693874
31770529,33140109,18,9693876
31770530,33140109,18,9693875
31768829,33138648,17,9680834
31768934,33138754,16,9699366
31769706,33139990,17,9698003
31769707,33139991,19,9698002
31770640,33140205,19,9689546
31770641,33140205,15,9689545
31770662,33140228,3,9021098
31767037,33137133,14,9016491
31767067,33137161,3,9695256
31767074,33137169,24,9695255
31767075,33137169,24,9695254
31767079,33137171,24,9695251
31767077,33137171,1,9695253
31767078,33137171,24,9695252
31767080,33137171,24,9695250
31767098,33137186,3,8795543
31766998,33137110,1,9695268
31767108,33137195,3,9695249
31767127,33137213,18,9690959
31770685,33140245,26,9689539
31767144,33137235,7,9690956
31767859,33137238,21,9690955
31767879,33137256,3,9039046
31768008,33138551,24,9685178
31768008,33138552,18,10091396
31768008,33138553,18,10236082
31768018,33138564,21,9685177
31767064,33137159,1,9016489
31767065,33137159,1,9016488
31767068,33137162,3,9224373
31767082,33137173,1,9224372
31767904,33137286,16,9690953
31767905,33137286,19,9690952
31767928,33137306,3,8854114
31767959,33138513,24,9689553
31767966,33138517,17,9685180
31767115,33137201,1,9016486
31767131,33137220,1,9690958
31767131,33137221,1,9995450
31767131,33137223,1,10281567
31767131,33137222,1,10212514
31767134,33137225,1,9690957
31767134,33137226,1,9995451
31767134,33137228,1,10281566
31767134,33137227,1,10212515
31767891,33137270,24,9039045
31767891,33137271,18,10091167
31767891,33137272,18,10236027
31768869,33138688,24,9680830
31768869,33138689,18,10091545
31768870,33138690,3,9019497
31768877,33138697,3,9680829
31768877,33138698,18,10091546
31767898,33137280,1,9690954
31768769,33138592,18,9685175
31768774,33138596,24,9019555
31768774,33138597,18,10115464
31768788,33138609,21,9019554
31768788,33138610,18,10122415
31768797,33138618,3,9685171
31768800,33138621,24,9685170
31768800,33138622,18,10091397
31768821,33138641,3,9019501
31768835,33138653,24,9680833
31768835,33138654,18,10091544
31768835,33138655,18,10236122
31768842,33138662,3,9019500
31768849,33138669,19,9680832
31768881,33138701,21,9680828
31768894,33138713,3,9019496
31767906,33137287,16,9039044
31767906,33137288,16,10079084
31767915,33137296,14,9690951
31767916,33137296,14,9690950
31767933,33138489,19,9689555
31767936,33138492,1,9689554
31767952,33138505,24,9021099
31767953,33138506,1,9313201
31768855,33138674,24,9019498
31768033,33138574,1,9019557
31768760,33138583,3,9225975
31768903,33138723,24,9680825
31768906,33138727,3,9680824
31768909,33138730,15,9019495
31768909,33138731,18,10115466
31768922,33138742,3,9019494
31768923,33138743,1,8837883
31768927,33138747,21,9699367
31768931,33138750,12,9018055
31767977,33138526,1,9019558
31769719,33139999,24,9697993
31768783,33138606,24,9685174
31768784,33138606,24,9685173
31768785,33138606,24,9685172
31769648,33138755,1,9699365
31768935,33138755,1,9699364
31768936,33138755,1,9699363
31769649,33138756,21,9018054
31769649,33138757,18,10115519
31769658,33138768,24,9699361
31769659,33138769,1,9018052
31769659,33138770,18,10115520
31769659,33138771,18,10244567
31769660,33138769,1,9018051
31769660,33138770,18,10115521
31769660,33138771,18,10244568
31769667,33138778,3,9699360
31769671,33138781,24,9699359
31769676,33138787,3,9699357
31769692,33138799,1,9699356
31769693,33138799,24,9699355
31769694,33138799,1,9699354
31769695,33138799,5,9699353
31769696,33138799,5,9699352
31769709,33139993,3,9698001
31769724,33140004,16,9697992
31769725,33140004,16,9697991
31769727,33140006,12,9024065
31769735,33140014,3,9697988
31769740,33140018,3,9697987
31769742,33140020,3,8847795
31769757,33140035,21,9697983
31768843,33138663,15,9019499
31769772,33140050,24,9697980
31769799,33140083,1,9693883
31769822,33140104,18,9693877
31770550,33140123,16,9693869
31770547,33140123,14,9693872
31770548,33140123,14,9693871
31770549,33140123,14,9693870
31770559,33140134,24,9693868
31770575,33140144,24,9693866
31770579,33140148,24,9693865
31770580,33140148,24,9693864
31770595,33140160,1,9693863
31770599,33140164,1,9693862
31768895,33138714,1,9680827
31768901,33138721,19,9680826
31768925,33138745,18,8805889
31769651,33138759,16,9699362
31769652,33138760,1,9018053
31769652,33138761,1,10019686
31769652,33138762,1,10219710
31769665,33138776,16,9981855
31769675,33138785,24,9699358
31769675,33138786,24,10141353
31770604,33140167,21,9693861
31770612,33140175,18,9689552
31770619,33140183,1,9689551
31770619,33140184,18,10091222
31770619,33140185,18,10236039
31770620,33140183,1,9689550
31770620,33140184,18,10091223
31770620,33140185,18,10236040
31769716,33139995,18,9697995
31769716,33139996,18,10123499
31769716,33139997,18,10244471
31769717,33139995,18,9697994
31769717,33139996,18,10123500
31769717,33139997,18,10244472
31769711,33139995,18,9698000
31769711,33139996,18,10123494
31769711,33139997,18,10244466
31769712,33139995,18,9697999
31769712,33139996,18,10123495
31769712,33139997,18,10244467
31769713,33139995,18,9697998
31769713,33139996,18,10123496
31769713,33139997,18,10244468
31769714,33139995,18,9697997
31769714,33139996,18,10123497
31769714,33139997,18,10244469
31769715,33139995,18,9697996
31769715,33139996,18,10123498
31769715,33139997,18,10244470
31769728,33140007,1,9697990
31769734,33140013,8,9697989
31769741,33140019,3,9697986
31769747,33140025,1,9697985
31769756,33140034,1,9697984
31769762,33140040,1,9697982
31769763,33140041,1,8805896
31770628,33140191,24,9689549
31770636,33140200,1,9689548
31770638,33140203,5,9689547
31770646,33140210,24,9689544
