weapon_id,offense_id,nibrs_weapon_id
12,59108160,11912461
18,59106776,11911457
12,59099050,11919550
12,59098503,11921489
12,59105089,11913335
12,59112603,11912292
12,59107572,11914017
12,59099907,11918581
12,59108168,11912463
9,59099858,11918569
20,59099859,11918570
12,59106178,11913338
12,59113447,11911561
12,59099952,11918829
12,59107389,11913566
18,59107636,11910565
12,59107054,11912447
12,59095127,11921658
12,59094209,11918483
12,59104235,11910512
12,59097030,11920247
12,59108117,11912232
12,59094214,11918485
9,59098510,11921491
12,59094216,11918486
12,59097039,11920250
12,59099061,11919551
18,59094717,11920218
12,59094718,11920219
10,59107042,11912444
12,59107583,11910558
12,59105063,11913328
12,59099910,11918582
12,59105082,11913332
12,59094230,11918491
9,59097040,11920251
18,59108140,11912237
18,59094732,11920225
18,59106761,11911453
12,59106762,11911454
12,59106764,11911455
20,59098537,11921713
12,59094741,11920227
10,59106774,11911456
12,59098538,11921714
12,59094748,11920455
12,59098540,11921716
9,59094750,11920456
20,59108165,11912462
12,59106201,11913343
12,59107552,11914012
12,59108968,11911258
12,59098575,11921720
12,59105034,11913116
18,59106167,11913136
12,59106168,11913137
11,59098545,11921717
22,59098547,11921718
12,59105041,11913117
18,59105042,11913118
12,59099873,11918571
12,59099874,11918572
12,59108150,11912459
12,59105014,11913110
9,59099079,11919554
12,59105015,11913111
12,59099081,11919555
3,59099087,11919768
12,59105018,11913112
12,59094739,11920226
12,59105019,11913113
12,59108156,11912460
12,59094747,11920454
12,59098539,11921715
12,59099852,11918568
12,59094254,11918496
12,59095043,11921445
12,59099902,11918578
12,59106202,11913344
12,59099903,11918579
12,59099904,11918580
9,59108180,11912465
18,59094271,11918753
12,59094272,11918754
19,59098576,11921721
12,59099891,11918576
12,59106197,11913341
12,59106198,11913342
12,59112598,11912289
20,59099899,11918577
12,59112607,11912294
20,59095056,11921448
12,59105030,11913114
12,59108173,11912464
12,59105031,11913115
12,59106176,11913138
20,59106177,11913139
12,59106219,11913347
12,59106220,11913348
12,59095061,11921450
19,59094259,11918751
12,59094260,11918752
6,59098556,11921719
12,59105046,11913119
19,59108961,11911257
12,59106182,11913339
20,59106224,11913349
12,59099923,11918826
12,59105056,11913121
12,59099880,11918573
18,59099881,11918574
12,59105048,11913120
12,59107381,11913564
18,59107039,11912443
20,59095069,11921452
20,59106242,11913353
12,59108973,11911260
2,59099888,11918575
9,59095038,11921444
9,59107563,11914013
19,59106188,11913340
19,59107564,11914014
12,59108971,11911259
12,59095045,11921446
12,59112596,11912288
12,59105065,11913329
12,59099954,11918830
10,59099961,11918831
18,59113448,11911562
12,59107635,11910564
12,59107053,11912446
12,59107637,11910566
12,59107629,11910563
12,59094212,11918484
12,59104234,11910511
12,59108116,11912231
9,59094712,11920215
12,59098508,11921490
9,59105128,11913337
12,59095063,11921451
12,59107579,11910557
12,59099914,11918584
12,59099355,11920531
12,59099356,11920532
12,59112618,11912512
12,59112601,11912290
12,59112602,11912291
18,59095050,11921447
5,59112604,11912293
4,59112604,12558594
10,59106205,11913345
12,59105066,11913330
10,59107568,11914015
12,59107569,11914016
3,59107574,11914018
9,59099350,11920529
10,59099350,12558686
18,59095060,11921449
12,59105080,11913331
18,59106210,11913346
10,59099911,11918583
18,59105083,11913333
12,59105084,11913334
12,59099354,11920530
12,59094713,11920216
12,59097031,11920248
12,59097036,11920249
12,59098514,11921492
12,59094714,11920217
12,59104238,11910513
12,59094220,11918487
18,59108120,11912233
20,59098516,11921493
12,59098517,11921494
12,59108124,11912234
12,59094223,11918488
20,59099357,11920533
10,59099359,11920534
9,59099920,11918825
12,59112620,11912513
10,59112621,11912514
12,59105096,11913336
12,59107587,11910559
12,59095082,11921453
12,59106231,11913350
18,59095088,11921454
12,59099928,11918827
10,59113397,11911317
12,59106238,11913351
3,59095113,11921656
12,59099394,11920761
12,59108127,11912235
9,59094224,11918489
12,59104243,11910514
18,59098523,11921495
12,59104245,11910515
12,59097048,11920252
12,59094720,11920220
12,59094721,11920221
12,59094722,11920222
18,59099066,11919552
19,59107620,11910562
12,59113427,11911318
12,59106276,11913556
20,59107037,11912441
20,59107038,11912442
12,59113429,11911319
18,59099374,11920759
12,59106240,11913352
3,59107592,11910560
12,59107593,11910561
12,59095089,11921455
12,59099380,11920760
12,59095090,11921456
12,59099932,11918828
12,59094728,11920224
18,59113443,11911322
18,59107044,11912445
2,59107385,11913565
12,59095114,11921657
12,59105899,11912209
12,59113435,11911320
20,59113439,11911321
12,59094723,11920223
12,59108136,11912236
18,59097051,11920253
6,59106753,11911452
12,59098524,11921711
12,59094227,11918490
