suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
15,77967006,1,11,5385258
5,77967010,0.05,3,5385259
5,77967028,5,1,5385260
5,77965766,1,1,5385284
8,77965772,5,1,5385285
12,77967037,1,9,5385286
5,77967041,1,9,5385287
8,77967043,1,9,5385288
5,77967044,5,9,5385289
5,77967053,2,9,5385290
2,77964640,3.003,1,5385295
5,77964646,3.003,3,5385296
2,77964650,1.001,1,5385297
4,77964658,1.001,1,5385298
11,77964683,1.001,1,5385307
2,77964701,1.001,1,5385308
5,77964737,2,1,5385309
5,77965969,6.006,4,5385310
8,77965985,1.001,9,5385317
4,77965990,1.001,1,5385318
5,77966019,1618.006,1,5385319
16,77981774,29,9,5385406
4,77981779,2,1,5385407
8,77981795,1,9,5385408
5,77981837,15,3,5385422
1,78015746,1,11,5389640
5,78011990,1,11,5389644
12,78012003,1,11,5389645
1,78012089,1,11,5389687
8,78012090,2,9,5389688
8,78012092,10,9,5389689
5,78012096,1,11,5389690
4,78012253,1,11,5389778
8,78061980,2,9,5394131
2,78061981,3,1,5394132
2,78061982,2,1,5394133
4,78061983,3,1,5394134
5,78061984,1,1,5394135
5,78061985,1.001,1,5394136
2,78061992,1,1,5394137
4,78062006,0,,5394138
13,78062007,0,,5394139
8,78062029,1,9,5394140
16,78062030,0,,5394141
4,78062042,2,1,5394142
5,78062052,340,1,5394143
4,78063307,2,1,5394146
4,78063308,0.5,1,5394147
5,78063309,3.002,1,5394148
5,78063320,1,1,5394149
5,78063321,1,1,5394150
4,78063336,1,11,5394151
5,78063341,2,9,5394152
5,78063351,1,1,5394153
5,78062065,2,9,5394171
17,78063144,8,9,5394200
5,78060946,0,,5394208
5,78060955,1,1,5394209
5,78060965,5.007,1,5394210
8,78060966,2,9,5394211
8,78060967,15,9,5394212
5,78060969,3.002,1,5394213
8,78060970,8,9,5394214
5,78060971,1,1,5394215
2,78060972,1,1,5394216
4,78062245,0.25,1,5394218
5,78062264,0,1,5394219
2,78063373,1,1,5394220
2,78063376,1,3,5394221
8,78063388,5,9,5394222
5,78061009,1,11,5394231
1,78061031,1,9,5394232
15,78061034,32,9,5394233
7,78061035,4,9,5394234
8,78061052,9,9,5394235
5,78062300,1,1,5394236
4,78062341,1,9,5394237
16,78062342,7,9,5394238
2,78062355,1,1,5394239
15,78059930,0,,5394243
4,78062369,5,9,5394246
4,78059949,1,11,5394262
8,78059952,1,11,5394263
5,78061285,1,1,5394280
5,78073253,2,9,5394281
4,78073274,1,1,5394282
12,78073297,12,9,5394283
16,78073505,7,9,5394288
5,78073379,3.5,1,5394299
1,78077718,8,1,5394401
5,78119842,0,9,5398678
12,78119862,1,9,5398679
1,78118705,6,9,5398728
1,78118772,1.7,1,5398745
1,78118773,1.7,1,5398746
5,78134426,2737.005,1,5398810
5,78134427,2,1,5398811
2,78134438,2,1,5398812
8,78134444,4,9,5398813
16,78134446,18,9,5398814
4,78134454,1,1,5398815
4,78134459,1.9,1,5398816
5,78134467,17.2,3,5398817
16,78132347,150,9,5398829
