criminal_act_id,offense_id
9,85831510
6,85836197
6,85836198
6,85838469
9,85838758
6,85837244
6,85838760
6,85837247
9,85838476
9,85838334
6,85838763
6,85837248
9,85838356
9,85838769
6,85838481
1,85838772
3,85838762
9,85842996
1,85838745
9,85838458
6,85838373
6,85838512
6,85837252
6,85838482
9,85845342
6,85838483
8,85838483
6,85845346
9,85843028
9,85838748
9,85838465
6,85838752
4,85838752
3,85838752
6,85838365
6,85838366
9,85838050
6,85839310
9,85839311
6,85838051
9,85843347
9,85839312
10,98704997
1,94721322
6,85838053
3,85843036
1,85838371
6,85845355
8,85843038
6,85843326
6,85838507
9,85843045
6,85843047
6,85843324
6,85839566
9,85836212
6,94719986
6,85845360
6,85845363
9,85838378
6,85838511
6,85838514
6,85838020
3,85838771
9,85845341
9,85845345
9,85837253
1,85839564
9,85831497
6,85831498
9,85831502
6,85845327
9,85845332
9,85839553
9,85836224
9,85836225
9,85836226
6,85839557
6,85836229
6,85845353
9,85838499
6,85843317
6,85838014
9,85836205
9,85838344
9,85838471
6,85838472
6,85838349
6,85837242
6,85830424
6,85838725
6,85831504
6,85836179
6,85831253
9,85836193
5,85839165
1,85830419
9,85843350
9,85845352
9,85839558
9,85838498
6,85838367
9,85843033
9,85838364
9,85845347
6,85845387
8,85845390
8,85838021
6,85838021
6,85830435
6,85845319
9,85838339
3,85836206
9,85830428
2,85845311
6,85845316
6,85838328
6,85831514
9,85838331
9,85837217
9,85830426
8,85838727
6,101505372
6,101505371
6,98253829
8,85847847
1,85844177
3,85844178
9,85843087
3,85846194
9,85843871
6,85844164
2,90470875
9,85846172
9,85846173
6,85843874
9,85844189
9,85839381
6,85843898
9,85839593
3,85845398
9,85839168
9,85847873
3,85839649
9,85839379
7,85846212
9,85843864
9,85838073
9,85839194
9,85839351
9,85844152
6,85843866
6,100606432
2,100606431
7,92604568
1,92604568
6,100607338
9,93073019
9,85839173
9,85843086
6,85843356
9,85839333
6,85839180
9,85844135
9,85846170
6,85839353
3,85839634
3,85843870
7,85839201
6,85844161
1,85839611
6,85838080
6,85839181
9,85839182
9,85846171
6,85839615
6,85838066
6,85844142
9,85838068
9,85839602
6,85846158
9,85846159
9,85839326
9,85839618
6,85846179
6,85839187
9,85843106
6,85839211
6,85839213
6,91831360
8,91831359
6,85846187
9,85846189
9,85846213
6,85839355
9,85839632
9,85839200
9,85839356
9,85847852
6,85843891
4,85843891
3,85843891
6,85844184
9,85839223
6,85843895
6,85847875
6,94229532
9,85839313
9,85839314
6,85839318
8,85843903
5,85843905
9,85838058
6,85843361
6,85839324
6,92604030
9,85846162
6,85839190
9,85839346
9,85839347
9,85838075
6,85839406
8,91257374
7,91257374
6,91257374
6,85839394
6,85839667
9,85839669
1,85844213
6,85839241
6,85839242
9,85844201
6,100605068
3,85839397
9,85839404
6,85844206
1,85846220
1,85847883
6,85844215
3,85839239
1,85839239
6,85839243
6,91256638
1,91256638
6,85839244
6,85843929
8,85849184
6,85843937
6,85850218
9,85848702
6,85853021
8,85839248
2,85846240
8,85840188
1,85846247
5,85849444
9,85849431
9,85849432
9,85847916
6,85847917
8,85847928
6,85849974
9,85843933
8,85847902
3,85839408
8,85848711
6,85848711
9,85846249
3,85849197
8,85848724
8,85850237
6,85844249
9,85849190
6,85850223
6,85853278
6,85847930
9,85850254
9,85848741
9,85849978
8,85849981
9,85850250
9,85853318
9,85850256
9,85852730
9,85848740
9,85852729
9,85853322
9,85853323
9,85853050
8,85850257
9,85850258
9,86065851
9,86070147
6,86065996
9,86075202
9,86070512
9,86071743
9,86071744
9,86064432
3,86071745
9,86070143
9,86071747
3,86071748
6,86071748
9,86070519
9,86065850
9,86075207
9,86066001
9,86075209
9,86065852
1,86070151
9,86066005
7,86066006
9,86065854
9,86070525
9,86071752
9,86065859
9,86073027
3,86074105
9,86065991
9,86065992
9,86065845
9,86065863
9,86071760
9,86071761
9,86071762
9,86071763
9,86073031
9,86074108
9,86071701
6,86065811
9,86062844
9,86062846
9,86071704
9,86071721
9,86063632
9,86062842
6,86071706
9,86070115
6,86071708
9,86065955
9,86062850
9,86065956
9,86071709
9,86060851
3,86063644
9,86065818
9,86065958
3,86071712
6,86071712
9,86060855
9,86063652
9,86070483
9,86071714
9,86071715
1,86065965
9,86062863
9,86062864
9,86062865
9,86065830
9,86071718
3,86071719
9,86071720
9,86065970
9,86065971
9,86084739
9,86086609
9,86080244
9,86084743
9,86087095
6,86084745
8,86084124
9,86080248
6,86086614
6,86086615
9,86086197
9,86080251
9,86086953
9,86086954
9,86084127
9,86087099
9,86086616
9,86087100
9,86086617
9,86080255
