"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,91826482,1,
2016,91893972,9,
2016,91894009,6,
2016,91882129,1,
2016,91894139,9,
2016,91894141,10,
2016,91939433,2,
2016,91964929,9,
2016,91881834,9,
2016,91908879,10,
2016,91982375,1,
2016,91941901,2,
2016,91935249,2,
2016,91916846,2,
2016,91967913,2,
2016,91941089,2,
2016,91886822,10,
2016,91829090,9,
2016,91885893,2,
2016,110133243,10,
2016,98488402,8,
2016,107192330,9,
2016,91819579,1,
2016,91819591,1,
2016,91861085,1,
2016,91932512,1,
2016,91935671,1,
2016,91988296,1,
2016,91990578,1,
2016,91859544,6,
2016,91860318,1,
2016,91914391,1,
2016,91840297,1,
2016,91861938,9,
2016,91840334,9,
2016,91969096,1,
2016,91847041,1,
2016,91850875,10,
2016,91853198,1,
2016,91957486,1,
2016,91966135,1,
2016,91847088,1,
2016,91956808,9,
2016,91962417,10,
2016,91855537,9,
2016,91844875,6,
2016,91964726,1,
2016,91829311,6,
2016,91822966,9,
2016,91821433,1,
2016,91822189,10,
2016,91871097,1,
2016,91890228,1,
2016,91957228,1,
2016,91962789,1,
2016,91823037,1,
2016,91890598,1,
2016,91889864,9,
2016,91821644,10,
2016,91890763,1,
2016,91890774,1,
2016,91881996,1,
2016,91820144,1,
2016,91821011,1,
2016,91865590,1,
2016,91857942,9,
2016,91823470,1,
2016,91864858,10,
2016,91939242,1,
2016,91939282,1,
2016,91940188,3,
2016,91968533,1,
2016,91958606,6,
2016,91878223,1,
2016,91882553,1,
2016,91885381,10,
2016,91939430,9,
2016,91963870,1,
2016,91879832,1,
2016,91889419,9,
2016,91936885,1,
2016,91944082,1,
2016,91932420,6,
2016,91916859,1,
2016,91910041,9,
2016,91992320,10,
2016,91965433,9,
2016,91966243,1,
2016,91957883,3,
2016,91872642,1,
2016,91988519,9,
2016,91958371,9,
2016,91957914,1,
2016,91865592,1,
2016,91867195,1,
2016,91942279,1,
2016,91938745,1,
2016,91941789,1,
2016,91912972,1,
2016,91916101,9,
2016,91823551,9,
2016,91909761,9,
2016,91963170,1,
2016,91962681,1,
2016,91882278,1,
2016,91933729,1,
2016,91935330,1,
2016,91936151,1,
2016,91962865,9,
2016,91962899,10,
2016,91956881,9,
2016,91968146,10,
2016,91957941,1,
2016,91958735,6,
2016,91959500,1,
2016,91891878,10,
2016,91891882,6,
2016,91891895,9,
2016,91940016,1,
2016,91938017,1,
