suspect_using_id,offense_id
3,6222312
4,6222311
4,6222310
4,6222309
4,6222308
3,6222307
4,6222306
4,6222305
4,6222303
4,6222304
4,6222302
4,6222301
4,6222299
4,6222300
3,6222298
4,6222297
4,6222296
4,6222295
4,6222294
4,6222293
4,6222292
1,6222291
3,6222291
4,6222290
4,6222289
3,6222288
4,6222287
4,6222286
4,6222285
3,6222284
4,6222283
4,6222282
4,6222281
4,6222280
4,6222279
4,6222278
4,6222277
4,6222276
4,6222275
4,6222274
4,6222273
4,6222272
4,6222271
4,6222270
4,6222269
4,6222268
4,6222267
4,6222266
4,6222265
4,6222264
4,6222263
4,6222262
4,6222261
4,6222260
4,6222259
4,6222258
4,6222256
4,6222255
4,6222254
4,6222253
4,6222252
4,6222251
4,6222250
4,6222249
4,6222247
4,6222248
4,6222246
4,6222245
4,6222368
4,6222367
3,6222366
4,6222365
4,6222364
4,6222363
4,6222362
4,6222361
3,6222360
4,6222359
4,6222358
4,6222357
4,6222356
4,6222355
4,6222354
4,6222353
3,6222352
4,6222351
4,6222350
4,6222349
4,6222348
4,6222347
4,6222346
4,6222345
4,6222344
4,6222343
4,6222342
4,6222341
4,6222340
4,6222339
4,6222338
4,6222337
4,6222336
4,6222335
4,6222334
4,6222333
4,6222332
4,6222331
4,6222330
4,6222329
4,6222328
4,6222327
4,6222326
4,6222325
4,6222324
4,6222323
4,6222322
4,6222321
3,6222320
3,6222319
4,6222318
4,6222317
4,6222316
4,6222315
4,6222314
4,6222313
4,6222257
4,6222899
4,6222561
4,6222432
4,6222431
4,6222430
4,6222429
4,6222428
4,6222427
4,6222426
4,6222425
4,6222424
4,6222423
4,6222422
4,6222421
4,6222420
4,6222419
4,6222418
4,6222417
4,6222416
4,6222415
4,6222414
4,6222413
4,6222412
4,6222411
4,6222410
4,6222409
4,6222408
4,6222407
4,6222406
4,6222405
4,6222404
4,6222403
4,6222402
4,6222401
4,6222400
3,6222399
4,6222398
4,6222397
4,6222396
4,6222395
1,6222394
4,6222393
4,6222392
4,6222391
1,6222390
4,6222389
4,6222386
4,6222387
4,6222388
4,6222384
4,6222385
4,6222383
4,6222381
4,6222382
1,6222380
3,6222380
4,6222379
4,6222378
4,6222377
1,6222376
4,6222375
4,6222374
3,6222373
4,6222372
4,6222371
4,6222370
4,6222369
4,6222517
4,6222506
4,6222505
4,6222504
4,6222503
4,6222502
4,6222501
4,6222500
4,6222499
4,6222498
4,6222497
4,6222496
4,6222495
4,6222494
4,6222493
4,6222492
4,6222491
4,6222490
4,6222489
4,6222488
4,6222487
4,6222486
4,6222485
4,6222484
4,6222483
4,6222482
4,6222481
4,6222480
4,6222479
4,6222478
1,6222477
3,6222477
4,6222476
4,6222475
4,6222474
4,6222473
4,6222472
4,6222471
4,6222470
4,6222469
4,6222468
4,6222467
3,6222466
4,6222465
4,6222464
4,6222462
4,6222463
4,6222461
3,6222460
4,6222459
4,6222458
4,6222457
4,6222456
4,6222455
4,6222454
4,6222453
4,6222452
4,6222451
4,6222450
4,6222449
3,6222448
4,6222447
4,6222446
3,6222445
4,6222444
4,6222443
4,6222442
4,6222441
4,6222440
4,6222439
4,6222438
4,6222437
4,6222436
4,6222435
4,6222434
4,6222433
4,6222534
4,6222533
4,6222532
4,6222531
4,6222530
4,6222529
4,6222528
4,6222527
4,6222526
4,6222525
4,6222524
4,6222523
4,6222522
4,6222521
4,6222520
4,6222519
4,6222518
4,6222516
4,6222515
4,6222514
4,6222512
4,6222513
4,6222511
4,6222510
4,6222509
4,6222508
4,6222507
4,6222562
4,6222560
4,6222559
4,6222558
4,6222557
4,6222556
4,6222555
4,6222554
4,6222553
4,6222551
4,6222552
3,6222550
3,6222549
4,6222548
4,6222547
4,6222546
4,6222544
4,6222545
4,6222543
4,6222542
4,6222540
4,6222539
4,6222538
4,6222537
4,6222536
4,6222535
4,6222604
4,6222603
4,6222598
4,6222599
4,6222597
4,6222596
4,6222595
4,6222594
4,6222593
4,6222592
4,6222591
4,6222590
4,6222589
4,6222588
4,6222587
4,6222586
4,6222585
4,6222583
4,6222584
4,6222582
4,6222581
4,6222580
4,6222579
4,6222578
4,6222577
4,6222576
4,6222575
4,6222574
4,6222573
4,6222572
4,6222571
4,6222570
4,6222569
4,6222567
4,6222568
4,6222566
4,6222565
4,6222564
4,6222563
4,6222630
4,6222631
3,6222629
4,6222628
4,6222627
4,6222626
4,6222625
4,6222624
4,6222623
4,6222622
4,6222621
4,6222620
4,6222619
4,6222618
4,6222617
4,6222616
4,6222615
4,6222614
4,6222613
4,6222612
4,6222611
4,6222610
4,6222609
4,6222608
4,6222607
4,6222606
4,6222605
4,6222601
4,6222602
4,6222600
4,6222716
4,6222715
4,6222714
