victim_id,circumstances_id,justifiable_force_id
7634354,10,
7635917,10,
7636688,1,
7638283,9,
7638284,9,
7639053,1,
7639054,1,
7639055,1,
7639084,1,
7639091,1,
7639834,1,
7640598,9,
7641405,1,
7642933,1,
7642962,10,
7643716,1,
7643743,1,
7632046,1,
7632055,1,
7632080,1,
7632833,1,
7632834,1,
7632861,10,
7632862,10,
7632863,2,
7632864,2,
7632865,2,
7633604,10,
7635935,1,
7635944,1,
7636732,10,
7639116,1,
7640648,1,
7640654,1,
7643783,10,
7632125,1,
7632126,1,
7632880,9,
7632894,1,
7635233,10,
7624452,9,
7624477,1,
7624478,1,
7625225,1,
7625258,1,
7627569,9,
7627570,9,
7629115,1,
7629135,1,
7629915,1,
7620560,1,
7623686,6,
7624529,6,
7624534,7,
7626821,10,
7626828,1,
7626834,6,
7628422,1,
7629170,1,
7629198,9,
7629200,1,
7629943,1,
7629952,10,
7631510,1,
7631515,1,
7631516,1,
7631535,1,
7619849,10,
7621388,1,
7621389,1,
7621423,1,
7622953,1,
7622968,1,
7622974,1,
7622975,1,
7622979,2,
7622983,9,
7624574,1,
7625338,6,
7626087,9,
7626090,1,
7626105,1,
7626106,1,
7626124,9,
7626900,9,
7626910,1,
7626914,9,
7627658,1,
7629211,1,
7629217,1,
7629236,1,
7629997,9,
7630018,9,
7630028,17,
7620663,9,
7621438,9,
7622239,3,
7622253,1,
7622990,9,
7622995,1,
7623002,10,
7623008,9,
7623011,1,
7623034,1,
7625365,1,
7625402,6,
7626915,9,
7626922,9,
7626934,1,
7627714,4,
7627721,1,
7629296,1,
7630029,10,
7630030,10,
7594156,9,
7594167,1,
7594170,10,
7594172,10,
7594173,10,
7619915,9,
7619944,1,
7620701,1,
7620739,1,
7620742,1,
7622263,1,
7622286,5,
7622297,1,
7622300,1,
7623036,9,
7623061,9,
7623062,9,
7623063,9,
7623064,9,
7623065,9,
7623069,10,
7626184,1,
7626194,1,
7626204,1,
7626977,10,
7626978,9,
7626981,1,
7629310,2,
7630081,9,
7630082,9,
7630084,6,
7630085,6,
7630101,1,
7630106,17,
7630894,1,
7619203,10,
7619207,10,
7619998,6,
7621525,1,
7621565,1,
7623086,9,
7623106,1,
7623130,9,
7626234,10,
7626246,1,
7627056,2,
7627057,10,
7628596,9,
7628613,9,
7629387,1,
7629389,1,
7630152,1,
7630938,1,
7630961,1,
7620832,1,
7620833,10,
7622364,1,
7623149,9,
7623150,1,
7623179,1,
7624769,1,
7624779,1,
7625511,10,
7625519,1,
7625520,1,
7625541,1,
7625548,10,
7627069,1,
7627873,1,
7629401,1,
7629426,1,
7630204,1,
7630216,9,
7630218,1,
7620062,9,
7620099,10,
7620850,10,
7620851,10,
7621646,1,
7622423,9,
7623195,9,
7623214,9,
7623215,9,
7623216,9,
7623989,1,
7624000,1,
7624780,1,
7624789,1,
7624791,1,
7624792,1,
7624793,1,
7624821,1,
7625587,1,
7625602,1,
7627895,9,
7627904,1,
7627938,9,
7628695,1,
7628708,9,
7631063,10,
7619356,1,
7620142,1,
7622472,1,
7622478,1,
7623258,6,
7624022,1,
7625603,1,
7625604,1,
7627160,9,
7627161,9,
7627167,1,
7627185,1,
7627186,1,
7627187,6,
7627188,6,
7629513,1,
7631077,1,
7631105,1,
7619402,1,
7619419,1,
7621728,9,
7621739,1,
7621757,9,
7622525,10,
7625658,9,
7625682,9,
7626443,1,
7627998,9,
7628015,1,
7629552,9,
7630330,1,
7630337,6,
7630365,9,
7619465,1,
7620211,6,
7620245,2,
7620994,1,
7621031,1,
7621793,2,
7621806,1,
7622566,1,
7623350,1,
7624133,1,
7626474,1,
7626520,1,
7626521,1,
7628041,9,
7628051,1,
7628055,10,
7628838,6,
7628843,6,
7628849,10,
7629607,9,
7629611,1,
7629612,1,
7629620,9,
7619517,10,
7621052,1,
7622606,6,
7622615,1,
7622616,9,
7622621,10,
7622628,10,
7622631,3,
7622634,9,
7622642,10,
7623388,1,
7623392,1,
7623399,1,
7623405,9,
7623411,1,
7624182,1,
7624183,1,
7624184,1,
7624979,1,
7624980,1,
7625751,1,
7625764,1,
7625773,9,
7626531,9,
7626532,9,
7626566,1,
7626571,10,
7627305,10,
7627306,2,
7627307,2,
7627308,2,
7627337,6,
7628097,9,
7628098,9,
7628099,9,
7628111,1,
7628115,9,
7628880,9,
7628898,1,
7628910,1,
7629666,1,
7619553,1,
7622655,1,
7622662,6,
7623460,1,
7624206,1,
7624229,1,
7624230,1,
7624243,1,
7624245,1,
7625051,6,
7625797,10,
7625806,1,
7625807,1,
7626613,1,
7627368,2,
7628143,1,
7628150,1,
7628159,1,
7628921,9,
7629701,1,
7629732,10,
7630479,1,
7619571,1,
7619572,1,
7619573,1,
7619574,1,
7619590,1,
7620366,6,
7620382,10,
7621141,9,
7622724,1,
7622738,1,
7624270,1,
7625073,1,
7625100,1,
7626640,9,
7626648,1,
7627415,1,
7627417,6,
7627420,9,
7628975,1,
7628989,1,
7629001,1,
7629740,1,
7630526,1,
7631318,1,
7631321,1,
7631322,1,
7621195,10,
7621196,1,
7621197,1,
7621198,1,
7621990,1,
7621995,1,
7621996,1,
7622000,1,
7622789,1,
7622791,6,
7623540,1,
7623541,2,
7623555,9,
7624301,1,
7624314,1,
7624324,1,
7625926,1,
7626680,1,
7626708,1,
7627480,1,
7627493,10,
7628277,6,
7629025,1,
7629027,9,
7629037,1,
7629786,1,
7629794,1,
7629795,10,
7631357,1,
7619670,9,
7619680,10,
7619700,6,
7620467,1,
7620480,1,
7621238,1,
7623592,2,
7623593,2,
7623594,2,
7624345,9,
7624391,9,
7625185,10,
7625186,1,
7625200,10,
7626732,10,
7626735,9,
7627522,10,
7627538,6,
7629069,1,
7629080,1,
7629082,9,
7629083,9,
7631407,1,
7631452,1,
7619729,9,
7619763,1,
7619765,9,
7620517,10,
7620544,1,
7621329,2,
7622094,6,
7622096,1,
7623634,10,
7624426,9,
7662566,9,
7662567,9,
7663329,1,
7663330,1,
7663333,1,
7663359,10,
7666442,10,
7666448,10,
7666484,10,
7667252,10,
7667258,10,
7667260,10,
7668022,10,
7668025,10,
7668040,10,
7668818,1,
7668828,2,
7657314,9,
7657331,9,
7657334,9,
7658881,6,
7660299,1,
7660313,9,
7661042,2,
7661066,4,
7661068,1,
7661080,10,
7663377,10,
7664145,1,
7664928,9,
7666528,10,
7668066,10,
7668068,10,
7668088,10,
7668090,10,
7668093,10,
7657357,9,
7657368,9,
7658129,1,
7658912,1,
7658913,1,
7659665,1,
7661095,9,
7661118,1,
7661127,1,
7662661,10,
7662662,10,
7662663,10,
7663445,10,
7663455,10,
7664183,1,
7664208,1,
7664209,1,
7664211,9,
7664212,9,
7665774,10,
7666566,10,
7667329,10,
7667332,10,
7667333,10,
7667334,10,
7667364,10,
7667368,10,
7668119,10,
7668122,10,
7668125,10,
7668149,10,
7668898,1,
7657428,9,
7657438,9,
7659668,1,
7659683,1,
7659684,1,
7660411,9,
7660422,1,
7661146,10,
7661154,1,
7661155,1,
7661181,1,
7663507,9,
7664269,10,
7664270,10,
7666588,10,
7666600,10,
7666604,10,
7666627,10,
7667377,10,
7667397,10,
7668170,10,
7668199,10,
7656690,9,
7657450,9,
7658258,1,
7658262,1,
7659739,1,
7659741,1,
7661191,1,
7661216,1,
7666648,10,
7666665,10,
7667428,10,
7667429,10,
7667431,10,
7667461,10,
7668205,10,
7668226,10,
7668227,10,
7668235,10,
7668238,10,
7656714,9,
7656719,9,
7656721,9,
7656725,9,
7657495,1,
7657507,9,
7658275,1,
7659784,1,
7659804,1,
7660505,1,
7660538,1,
7661231,10,
7661255,10,
7662049,6,
7664352,1,
7665140,10,
7667469,10,
7656778,9,
7656779,9,
7656780,9,
7656786,9,
7656787,9,
7656806,9,
7658326,2,
7659097,1,
7659834,10,
7660554,1,
7661312,1,
7662058,1,
7662059,1,
7662840,1,
7663621,10,
7664423,9,
7665166,9,
7665167,9,
7665168,9,
7665169,9,
7665959,10,
7666742,10,
7666766,10,
7666768,10,
7666777,10,
7667526,10,
7668308,1,
7656810,9,
7657591,1,
7658384,6,
7659175,1,
7661334,10,
7661356,1,
7661371,10,
7662146,10,
7662147,10,
7663691,1,
7666013,10,
7666798,10,
7666808,10,
7667574,10,
7667603,10,
7667610,10,
7667613,10,
7667614,10,
7667615,10,
7668356,1,
7668392,10,
7656859,9,
7656870,1,
7657676,9,
7657677,9,
7657678,9,
7658448,3,
7659188,9,
7659226,1,
7659227,1,
7659919,1,
7661395,10,
7661396,10,
7662151,10,
7662154,10,
7662157,10,
7662171,10,
7663742,1,
7666849,10,
7666851,10,
7667624,10,
7667633,10,
7667639,10,
7667640,10,
7667642,10,
7667646,10,
7667650,10,
7668404,10,
7668429,10,
7668437,1,
7656921,9,
7657711,9,
7657728,9,
7657729,9,
7657730,9,
7658495,1,
7658505,9,
7659249,6,
7659250,1,
7659255,10,
7661436,10,
7661451,2,
7661461,10,
7663755,1,
7663757,1,
7663758,1,
7666891,10,
7666892,10,
7666916,10,
7666922,10,
7667665,10,
7667678,10,
7667682,10,
7656965,9,
7656971,9,
7656972,9,
7657765,9,
7658541,9,
7660013,1,
7665363,10,
7666166,10,
7666173,10,
7666940,10,
7666941,10,
7666948,10,
7666977,10,
7667725,10,
7667758,10,
7657824,9,
7658563,6,
7658570,9,
7658571,9,
7658572,9,
7658586,6,
7658590,9,
7660805,1,
7664619,1,
7666978,10,
7666979,10,
7666991,10,
7666994,10,
7666996,10,
7666999,10,
7667005,10,
7667026,10,
7667772,10,
7667777,10,
7667794,10,
7667802,10,
7667808,10,
7668551,9,
7668573,1,
7668579,10,
7668594,1,
7657845,9,
7657859,9,
7658619,6,
7658629,9,
7658635,10,
7658636,10,
7658649,10,
7658651,10,
7659427,9,
7660137,1,
7663144,1,
7663153,10,
7663927,10,
7665452,9,
7667040,10,
7667057,10,
7667071,10,
7667818,10,
7667849,10,
7667860,10,
7668607,1,
7668621,1,
7657111,9,
7657920,9,
7658655,6,
7658668,9,
7658677,9,
7658685,10,
7659453,1,
7660900,1,
7660919,9,
7660922,10,
7660937,1,
7663984,9,
7666308,10,
7666322,10,
7667086,10,
7667092,10,
7667882,10,
7667883,10,
7667899,10,
7667901,10,
7667905,10,
7667906,10,
7668668,1,
7668669,9,
7668691,1,
7657169,10,
7657170,10,
7657980,10,
7658740,9,
7659499,1,
7659500,1,
7659505,1,
7659516,9,
