weapon_id,offense_id,nibrs_weapon_id
9,14732210,3097473
9,14733907,3097816
12,14732601,3097751
12,14732602,3097752
20,14732298,3097555
20,14733984,3097151
12,14732304,3097556
9,14734747,3097626
12,14733943,3097150
12,14734752,3097627
12,14734753,3097628
3,14734754,3097629
12,14734755,3097630
18,14732655,3097763
12,14734340,3097534
3,14732679,3097764
20,14735123,3096471
12,14735127,3096472
12,14736508,3096697
12,14736510,3096698
3,14734390,3097676
12,14735135,3096473
12,14734393,3097677
12,14735162,3096474
12,14736534,3096699
18,14734408,3097678
12,14735202,3096514
3,14735176,3096475
18,14736538,3096700
12,14735180,3096509
3,14736546,3096701
3,14735209,3096515
12,14734416,3097679
12,14736929,3097009
12,14736930,3097010
9,14736933,3097011
12,14735187,3096510
12,14735222,3096516
12,14736935,3097012
12,14736849,3096960
12,14735229,3096517
12,14735189,3096511
12,14735231,3096518
12,14736938,3097013
12,14735236,3096519
9,14735191,3096512
12,14735195,3096513
9,14736943,3097014
12,14736944,3097015
12,14735239,3096520
12,14735566,3096744
12,14736948,3097016
12,14735242,3096521
12,14736950,3097017
9,14736952,3097018
12,14736953,3097019
12,14736954,3097020
12,14736863,3096961
12,14735574,3096745
3,14736867,3096962
12,14736869,3096963
12,14736870,3096964
12,14736963,3097021
12,14735249,3096563
12,14736872,3096965
12,14735250,3096564
12,14736875,3096966
12,14736965,3097022
12,14735254,3096565
12,14735255,3096566
9,14736876,3096967
12,14735263,3096567
14,14735592,3096782
12,14736975,3097055
12,14736885,3096968
12,14736888,3096969
12,14736977,3097056
12,14736890,3096970
14,14735602,3096783
12,14735269,3096568
14,14736980,3097057
14,14735605,3096784
14,14735270,3096569
14,14735606,3096785
12,14736981,3097058
12,14735609,3096786
12,14735611,3096787
12,14735613,3096788
12,14736985,3097059
18,14735273,3096570
12,14736895,3096971
12,14735615,3096789
3,14735618,3096790
12,14736897,3096972
12,14735671,3096832
12,14735622,3096791
12,14736902,3097002
12,14735278,3096571
12,14736903,3097003
12,14736906,3097004
12,14736908,3097005
12,14735632,3096792
12,14736999,3097060
12,14736910,3097006
12,14737003,3097061
12,14736911,3097007
12,14735639,3096793
9,14735288,3096572
12,14737005,3097062
12,14735296,3096574
12,14736923,3097008
18,14735650,3096794
12,14735651,3096795
12,14735652,3096796
12,14737011,3097063
12,14735303,3096575
12,14735654,3096797
12,14735293,3096573
12,14735657,3096798
12,14737303,3096495
12,14735305,3096576
12,14735661,3096830
12,14737013,3097064
12,14737014,3097065
12,14737015,3097066
12,14737016,3097067
12,14737017,3097068
12,14737018,3097069
12,14735667,3096831
12,14737743,3096802
12,14737024,3097070
9,14737747,3096803
12,14737312,3096496
12,14737313,3096497
12,14737314,3096498
10,14737028,3097071
12,14737752,3096804
14,14737318,3096540
12,14735676,3096833
12,14737035,3097072
20,14737759,3096805
20,14739618,3098910
20,14739480,3098814
20,14739482,3098815
12,14739483,3098816
20,14737337,3096541
12,14739621,3098911
20,14737770,3096806
20,14737339,3096542
19,14739625,3098912
10,14739490,3098817
18,14739491,3098818
18,14737772,3096807
18,14737773,3096808
18,14739492,3098819
20,14737776,3096809
12,14739626,3098913
12,14739627,3098914
12,14737778,3096810
20,14739498,3098820
20,14737781,3096811
20,14739503,3098821
12,14737785,3096812
9,14737790,3096813
9,14739633,3098915
12,14737348,3096543
9,14737795,3096814
20,14739508,3098822
20,14737351,3096544
20,14739905,3099107
20,14737367,3096548
9,14740023,3099219
9,14739521,3098867
9,14737357,3096545
14,14740024,3099220
20,14737358,3096546
20,14738185,3097113
20,14738189,3097114
12,14738191,3097115
19,14737364,3096547
20,14738192,3097116
19,14737368,3096549
19,14740030,3099221
12,14740032,3099222
19,14738195,3097117
20,14740036,3099223
12,14739909,3099108
12,14737377,3096550
12,14740038,3099224
18,14737378,3096551
12,14738197,3097118
20,14739917,3099109
18,14737387,3096588
18,14740048,3099225
18,14738204,3097119
12,14739928,3099111
10,14739930,3099112
18,14737398,3096589
12,14738216,3096402
19,14738217,3096403
18,14740051,3099226
12,14738211,3097120
12,14740054,3099227
18,14739925,3099110
19,14740064,3099228
20,14737409,3096590
12,14739937,3099144
20,14739938,3099145
20,14740072,3099229
20,14740073,3099230
19,14740075,3099255
20,14740077,3099256
11,14738234,3096404
3,14739945,3099146
20,14740081,3099257
20,14739850,3099059
20,14739851,3099060
20,14739853,3099061
12,14738240,3096405
20,14740084,3099258
12,14739855,3099062
20,14740086,3099259
20,14739948,3099147
12,14739864,3099063
20,14738248,3096406
12,14739953,3099148
19,14739869,3099104
10,14739871,3099105
12,14739872,3099106
12,14751872,3100564
10,14738257,3096407
12,14738259,3096408
12,14738275,3096414
3,14740123,3099266
12,14739970,3099151
6,14740274,3099360
9,14740127,3099267
12,14740278,3099361
12,14740129,3099268
12,14738284,3096446
12,14738285,3096447
12,14739980,3099153
10,14739981,3099154
12,14740285,3099422
12,14738287,3096448
12,14739987,3099155
3,14739989,3099156
10,14739990,3099157
12,14738290,3096449
12,14740137,3099269
12,14740292,3099423
12,14739997,3099159
12,14738662,3096719
12,14740296,3099424
12,14739999,3099160
12,14740143,3099311
12,14740144,3099312
12,14740299,3099425
9,14740732,3098918
9,14740733,3098919
12,14740734,3098920
12,14740736,3098921
12,14740106,3099260
12,14738260,3096409
12,14738262,3096410
12,14740110,3099261
12,14740111,3099262
12,14738265,3096411
12,14738268,3096412
20,14739963,3099149
12,14740114,3099263
12,14740115,3099264
12,14738270,3096413
12,14739964,3099150
12,14740120,3099265
10,14740139,3099270
12,14739992,3099158
3,14740010,3099217
12,14740524,3098783
12,14740745,3098922
12,14740535,3098784
12,14740022,3099218
9,14740396,3099488
10,14740751,3098923
12,14740538,3098785
12,14740397,3099489
12,14740754,3098924
12,14740321,3099426
10,14740322,3099427
12,14740403,3099490
12,14740324,3099428
12,14740764,3098925
12,14740405,3099491
12,14742038,3099032
12,14740330,3099429
10,14740408,3099492
9,14740331,3099430
10,14742041,3099033
12,14742484,3099382
12,14742072,3099073
3,14742073,3099074
12,14740410,3099493
12,14741144,3099236
9,14742047,3099034
12,14740412,3099494
3,14741146,3099237
12,14740336,3099431
12,14742048,3099035
9,14741147,3099238
6,14740413,3099495
12,14740340,3099432
12,14741150,3099239
12,14742049,3099036
12,14742050,3099037
12,14741153,3099240
3,14742469,3099350
12,14740342,3099433
12,14740345,3099434
12,14742052,3099038
12,14741154,3099241
12,14742472,3099351
12,14740348,3099435
12,14742475,3099352
9,14740349,3099436
9,14740350,3099437
12,14742062,3099039
12,14742063,3099040
10,14742064,3099041
12,14742478,3099353
12,14741158,3099242
12,14740352,3099478
10,14742482,3099381
12,14742895,3098866
12,14741200,3099275
12,14742112,3099085
10,14742116,3099086
12,14742901,3098895
9,14741206,3099276
19,14742903,3098896
12,14741209,3099277
10,14741164,3099243
10,14742839,3098852
12,14742907,3098897
12,14742502,3099386
12,14742910,3098898
12,14742911,3098899
18,14742503,3099387
12,14742913,3098900
9,14742074,3099075
10,14741167,3099244
10,14740357,3099479
9,14742487,3099383
3,14742488,3099384
12,14740358,3099480
2,14740362,3099481
12,14742491,3099385
12,14741171,3099245
12,14740366,3099482
9,14740367,3099483
12,14741173,3099246
3,14741174,3099247
12,14740374,3099484
12,14742872,3098861
12,14742085,3099076
12,14740376,3099485
12,14740379,3099486
12,14742092,3099077
12,14742093,3099078
10,14742881,3098862
12,14742098,3099079
9,14742885,3098863
12,14740385,3099487
19,14742100,3099080
9,14742102,3099081
12,14742887,3098864
12,14741186,3099271
12,14741187,3099272
3,14742106,3099082
12,14741192,3099273
9,14742108,3099083
12,14742109,3099084
12,14740774,3098968
12,14742894,3098865
9,14741195,3099274
12,14740779,3098969
10,14743245,3099297
12,14743246,3099298
12,14742939,3098904
3,14743251,3099299
12,14742532,3099393
12,14742943,3098905
12,14742533,3099394
12,14742534,3099395
12,14742945,3098906
12,14742947,3098907
12,14742950,3098908
12,14742951,3098909
12,14743258,3099300
12,14742541,3099396
18,14743263,3099301
12,14741261,3099316
20,14742542,3099397
12,14743267,3099302
12,14742545,3099398
20,14742548,3099399
3,14742848,3098853
18,14741217,3099278
10,14741218,3099279
12,14742924,3098901
10,14742850,3098854
12,14741631,3098760
12,14743275,3099303
12,14742553,3099460
18,14742554,3099461
12,14741640,3098761
12,14742555,3099462
12,14742969,3099094
12,14742851,3098855
10,14741225,3099280
12,14742927,3098902
12,14742512,3099388
12,14742852,3098856
12,14742853,3098857
12,14741226,3099281
10,14742514,3099389
10,14741228,3099282
11,14742517,3099390
12,14742518,3099391
12,14742857,3098858
12,14741230,3099283
12,14742860,3098859
20,14741234,3099284
12,14741241,3099285
18,14742862,3098860
12,14741242,3099286
12,14742934,3098903
12,14742525,3099392
12,14742971,3099095
12,14742556,3099463
12,14743294,3099307
10,14742569,3099467
10,14743719,3098720
10,14742981,3099099
12,14742982,3099100
12,14742572,3099468
12,14742574,3099469
10,14743722,3098721
18,14743303,3099308
9,14743728,3097890
12,14743729,3097891
12,14743307,3099309
12,14743370,3099052
12,14743731,3097892
12,14743371,3099053
9,14743376,3099054
12,14742583,3099470
12,14742584,3099471
9,14742586,3099472
10,14742587,3099473
12,14743381,3099055
3,14743336,3099043
12,14743338,3099044
12,14744121,3098204
18,14744122,3098205
12,14743340,3099045
20,14743341,3099046
9,14744126,3098206
12,14745992,3097980
10,14745993,3097981
12,14745994,3097982
20,14745996,3097983
11,14743342,3099047
18,14745998,3097984
10,14745999,3097985
12,14739973,3099152
12,14743344,3099048
9,14743346,3099049
12,14743347,3099050
12,14744133,3098207
12,14743350,3099051
6,14744134,3098208
12,14744135,3098249
20,14744136,3098250
12,14746007,3098033
12,14746008,3098034
12,14746009,3098035
12,14744139,3098251
12,14745855,3097869
12,14744143,3098252
12,14743287,3099304
12,14743288,3099305
12,14743289,3099306
9,14742975,3099096
12,14741649,3098762
12,14741650,3098763
12,14742559,3099464
9,14742976,3099097
12,14741652,3098764
12,14742563,3099465
12,14742979,3099098
12,14742568,3099466
9,14745968,3097975
12,14745970,3097976
12,14745971,3097977
12,14743313,3099310
9,14743736,3097893
18,14743390,3099189
12,14743391,3099190
12,14744109,3098203
12,14743394,3099191
12,14743398,3099192
12,14745982,3097978
15,14743332,3099042
12,14743401,3099193
9,14743402,3099194
12,14745985,3097979
12,14746014,3098036
12,14745858,3097870
10,14744145,3098253
20,14745861,3097871
9,14745863,3097872
12,14745866,3097914
12,14745868,3097915
12,14746022,3098037
12,14746024,3098038
12,14744150,3098254
12,14746028,3098039
12,14745873,3097916
12,14746029,3098040
12,14746031,3098041
3,14745874,3097917
12,14744156,3098255
12,14743738,3097894
12,14745881,3097918
20,14744158,3098256
12,14744160,3098257
12,14743772,3097897
12,14745910,3097922
12,14745834,3097866
12,14744162,3098258
10,14743746,3097895
12,14744165,3098259
12,14744168,3098260
12,14743760,3097896
