suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
17,19077624,0,,1049134
17,19077637,0,,1049135
17,19077642,0,,1049136
17,19077653,0,,1049137
17,19077654,0,,1049138
17,19077809,0,,1049171
17,19076728,0,,1049188
17,19076733,0,,1049189
17,19076735,0,,1049190
17,19076755,0,,1049191
17,19076760,0,,1049192
17,19076779,0,,1049203
17,19076787,0,,1049204
17,19076809,0,,1049205
17,19079324,0,,1049210
17,19079346,0,,1049211
17,19079358,0,,1049212
17,19079360,0,,1049213
17,19079362,0,,1049214
17,19076878,0,,1049219
17,19076903,0,,1049220
17,19076915,0,,1049221
17,19078094,0,,1049222
17,19078102,0,,1049223
17,19078103,0,,1049224
17,19079387,0,,1049226
17,19076932,0,,1049234
17,19080613,0,,1049268
17,19078393,0,,1049273
17,19078408,0,,1049274
17,19078444,0,,1049275
17,19078473,0,,1049292
17,19076090,0,,1049295
17,19076119,0,,1049296
17,19076120,0,,1049297
17,19077411,0,,1049313
17,19077414,0,,1049314
17,19077425,0,,1049315
17,19077431,0,,1049316
17,19077432,0,,1049317
17,19078676,0,,1049324
17,19078683,0,,1049325
5,19093131,218.88,1,1049326
5,19094770,0.66,1,1049367
5,19094793,0.7,1,1049377
5,19093604,1.51,1,1049378
5,19093631,0.37,1,1049379
5,19092436,0.62,1,1049390
5,19092473,1.51,1,1049391
5,19092501,0.06,1,1049392
5,19093682,7.1,1,1049393
5,19093685,3.81,1,1049394
5,19093741,12.75,1,1049395
5,19093748,0.2,1,1049396
5,19143962,118,1,1053660
2,19143967,1,1,1053661
5,19143978,29,1,1053662
5,19143988,0.25,3,1053663
5,19143992,0.5,1,1053664
2,19146382,31.5,1,1053667
5,19146391,10,1,1053668
1,19146392,1,1,1053669
5,19146393,24,10,1053670
5,19146397,1,1,1053671
5,19146398,0.1,1,1053672
5,19146423,3,1,1053673
5,19146443,0.5,1,1053674
5,19146444,1,1,1053675
5,19159617,1,1,1053691
5,19159630,9,1,1053692
5,19159636,3,1,1053693
5,19159642,3,1,1053694
5,19160871,1,1,1053702
5,19160891,1,1,1053703
5,19158554,1,1,1053711
5,19158558,1,1,1053712
5,19159815,2,1,1053740
5,19159835,1,1,1053757
5,19159878,8,1,1053758
17,19159881,1,1,1053759
5,19159924,4,1,1053772
5,19158921,1,1,1053800
5,19158936,31,10,1053801
5,19158944,1,1,1053802
5,19158951,1,1,1053803
5,19161512,1,1,1053865
5,19159165,4,1,1053869
11,19159183,26,3,1053870
1,19161513,4,1,1053882
17,19161528,0,,1053883
5,19161531,1,1,1053884
5,19161551,3,1,1053885
5,19161556,1,1,1053886
2,19161582,116,1,1053887
5,19161607,8,9,1053897
5,19161611,1,1,1053898
5,19161615,7,1,1053899
