victim_id,injury_id
22978453,1
22978459,4
22978460,4
22978402,4
22978418,5
22978429,5
22978478,5
22978489,4
22978504,5
22978530,5
22978560,5
22978582,5
22978586,5
22978587,5
22978613,4
22978615,4
22978631,5
22978663,4
22978664,5
22978688,4
22978690,5
22978689,5
22978705,4
22978732,4
22978829,5
22978832,4
22978894,5
22978898,4
22978901,4
22978902,4
22978917,4
22978928,4
22979010,5
22979099,4
22979046,5
22979144,5
22979155,5
22979173,4
22979176,5
22979126,5
22979128,4
22979138,5
22979233,5
22979234,4
22979235,4
22979243,5
22979260,4
22979273,4
22979274,5
22979275,5
22979286,5
22979297,4
22979302,5
22979300,3
22979303,5
22979307,4
22979318,5
22979450,5
22979327,4
22979328,4
22979330,4
22979331,4
22979332,5
22979334,5
22979341,5
22979359,4
22979368,5
22979370,4
22979381,4
22979407,5
22979408,5
22979409,4
22979412,4
22979413,4
22979416,5
22979638,5
22979379,4
22979380,5
22979391,5
22979398,5
22979400,4
22979422,5
22979425,5
22979426,5
22979427,5
22979430,5
22979448,4
22979554,5
22979457,4
22979459,3
22979462,5
22979467,5
22979469,4
22979470,4
22979471,1
22979473,5
22979479,5
22979525,4
22979556,5
22979557,5
22979558,4
22979572,4
22979575,4
22979532,4
22979535,5
22979538,4
22979541,4
22979577,4
22979578,5
22979579,5
22979582,4
22979587,5
22979590,5
22979592,4
22979597,4
22979598,5
22979599,5
22979601,4
22979607,4
22979608,4
22979612,5
22979613,5
22979620,4
22979674,4
22979680,5
22979691,5
22979623,4
22979627,4
22979630,5
22979632,4
22979633,4
22979640,4
22979641,4
22979645,4
22979649,4
22979650,5
22979652,5
22979660,4
22979661,5
22979681,5
22979682,5
22979688,5
22979697,4
22979698,5
22979700,4
22979702,5
22979703,5
22979706,4
22979709,5
22979719,5
22979721,4
22979730,4
22979731,4
22979734,4
22979737,4
22979742,5
22979746,5
22979751,4
22979765,5
22979811,4
22979813,5
22979819,4
22979824,5
22979827,4
22979843,4
22979847,4
22979866,5
22979832,4
22979885,4
22979887,4
22979895,4
22979899,5
22979909,5
22979916,5
22979929,4
22979936,5
22979939,4
22979940,4
22979945,5
22979949,5
22979950,5
22979952,5
22979956,5
22979968,5
22979972,5
22979977,5
22979986,4
22980015,4
22980020,5
22980025,5
22980033,4
22980058,4
22980064,4
22980065,5
22980072,5
22980075,5
22980086,5
22980087,4
22980095,6
22980096,5
22980104,5
22980112,5
22980122,5
22980123,5
22980126,5
22980131,4
22980140,4
22980149,5
22980161,5
22980166,4
22980180,5
22980183,5
22980202,5
22980203,4
22980205,5
22980213,5
22980220,5
22980222,5
22980225,5
22980233,5
22980234,5
22980237,5
22980248,5
22980253,4
22980255,5
22980265,4
22980267,5
22980269,4
22980273,5
22980274,5
22980282,5
22980281,4
22980287,5
22980288,5
22980289,4
22980291,5
22980293,4
22980303,5
22980304,5
22980305,5
22980306,5
22980313,4
22980318,4
22980322,5
22980323,5
22980337,5
22980343,4
22980344,4
22980346,4
22980350,5
22980354,4
22980357,4
22980360,4
22980365,4
22980370,5
22980377,4
22980379,5
22980385,5
22980391,6
22980400,4
22980402,4
22980405,5
22980406,5
22980504,4
22980506,5
22980507,5
22980505,5
22980508,5
22980511,4
