arrestee_id,weapon_id,nibrs_arrestee_weapon_id
7715797,1,7721660
7722241,1,7714255
7705800,1,7700428
7640288,1,7646417
8433827,1,8451729
8433826,1,8451728
8433825,1,8451727
8433824,1,8451726
7522711,1,7518552
7522641,1,7518287
7565689,7,7573401
7558326,3,7564988
7562089,1,7559363
7562088,3,7559362
7562087,3,7559361
7561960,1,7558846
7555541,1,7549985
7519655,1,7518584
7486979,2,7484353
7486978,2,7484352
7728689,1,7753134
7738042,1,7749539
7725128,1,7746687
7725052,1,7745627
7733335,1,7741936
7742750,1,7722777
7716880,3,7721751
7716879,3,7721750
7709560,1,7711660
7710384,1,7706083
7705845,1,7700668
7681955,7,7688112
7681939,1,7688096
7674346,1,7678594
7672601,1,7667524
7672594,1,7667517
7632340,1,7639542
7631303,5,7639496
7631302,1,7639495
7634050,1,7637843
7629616,1,7624758
7620359,1,7616754
7620357,1,7616752
7594420,1,7592224
7594419,1,7592223
7581516,1,7586736
7582437,1,7586281
7576713,7,7580211
7573553,1,7580016
7573551,1,7580014
7575363,1,7578619
7575362,22,7578618
7579616,1,7575312
7579615,1,7575311
7580665,1,7575174
7580664,1,7575173
7571779,1,7568961
7572744,1,7568545
7572725,1,7568526
7572677,1,7568284
7558309,1,7564776
7557090,2,7564164
7557089,2,7564163
7561932,1,7558625
7561930,1,7558623
7561929,1,7558622
7560678,1,7557517
7560642,1,7557481
7560641,1,7557480
7551524,1,7554299
7551523,1,7554298
7551522,1,7554297
7551423,1,7553809
7551422,1,7553808
7554183,1,7552752
7534254,1,7539407
7525077,1,7531958
7520823,1,7519221
7521747,1,7518768
7735150,1,7753569
7731630,1,7748107
7730546,1,7748019
7707734,1,7712066
7707732,1,7712064
7701467,1,7703690
7686832,22,7682797
7686830,22,7682795
7686829,22,7682794
7676074,1,7676910
7665373,1,7671890
7665372,1,7671889
7665371,1,7671888
7665370,1,7671887
7666268,1,7671203
7655184,1,7647946
7646817,1,7643566
7646813,1,7643562
7626808,1,7630483
7620308,1,7616704
7619329,1,7616650
7613870,1,7607601
7613869,1,7607600
7574862,1,7581117
7542433,1,7547063
7532460,1,7540615
7529950,1,7526693
7529722,1,7525879
7519072,1,7520353
8131898,1,8154751
8112474,1,8100251
8119844,1,8099623
8113405,1,8098219
8113385,1,8098199
8115231,1,8094120
8116157,1,8092080
7217741,1,7222969
7217867,1,7219373
7205751,1,7217003
7208642,1,7215877
7208641,1,7215876
7208617,1,7215658
7211299,1,7214326
7213250,1,7213905
7213249,1,7213904
7213226,1,7213687
7213173,1,7213441
7210462,1,7210961
7210461,1,7210960
7202053,1,7206301
7202050,1,7206298
7202049,1,7206297
7203994,1,7205919
7204876,1,7205411
7204875,1,7205410
7204874,1,7205409
7201126,1,7202630
7201125,1,7202629
7203115,1,7202487
7196580,1,7202404
7191940,1,7197820
7190032,1,7195936
7190031,1,7195935
7190123,1,7195568
8450085,1,8455899
8449395,1,8445400
8455101,1,8437311
8466368,1,8429691
8336195,1,8354204
8313022,7,8322778
8312100,1,8308089
8131961,1,8155797
8133848,3,8152753
8133847,3,8152752
8099025,1,8120390
8099024,1,8120389
8071146,1,8077646
7671502,1,8456415
8447940,1,8455746
8447921,1,8455727
8447907,1,8455713
8447856,1,8454679
8445732,1,8454549
8447233,1,8444246
8447199,1,8444212
8447193,1,8444206
8447174,1,8443205
8447171,1,8443202
8468030,1,8487366
8470871,1,8487031
8475344,1,8481821
8475290,1,8480785
