criminal_act_id,offense_id
8,36607677
6,36607674
9,36598333
9,36592404
9,36603870
6,36603872
6,36603873
8,36598342
9,36593063
9,36606217
5,36603809
9,36598343
9,36603810
8,36592428
9,36598349
9,36596234
9,36603804
6,36592416
6,36592417
6,36598345
8,36607687
9,36607691
9,36603889
9,36606233
9,36596235
9,36592431
6,36596236
6,36607699
9,36606238
6,36607701
8,36603892
9,36606239
9,36592436
9,36592441
9,36604883
8,36607704
5,36604886
3,36598361
9,36607705
9,36596250
8,36604887
8,36603898
6,36604890
9,36607711
9,36604892
9,36607721
6,36607723
6,36603829
9,36604894
8,36604895
8,36596265
9,36603833
6,36603909
2,36603912
9,36603842
6,36603843
9,36604919
6,36603849
6,36603845
9,36599147
6,36603846
9,36604915
8,36603923
8,36607037
3,36596279
9,36603851
6,36607038
6,36596282
9,36607736
3,36604927
6,36596284
6,36603926
9,36607738
8,36604618
3,36607046
6,36604931
8,36599156
8,36607049
6,36596288
9,36611956
9,36607746
6,36599162
6,36604620
9,36599163
9,36604623
6,36607752
9,36608765
9,36599206
9,36604953
9,36612769
9,36599210
9,36599211
6,36608542
9,36612770
9,36608543
9,36599214
9,36604676
1,36599208
9,36604683
6,36604956
9,36607099
6,36599217
9,36604958
9,36604687
9,36607102
9,36608544
9,36608773
6,36608775
6,36608545
9,36608546
9,36608776
9,36604961
6,36599221
6,36599222
9,36612774
9,36608777
9,36599223
4,36608779
9,36608549
9,36607107
6,36604629
6,36604630
6,36611962
6,36611963
9,36604696
9,36604697
9,36608556
9,36607765
9,36596306
9,36607753
9,36596307
9,36604635
9,36604699
9,36604698
9,36609551
9,36609554
9,36607110
9,36604967
9,36608559
9,36608560
8,36609555
9,36604969
6,36604639
6,36604640
6,36599171
9,36599172
6,36604641
2,36604642
6,36604637
6,36604638
9,36599226
9,36611964
9,36607755
9,36607068
9,36611966
9,36604938
9,36599173
9,36611970
6,36607074
6,36607075
9,36599174
9,36607758
9,36607759
9,36599227
8,36599229
5,36604702
6,36599178
9,36611972
9,36612747
9,36607076
6,36599181
6,36599182
9,36596314
9,36604939
9,36607077
9,36611973
6,36612748
9,36612749
9,36604646
9,36596315
6,36604940
9,36599186
6,36596317
6,36596318
9,36604649
9,36604652
9,36604943
6,36604654
6,36604655
6,36596321
9,36607766
9,36604656
9,36604657
9,36604980
9,36604946
6,36596322
6,36607083
6,36607084
9,36604658
6,36604660
9,36604661
9,36599190
9,36604662
1,36604947
9,36608754
9,36604948
9,36599191
6,36612753
6,36612754
9,36604663
9,36608567
6,36607085
6,36607086
2,36608756
9,36604664
9,36599193
9,36612757
9,36608759
9,36612758
9,36604667
9,36604668
9,36599194
3,36607121
6,36604671
6,36607092
6,36608538
6,36612761
6,36612762
9,36612763
9,36607090
6,36607091
6,36599198
9,36604670
9,36599200
9,36612760
6,36609566
9,36609567
6,36612795
3,36605747
9,36612796
