nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6810999,9032,3,2015,U,,,N,F,,C,2015_03_MI8135100_NIBRS,
6795471,9032,6,2015,U,,,N,F,,C,2015_06_MI8135100_NIBRS,
6838174,9032,5,2015,U,,,N,F,,C,2015_05_MI8135100_NIBRS,
6831459,9032,7,2015,U,,,N,F,,C,2015_07_MI8135100_NIBRS,
6925441,9032,1,2015,U,,,N,F,,C,2015_01_MI8135100_NIBRS,
6935736,9032,8,2015,U,,,N,F,,C,2015_08_MI8135100_NIBRS,
6952008,9032,2,2015,U,,,N,F,,C,2015_02_MI8135100_NIBRS,
7003126,9032,11,2015,U,,,N,F,,C,2015_11_MI8135100_NIBRS,
6978473,9032,4,2015,U,,,N,F,,C,2015_04_MI8135100_NIBRS,
6955352,9032,9,2015,U,,,N,F,,C,2015_09_MI8135100_NIBRS,
6970066,9032,10,2015,U,,,N,F,,C,2015_10_MI8135100_NIBRS,
6984843,9032,12,2015,U,,,N,F,,C,2015_12_MI8135100_NIBRS,
6787376,9033,1,2015,I,,,N,F,,C,2015_01_MI8136600_NIBRS,
6809758,9033,5,2015,I,,,N,F,,C,2015_05_MI8136600_NIBRS,10484868
6818391,9033,12,2015,I,,,N,F,,C,2015_12_MI8136600_NIBRS,14682692
6818747,9033,2,2015,I,,,N,F,,C,2015_02_MI8136600_NIBRS,
6860715,9033,11,2015,I,,,Y,F,,C,2015_11_MI8136600_NIBRS,12589919
6842461,9033,6,2015,I,,,N,F,,C,2015_06_MI8136600_NIBRS,8682494
6906792,9033,3,2015,I,,,N,F,,C,2015_03_MI8136600_NIBRS,7975618
6899166,9033,8,2015,I,,,N,F,,C,2015_08_MI8136600_NIBRS,7975672
6897335,9033,4,2015,I,,,N,F,,C,2015_04_MI8136600_NIBRS,11934941
6989931,9033,9,2015,I,,,Y,F,,C,2015_09_MI8136600_NIBRS,11935367
6998617,9033,10,2015,I,,,Y,F,,C,2015_10_MI8136600_NIBRS,12590325
7018986,9033,7,2015,I,,,N,F,,C,2015_07_MI8136600_NIBRS,9532961
6888356,9034,10,2015,U,,,N,F,,C,2015_10_MI8154900_NIBRS,
6878395,9034,11,2015,U,,,N,F,,C,2015_11_MI8154900_NIBRS,
6862255,9034,3,2015,U,,,N,F,,C,2015_03_MI8154900_NIBRS,
6824296,9034,4,2015,U,,,N,F,,C,2015_04_MI8154900_NIBRS,
6830568,9034,9,2015,U,,,N,F,,C,2015_09_MI8154900_NIBRS,
6910532,9034,1,2015,U,,,N,F,,C,2015_01_MI8154900_NIBRS,
6911551,9034,5,2015,U,,,N,F,,C,2015_05_MI8154900_NIBRS,
6918079,9034,7,2015,U,,,N,F,,C,2015_07_MI8154900_NIBRS,
6938477,9034,8,2015,U,,,N,F,,C,2015_08_MI8154900_NIBRS,
6933456,9034,2,2015,U,,,N,F,,C,2015_02_MI8154900_NIBRS,
