victim_id,injury_id
13433750,4
13433779,5
13433783,5
13433784,4
13433788,5
13433793,5
13433801,4
13433823,4
13433824,4
13433833,5
13433865,3
13433865,6
13433883,4
13433886,5
13433895,7
13433896,4
13433898,4
13433911,4
13433912,4
13433921,4
13433930,4
13433945,4
13401801,5
13401802,5
13401803,5
13401804,5
13401805,5
13401806,5
13401807,5
13401808,5
13401809,5
13401814,5
13401825,5
13401829,5
13401895,5
13402076,5
13402078,4
13401832,5
13401835,4
13401841,4
13401844,5
13401847,4
13401849,4
13401850,4
13401851,4
13401859,4
13401860,4
13401867,4
13401868,4
13401869,4
13401871,5
13401872,5
13401876,5
13401877,5
13401878,5
13401884,4
13401885,5
13401892,5
13401890,5
13401891,5
13401893,4
13402083,5
13402084,5
13401911,5
13401912,5
13401910,5
13401916,5
13402086,5
13401917,4
13401920,5
13401924,4
13401925,5
13401927,5
13401931,5
13401933,4
13402089,5
13401939,4
13401940,4
13401944,5
13401965,5
13401954,4
13401968,5
13401971,5
13401974,4
13401976,5
13401977,4
13401991,5
13401994,5
13401998,5
13402003,5
13402005,4
13402007,1
13402096,5
13402012,4
13402014,4
13402015,5
13402016,5
13402017,5
13402018,4
13402021,4
13402022,4
13402023,4
13402024,1
13402025,4
13402026,4
13402030,5
13402034,4
13402039,5
13402040,4
13402100,4
13402102,4
13402108,5
13402110,3
13402119,4
13402123,5
13402124,5
13402130,4
13402138,5
13402137,5
13402241,5
13402242,5
13402140,5
13402143,4
13402146,4
13402153,4
13402162,4
13402163,5
13402165,4
13402172,5
13402177,4
13402185,5
13402188,5
13402189,4
13402195,5
13402196,5
13402197,4
13402200,4
13402238,4
13402249,4
13402250,4
13402202,5
13402208,4
13402211,4
13402216,5
13402218,5
13402225,5
13402226,5
13402229,4
13402255,5
13402256,4
13402259,4
13402265,4
13402266,5
13402273,5
13402276,4
13402278,4
13402320,5
13402321,4
13402327,4
13402331,5
13402333,4
13402334,4
13402335,5
13402336,5
13402346,4
13402347,4
13402348,4
13402357,5
13402361,4
13402374,4
13402389,4
13402391,5
13402394,4
13402435,4
13402452,4
13402467,4
13402398,4
13402406,4
13402416,4
13402473,5
13402474,4
13402479,5
13402492,4
13402497,4
13402504,4
13402509,4
13402510,5
13402514,4
13402530,4
13402534,5
13402546,4
13402560,5
13402573,4
13402583,4
13402584,5
13402590,4
13402600,4
13402601,5
13402742,4
13402743,5
13402744,5
13402608,5
13402609,5
13402634,5
13402641,5
13402644,5
13402653,4
13402655,3
13402658,4
13402661,4
13402662,5
13402663,4
13402664,5
13402665,4
13402681,4
13402682,5
13402680,5
13402694,5
13402700,4
13402704,4
13402706,5
13402787,4
13402795,5
13402796,3
13402796,4
13402798,5
13402801,4
13402802,4
13402803,4
13402806,4
13402815,4
13402816,4
13402821,4
13402822,4
13402763,5
13402764,5
13402769,4
13402776,4
13402834,5
13402835,5
13402839,5
13402841,4
13402842,4
13402844,4
13402845,4
13402847,4
13402851,5
13402859,4
13402863,4
13402865,4
13402869,4
13402873,5
13402874,4
13402876,5
13402881,2
13402881,3
13402894,4
13402895,5
13402903,4
13402910,4
13402911,4
13402912,4
13402913,4
13402914,4
13402915,4
13402916,5
13402918,4
13402922,5
13402923,3
13402923,7
13402924,3
13402934,5
13404071,4
13404130,5
13404131,5
13403025,5
13403430,5
13402939,4
13402941,4
13402942,5
13402943,5
13402948,5
13402951,4
13402953,5
13402954,5
13402958,5
13402960,5
13402961,5
13402974,4
13402977,5
13402978,4
13402979,4
13402982,5
13402992,5
13402994,4
13402996,4
13402997,5
13403000,5
13403001,3
13403001,4
13403003,5
13403008,5
13403012,5
13403016,5
13403018,4
13403020,5
13403022,4
13403023,4
13403027,4
13403030,4
13403029,4
13403488,5
13403046,5
13403048,5
13403052,5
13403053,5
13403055,4
13403062,4
13403060,4
13403065,4
13403066,5
13403067,4
13403070,5
13403071,5
13403074,5
13403081,5
13403083,5
13403084,4
13403091,4
13403097,4
13403098,4
13403100,4
13403103,5
13403110,4
13403111,4
13403112,5
13403114,4
13403115,4
13403120,4
13403123,4
13403124,4
13403126,4
13403132,4
13403137,4
13403146,5
13403148,5
13403159,5
13403172,5
13403173,5
13403174,5
13403152,5
13403153,4
13403177,4
13403182,4
13403184,5
13403185,4
13403189,4
13403191,4
13403193,4
13403194,4
13403195,5
13403208,4
13403210,5
13403213,4
13403221,4
13403223,4
13403226,4
13403231,5
13403233,4
13403232,5
13403235,5
13403236,4
13403242,4
13403250,4
13403257,5
13403258,5
13403262,5
13403272,5
13403322,5
13403323,5
13403944,5
13402937,5
13403299,5
13403308,5
13403309,5
13403310,5
13403311,4
13403314,5
13403315,4
13403316,4
13403318,4
13403319,4
13403353,3
13403354,4
13403355,5
13403358,4
13403359,4
13403361,5
13403365,4
13403367,4
13403329,4
13403335,4
13403338,5
13403340,4
13403347,4
13403349,4
13403370,5
13403375,2
13403375,4
13403376,4
13403378,5
13403383,4
13403386,5
13403384,4
13403385,5
13403387,1
13403387,3
13403389,4
13403392,4
13403397,4
