victim_id,offender_id,relationship_id,nibrs_victim_offender_id
16853634,17742301,1,4596076
16853634,17742302,1,5011420
16853650,17742322,24,4596075
16853654,17742326,21,4596074
16853655,17742327,13,4596073
16853662,17742337,1,4596072
16853663,17742338,16,4153600
16853665,17742340,24,4985150
16853667,17742342,5,4596071
16853681,17742358,21,4592048
16853684,17742361,6,4592046
16853684,17742360,25,5070022
16853683,17742360,6,4592047
16853683,17742361,25,5070021
16853687,17742363,18,4451543
16853688,17742364,3,4592045
16853692,17742373,1,4592044
16853694,17742378,21,4592042
16853694,17742377,25,5070020
16853695,17742377,21,4592043
16853695,17742378,25,5070019
16853706,17742390,6,4592041
16853717,17742404,13,4592040
16853718,17742406,6,4592038
16853718,17742405,25,5070018
16853719,17742405,6,4592039
16853719,17742406,25,5070017
16853722,17742411,1,4592037
16853726,17742416,21,4592036
16853731,17742421,16,4592035
16853732,17742422,24,4477793
16853738,17742427,1,4477792
16853739,17742428,5,4592034
16853739,17742429,15,5070016
16853741,17742431,13,4592033
16853746,17742437,21,4477791
16853761,17742450,1,4592032
16808924,17695172,21,4667896
16808928,17695181,6,4474519
16808956,17695207,17,4667895
16808958,17695209,1,4667894
16808674,17694909,21,4261128
16808675,17694910,16,4650682
16808684,17694919,21,4650681
16808685,17694920,21,4650680
16808688,17694923,6,4650679
16808690,17694925,6,4650678
16808917,17695163,6,4667897
16808960,17695211,1,4667893
16808696,17694932,24,4650677
16808697,17694932,24,4650676
16808698,17694932,24,4650675
16808699,17694932,24,4650674
16808706,17694938,21,4650673
16808711,17694943,6,4650672
16808713,17694945,5,4650671
16808724,17694955,5,4650670
16808961,17695212,1,4667892
16808962,17695213,17,4474518
16808734,17694967,3,4151889
16808737,17694971,15,4650669
16808738,17694971,15,4650668
16808739,17694973,24,4650667
16808739,17694972,24,5052138
16808742,17694976,3,4650666
16808747,17694981,1,4650665
16808752,17694987,21,4650664
16808964,17695216,1,4258055
16808967,17695220,1,4258054
16808968,17695221,1,4258053
16808969,17695222,19,4474517
16808754,17694989,21,4650663
16808756,17694991,1,4650662
16808762,17694999,21,4672635
16808771,17695009,17,4672634
16808774,17695012,13,4672633
16808775,17695013,19,4672632
16808800,17695035,15,4672622
16808970,17695223,19,4667891
16808971,17695224,19,4667890
16808972,17695224,19,4667889
16808777,17695015,1,4672631
16808778,17695015,1,4672630
16808779,17695015,1,4672629
16808780,17695016,6,4672628
16808781,17695017,16,4978229
16808791,17695028,13,4259627
16808792,17695029,21,4672627
16808793,17695030,3,4672626
16808796,17695034,24,4672625
16808797,17695034,24,4672624
16808798,17695034,24,4672623
16808870,17695106,5,4671101
16808977,17695231,17,4663151
16808804,17695040,21,4672621
16808812,17695048,3,4672620
16808818,17695055,21,4672619
16808821,17695057,17,4672618
16808822,17695057,19,4672617
16808823,17695058,21,4672616
16808825,17695061,21,4672614
16808825,17695060,25,5084353
16808826,17695060,21,4672615
16808826,17695061,25,5084352
16808828,17695063,21,4672613
16808829,17695064,24,4672612
16808831,17695067,1,4478569
16808840,17695076,21,4672611
16808849,17695087,21,4672609
16808850,17695088,5,4478568
16808855,17695093,1,4478567
16808855,17695092,25,5084351
16808854,17695092,1,4672608
16808854,17695093,25,5052165
16808857,17695095,1,4671107
16808859,17695097,1,4671106
16808860,17695097,1,4671105
16808862,17695099,1,4478566
16808862,17695100,18,5084143
16808863,17695101,24,4671104
16808864,17695101,24,4671103
16808865,17695101,24,4671102
16808978,17695232,1,4978219
16808979,17695233,19,4663150
16808843,17695079,9,4672610
16808876,17695110,1,4478565
16808877,17695111,6,4671100
16808879,17695113,1,4450284
16808881,17695118,24,4667904
16808881,17695117,24,5083665
16808882,17695118,24,4667903
16808882,17695117,24,5083664
16808951,17695202,1,4978223
16808888,17695125,24,4667902
16808888,17695126,25,5083662
16808889,17695126,24,4667901
16808889,17695125,25,5083663
16808896,17695136,3,4667900
16808898,17695138,26,4667899
16808986,17695244,17,4663149
16808988,17695246,16,4663148
16808914,17695160,1,4667898
16808989,17695247,1,4256488
16808990,17695248,1,4663147
16809323,17695664,16,4650528
16808997,17695256,1,4663146
16809010,17695267,5,4256487
16809017,17695276,16,4663145
16809069,17695337,15,4663141
16809048,17695309,1,4663144
16809048,17695310,1,5050599
16809048,17695315,1,5188129
16809048,17695311,1,5183940
16809048,17695312,1,5157637
16809048,17695313,1,5176762
16809048,17695314,1,5186853
16809059,17695327,24,4663143
16809067,17695335,1,4663142
16809074,17695342,1,4659940
16809076,17695345,1,4659938
16809076,17695343,1,5082436
16809076,17695346,1,5157567
16809076,17695344,1,5176729
16809075,17695344,1,4659939
16809075,17695343,1,5082437
16809075,17695346,1,5157568
16809075,17695345,1,5176728
16809080,17695351,20,4659937
16809085,17695358,1,4659936
16809089,17695360,24,4254928
16809093,17695364,21,4659935
16809098,17695372,1,4659934
16809101,17695375,1,4659933
16809106,17695382,17,4659932
16809111,17695391,1,4658273
16809111,17695392,1,5082172
16809112,17695391,1,4658272
16809112,17695392,1,5082171
16809120,17695403,9,4254927
16809142,17695437,1,4479320
16809143,17695438,1,4658268
16809143,17695439,1,5082169
16809143,17695440,1,5157521
16809153,17695461,16,4655142
16809153,17695460,16,5081692
16809154,17695461,16,4655141
16809154,17695460,16,5081691
16809158,17695465,24,4455746
16809160,17695467,3,4655140
16809162,17695469,16,4655139
16809164,17695472,1,4253411
16809164,17695471,1,5081690
16809165,17695472,1,4253410
16809165,17695471,1,5081689
16809169,17695476,6,4655138
16809170,17695476,20,4655137
16809171,17695477,17,4655136
16809125,17695408,16,4658271
16809125,17695409,16,5082170
16809125,17695412,16,5183941
16809125,17695410,16,5157522
16809125,17695411,16,5176714
16809132,17695418,24,4658270
16809136,17695423,3,4658269
16809139,17695434,18,4455756
16809140,17695435,18,4455755
16809184,17695491,24,4253409
16809184,17695492,24,5008828
16809184,17695493,24,5139983
16809185,17695491,24,4253408
16809185,17695492,24,5008827
16809185,17695493,24,5139982
16809192,17695500,24,4655135
16809198,17695506,6,4655134
16809199,17695507,24,4655133
16809203,17695512,9,4655132
16809203,17695513,9,5081688
16809204,17695512,9,4655131
16809204,17695513,9,5081687
16809214,17695525,9,4655130
16809220,17695535,24,4655129
16809220,17695537,24,5151744
16809220,17695536,24,5081686
16809225,17695544,18,4655128
16809225,17695545,18,5133156
16809225,17695548,18,5183943
16809225,17695547,18,5180575
16809225,17695546,18,5167725
16809233,17695556,5,4655127
16809234,17695556,21,4655126
16809235,17695557,21,4475950
16809252,17695583,1,4650545
16809254,17695585,3,4650544
16809258,17695589,15,4650543
16809258,17695590,15,5080952
16809262,17695594,3,4253351
16809263,17695595,17,4650542
16809266,17695597,6,4650540
16809266,17695598,25,5080950
16809265,17695597,25,4650541
16809265,17695598,6,5080951
16809269,17695602,24,4650539
16809275,17695606,16,4650537
16809274,17695606,16,4650538
16809277,17695608,17,4650536
16809277,17695609,25,5080949
16809278,17695608,25,4650535
16809278,17695609,5,5080948
16809281,17695612,1,4650534
16809283,17695614,26,4650533
16809290,17695622,1,4650532
16809298,17695630,1,4650531
16809311,17695648,24,4155309
16809320,17695661,21,4650530
16809321,17695662,21,4650529
16809324,17695665,3,4650527
16809330,17695674,16,4650526
16809333,17695677,3,4650525
16809341,17695683,24,4666567
16809342,17695683,24,4666566
16809348,17695691,3,4666565
16809349,17695692,9,4666564
16809352,17695696,18,4452214
16809352,17695697,18,5048780
16809357,17695704,3,4666563
16809358,17695705,21,4666562
16809363,17695710,5,4666561
16809369,17695720,3,4666560
16809380,17695729,15,4666556
16809370,17695721,26,4666559
16809371,17695722,16,4272204
16809372,17695723,6,4272203
16809378,17695727,18,4666557
16809377,17695727,1,4666558
16809383,17695731,3,4666555
16809386,17695735,16,4666553
16809385,17695735,16,4666554
16809387,17695736,25,4666552
16809387,17695737,19,5083462
16809388,17695736,19,4666551
16809388,17695737,25,5083461
16809390,17695741,3,4272202
16809394,17695745,1,4666548
16809394,17695746,1,5083458
16809392,17695745,1,4666550
16809392,17695746,1,5083460
16809393,17695745,1,4666549
16809393,17695746,1,5083459
16809395,17695747,24,4470986
16809396,17695747,24,4470985
16809397,17695748,3,4272201
16809400,17695754,1,4666547
16809402,17695756,15,4666546
16809402,17695757,15,5050893
16809402,17695758,15,5157729
16809413,17695772,21,4470984
16809415,17695774,1,4980587
16809415,17695775,1,5133884
16809424,17695787,1,4470983
16809426,17695789,3,4666545
16809548,17695948,9,4656917
16809548,17695949,1,5081966
16809432,17695792,1,4470982
16809452,17695823,18,4980580
16809435,17695795,1,4661685
16809436,17695796,15,4661684
16809443,17695812,16,4661683
16809444,17695813,17,4661682
16809448,17695817,16,4661681
16809448,17695818,16,5082686
16809453,17695824,18,4661680
16809458,17695831,17,4661679
16809462,17695841,1,4661678
16809462,17695842,1,5082685
16809463,17695841,1,4661677
16809463,17695842,1,5082684
16809466,17695847,1,4661676
16809467,17695848,3,4270696
16809470,17695851,6,4661675
16809481,17695869,21,4480094
16809528,17695922,24,4656919
16809529,17695923,9,4656918
16809549,17695950,3,4656916
16809486,17695875,1,4661674
16809494,17695883,25,4661673
16809494,17695884,3,5052458
16809495,17695883,3,4661672
16809495,17695884,25,5052457
16809497,17695888,1,4661671
16809504,17695894,1,4480093
16809510,17695902,3,4270695
16809518,17695910,15,4656921
16809518,17695911,15,5081968
